title,view,like,unlike,comment,date,comment_text
라면이라는 것을 먹어 보았습니다 | 레전드 보디빌더의 먹방,1295353,14000,647,4622,2020.6.7,면과 스프를 고립 흰자와 노른자와 고립 먹방을 보고 식욕이 사라졌습니다 부처도 이렇게 공양받으면 밥상 엎음 옷까지 청색 계열 식욕이 바닥을 친다 사람 사는게 다 똑같이 뭐 하면서 봤다가 라면에 라면스프를 안넣는 반인륜적 행위를 보고선 생각을 잃어 광고 까지 다 봤다 이정도면스님도큰절올리고갈것같은 
운동 리액션 l 김강민 선수,1266930,6700,353,858,2020.4.5,감사합니다 강경원 선배님 앞으로도 선배님 조언 해주신대로 열심히 묵묵히 하겠습니다 약수터 동네 어르신이 지긋이 보면서 감상하고 느낀점 이야기 하는 거 같은데 동네 어르신은 전국체전 연패미스터 코리아 아놀드 클래식 아마추어 획득 황철순 선수 리액션 강력하게 원합니다 미쳤네 이정도 몸은 엄청나게 많아 솔직히 
벤치프레스 중량 올리는데 10년 걸렸어요 대회경력 || 운동이야기 8화,1002425,15000,500,2809,2020.2.23,옛날 정보부족으로 인한 무지 현재 정보홍수로 인한 혼돈 나 강경원을 안믿어도 좋으나 내 경험과 업적을 믿어봐라 진짜 멋있다 선생님 오른쪽 후드끈 제가 당겨드려도 될까요 진짜 맨몸 스쿼트 개하고 덩키킥 했더니 힙이 커졌다느니 골반이 넓어졌다느니 댓글 다는 시람들은 그런 저강도의 운동만으로도 몸이 변화할 만큼 기존에 활동량이 적었고 평균이하의 신체레벨 이였기 때문에 효과가 나온거라는 걸 깨닫길 바랍니다 멍충이들 여기가 진짜 년 원조맛집인데 
운동 리액션 l 설기관 선수,685318,5000,184,525,2019.4.14,강경원 선수는 볼에도 근육이 있으시네 눈높이가 높아졌으나 마인드는 아니다라는말 와닿습니다 어떤분께서 설기관선수 리액션 요청하신거 본 것 같았는데 금방 이렇게 올려주시니 너무 좋습니다 강경원님 년 가까이 팬입니다 타국에 계서도 늘 응원하겠습니다 설기관선수도 레전드인데 그레전드에게 훈수 갓경원형님 씌팔 경원이형님 명언남기셨다 껍데기만 프로를 따라하지말라 마인드가 되야한다 
여성 구독자 운동 피드백 (part 3),841805,4900,225,786,2020.1.26,아이구야 얼굴이 화끈화끈합니다 꿈같은 선생님께서 제 운동하는것 봐주셔서 너무나 염광이고 몸둘바를 모르겠습니다 정말 고맙습니다 공부하면서 운동한다고 하는데 첨부터 마지막까지 고쳐야할 부분이 수두룩합니다 초등 아이들이 있어서 시간 아껴가며 운동하고 있습니다 자기랑 싸우는 이 매력적인 보디빌딩 운동을 사랑하는 사람으로써 예의 바르게 배우겠습니다 그리고 부상 입지 않도록 제대로 자세에 신경쓰겠습니다 엄청 창피하네요 긁적긁적 새해 복 많이 받으시고 하시는 모든일 이루시는 멋진 한해가 되길 기원합니다 첫번째분 아이엄마가 쉽지 않을텐데 열정에 박수 전 오히려 두번째 선수님보다 첫번째 일반인 분이 더 존경스럽습니다 두아이 엄마시면서 혼자서 저렇게 꾸준히 하신다는게 정말쉬운게 아닌대 말이죠 다만 혼자 하셔서 그런지 운동자세가 분명 아쉬운점들은 있지만 진심으로 리스펙 합니다 안녕하세요 선배님 피드백과 리액션해주셔서 진심으로 감사드립니다 우리나라에서 여자선수가 보디빌딩하는거에 대해 아직 좋지않은 시선이있는같아 안타깝고 속상했는데 선배님의 유튜브를 통해 여성 운동을 바라보는 시각이 개선되었으면 좋겠습니다 선배님이 먼저 일궈놓으신 길이있었기에 저희 후배들도 그길을 따라 지금의 프로무대까지 설수있었다고 생각합니다 선배님의 조언과 같이 앞으로 프로시합을 잘 준비하여 다시한번 올림피아에 올라설수있게 열심히 노력해보겠습니다 남자친구와 함께 기회를 만들어서 꼭 한번 찾아뵙고 운동도 배우며 직접 좋은 말씀도 듣고싶습니다 항상 건강하시고 행복하세요 선배님 흑자 영상 보고 온 사람 손 
비키니 선수 자세교정 - 런지 / 함지연 선수,826208,4200,149,425,2020.4.1,왜들 그리 다운돼있어 전 아카데미교육생 시절부터 강경원선생님 팬이였어요 이렇게 좋은 피드백을 해쥬셔서 너무 뜻깊은 날이였어용 지속적으로 꾸준하게 알려쥬신방법으로 트레이닝하여 더욱 발전된모습으로 다시 찾아뵙겠습니댱 감사합니다 킹경원선생님 오렌지트레이닝복에서 과즙미가 느껴집니다 강경원선수 하체크기보소 옷이 통통한 오렌지같아 형 
스쿼트하면 앞 면에만 자극이 가요 | 엉덩이 스쿼트 중심이동,829225,6300,168,646,2020.3.7,저날 배워서 돌아온후로 하체 운동이 많이 달라졌어요 요즘 너무너무 제가 사랑하는 운동이 즐겁습니다 선생님께 감사드립니다 지금 생활 조금만 더 적응되면 훈련받으러 넘어가겠습니다 그리고 작년까지 모든걸 다 버리다시피하고 대회만 보고 달렸다가 혼자 마음도 다치기도하고 나는 안되는사람인가도 생각했었는데 선생님 뵙고 온후에 바보같이 포기하기엔 이르다는걸 깨닫고 하루하루 열심히 노력하고 있습니다 물론 많이 부족하고 더 해야하지만 운동뿐 아니라 이날 선수로써 가져야할 마인드까지 해주신 말씀 깊게 새기며 지내고 있습니다 너무 감사드립니다 선생님 얼굴도 오늘따라 더 온화한 것 같습니다 중량을 들다가 자세가 흐트러지면 그건 중량을 내려야한다는 말씀이 뇌리에 꽂혔습니다 여기 댓글 클린해이런 뇌까지 근육인 헬창들좋아 운동을 배울려고 저기 까지 찾아갔다는것 부터 그 열정이 모든걸 말해주네여 더더욱 유명한 선수가 되시길 
다이어트 식단 먹방 이게 저의 주식입니다 | 레전드 보디빌더의 먹방,819648,8900,406,2468,2020.7.19,혀마저 고립 갈치맛이 난다고 할때 선수님의 그 진심어린 눈빛에 정신이 혼미해집니다 형님 진짜 컨셉이 아니라서 더 무섭습니다 이미 미각을 잃으셨네 몸도 리스펙이지만정신력 정말 존경합니다 다이어트식으로 년이상 먹는것도 대단하지만 맛있게드시는게 정말 다이어트수준을 알수있는것같습니다 다음에 짱구먹방해주세요 
복근 운동 기초 l 제가 가장 효과를 보고 추천하는 복근 운동,807514,13000,200,762,2019.12.2,이 채널에서 가장멋있는건 채널이름이다 경원 워크아웃 이라던지 하는것보다 그냥 강경원 쌉간지다 대 이신데 몸이 장난아닙니다 예몇개요복근없이 살겠습니다 개 세트 생각만 해도 힘드네요 오늘 운동한걸로 치겠습니다 감사합니다 레그레이즈 크런치 벤치레그레이즈 다리올리고 크런치 
중상급자 편 l 강경원의 운동 피드백 2부,749453,4500,135,378,2020.6.28,신생아라고 했던 영상이 너무 부끄럽습니다 아 그래도 이후로도 선수님 컨텐츠에 이렇게 썸네일 메인해도 나와보고정말 좋은 기회를 주셔서 너무 영광이고 감사합니다 제 운동영상을 봐주시고 진심으로 말씀해주신 피드백 조언 새겨듣고 신경써서 열심히 해보겠습니다 보디빌딩을 사랑하는 사람으로써 오늘 하루종일 입이 귀에 걸릴거 같습니다 핑크맨 굳은살 우와 저 초등학교학년일때 대치동 지하층에 있는 월드 헬스장에서 형님 봤는데 그때도 식단관리 엄청하시면서 닭가슴살 지겹다고 저 먹으라고 주시고 그랬는데 형님 반갑습니다 형님 이름을 티에 박아놓기 있나요 
