title,view,like,unlike,comment,date,comment_text
2008편집본 Hana Kang Lower Body Stretching 2018 - Thinner Legs Here I Come - 강하나 스트레칭(2018),5715462,58000,566,4424,2018.10.3,불펌동영상 보지말고 원본봅시당넘 반갑 똥 먹는 사람 좋아요 이 언니는 아직도 이쁘고 아직도 세상에서 숫자를 제일 못세 강하나쌤다리를 천천히 내려주시고 나툭 하나쌤 도화지에 원 그린다 생각하시면서 내가 그린 그림 
한 번만에 바로 효과보는 뭉친 승모근 없애는 스트레칭 - Neck and Shoulder Pain Relief - 강하나 스트레칭(2018),2074084,27000,217,1495,2018.10.3,좀 청승일 수도 있는데 제가 한창 살 때문에 울고 주눅들어있던 년 전부터 하체 스트레칭 시작해서 그 이후로 매일 하나쌤 만나면서 쌤에게 정이 많이 들었거든요 하체 스트레칭 편이랑 전신스트레칭 편은 대사까지 다 외울정도로 맨날 따라하고요 꼭 운동 시간 아니더라도 다리 붓고 골반 염증 도질 때마다 하나 쌤 스트레칭 순서 외워서 뭉친 근육 풀곤 했어서 저에겐 진짜 선생님은 소중한 인연이에여 혼자 랜선으로 쌤에게 정이 너무 많이 들어서 이렇게 쌤이 새로운 영상을 직접 올려주신다는게 새삼 감격스러워요 감사합니다 쌤 영상 보고 다리선 진짜 많이 매끈해졌고 무엇보다 종아리 알때문에 늘 뻣뻣했던것이 풀리고 혈액순환도 많이 좋아졌습디 쌤 앞으로도 꾸준히 유튜브 활동 해주세요 이영상은 곧 전설의영상이 될것이니 와 진짜 자기관리 끝판왕인듯 진자루 년전보다 더 이쁘다몸이 진짜 아름다움 언니는이지구에서가잔필뇨한존재 이거 진짜 충격적으로 시원해요 와 공부 오래하시는 분들 강추입니다 선생님 감사해요 
니킥300개 (복부와 허벅지를 슬림하게) - 강하나 스트레칭(201911),1540351,18000,261,743,2019.11.18,개 뭐 금방하겠지 쉽네 생각하다가 개하고 몸져누웠음 내일 개할게요 첨에 장난하나 하면서 개 하고 아히으히히이이치잉 이러고 침대 쓰러짐 다음날 못함 다음날 허벅지 더 아파서 못함 온몸이 다 아픔 일 후부터 한달동안 매일 개 했는데 키로 빠짐 대박적인운동임 팔도 막 운직이면서 하면 팔살도 빠짐 우습게 봤다가 개도 못하고 쓰러진 친구들 아주많음 쉬면서하게 중간중간에 광고 좀 넣어주세요 년전에 하체붓기빼기 스트레칭 동영상 보면서 맨날 따라했었는데그때는 유투버라는 직업도 크리에이터라는 직업도 생소하고 없었을때라 강하나스트레칭 진짜 유명했었는데 잃어버린 친구 만난거 같아 너무 반가워요 구독하소 열심히 운동할게욤 일 도전 구입해두고 배가 껴서 못입고 있는 원피스를 한달 후에는 입고싶어요 좋아요로 불러주시고 응원 부탁드려요 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 일차 비포에프터식단 
팔뚝살빼기(TRICEPS) - 강하나 스트레칭(2018),1302069,24000,314,1790,2018.11.7,선생님 사랑해요 근데 저 지금 혓바닥으로 타자쳐요 숫자를너무못세백개끝났는데 계속하셔 강하나 선생님 운동이 좋은이유는 다른동영상과달리 묘사까지 쓰시면서 운동을 알려주시는 세세함과 정성 기구나 장소상관없이 할수있는 간단함 이게운동이될까쉬워보이는데 오히려 다른 운동들보다 진짜 운동하는느낌이들고 동시에 스트레칭까지되는 느낌 몸이 늘어나는듯함 일단 십년이넘은 강하나하체스트레칭은 아직도 스트레칭 및 하비족들에게 넘사벽독보적 위이자 강하나선생님의 실력과 신용이 빼박 증명됐기 때문에 다른 어떤 동영상보다 무조건 믿고 강하나쌤운동을 한다 네 월부터 개월 동안 거의 매일 했어요 개월 쯤 됐을 때부터 갑자기 팔뚝살이 빠지기 시작하더니 곰돌이 같던 팔뚝이 확실히 얇아졌어요 그리고 뭔가 어깨도 펴지면서 팔 라인이 더 예뻐진 것 같아요 감격운동효과는 개월 이후부터 확실히 나타나는 것 같습니다 성실하게 꾸준히 하다보니 어느새 팔 라인이 예쁘게 잡혀있더라구요 그리고 상체 사이즈가 두 사이즈나 줄었습니다 강하나쌤 감사합니다 
운동할 시간 없는 분들 하체 근력이 없는 분들 오늘로 끝- 강하나 스트레칭(202008),1124346,14000,283,339,2020.8.10,운동시작 혹시 생리기간에도 스쿼트같은 하체운동이나 복근운동해도 괜찮나요 와 이거 유명한 운동이어서 저도 알고 있었는데 하나쌤처럼 이렇게 온갖 디테일 신경쓰고 제대로 몸쓰는 법을 알려주는 영상은 처음인 거 같아요 근데 제목보고 분간 연속해서 버티는건줄 알고 식겁하고 안누를뻔했어요 이거 엄마와 연속 일째 하고있는데 스쿼트 자세를 못하시던 엄마도 벽이 기대고 하니까 오래 버티시고 일째 되는날 처음으로 엄마가 멈추지않고 버티셨어용 강하나님 만능해결사 무릎이 약한편인데 역시나 자극이 오네요계속 해도될까요 
자기전 스트레칭(GOOD NIGHT STRETCHING) - 강하나 스트레칭(2018),1106792,18000,282,804,2018.12.27,이건미친스트레칭이예요 하고안하고 차이가너무커요 한번도안한사람있지만 한번만한사람은없을듯 쌤 진짜 이거 레전드 스트레칭이에여 오늘 몸살기운이 있어서 이거라도 하고자자 해서 겨우 매트깔고 끝냈는데 웬걸 진짜 몸이 나른해지고 피로가 풀리는 느낌이에요 사랑해요 건강하게 오래오래 유투브 해주세요 유투브로 돌아와주셔서 감사해용 천국과 지옥을 동시에 경험할 수 있는 자세 마지막에 손발흔들때 생각보다 오래해서 당황 제가 찾던 밤스트레칭 이거였다구요 앞벅지까지 너무 시원해요 최고 여자라면 한번쯤 궁금한 마법의걸린날 운동법 궁금해요 스쿼트나 격한운동 등 자제해야 할 운동이 많더라구요 
기상 스트레칭(MORNING STRETCHING) - 강하나 스트레칭(2018),1101680,14000,294,546,2018.12.5,잠드시면 안돼요에서 빵터졌어요 어쩜 그리 잘아시는지 졸다가 눈 번쩍한 사람 한둘이 아닐듯 일주일 째인데 이거 하고 안하고 몸이 달라서 이제 안할 수가 없어요 매일 꼭해야되는 루틴 스트레칭하고 나면 뭔가 시야가 또렷해져요잠이깨나 기상스트레칭은 진심 이게 최고다 일어나자마자 온몸이 굳어있어도 괜찮아요 길지않고 별로 안힘든데 몸이 막 개운해여 감사합니다 혹시 생리통에 좋은 스트레칭도 가르쳐 주시면 안될까요 정말 하나쌤 홈트가 진정 최고 모든 속근육 하나하나 다 사용하는 느낌과 하나쌤이 계속 주의점 일러주시고 그냥 매 영상하고 나면 감탄 다른영상도 좋지만 먼가 헬스동작같은거 유튜브보고 따라하면 무릎이아프고 어깨등 몸이 아픈느낌이 나는데 하나쌤 영상은 그냥 모든 근육을 쥐어짜서 지방을 태우는 느낌이에요 지방도 태우고 스트레칭도 해서 몸도 편안해지는 일석이조삼조 하나쌤 최고 
똥배탈출 무조건 추천| 아랫배 빠지는 목통증X 효과보장,763646,1000,164,251,2021.1.26,진짜 운동하면서 먹었던 걸 후회한다 만만히 봤다가 아랫배 홀쭉한 사건 너무 웃겨요 운동 게으름 피울때쯤 하나쌤 새영상 늘 올라와요 오늘도 다시 똥배로 운동시작합니다 근데 하고난뒤 허리가 너무 아파요 용을 써서 그런가 허리통증완화 스트레칭까지 하고나니 시원해요 죽음을 맛보고 왔습니다 선생님 얼굴이 터질거 같아요 너무 하드해요 말하면서 하시는게 대단하세요 
지방형 하체 스트레칭 - 강하나 스트레칭(201903),715765,17000,139,980,2019.3.11,오늘도 난 눈으로 운동을 한다 근데 자기전에 하는거 맞죠 땀이 나서다시 씻어야할것 같아요 하나언니 이젠 비보잉까지 언니 이거 주째 꾸준히 매일 자기 전에 하고 시간 날때는 낮에도 하는데요 진짜 다리 살이 정리가 돼요 완전 지방형인데 진짜 살 속에 지방들이 손으로 잡았을 때 잡히는게 달라요 더더 꾸준히 할게요 감사해요 어떻게 저걸 하면서 말을 할 수 있는거지 
강하나(2019) 하체스트레칭(LEG STRETCHING) - 강하나 스트레칭(2019),684808,9300,94,565,2018.12.19,가벼운 마음으로 시작했는데 마음이 무거워져요 선생님이번꺼 너무 힘들어요상체가 내려가질 않아요 이게 사람이 가능한 동작인가요 안녕하세요 버젼은 앉아서 할 수있으니 초보자이신분들고 무리없이 편하게 하실수 있을거예요 모든 분들이 각각 다른 체형과 근력량에 따라서 자극이 다르게 오실 것같아 좀 더 즐기며 하실 수있는 버젼으로 을 나눠봤어요 한 버젼이 익숙해지시면 다음 버젼으로 또 꾸준히 해주셔용 스트레칭은 부담이 되지 않는 선에서 호흡과 함께 몸에 힘을 풀어주시는게 우선입니당 오늘도 즐겁고 신나는 스트레칭 시간이 되세요 저 몸이 썩었나봐요 그냥 첫 동작부터 안돼요 
