title,view,like,unlike,comment,date,comment_text
마스터 승격전 켠왕 합니다,1604107,8600,594,786,2019.10.15,웃다가 뒤지는줄알았네 조울증 레전드 웃기넼 진짜 여기서부터 표정 싸대기마렵네 나만 이 도네 웃기냐 진짜 웃다가 쓰러질뻔 
늑대가 굶주렸다,1602759,8300,593,1019,2020.5.27, 지환이는 사실 왕자님이 아니라 망나니가 체질 아닐까 가끔 보면 솔직히 좀 역하긴 해 전에 아트한테 당해놓고 지가 또하네 발 렉사이 채팅 개웃기네 
큐브 운 실화냐 배아파서 죽을 거 같다 | 메이플스토리,1544262,7200,358,918,2020.7.7,장쥐환 왜 울어 시청자 장쥐환흑 난 괜찮아 울지마 장쥐환 흑우라고 발 장쥐환 단편수필 공감하며 말흐에기 쥐환이가 운좋아도 어차피 원기가 이기는 싸움임 무한 터치 도네 씹팩트 불을 발견한 원시인 
『동시 시청자 45000명』 세기말 마스터 승급전,1515458,13000,521,1881,2020.11.10,진짜 유튭각 하나는 기가막히게 재네  진짜 이게 일류 스트리머를 넘어선 괴물쥐다 어떻게 하면 승 패 하고 복수전으로 패배한 다음에 바로 정지를 먹지 세상이 널 버렸다고 생각할 필요 없다 세상은 널 가진 적이 없다 흐에르빈 롬멜 우와 한국 사람 게임 잘합니다 
마스터 티어에서 만난 골드 카사딘 | 나 혼자 한다,1491169,8300,507,1515,2020.1.5,며칠만이야 지건 딱대 어딜 데스 감추려고 지건 딱대 이때 흐에 하면서 죽이는거 웃기네  여기 부분만 몇 번 돌려보는중 
탑에게 굴복한 남자,1490227,7700,489,667,2019.12.4,자기야 만큼 사랑해 뭐야 유치하게 그래 그럼 장지환 코만큼 사랑해 그녀는 어느새 밝게 웃으며 눈물을 흘리고 있었다 장지환의 러브레터 화 내가 왕이 될 상인가 내가 왕이 될 상이냐 물었다 아주 그냥 밉상이야 발 쥐상 이제 겨우 시네차는 어디로 갈래 난 홍대 건대 뭐라고 건대 시잖아 지건 딱대 발 홍대와 건대사이 장지환 채팅창에 스포 바론 뺏김 도구한테는 한없이 매몰찬 그코 
괴물쥐(장지환)의 삶 - 2화 -,1473973,17000,362,4483,2020.8.10, 다만 코에서 구하소서 야 지환아 크림빵 어이 지환쿤 창밖에 스나이퍼가 있다고 느려 발 소개팅에 티를 입노 
와 질풍 블리츠,1450785,8300,497,1138,2020.11.29,돌풍 블츠 웃기네 블리츠 진심 잘하네 저런판은 서폿이 다한듯  초 미쳤냐고 진짜 개웃기네 익숙함에 속아 소중한걸 잃지말자이게 이런 뜻이였군 
갱에 감정 싣지 말라고,1432643,9300,401,830,2020.4.27,루리웹하는 사람 좋아요 소라카 뇌정지 오는거 웃기네 소라카 멈칫 하는거 개귀엽네 지환이 예쁜 여자친구 생기면 뭐할거예여 불꽃 쥐이팅 
하루 마타가 우리팀 이건 기회야 SKT 연습생 준비할게요,1405878,6300,423,525,2019.6.18,설거쥐  이거 편집됏는데 마지막에 지환이말끝나고 누가 도네로 하루랑 마타도 시간역행써서 큐잡히기전으로 돌리고싶을거라함 그냥 괴물쥐영상중에제일슬펐다 애매한 재능이 가장슬픈걸알기에 마지막말이 왤케찡하지 하루 
