title,view,like,unlike,comment,date,comment_text
클래시로얄 전설 카드 덱으로 아레나 2 가면 어떨까 모바일게임 [Clash Royale] - 기리,4885346,17000,6600,8409,2016.10.18,아레나애들이 얼마나 불쌍하냐 이건좀 너무했어 지웠다가 다시 올립니다 상대 기분빡치겠다 갑자기 떠서 왔다 손 아레나 처음보는몹에 어리둥절 머지 저거 첨보는건데 
만원 지하철에서 자리 잡는 방법,3876246,17000,2600,1558,2019.3.16,어제 올리려고 했는데 조금 늦어졌네요 초등학생이요 취향 확인 완료 귀신 예쁘다 꺄아 바보같애 
가짜 스파이더맨이 나타났다 악당일까 [마블 스파이더맨 3화],3711875,14000,1600,1578,2018.9.29,빨리 다른 어벤져스 게임도 나왔으면 와 진짜 고퀄이다 그래픽까지 미쳤다 하트주세요 기리님 손가락의로 잡아서 보시는분 손 기파이더맨 출동 기 기파 기파이 기파이더 기파이더맨 기파이더맨 사 기파이더맨 사랑 기파이더맨 사랑해 기파이더맨 사랑해요 기파이더맨 사랑해 기파이더맨 사랑 기파이더맨 사 기파이더맨 기파이더 기파이 기파 기 
괴수들의 왕 고질라 출현 아크에서도 왕 [아크 모드],3358431,14000,1300,2922,2018.5.20,이건 어제꺼고 오늘 이벤트 영상이랑 추가 영상 다 준비중 악플러분들 이거보고좀 말해주세요 제조 모든 국민은 인간으로서의 존엄과 가치를 가지며 행복을 추구할 권리를 가진다 국가는 개인이 가지는 불가침의 기본적 인권을 확인하고 이를 보장할 의무를 진다 기질라 말고 뒤질라는 어떤가요 햇꾸요 뭔가 가식적이고 나 방송한다 티내면서 말하네 으비호감 지덥인가 그사람이 더 재밋네 허히이호헤뭐야 훠어 영상반이 이거시넹 
반짝반짝 인피니티워 슈트로 업그레이드 [마블 스파이더맨 2화],3286342,15000,1700,2131,2018.9.24,멋지다 개인적으로 말투 존나 짜증남 말투만 들었는데 학교생활이 어떨 것 같았는지 예상되는 신기한 현상 말투 초딩저격  
혼종 공룡도 전설이 있다 인도미누스 렉스 도전 [쥬라기월드 6화],3261694,13000,1100,2825,2018.6.10,재사용시간 너무 긴듯 기리님 쥬라기월드 시작하신지 얼마 안됬는데도 잘 하고계시는데 그래도 올 공격 나 방어에 포인트를 너무 많이 소모 하시는거 같아서 꿀팁 드리겠습니다 나 전 하실때는 무조건 상대가 몇개로 방어를 하고 몇개로 공격을 하고 몇개를 저장하는지 예측을 하셔서 공격을 하시면 좀더 안전하고 공격적으로 플레이가 가능해요 이거 그대로 이용하시면 좋을것같네요 에 사육장을 던짐니다 뭔뎈 어떻게 사육장을 들고던져 얘출발 저 혼종중에 알랑가밖에 없어요응원해주세요 
[EP16] 모든 메가진화 포켓몬 총 출동 달라진 체육관들 [포켓몬스터 레츠고],3073665,12000,1300,2014,2019.1.13,도감완성 임박 진짜 말투 뭔가 끝에 이상하다 막 할꺼 같음 말투가 왜 그래요 섬네일에 메가 아기 캥카 얼굴이 기리님이야 우연인걸까 노리신걸까 이때는 몰랐다 세대에서 메가진화가 안될지 
남은 커플 데이트 다 파괴 해버리기 (병맛) [부부의 장난 2화],2945317,15000,1600,1121,2019.2.1,기리님도 애인있나요 이 커플이 망할 확률은 이 댓글의 좋아여 갯수 입니다 같은 소리하고 있네 구걸충 사라지삼 좀 더 자주 올릴 수 있게 하고 있어요 새해 이벤트는 주말에 올려요 솔로는 웁니다 아리가또 
포켓몬고 한국 도감 완성하기 (안농 제외) 희귀 포켓몬 포획 + 진화 마무리 포켓몬GO [Pokemon GO] - 기리,2824858,11000,1100,3626,2017.4.2,영상 번대 도감 안농 그냥 지나쳐버렸네요 며칠에 한번씩 부산에 나오던데 얘는 정상적으론 잡기 힘들듯 쯤 아줌마 무단횡단 요게 바로 기리니까 사뿐하게 짜릿하네 와 이게뭐죠 귀엽네 얘 한번 잡아보겠습니다 고로치 오 멋진데 아 귀엽다 기여워 수공 리자몽 실화냐 앞다리중간다리뒷다리 
최강 슈퍼 혼종공룡 인도랩터 드디어 부화 [쥬라기월드 25화],2794659,12000,1000,2809,2018.9.20,좋아요 짝수개로 받으면 친구가 미스터 피자 쏜대요 요녀석때문에 일만에 올려버렸네요 기리님 대단하다고 생각하시는 분들 와 간지 멋있다 기리님초초초 간지  
