title,view,like,unlike,comment,date,comment_text
끝까지 긴장을 놓을 수 없는 배틀그라운드 1 VS 100 범퍼카전 한문철변호사님,208188,5000,101,490,2021.5.3,김블루가 나의 목소리 소울 메이트인건가 우리 쁠몬들 에일리언님들 힘내세요 항상 응원해요 제가 나온 에일리누나의 일리있는밤 한숨 뮤직비디오는 에일리누나 채널에 있으니까 보세요 한숨 뮤비 일리있는밤 편 일리있는밤 편 최근에 에일리누나랑 같이 출현한 영상이 많아서 재생목록을 만들었어요 꿀잼영상들 많으니까 꼭 보세요 에일리 김블루 재생목록 에일리님 채널에서 에일리내가 다 안아줄게요 김블루어머 따뜻해 방금 죽었나봐 보고 터졌는데 이거 좋아요 수 왤케 떡상했지 이거 뭐라고 개 찍었지 이 형 진짜 이중인격 있는거 같아 천사와 악마의 인격 노래 겁나 잘불러 도대체 전생에 어떤 복을 지었길래 이런 판타스틱한 인생을 사시는걸까 
파밍이 귀찮은 고인물의 치킨먹기 - 배틀그라운드 고인물 근황,504650,8200,139,677,2021.5.1,이제 사람 주길때마다 노래 한곡씩 하시죠 왜 서로의 영역을 가르쳐주고 서로의 영역에서 잘하는 건데 이게 목소리 변조가 아니였다고 뭐야 블쨩 왜이렇게 잘생겼어 이게 셀프목소리보정이라니 당황 
판사가 되어 판결을 내려야한다 새벽 무단횡단을 어떻게피해 vs 그래도 뺑소니는 아니지  │블판사,287413,6200,61,942,2021.4.30,아니 세상에 배그에 열기구가 근데 왜 다른건 없지 펍지 너는 패치 그만 멈춰 펍지 모드 추천함니다 경기를 하면서 일정 시간마다 계속 총이 바뀌면 재밋을 것 같아요 에땁 배율로 적 조준 중이었는데 레돗 토미건으로 바뀐다거나 플레어건 쏘려는데 으로 바뀐다거나 하면 개꿀잼 유튭각 나오지 않을까요 뚜벅이 멈춰 다리가 아픈 여러분을 위해 열기구를 준비 했다구우 지금 테스트 서버에서 바로 만나보실 수 있습니당 근데 드랍율은 조금 안녈읏츨브릉 아 따뜻해 방금죽엇나봐 
부모님들이 이 영상을 싫어합니다 하지만 2021년 최고의 우정게임,186968,4800,44,510,2021.4.28,우리 듸킷씨 잘 부탁 해요 왜 나한테만 그래 쁠몬들 덕분에 호강한다 고맙다 압도적 감사하다 돈받고 에일리누나 콘서트 본 썰 푼다 개꿀 에일리누나 배그 신곡 빌리브 일 오후 시에 특별무대 공개되니까 기대해주세요 보는 곳 트위치 아프리카 배틀그라운드 이스포츠 유튜브 아 그리고 에일리누나랑 부른 노래는 일에 에일리 채널에서 확인하세요 아직 안올라옴 이걸 듀엣하네 마지막 사진 보정 공간왜곡 보정뭐냐 에일리님 사사 사사는동안 많이버세요 극한직업 나사 줍는 운영자 출연자는 놀고 대화 하고 있고 운영자는 블루 형 안경 나사 찾고 있고 
진심으로 주식이 하고싶어질 때마다 봐야할 영상,312083,7100,76,1049,2021.4.26,권총은 아닌거같아 진짜 연다씌가 겁나게 잘하긴 하네 그냥 이름만 바꾼 치킨 꺼억하기 컨텐츠 근데 시청자들과 나는 계속 보고싶어하는 게 함정 이렇게 영상 올리면 우리가 몰래 꿀 못 빨잖아 그만큼 신난신거지 
배그 랜덤스쿼드에서 진짜 에일리님이 노래를 부르면 사람들이 알아볼까,630906,11000,131,1063,2021.4.24,대놓고홍보시작합니다여러분 에일리 체널에도 김블루와 함께한 일리있는 밤 편이 업로드 되쪄염 커뮤니티에서 투표도 해주시구 그르면 넘나 행복할것같아요 에일리님이 죽여 주겨라고 할 때 엄청난 찐텐 언제까지 가수 에일리라고 쓰는거임 이정도 만났으면 이젠 걍 옆집누나라고 써도 될듯 에일리 누님 집을 점점 아지트화하고 있다는 게 학계의 점심아 자취하는 사람 집 아지트로 만드는 건 못 참지  
배그 개발자는 분명 어떤 큰걸 준비하고 있는겁니다,381582,7100,102,711,2021.4.23,왜 나만가지고 그래 다이아크 키라메 이노닉스님이랑 같은 마우스를 쓰다니 선생님바꿔도댐 김블루짱 안녕하세요 쁠몬들 덕분에 젠지를 본 성덕이 되었습니다 그리고 제가 짧게 에 나오게 되었어요 배틀그라운드랑 쁠몬분들 넘나 사랑하구요 월 일 토요일 오후 시 트위치 아프리카 배틀그라운드 이스포츠 유튜브에서 라이브합니다 링크 트위치 아프리카 배틀그라운드 이스포츠 유튜브 실제로 보니 키가 너무크셔 조금만 떼주세요 블루님이 편안한분위기 조성해주셔서 재밌게 촬영했습니다 내가 저거 배우면 발 다친 사람 한테 우사인 볼트가 달리기 특강 하는격 
배틀그라운드 VSS 암살 최강총으로 상향버프 꿀빨려면 지금뿐,414661,7100,115,1197,2021.4.21,진짜 지뢰 달걀을 몇 개 먹었는지 모르겠네 김푸른 그는 대체 블루형 상대 괴롭히는 데 최적화된 평소 플레이 스타일이랑 카트 아이템전이랑 조합이 좋아서 그런 듯 옳게 된 조합이다 한동안 계란 후라이를 먹지 못 했습니다 형독없는 형독파티 이제 김푸른님이 년동안 형독자리 지킬듯 
[룰렛 배팅장] 김블루 VS 시청자 2000명 과몰입 회장님들로 채팅창이 터졌습니다,435729,8300,141,607,2021.4.19,테슬라 화성가면 개떡상함 일때가 좋았다랄까 지금은 내려간다 저 바닥으로오오오오오오 지금부터 테슬라사서 블루형이 본전찾으면 난 개이득인가 주식은 이익이 날 때까지 년이상 보유할 생각이 없으면 단 분도 보유하지 마라 워렌 버핏 님이름이 김레드였으면 올랐을텐데 왜 김블루여서 
(내돈내산) 난생처음보는 세상 신기하고 유용한 2021년 인류최강 추천템 Top 10 | 거상김블루,400948,12000,112,1112,2021.4.17,블루님 정말 고급미끼였습니다 이것이 배그계 변태의 머리다 유튜브 역사에 남을 전설의 사자후 진정한 변태의 머리에서 나온생각이다 진짜로 점점 머리에 뭐가있는거지의문이 든다 
