title,view,like,unlike,comment,date,comment_text
요청폭주 올로드샵 심플 레드 데일리 메이크업(ft 습퍼마켓때 했던 메이크업) / Double Soup,3474739,68000,701,2596,2018.7.14,   눈꺼풀 흉터는 어릴적 다래끼 수술 흉터입니다 자세한 건 에 나와있어요  
피부가 좋아보이는 투명 메이크업_ Double Soup,3080903,10000,642,1574,2020.5.23,    일본 드라마에 나올법한 청순 첫사랑 느낌 개쩐다 진짜 구독자도 아닌데 썸네일 보자마자 들어옴 
요청폭주 악녀(가 되고 싶은)메이크업 버건디 겨울 쿨톤 메이크업 / Double Soup,1837921,45000,459,1468,2019.2.16,     
요청퍼스널 컬러진단 받았어요 (25000원 저가형 vs 79000원 고가형 두 군데 다 가봄) / Double Soup,1388579,14000,238,927,2019.1.12,에뛰드 컬러팩토리 비추천해요 가로수길점에서 했는데 알바생 바꼈는지는 모르지만 진짜 너무 성의없어서 본사에 항의할뻔 했어요 기계로 측정한 결과에 너무 전적으로 의존해서 알바생이 나를 납득시키려고 하고 자기 말에 동의나 리액션 크게 안해준다고 한숨 푹푹 내쉬면서 형식적으로 빨리 설명하고 끝내고 립스틱 색깔고르는데 색상 잘 못정하니까 까다로운 고객님이시네 이따위로 말하고 나이어리다고 개무시 오져요 수정달력보니 년 월 일에 진단 받았었네요참고하세요 여러분 제발 에뛰드 컬러팩토리 저 믿고 거르세요 길바닥에 돈 버리고 다니는 거랑 똑같음 진짜 제발 저거 퍼컬 개엉망이에요 도움 도 안 돼요 저 립스틱을 주고 사고싶으면 지만 진단을 받고싶어서라면 무조건 거르세요 진짜 이쁘시당 나나김태희전소민주결경같아요 에뛰드 조명부터 그른듯 썸네일 왼쪽사진은 쌈디 닮으신것같고 오른쪽 사진은 임보라 닮으신것같아요 
[GRWM]인생 메이크업하고 팬미팅 가는 날 같이 준비해요(feat 요즘 핫한 신상템들) / Double Soup,1130593,16000,251,793,2018.4.7, 김지원 닮으심 조녜   김태희 개닮았다 
필터 없이도 여신강림반짝반짝 연말 코랄 메이크업 _ Double Soup,934374,13000,218,392,2020.12.12,  나이를 먹지않고 토해내는 습습님 내년에는 한 살 더 어려지는거죠  언니 인트로에 던진거 수건 아니고 제 심장 
[GRWM]클럽가는 날 같이 준비해요 / Double Soup,760038,11000,216,968,2017.11.25,클럽을 씹어먹으러간다 느낌이네요 진짜 대박 인간외모가 아니셔요 화장도 진짜 새로워요 헐 클럽에 여신이 떴다 구하라천우희 언니미쳐따리 미쳐따넘예하 애프뎌스쿨 나나 구하라 같다 
 하시모토 칸나(橋本環奈) 커버 메이크업  - (ENG)Kanna Hashimoto Makeup,744372,14000,516,1815,2017.7.29,헉 대박 짱비슷해요 언니 미쳐써요 나 썸넬 보고 소리지름   진짜 닮으셨어요 소름 
화장했어 이젠 MFBB 한 듯 안 한 듯 여름철 투명 메이크업(ft 여름 스킨케어) /  Double Soup,735375,1000,225,474,2018.6.16,이 분이 사실 진짜 화장장인 본판을 최대로 끌어올림 화장 전도 예쁘긴한데 후가 진짜 너무 예쁨 헉 비포에프터가 확실하네요 뭔가 기존의 언니 이목구비의 장점을 뿜뿜 살려주는듯한 이런 가벼운 화장법이 요즘 필요했는데 습습언니 오늘도 고마워요하뚜 약간 김지원님 느낌난당 저는 섀도우를 살짝이라도 올리면 티가 확 나버리는데 엉엉 나의 쌩얼메이크업의 길 근데 눈썹메이크업이 정말 유용하네용 저도 꼭 해봐야게쏘요 쌩얼이 되게 구하라분 닮으셨어요 
대한항공 승무원 Q&A (키 연봉 면접 꿀팁 등등) 예승이 보면 이득인 영상 / Double Soup,725563,7500,146,553,2019.4.17,승무원분들 키를 보는 이유가 있습니다정말 선반에 손이 안닿아요대인데 손이 안닿아서 선반에서 뭘 꺼내려고 할때마다 승무원 호출버튼을 눌러야되더라구요 승무원은 당연히 영어를 잘할거라 생각했는데 영어 못하는 사람이 승무원이면 외국인을 어떻게 상대하나요 충격이네 얼굴 몸매 네일보다 영어가 훨씬 중요한거 아닌가 전 여고 나왔고 대학도 여초과였는데 의외로 승무원되고 싶어했던 사람 본적 별로 없는것같아요어렸을때부터 비행기타고 다닐 일이 많았는데 뱅기는 타고있는것만으로도 피곤하고 스트레스받는데 그 좁은곳에서 예쁘지만 불편한 복장에 복장규정도 진짜 까다롭고 서비스업까지 동행해야 한다니 너무 힘들어보였어요진상들도 많은데 대처도 어렵고그래서 승무원들 진짜 대단하다고 느끼고 절대로 못하겠다고 어렸을때부터 생각했죠승무원 젤 부러운건 해외많이 갈수있는게 넘 부러웠네용 와말투보니외모 얼굴 전직 대한한공 승무원 하셨을만하다 인정너무예쁘시네 저도 승무원되고싶고 동경하는 직업이였는데 해외나갈때 오래비행하면서 승무원들 하는일을보고부터는 진짜 생각도 안하는직업이되었어요 빛좋은 개살구인듯 고된직업같다라구요 감정적으로나 체력적으로나 오래일한 승무원분들 대단하심 
