title,view,like,unlike,comment,date,comment_text
미녀게스트와 함께 고강도 운동 =:b까로,1281215,5400,211,1538,2020.4.29,김종국씨 진짜 런닝맨 통해서도 소개팅 하고 나이가 차 가는데 항상 솔로이던 모습에 마음이 아팠는데 제 짝을 찾으셔서 다행이네요 아뭐야 결혼한다는 사람이 딴여자랑 웃고있결레 뭔가했더니 여친이었누 손잡자마자 홍콩간거보소 가짜사나이 퇴교직전 표정인데 형은 진짜 헤어밴드 일주일간 압수야 헤어밴드 벗으니까 세상 잘생겼네 
저는 로이더를 이기지 못했습니다,860859,7300,163,2674,2020.8.5,약쟁이들을 다 없앨 자신은 없습니다만 내추럴들이 더 당당할 수 있는 헬스판을 만들고 싶네요 형이 로이더 보다 삼각근이 작을지언정 삼각팬티는 더 큰거 입을수 있잖아 진짜 복근 모양은 탑인거 같음 복근이 어떻게 저렇게 돼있냐 몸이 예술작품 같음 큰 근육부터 작은 근육까지 연필로 세세하게 그린거같이 생겼네 형이 왜 로이더를 못이겨 이미 정자수로 다 씹어 먹었잖아 인즤옹 
국가대표 윤성빈 크로스핏 실력은 =:b까로,614930,3300,150,1199,2020.5.6,이번에 윤성빈 선수와 거의 주간 운동을 같이 하고 있는데 진짜 진짜 느끼는건 등은 다르다 그냥 격이 다르다 라는 느낌 어느 분야건 등은 정말 달라도 너무 다르다는걸 느꼈고 등 또한 사람이라는걸 느꼈고 같은 피 같은 뼈라는 옆에서 보면서 진짜 많이 배우고 대단함을 느끼는 하루하루임 태어나서 등을 한번도 해본적이 없는 사람으로서 부럽다 진짜가나타났다 역쉬 아이언맨은 아이언맨이다 키로를 가볍게 해버리넹 형은 운동 하다가 무릎을 꿇었네 헤어벤드 잘받았어 실제로보니까 더이쁘더라겅 아니 진짜 내 이상형이야 한체대의 전설이다 
[vlog 하루일과 브이로그] 네추럴의 하루 일과,459239,2700,125,1345,2019.7.14,김종국 잃어버린 동생 몸 진짜 좋네 근육 크기만 큰게 아닌 신체기능까지 갖춘 몸은 이렇습니다 우와 시강파트 이거 헬스장에서 하면 바로 인싸될듯 
[vlog 네추럴 브이로그] 대회 나가서 최고의 병풍이 되었다,446072,2100,63,1357,2019.9.8,약 안쓰고 이몸이면 창피할 거 하나 없다 자랑스러워 해라 저기 다 약쟁이야 네츄럴 대회 나가라 내가 살면서 본 남자몸중에 제일 멋있음 단순히 몸이 엄청 좋고 그런걸 떠나서 그냥 미용적으로도 밸런스가 넘사벽임 저몸이 예탈이라니 진짜 쉽지않습니다 약쟁이를 이길순없지만 내목표이자 내워너비 몸이야 힘내 형 영상을 이제야 봤는데 스포츠모델은 심사기준이 어떻게 되길래 예선탈락이죠 적어도 영상에 나온 무대에선 사람들 중에선 제일 몸이 좋아보이는데 
9년째 사랑 우리 이제 결혼해요 =:b까로,444063,5200,59,1830,2020.4.26,너무 머시쩡 청첩장 가져오십쇼 정말 보기 좋네요 저까지 행복해져요 축하합니다 까로님 부럽읍니다 너무 멋있는 선남선녀 진심으로 축하드립니다 여친 겁내 뽀얗고 작고 소듕하고 요정같은분인데 시커멓고 누리끼리하고 크고 험악한 까로형에게 이형 눈빛이 이중인격자인거처럼 여친앞에선 겁내 스윗해 지네 
가짜사나이2 3화 리뷰 까르가즘 상황 설명 feat 지기tv,408644,4600,141,1039,2020.10.11,까로 좀비 눈 빚 감짝놀랐오 공포영화 출연 해야겠다 냥펀좌 입니다 진짜 다른분들도 열심히 하셨지만 까지기님 인정 합니다 그리고 저도 커플티 주세요 힝 유재석과 김종국의 역대급 리뷰편 너무 고생하시는 거 보고 안쓰러우면서도 둘이 실친 찐텐 케미가 넘나 귀여움 까로님 지기님 번갈아가면서 패들 두개씩 더 들고 동기들 밀어준거 방송에는 안나와서 몰랐는데 더 많은 사람들이 알아줬으면 넘 고생하셨어요 둘다 충분히 힘든상태였는데 마지막에 까로님 거의 혼절한걸 알아서 넘 마음이 아푸뮤 까로 숨쉬는거 보고 진짜 열심히 살아야겠다는 생각이듦 
가짜사나이 2기 체력평가 (쉬는시간 없이 도전),407201,5000,164,2135,2020.8.17,때아 기저귀 입고 보길 잘했다 체력평가 할 때 저를 제외한 사람들은 안전수칙을 잘 따르고 진행 하였습니다 거리 최대한 유지하고 했습니다 남의 말을 귀 기울여 발전하는 까로가 되겠습니다 감사합니다 까로는 진짜사나이라 가짜사나이 못갑니다 논스탑 팔굽혀펴기 윗몸 버피 철봉 스쿼트 사람입니까 이런분들이 나가야 훈련 비슷하게라도 합니다 그런 훈련을 보고싶네요 싶게 포기하지않는 헬창 가짜사나이를요 
[knowhows 까로 가슴운동법] 우리는 오늘 가슴운동을 해야 한다,402964,4500,153,1156,2019.12.18,오늘의 딥스 핵심내용 야이 갯쓰키야 갯쓱키야 개쓱키야 오늘의 푸쉬업 핵심내용 밀때 밀때 밀때밀때 최초공개를 해야 우리 친구들과 내가 소통이 가능하지 내 마음도 모르고 싫어요부터 박아버리는 우리 친구들 그래도 사랑해 오프라인때 보자 진심 몸매야 개취지만 모든 유투버 중에 닮고 싶은 몸 일순위 특유의 에너지 해야하나 그 에너지가 넘 좋으신듯 어깨 근육통 사라질 때쯤 되니 가슴 근육통을 만들어주시는군 
또다른 미녀게스트는 2분을 버틸 수 있을까,397165,2600,47,504,2021.3.10,크로스핏 다신 안해 크로스핏 다신 안햇 마지막 체력 바닥인데 제대로 안찍히니깐 바로 점프 또 하네 운동열정 심폐가 터지는 느낌으로 뛰는게 제맛인데  
