title,view,like,unlike,comment,date,comment_text
초등학생이 호날두킥 가능하다고 김병지 상대로 골넣는 파워초딩,3262313,9800,1100,1215,2019.5.22,와 아니 몇몇친구는 진짜 좀 차는데 미래의철구 이런 목가적인 분위기가 꽁병지의매력인듯 병지형 아버지같은 모습애들의 순수함기분죻게 시청함 초에 저는 당연이 스무스 하게 느쵸 여기에서 자막 켜보셈 스무스 초딩 왼발잡이에 호날두 자세 무릎 세레모니 크 아프리카 축구대회 에이스구만 
핵인싸 여고생 축구실력에 다 놀람 저 남친이랑 맨날 축구해요 | 신길고 런치어택,3134153,13000,894,1971,2019.4.24,레전드 세이브 부러운새끼 여학생 등장 여학생 골 넣고 세리머니 하고 웃는거 너무 이쁘다 어른이 되어서도 저렇게 밝은 웃음을 가질수 있는 우리나라가 되었으면 좋겠다 좀 추는데 
시대를 잘못 타고난 김병지 킥실력 (현재 프로에도 이거 되는 골키퍼 많이 없다고 함),2587863,11000,548,1648,2019.7.22,이제 차기시작함 킥이 저렇게 정확한데 킥으로 한방에 가면 될걸 왜 힘들게 몰고 가시나요 빌드업이 아니라 드리블도 훌륭한 요즘 시대에 가장 적합한 스위퍼형 키펀데 시대를 잘못 타고나 유럽 못간것도 아쉽고 뭐 그러네요 김병지는 년 월드컵대표팀 엔트리중 피지컬 테스트 위하신분입니다 위는 박지성 아니죠 차두리입니다차두리 다음으로 피지컬도 개빠르심 은퇴한지 꽤 지났고 교통사고로 몸도 온전치 않은데 이정도면 현역때는 도대체 
축구국대와 풋살국대가 진심으로 붙으면 누가 이길까 (시작부터 눈호강) | 지구특꽁대 26화,2439697,7900,521,445,2019.6.24,내가 형컴이다 형컴 센스 야 축구장도 초 만에 넘어가 꽁병지 만 축하드립니다 병지형님 머리 공약거셨잖아요 머리 자르러갑시다 병지형 무슨 시작도하기전에 무슨 드리블해도되는지 물어보네 
국가대표 김형범이 조기축구 용병뛴날 (클래스는 영원하다) | 형컴이 간다 1화,2283146,9900,573,946,2019.5.1,참 고민을 많이 했던 컨텐츠입니다 실제로 포기하려고도 했고 다른 방향을 선택하려했는데 이런 관심이 저에게 자심감을 심어주네요 병지형님을 보면서 팬을 대해는 자세를 배우고 민구를 보면서 자신을 낮추는 방법을 알았습니다아직 부족하지만 꽁병지가 대한민국 최고의 축구채널로 거듭날수있도록 늘 겸손하게 노력하겠습니다사실 요세 많이 힘들었는데 너무나 감사드립니다 김형범 선수 실력도 실력이지만 같이해야돼 등의 멘트가 더 감동적으로 느껴지는 영상 보통 운동선수들경우 승부욕이 강해서 잘안플릴경우 혼자서 어떻게해볼려고 하는 독단플레이가 나오는데 팀서폿을 잘해주시면서 승리까지 이끄시는걸보니 감동적입니다 아그리고 영상미 편잡자분 굿입니다축구 경기경우 좌우리와따리하면서 보기 어려웟는데 축구게임보듯 보기편하게 해주셔서 감사합니다 선출이 일반인들과 경기하는데 처음보는 접근법이네요 선출이라고 과시하는모습없이 단 하루 보고안볼수도있는 사람들이지만 본인의 작은 노하우하나하나 진정으로 공유해주려하고 본인이 솔로플레이로 넣는골보다 팀원들과 협력해서 골을 넣는모습유쾌한 영상인데 은근 뭉클하게만드네요 좋아요를 눌러주시면 더 많은 분들이 이 영상을 보실수 있습니다 감사합니다 
김병지도 꼼짝 못한 여고생 킥실력 (정직한 제목 정직한 영상) 덕소고 런치어택,2044998,1000,664,1069,2019.5.20,킥력 실화 썸네일   호오잘차네 
이천수가 평가한 이승우와 이강인(냉정함 주의),1970313,7700,467,1589,2019.1.10,이 채널의 장점은 홍명보 황선홍 말고는 거의 다 놀릴 수 있음 이천수가 평가한 이승우와 이강인은 영상에 항상 자막이 없어서 작게 애기하시는 부분도 있었고 답답했었는데 이영상이후로 볼 기회를 주네요청각장애를 가진 사람으로서 정말 다시 한번 감사합니다 감스트는 너무 축구 수준이 네이버 냄비댓글수준이라서 보면 눈살찌푸려지는데 여기는 진짜 레전드선수들이 얘기하는거라서 정확하고 지식이 풍부해서좋음 근데 이강인은 진짜 천재 급임 최근에 한 국왕컵 본적 잇는 사람은 다 공감 할꺼임 진짜 웬만한 형들보다 뛰어낫음 이건진짜 국뽕이 아니라 현지인들 반응도 그렇다고 함 
물병 걷어찬 이승우를 국대선배들은 어떻게 생각할까한국중국 경기분석,1703110,8700,708,4666,2019.1.17,이승우니까 물병차도 이정도 여론이지 황소찬이 찼으면 아주 여론에서 죽사발 내놨을듯 누가하느냐가 참중요 물병 걷어찬 이승우를 국대선배들은 어떻게 생각할까한국중국 경기분석 이승우그치만 이렇게라도 하지 않으면 벤투짱은 나한테 관심도 없는걸 벤투손나바카나 그럴리가 없잖아 나는 너를 뽑았는걸 요약 그럴수는 있다 그런데 좋지 않은 행동이다 한마디로 요약 하자면 심정은 이해 하나 박수는 못쳐주겠다 
수줍은 봄 소녀의 반전 페널티킥 김병지 당황잼 | 아주대 런치어택,1638427,5600,891,693,2019.4.26,소녀슛에 약하시구나 에어팟 받은 아주대 학생 진짜 축하합니다 이청용 소녀슛이 먹히는 시대가 도래했도다 여자만 주겠다는거네 형님 거리 핸디캡은 이해합니다만 고의로 흘리는 건 좀 아닌거 같네요 아예 남성부 여성부 따로 진행하시지 그러셨습니까 
의정부고랑 풋살하고 왔어요 (18살 터는 40살 송종국 원더골 주의) 지구특꽁대 1화,1572661,4400,415,926,2018.9.22,저희도 신청해도 되나요 안녕하세요 저희는 시각장애인 저시력 축구팀인 팀입니다 전혀 안보이는 것이 아닌 약간 시력의 불편함을 가진 사람저시력들과 일반인들이 모여 풋살이 좋아 매주 토요일마다 올림픽공원안에서 운동을 하고 있어요 매년 열리는 전국장애인체전에 서울대표로 출전하여 순위권작년 금메달에 입상을 하고 있습니다 그렇다고 선수들처럼 잘하는건 아니고요 아무래도 시력의 불편함이 있다보니 풋살을 좋아하는 것만큼만은 선수급입니다 올해도 월 일부터 전북 익산에서 장애인체전이 열리는데 그에 대비해서 토요일마다 구슬땀을 흘리고 있는 팀원들에게 좋은 추억 하나 남기고 싶어서 꽁배틀 신청합니다 풋살을 하는데 장애는 조금 불편할뿐 크게 다르지 않다는 것을 말씀드리고 싶습니다 아 참 평균 연령대는 대 중 후반입니다 꼭 선정되고 싶습니다 송종국 레전드 원맨쇼 부터 종국이형 실력은 우리나라 역대급 풀백이구나 지금 실력이어도 국대뽑혀서 분이후부터 뛰면 개잘할듯 종국행님 가정사빼곤 실력은 진짜 영표행님과더불어 다시는못볼 월클인정입니다 
