title,view,like,unlike,comment,date,comment_text
최애템으로 인생 데일리 메이크업 같이 준비해요 -Get Ready With Me | 다또아,6605194,11000,3000,5280,2017.6.15, 악 와 이거 진짜 리즈 말이 필요없다 지금 이거 보고 있는사람 눌러 또아언니가 다시 돌아왔으면 좋겠는사람 눌러 오늘 화장 진짜 역대급 인거 같아요 진짜 립도 잘 어울리고 머리색도 잘 어울리고 생얼도 그냥 미쳤어요 
[ENG] 로드샵특집1 학생 메이크업 - all drug store No-make up makeup (Student makeup) | 다또아,6251258,93000,1400,2976,2015.4.4,    이언니는 안경벗을때부터 그냥 이쁨 
기초부터 올로드샵 데일리 메이크업 같이 준비해요 - Get Ready With Me | 다또아,5042788,59000,2100,3945,2016.7.15,    기사 봤는데 언니 진짜 예뻐요 언니가 통통하다면 저는 죽어야 됩니다 진짜 언니 얼마나 예쁜데 그사람들이 말을 모나게 해서 그렇죠 너무 예뻐서 질투하는거에요 힘내시고 나쁜 생각은 진짜로 하지 마세요 또아님 소원이에요 살은 빼면 되는거고 화장품 다 쓰면 사요 근데 사람 목숨은 살수가 없는거잖아요 또아님 힘내시고 푹 쉬다 오세요 
2017 최애템 데일리메이크업 같이준비해요 - Get Ready With Me  다또아,3343512,63000,3200,3801,2018.1.10,다또아 인스타로 놀러오세요 안녕하세요 여러분 다또아입니다 썸네일부터 깜짝 놀라셨죵 오늘은 제가 년 한해부터 올해까지 쭉 이어서 잘 쓰고 있는 최애템들을 가지고 한 데일리 메이크업 겟 레디 윗 미를 들고왔습니다 제가 정말 거의 매일 쓰는 저의 최애템들과 영국 귀족 컨셉의 데일리룩이 함께 했던 즐거운 겟레디윗미 영상인데요 즐겁게 시청해주셨으면 좋겠습니다 자막 속 오타 및 맞춤법 관련 문의는 편집자님 메일 으로 메일 부탁드립니다 근데 만에 어울리지 않는다는 얘기 하는 사람들 반응 이해도 가긴감 댓망진창을 읽다가 유튜버 죽순이로서 왜인지 생각을 해봤음 다또아는 블로거 출신 뷰티유튜버로 거의 세대 급이라고보면 됨 세대로 포니 씬님이나 회사원 정도로 오래되고 이름도 거의 엇비슷하게 알림 년쯤에는 국내 뷰티유튜버 이름을 적을 수 있을만큼 적었음 그 전에는 네이버 뷰티 블로거들이 유행하던 때였고 유튜버 자체는 많지 않았음 근데 다또아가 스트레스로 좀 쉬는 년에 정말 뷰티유튜버가 셀수도 없이 많이 늘었고 컨텐츠의 질과 양도 폭발했음 터줏대감 유튜버들은 소속사 생기고 기업형 수준으로 커졌고 영상 컨텐츠 수준도 엄청 올라감 씬님이나 라뮤끄 등등에 심지어 오랫동안 혼자 일해오고 화장 스킬 대비 똥캠 쓰던 이사배조차 편집팀 본격적으로 구성하면서 요새 영상 퀄리티가 엄청 오름 성형 메이크업으로 자리 잡은 다음에 브이로그 영상으로 카테고리 넓히고 있는 레나도 있고 한편으로 민스코나 체스같은 후발주자들 영상 보면 또 엄청 인스타스럽게 감각적이고 그럼 다들 갈래를 잡아가는 거임 그리고 그 사이에 구독자들의 메이크업 수준도 어마어마하게 올라감 전에는 메베랑 선크림 순서 고민했다면 이제는 컨실러 브러쉬 어느 브랜드가 인조모인지 자연모인지에 대해 고민하니까 그런데 다또아는 왔다갔다하며 쉬다왔음 그 사이에 정말 많은 변화가 일어났는데 다또아 본인은 아직 체감을 못한것같음 일단 화장 스킬은 이미 다른 유튜버들에 비해 경쟁력이 있다고 할순 없음 사실 다또아가 과거에 올린영상 보면 입술이랑 렌즈색 빼고 거의 비슷하다는건 누구나 아니까 아마 유튜브판에서 화장 스킬로 안까이는 건 포니랑 이사배 밖에 없을거임 다른 유투버들도 조금만 비슷해도까이고 그래서 다른 유튜버들도 열심히 새로운 컨텐츠를 주기위해 고민하고있음 브이로그 방투어 해외여행 합방 다이어트 식단 운동 루틴 등등 그렇다면 다시 돌아온 다또아는 어땠는가 사실 다또아가 유명해진 컨텐츠는 바로 이 겟레디위드미 시리즈임 회사원에게 식염수팩 영상이 있었다면 다또아는 비포애프터 컨텐츠로 가장 상승함 통통한 얼굴에 입이 약간 아래로 내려가있어서 화장전후가 차이 진짜 많이 남 레나도 꼬막눈이라 비포애프터 차이가 커서 뜬 케이스임 그래서 다또아가 컴백작으로 야심차게 준비한것도 주전공인 비포애프터인것임 근데 사실 이 비포애프터 차이를 극적으로 보여주는 건 이미 너무 트렌드가 지나고 당연해진 컨텐츠임 사람들이 댓글에 편집 대본 화장스킬 기타 등등을 지적하는데 이들을 단순히 악플로 치부하면 안됨 그만큼 다들 백만 구독자들 컨텐츠가 엄청 올라갔음 백만 이번에 찍은 레나나 아직 못찍고있는 라뮤끄 영상 최근꺼 보고와도 영상 수준이 차이가 남 다또아가 말 배속으로 했는데도 분이 나온 룸투어 영상 같은건 정말 기겁할 노릇 너무길어 요즘 트렌드랑 차이가 엄청남 이사배 선미 메이크업 같은 최고 인기컨텐츠도 편집본이 분 내에 끝나는데 하지만 아직도 많은 사람들이 다또아에 대한 애정으로 구독 취소 안누르고 있음 다또아가 개인적으로 지금 힘든 기간 중이고 연습 중인건 구독자중에 정도만 이해할거임 다또아는 유튜브 골드버튼 유튜버로서 더 연구와 노력이 필요한 시점은 맞고 아마 여기서 달라지지 않으면 사람들의 모진소리가 계속되서 본인의 멘탈에 악영향을 끼칠거임 재미로 하는 유튜버의 시대는 너무 지나갔음 강유미가 영수증 나와서 만유튜버 월 조회수익이 만원이라고 밝힌마당에 유튜버른 어떻게 미디어가 아니라 개인공간의 주인이라고만 치부할수있겠음 암튼 공부가 필요한 시점임 다른 유튜버들 컨텐츠도 많이 보고 다들 크리에이터로서 얼마나 고민하는지도 공부하고 경쟁을 하라는 거 아니라 트렌드와 구독자의 기대 수준을 생각해보자는 거임 개인적으로 힘든 시기인데 어떻게 그러냐고 그렇게 안하고 영상이 또올라오면 또다시 악플의 향연이 될거기 때문에 다또아 본인을 위해서도 연구가 필요함 말이 개길어짐 다또아가 보고 어떤 구독자들은 이런 생각을 할수도 있겠구나 싶으면 좋겠음 아마 말을 왜이렇게 못햐세요 라고 한줄 띡 쓰고 사라진 사람들의 속내는 이럴수도 있다는거임 너무 길어져서 나도 지겹다 하지만 아무튼 이러니저러니 해도 다또아의 발전을 응원합니다 한줄 요약 조급하게 생각하지말되 사람들의 높아진 기대 수준을 이해하라 머리갘엘비스프레스린급이네여 영상 너무 재밌어용 다음 영상 올라 올때까지 반복재생할께용 남들은 쌩얼더이뻐보이려하고 안보여주려고하는데 다또아님은 오히려 극대화된 쌩얼을 보여주는데에 망설임이 없으셔서 너무 멋있어용 쌩얼도 너무예쁘고 피부짱 와내가 다또아는 아니지만 밑에 쭉 리플만봐도 정신병 걸릴지경 진짜 보다보다 내가 다 속상하다 별별 말도안되는 악플이 수두룩하네그래도 저같이 응원하는 사람들이 더 많다는걸 기억하고 늘 행복하셨씀 좋겠어요영상 잘보고 갑니다 
-15kg 고도비만 다이어트 | 현실적인 식단  홈트 TIP,2886258,55000,455,1774,2020.11.23,다또아 진짜 대단한점 유툽 시작하고 초반부터 온갖 루머에 고통받고 악플에 고나리에 진짜 고비 많았는데 계속 일어나고 해내는거 이제 진짜 그냥 무조건 응원하고싶음 존나 멋찌다 진짜 너무 멋있다요 다시 일어서려는 크나큰 용기를 가지고 누구보다 열심히 노력해서 좋은 결과를 얻고 극복한 언니가 너무 멋있어요 그동안 버텨줘서 고맙고 이겨내줘서 고마워요 앞으로도 같이 이겨내봐요 사랑해요 언니 이 영상 알고리즘 탔어요 공들여 편집한 보람이 있네 인스타그램도 놀러오세요 많이 물어보시는 정보 추가합니당 애프터 눈바디 속옷 정보 울랄라 플라워잼 브라렛 세트 얼마만에 뺀거임 총 감량기간은 년 개월 그동안은 쭉 요요 반복하다가 건강하게 다이어트한건 개월됨 부터 개월동안은 키로 정도 뺐음 과 이 개월간의 키로 차이 와 도 키로 차이인걸 보면 확실히 활동량을 늘리고 홈트를 해준게 바디 라인에 큰 변화를 가져다줌 가슴사이즈 어떻게 바뀜 월 중순 월 중순 키가 몇임 맨날 이라 속이는 이였는데 스트레칭 하면서 찐 됨 병원 다니면서 키재는 기계로 자주 잼 이게 젤 신기함 더 크고 싶음 언니 진짜 멋있어요 몇년간 언니를 항상 봐오면서 응원하는 구독자에요 항상 힘내시구 행복하셔야되요 
[ENG] 다또아 성형 자퇴 집안에 대하여 | 또아스토리 1탄 | 다또아,2421713,35000,2300,6264,2016.2.6,집 있고 차 있는기왜 욕먹을 만한 일이지나만 이해가 안가나요 도대체 왜 욕하는 거예요 아니 이분은 뷰티영상올리는 단순한 유튜버아닌가요 그런데 왜 개인사생활을 궁금해하는거죠 이분이 자퇴를 하셨든 집안이 잘살든 그게 뷰티영상이랑은 관계가없는거같은데요 와 진짜 이렇게 용기내서 말할수있다는게 대단한듯 이해가 안 가는게 금수저인게또아님이 금수저라는 가정하에 논란이 될만한 일인가 왜 남이 잘 사는 꼴을 못 보는거지 그렇게 배 아프세오 불쌍해이런것들을 다설명해야한다니 
스킨케어부터 패션까지 연말 파티 메이크업 같이준비해요 - Get Ready With Me | 다또아,2335990,24000,723,1392,2015.12.30, 와이때 진짜 레전드로 이뻤네 년에 봐두 레전드 내일 아침 화장할때 같이 보라고 전해라 히히 인트로아웃트로 많이 신경썼고 또 평소 영상들보다 배나 더 길어서 편집할때도 올리기전에도 많이 고민했는데 요런 완전 기초 패션템까지 공유하는 영상이 좋으시다면 꾸준히 만들게용 제가 워낙 말이 많아서 한시간짜리 나올 수 도  
[ENG] 블락비 콘서트 메이크업 같이 준비해요 - GET READY WITH ME | 다또아,1924211,16000,642,1896,2016.4.12, 블락비 팬이신분 손 하잇 여러분 저는 일요일 막콘 스탠딩 구역이였습니다 생각보다 많은 분들을 만나기도 했고 만나뵙기로 하다가 못만난 팬분들도 있어 아쉬웠어요 그리고 헤어 비즈 피스는 붙임머리 전문샵 리얼바비에서 붙인거에요 한 주뒤에 붙임머리 특집으로 단발에서 길어지는과정을 담은 도 가져오려고 하는데 그때 자세한 정보 가져올게용 아무튼 블락비는 사랑입니다 많이 들어주세요 넘나 좋아요 블락비 낙지들 우어어 다또아님도 블락비 팬이셨구나 언니를 정말 존경하고 좋아햇는데 언니영상을 보면볼수록 뭔가 꿀팁을 얻거나 소통을하거나 그런게 아니라 그냥 돌아가는 이뻐지는과정 보고앉아잇는기분이예요 사람마다다르겟지만 저는그냥 좀 더 발전햇으면 하는가치가있겟다 다른유투버분들것도 보면서 좀더 발전하고 완벽해졌으면좋겠어요 항상똑같은 패턴으로 자막에 화장품올리고 화장하고 순서똑같이하고 이런하나의컨텐츠만하는게 요즘뜨는그런 트렌드는아닌거같아요 그렇다고해서 제가 언니한테 트렌드를맞춰라이게아니라 뭔가 언니만의영상이 있었으면좋겠어요 그냥 흔히돌아다니는 메이크업영상이아니라요 개인적인생각이예요 
[ENG] 촉촉한 개강 메이크업 - Back To School Makeup | 다또아,1711325,18000,398,728,2015.8.28,    목소리 깜짝 출연해주신 유준호씨께 감사의 말씀 드립니다 최고 안녕하세요 다또아입니다 오늘은 개강 시즌에 맞춰서 촉촉한 개강 메이크업을 들고왔어용 학생분들은 물론 직장인 사회 초년생 분들에게도 딱 좋은 깔끔촉촉한 메이크업 가을 시즌에 맞춰 촉촉한 립베이스와 간단한 아이 메이크업을 들고왔는데 간단한 팁들도 영상안에 넣었슴당 유용한 정보가 되었길 바래요 
팬밋업 메이크업 같이 준비해요 - GRWM : Fan Meet Up Makeup,1651732,15000,574,1137,2016.5.28,  여러분 많이 기다리셨죠 많이 기다려주신만큼 인스타 이벤트도 들고왔어요 내일 모레 월요일에 나눔 이벤트 오픈할게용 제가 거의 주만에정신을 차리고 돌아왔습니다헤헤 많은 분들이 기다려주시고 응원해주셔서 진짜 감사했다눙 사랑해요 정말 아무튼 오늘 가지고 온 영상은 번째 다또아 팬밋업 하기 전 촬영했던 겟레디윗미 같이 준비해요 영상과 팬밋업 스케치 영상이에요 팬밋업이 주제라서 팬밋업 현장 스케치도 담아보았습니당 찍어놓은 영상도 많고 정말 희귀한 제품들도 많이 구매해서 얼른 보여드리고 싶네요 앞으로도 알찬 영상 많이 들고올게요 항상 고맙고 사랑해요 내싸랑들   
