title,view,like,unlike,comment,date,comment_text
속눈썹고르기부터 속눈썹떼기까지 인조속눈썹붙이기,1031818,11000,213,460,2015.3.28,우리 구독자분들은 다 천사셔모두 감사드려요 이 영상 갑자기 왜 추천 뜬 거지 아기사슴 같아 이 영상 안녕하세요 김다영입니다 모두 잘 지내고 계셨죠 오늘은 그동안 많은분들이 기다려주셨던 인조속눈썹에 대해 다뤄봤어요 인조속눈썹 고르기 속눈썹풀 속눈썹붙이기 속눈썹떼기 속눈썹관리하기까지 유익하셨길 바라요 사용추천제품 아바마트 퍼펙트 프로 아이래쉬 데일리 내추럴 볼륨 원 아이유 홀리돌리 원 앤시글루 블랙 에뛰드 하우스 쪽집게 작년에 이 영상 본 뒤로 속눈썹 붙일때면 항상 이 방법으로 붙이고 있어요 속눈썹 라인 티가 안 나서 좋긴한데 눈건강에는 너무 안 좋은 것 같아요 이렇게 속눈썹 붙이고나서 몇시간 지나면 속눈썹 접착제가 눈 안으로 들어오는 지 항상 눈이 아프네요 아이라인도 점막에 칠하면 눈이 다 잡아 먹잖아요 속눈썹도 점막쪽에 붙이면 눈이풀을다 먹나봐요눈물 눈꺼풀이 안쪽으로 많이 말리는 홑꺼풀들은 속눈썹 밑에 인조속눈썹 붙였다간 눈 다찔려요 
뽀숑뽀숑 복숭아 데일리메이크업,943517,9700,247,543,2016.3.23,이 새벽에 왠지 눈물이 나네요팬으로써 저 때 다영님과 지금의 도담엄마는 같은듯 다른 사람같아 너무 눈물이나요 시루콧토가 저렇게 큰 화장솜이었다니 슬픔 록시땅 광고 포함영상입니다 원래 단하나의 제품이라도 광고가 있으면 영상에서 문구를 띄웠었는데 이번에 제 실수로 못띄웠어요 그래도 제가 써보고 좋은 제품이었기에 광고로 넣은것이니 불편함 없이 그냥 새로운 제품을 보여주는군 이라고 생각해주시면서 편하게 봐주셨으면 좋겠습니다 혹시나 오해하시는 분 계실까봐 미리 댓글 써놓아요 실수해서 죄송합니다 정말 볼때마다 느끼는 거지만 어떻게 얼굴이 저렇게 손만하죠 진짜 얼굴이 손만하다는게 뭔지 알겠음 거영상을 너무자주올려주는거아닙니까 사랑스럽게시리 
파운데이션 바르는 방법 - 자연스러운 피부 광 표현,870896,3900,165,209,2014.11.12,진짜 볼수록 이쁨 모델상 예쁘다기보단 미인이라는 단어가 더 어울리는 다영님 이때가진심개존예젤예쁨 언니 조명때문에 피부 하얗게 나오는 거에요 아니면 언니 원래 피부가 저렇게 흰 거에요 언니 맨날 피부톤이 어둡다고 하시는데 영상보면 항상 뽀샤시 결론 피부가 좋아야한다 
새로운 집에서 아기와 다영 ,856474,4400,266,408,2016.5.22,애기 귀엽다살짝라뮤끄가보임 분부터 남편 분 다리 시강 이사 영상이라 영상길이도 인거엥깨알 다시 보러왔는데 저도 이제 애기낳을때가 됐나봐요 하는말이 새삼스레 들리네요 도담이가 오브리만큼 컸을때는 더 새로운 느낌일 것 같아요 끄앙 헐 아가 너무 예뻐요 라뮤끄닮았어요 아가가 
3월 7일 결혼식 (고프로버젼),804781,8600,164,594,2015.3.13,와 진짜 이뿌세요 저런 딱 핏되는 드레스도 몸매가 좋으셔서 그런지 잘 어울리시고 화장도 진짜 이뿌고 어수선하기보단 진짜 화기애애한 결혼식 같아요 와 이 영상보니깐 저두 결혼하고 싶네요 시어머니가되게 외모가 출중하시네요 넘나 이쁘셔요 예식장은 명동에 위치한 라루체이구요 홀은 르와르홀이에요 저희는 비성수기에 해서 성수기땐 돈내고 해야하는것들 거의 서비스로 다받았고 식비도 주류 다 포함해서 만 천원으로 되게 저렴하게 진행했어요 월 일 예식인데 월 일 월 둘째주 주말까지 비성수기라고 하더라구요 혹시 달라질 수도 있으니 궁금하신 분들은 예식장에서 직접 상담받아보셔요 아 한가지 팁은 성수기때 저녁예식으로하면 여러가지 서비스를 받을 수 있데용 저흰 비성수기에 저녁예식으로 했답니당 시어머니가 되게 유쾌하시고 편하게 대해주시네욬 이 때만 해도 무파사님의 귀여움을 미처 몰랐죠 지금보니 진짜 이 때 다영님이 정말 마르시긴 했군요 요즘 도담이가 이마안큼 큰걸 보고서 이 영상을 다시 보니까 왠지 감회가 새로워요 
Q&A / 쌍꺼풀수술 출산의고통 도담이 본명은 둘째계획 있나요 몇살이에요 산후우울증,779211,11000,262,1032,2018.2.7,근데 도담이채널 질문들이랑 정말 격이너무달렄 이라구요 비율이 진짜 너무좋으셔서 작아야 은 되실줄 알았는데언니 비율진짜 장난아니네요예뻐요너무너무 다영언니는 점점 뭔가 편안한느낌을 뿜어내시는거같애요 옛날에 언니 채널을 구독하고 볼때는 뭔가 새침하고 예쁜언니 느낌이였는데 요즘엔 편안하고 아름다운 느낌이에요 결론은 좋은거같애요 페미니스트는 정말 평범한 사람들이예요 오히려 성차별주의자라는 단어가 더 알려지고 주목해야한다고 생각해요 구독자 애칭 정하지않았으면 좋겠어요개인적으로는 별로더라고요 허허 
ENG) Sultry cat eye look 퇴폐고양이 메이크업,725458,7200,189,390,2015.2.14,언니 이런 쎈 메이크업 자주 해주세요 진짜 취향저격에 걸크러쉬 유튜브 알고리즘이 날 년전 언니에게로 인도했쪄 우왕 스모키 진짜 오랜만이에요 퇴폐적인거 좋아하는데 개인적으로 경리보다 다영님이 더 이쁜거 같아요 경리한건데다무룩 갑자기 이거 알고리즘 떴어요 왜지 
ENG) 태연 I 메이크업 / Taeyeon - I MV inspired makeup tutorial,672167,9000,268,916,2015.11.2,  샤이니 키가 보여요  아이유 챗셔 메이크업이나 그녀는 예뻤다 고준희 메이크업이요 
도담맘의 하루 5 (역대급분량) 예방접종 첫 걸음마 큰 별 달기,655244,1000,109,1161,2018.12.28,다영님이 도담이가 유독 무릎을 좋아한다고 말씀하셨을때 무의식적으로 혹시 무릎이 무파사님 머리와 같아서 좋아하나 이런 생각이 들었는데 넘나 웃긴것 이거보니까 진짜 엄마들은 인내력이 어마어마해야되겠다는걸 느꼈다 도담맘의 하루 옛날거에서 도대미 누워있다가 갑쟈기 부아악 하고 토한거 본 게 엊그제같은데 그땐 잔디머리인형이었는데 어엿한 아기가 되었잔어 도담아 니가 아가중 왕이다 아가왕 언니 이런 분량 너무 사랑해요 진짜 감사하고 사랑합니다스카이캐슬 보기전까지 번보면 딱이겟어요 내일은 번 더볼게요 꺄 엌저도 어렸을 때 무릎 좋아했어요 
상큼쌉싸름 자몽메이크업 ,647708,5900,256,367,2015.5.2,와진짜너무존예보스여서 말이안나올정도다이영상만 몇번돌려보는지 모르겠어요 화장품컷에 칼잌 제 채널의 모든 동영상을 타 매체에 직접 올리는것은 불법행위입니다 타 페이지에 제 영상이 보이신다면 언제든지 신고해주세요 자몽메이크업 안녕하세요 김다영입니다 오렌지보다 더 상큼한 자몽 메이크업이에요 요즘 날씨가 부쩍 더워졌는데 이럴수록 감기조심하시구요 재밌게 봐주셨다면 사용제품 슈에무라 포어레이져 언더 베이스 무스 미미박스김다영 엑쏘블랙 스틱파운데이션 로라메르시에 언더 커버 팟 미샤 펜슬파우더 듀얼 아이브로우 흑갈색 미샤 모던 섀도우 치아바타 더페이스샵 싱글섀도우매트 조이피치 토니모리 백 젤 아이라이너 블랙 베카 비치 틴트 쉬머 셔플 워터멜론문스톤 아리따움 워너비 쿠션틴트 니키타 랑콤 압솔뤼벨루어 쏘레드 올리브영 올리브영아이래쉬 호 메이블린뉴욕 메가 아이즈 볼륨 익스프레스 스머지프루프 랑콤 씰부스터 랑콤 그랑디오즈 메이크업 김고은이랑설리 섞인느낌 언니 영상들이 점점 퀄리티가 높아져요 자몽 껍질 확대한거에서 제 모공인줄땀 
