title,view,like,unlike,comment,date,comment_text
대도서관] 유튜브 크리에이터 '대도서관' 입니다! (BuzzBean),5211932,13000,283,1112,2015.8.18,들 중에서 가장 악플러가 적은대도서관 어째서 다음 추천동영상이 대도서관이 거지가 되었습니다인건데 대도님은 이게 천직인듯 솔직히 한국유튜브에 전성기 시작은 대도가 넘어온 후 전으로 나뉘는듯 사람들이 현재는 조회수 망했다고 하는데 구독자 수에 죄회수는 적지만 게임 풀영상 기본 조회수 만에다가 생방송 아직도 천명 보던데 이게 어찌봐서 망한거임 보니깐 최근에는 공중파에 나가서 트롯 부르더만 이게 망한 사람임 난 이렇게 성공한 사람들 보면 진짜 대단하다고 생각하는데 
근성테스트] 대도서관 실황 - 강아지를 쏘지 마세요! 마우스를 움직이지 마세요!,3669409,22000,1100,1635,2013.8.7,아닊이렇게노잼에지루한게임도 보는내내 즐거울수가대도님최고 음악도없는게임주제에 대도서관님은 욕을 안해서 좋아요 와이게 년전꺼였어엊그제 였던거 같은데 년에 온사람손 
대도서관] 윰댕님의 손길 한번에 대깜놀한 사연은? (키친 VR 실황 中),3305517,19000,397,923,2016.10.24,뒤에 보라고 이자식아 라고 하시면서 정작 본인 뒤는 못보심 마지막 말에서 한번더 터졌네요 진짜 같답니다 이 영상을 안본사람은 있어도 한번만 본사람은 없을것이다 앜진짜 이거 생방 때 미친듯이 웃었는데 다시 봐도 너무 웃기당 윰댕님 웃는거봨 놀래키면서 만족한 표정 
"대도서관, 윰댕] ""대댕커플""의 레알 첫만남 (뚜레쥬르 스노우러빙)",2738837,2000,544,3232,2015.6.11,다시보면서 찾은건데 대도님 에스프레소 부으시면서 손떠시네요 부들부들 떠시는게 보이네 이 시려요 누나 성지순례왔습니닼이건 앞부분부터 너무웃겨욬 대도서관님 행동이 귀여워요 첨에 구르는거 취양저격이네 개웃겨 
대도서관] 60초 반전의 연속! 레전드 생존기! (하드모드) / 핵전쟁에서 살아남기 생존 게임 (60 Seconds!),2571594,24000,1200,1253,2017.3.20,생방으로 봤을때 리겜을 얼마나했더라 표정변화 좀 보세요 여러분 빡종안하신게 레전드를 만드셨네욬보면서 많이 웃었습니다 우와 저게 남혐으로 보이나봐 이 게임이 원래 실력도 있지만 운이 많이 따라줘서 가족 전체를 골고루 탐험 보내도 한명만 살 수도 있고 전체 살 수도 있고 생존 인원이 전부 똑같을 수가 없는건데 억지 오지네 엄마만 탐험보내거나 아들만 탐험 보내는 사람들도 많은데 한번 잘 주워오면 믿음이 가니까 이정도면 탐험 골고루 잘 보낸거예요앞에서도 메리제인이 전화 받으러갔고 돌로리스도 탐험갔고 티미가 납치당한 이유는 멘탈 회복을 위해서 잠시 나가게 해줬다가 결국 저렇게 된 건데 앞뒤 다 짤라먹고 그냥 여자만 살았으니 남혐이라니 방송 끝까지 봤으면서 저러냐 채팅창에서 제발 매너들좀 지켯으면좋겟다 대도님 게임은좋은데 채팅창때매 눈살찌뿌려지네 
마인크래프트] 왕초보 대도서관 생존기 1화,2562488,14000,784,4648,2012.7.29,내가 처음으로본 마크방송 가끔씩은 이때가 너무 그리워요 초딩때 본걸 지금 봤을때 그땐 목소리가 젊으셨구나 저 드립이 그런 뜻이였구나 마크가 지금 완전 바뀌었구나 브금은 지금 별로 안트시구나 예나 지금이나 대도님은 재밌으시구나 내가벌써 나이가 년에 보는 사람 손 진짜 추억이네 이걸 내가 육학년때 봤었는뎈 
대도서관VS윰댕] 1:1 오버워치로 부부싸움 1화 (Overwatch),2220507,8300,662,1656,2016.8.10,대도님자기가원하는거하자 윰댕님리퍼 대도님리퍼는좀그렇고 한조하자 언행불일치의정의 너무 귀여운 싸움이잖아 관전자 제발제발 조용히좀행동 하나하나를 다 해설하시네 대도님 로드호구 관전자새끼들 채팅으로 웃길려고 별개소리를다하내 
라스트 오브 어스] 대도서관 생존게임 실황 1화 - 올해 최고의 게임을 만나보세요!,2154706,9600,827,1592,2013.7.2,년 있나 말로만 듣다가 드디어 정주행시작이다 오늘 친구하는거보고 스토리 보러옴 년 있을까 대도님 방송은 조용하면 불안해요 더빙안해주시면 무슨 맛으로 보라구 대도 방송은 더빙 해주는 맛에 보는건데 뭔솔 더빙 안 하는 방송도 많더만 취향 안 맞으면 그거 보던가 굳이 싫은 걸 억지로 보는 그 심리가 이해가 안 감 라오어 한 유투버가 대도만 있는 것도 아니고 그냥 자기 입맛에 맞는 거 보면 되지 댓글창 어지럽히고 
약빨고 만든 게임] 대도서관 실황 - 우리 야옹이에겐 장애가 있어요!,1968715,12000,394,1072,2013.3.22,이 영상 보고 입덕 당한 사람 많을 듯 천생 인생 게임 방송 천재 키를 누르면 이렇게 재시작할 수 다시 재시작할 수 재시작할 수 있어요 년에 보고있는분도 있으시려나 옛날에 이거보다가 웃겨서 토할뻔 배땡기고 난리도아니였는뎈하도많이봐서 이젠 안웃김 
라디에이터2] 대도서관이 은퇴할 뻔한 게임 (radiator2),1907644,15000,394,1125,2016.6.21,무릎 꿇으실때 관절에서 빡 소리나는거 듣고 오열함 대도님맨날 자기가당황했으면서 우리보고 당황하지말랰 아 대국민사과가 더웃곀 평가가 좋은이유가 나만 당할순없지 랰 이렇게 대단한 게임을 소개해주신 분에게 뭐하는거에요 빨리 단두대로 모시지 않고 
