title,view,like,unlike,comment,date,comment_text
[FULL버전] 얼굴이 작아지는 5분 마사지 실시간 비포/애프터 FACE MASSAGE INSTANT EFFECT,1101256,3000,133,781,2018.5.6,저 이거 매일아침마다한지 한 한달정도 되어가고있는데요 효과진짜 대박 며칠만에 만나는 사람마다 다 살빠졌냐고 물어봤어요 진짜 레알 근데 부작용이 있다면 이걸믿고 처묵처묵 한다는것이죰 무튼 데이지님 진짜 정말 감사합니다 얼굴형 스트레스 오졌는데 림프절 순환이 안되는거였나봐요 진짜짱이에요 와 대박 년 상반기쯤에 이거 댓글남기고 잊고살았는데 좋아요랑 댓글 엄청 많네여 저 아직도 마사지해요 년 넘었는데 이제는 습관처럼 하구요 귀찮은날에는 저녁에만하고 중요한날에는 아침저녁 다 해줘요 이젠 다 외워서 안보고 그냥 슥슥 확실한건 턱쪽에 살이 예전만큼 붙지는 않아요 효과진짜 있고 알바도 아님요 아침에 실제로 일어나자마자 찍어서 시작 얼굴이 많이 부었다는 점 참고부탁드려요 지혜롭고 아름다운 우리 구독자 여러분요청을 정말 많이 주셔서 제가 풀버전 드디어 가지고 왔답니다 조금 더 천천히 보시면서 따라하실 수 있을 것 같아요 이 마사지를 매일 하다보니첫 영상 비포애프터보다 훨씬 시작얼굴형도 많이 갸름해진 걸 확인하실 수 있을 거에요 많은 분들이 효과 보고 계시다고 말씀주셔서 저도 정말 뿌듯하고 앞으로도 유익한 영상 많이 가져오도록 할게요그러면 우린 다음 주에 또 만나요 초유지 번반복 회 반복 번씩 번 번씩 누르기 번 번 반복 초간 유지 번 반복 일부터 마사지 꾸준하게 했는데 이 마사지만큼 효과 확실한거 못 봤어요 첫날 따라할 때 에이 얼마나 효과 있겠어 하고 왼쪽을 살살 했는데 육안으로도 차이가 느껴질만큼 왼쪽 오른쪽이 다르더라구요 너무 놀라서 사진 찍어놓고 친구들한테도 보여주니 왼쪽 오른쪽이 아예 다르다는 소리를 들었습니다 저는 얼굴 살이 되게 통실하고 얼굴이 자형이여서 엄청 사진빨이 안 받았었어요 근데 지금 얼굴이 다이어트 엄청 했을 때보다 더 갸름하고 이뻐요 어제 셀카 찍는데 얼굴이 너무 갸름해서 또 놀랐네요 얼굴 살이 갸름해지는데 이게 흐들흐들하게 약간 가죽남게 빠지는게 아니라 뼈에 착 붙어서 갸름해지는거라 되게 피부도 탱글해보여요 이 마사지 꼭 하세요 여러분 진심 온갖 마사지 제패했는데 이것만큼 피부 자극 안 가고 효과 확실한 마사지 못 봤어요 진짜하고나니까 얼굴이 시원한기분이 들어요넘좋아요 단지 제엄지손가락이 쥐가날것만같은점만 빼고는넘좋아요 
하체비만필독 허벅지살 빼는 현실조언 3가지 Tips for thigh workout | Daisy,1052080,16000,665,629,2017.6.4,솔직히 진짜 양심이 없다 년 넘게 먹은 것을 개월만에 빼려고 하다니 난 진짜 양심이 없다 데이지님 좋은 영상 감사합니다 썸네일 정은지 닮앗따 신의 영역이라고 불리는 종아리는 어찌해야하나요 거의 축구 선수 급인데 오늘은 하체비만으로 고민이신 분들이다이어트하면서 가장 흔히 일어나는 문제나 생기는 편견들을 가지 뽑아 소개해보았어요 무작정 운동을 시작해서 금방 지쳐버리거나 근육운동에 대한 잘못된 인식 때문에 노력해도 효과를 보지 못하시는 분들이 많아서 안타까워요선천적으로 마른다리체형을 가진 분들과 달리 하체통통족들은 웬만한 식이요법이나 운동만으로는 짧은시간에 다리라인개선이 잘 되지 않아 더 답답하시죠 저도 반년은 족히 고생하고 나서야 바디라인이요요없이 유지되었고 요즘도 항상 눈바디로 거울을 보며 제 바디라인 특히 허벅지 라인을 체크하면서 운동을 한답니다 과도한 다이어트나현실에 맞지 않는 바디목표는건강에 좋지 않지만 우리 스스로의 행복을 위해서 적당한 자기관리를 하는 것은 좋은 일이라고생각해요 만약 여기에 해당되지 않더라도 이번 영상에서 다시 멘탈을 다잡을 수 있는 시간이 되었으면 좋겠습니다 휴가철도 얼마 남지 않았는데 여러분 모두 화이팅이에용 진짜 공감이가네요진짜 다이어트는 평생해야하는거같아요 살빼는것만이아니라 건강을위해서라두 
[eng/jp]수술없이 5분 콧볼축소 & 콧날개 마사지 (비포&애프터 포함) 5 Minute Nose Massage Tips,1027810,41000,159,3544,2019.8.3,그냥 손가락 운동하신다는 생각으로 한번만 눌러주세요 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 일차완 전사진이랑 비교해보면 진짜 콧볼도 좁아지구 콧대도 훨씬 날렵해졌어요 일차완 일차완 폰압이라 많이 늦었네요 일차완 일차완 일차완 일차완 일차완 일차 시작합니다 맨날하게 좋아요 눌러주세용 완료 아직 효과 나타나지 않음 완료 완료 완료 완료 완료 아직도 눈에 보이는 효과는 나타나지 않음 완료 완료 완료 완료 완료 전에 코사진이랑 비교해보니까 진짜 제가볼땐 변화없는줄알았는데 진짜 조금씩 줄어드는게 보이네요 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 제가 원래 옛날에 콧구멍이 납작했는데 옛날사진이랑 비교해보면 콧구멍이 점점 동글동글해진달까요 점점 콧구멍모양도 개선되는것같아요 앞으론 열심히 하겠습니다 모두 열심히해요 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 콧날이 샤프해지고 콧망울이 점점 줄어드는게 보여서 행복합니다 완료 완료 완료 완료 완료 완료 완료 오늘은 어버이날이에요 지금 우리를 여기 있게 해주신 부모님께 사랑한다는 말을 전해보는게 어떨까요 완료 완료 완료 완료 완료 완료 완료 완료 코 넓이가 점점 자리를 잡고있는것 같아요 너무 큰 변화는 아니지만 열심히 노력하는 만큼 결과도 따라 오는것 같아요 모두들 열심히하고 내일도 좋은하루 보내세요 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 완료 시험기간이라서쉬엇는데 매일 하고 있어요 학교가면 친구들이 자기도 몰랐는데 졸업사진이랑 비교하니까 왜 이렇게 콧볼 좁아졋냐고 말하더라구요 여러분들도 화이팅해욤전 시험 열심히 치고 돌아오겠습니당 아 나 너무 어릴때 코 파면서 코 벌렁거리는 거 친구들한테 자랑하고 다니느라 코 넓어짐 아 웃을때 진심 입만해 코가 일차 화이팅 안까먹게 댓 달아주세요 외우기가 꽤 어려워서 지나가실때 좋아요나 댓글 한번씩만 부탁드려욤 모두 도와주셔서 감사해요 이거 너무 과하게는 말구 스킨바르거나할때 한번씩 해주면 좋을것 같아요 시작 첫 번째 마사지 회 내외 두 번째 마사지 회 세 번째 마사지 네 번째 마사지 
[eng]인상을 바꾸는 안면 비대칭 개선 마사지 팁 5 Minute Massage for Symmetrical Face,982347,43000,128,783,2018.11.10,이거 진짜 비대칭 갖고 계신분들 꼭 꾸준히 실천해보셨으면 좋겠어요 진짜 제가 이 마사지하고 효과를 너므 크게 봐서 꼭 추천드려요 제가 안면비대칭이 좀 심한편이고 얼굴전체적으로 한쪽으로 치우친형태에서 턱비대칭이 유독 심한편이라 증명사진을 찍거나 휴대폰 일반카메라로 찍으면 너무 적나라하게 나와 진짜 항상 너무 스트레스였고 비대칭때문에 셀카는 물론 친구들과 사진도 찍지 않으려고하고 증명사진이 필요해 찍으러 가야할때마다 비대칭때문에 정말 스트레스 받던 사람중 한명인데요 그래서 정말 병원에 가서 치료를 받아야하나 생각을 할정도 였어요 근데 데이지님 마사지를 보고 혹시나 하는 마음에 한달 정도 꾸준히 하면서 마사지를 끝낼때마다 일반카메라로 제얼굴을 찍어가며 저의 비대칭 변화를 확인했는데요 꾸준히 한 결과 한쪽으로 치우치고 커져있던 턱이 반대쪽과 거의 일치할정도로 맞아졌습니다 물론 코같은건 비대칭이 고쳐진건지 확실히 변화가 보이진 않았지만 턱이 정말 많이 개선됬더라고요 오늘 찍어보자마자 너무 놀라워서 바로 후기 남기는 거랍니다 저는 데이지님이 하신것을 조금 변형해서 했는데요 입꼬리는 양쪽 번하고 더 내려가있는쪽을 번 더해주는 방식으로 하였고 나머지 마사지는 한쪽으로 치우쳐있는 부분만 마사지 번 번씩 해주고 한쪽은 아예 하지 않았답니다 양쪽을 같이한다음 치우쳐있는부분을 더 해주는 방식으로 하면 저는 교정이 잘 안된다는 느낌을 받아서 저에게 맞는 방법으로 고쳐서 해봤답니다 꼭 저와같은 비대칭 있으신 분들 해보셨으면 좋겠습니다 이 유튜버분은 그래도 비대칭이 많이 심한 편은 아니시네요 비대칭이 많이 심하신 분들은 이러한 얼굴 마사지 보다는 몸 전체의 균형을 찾아주는 스트레칭이나 운동 자세교정을 하시는게 더 도움이 되실거예요 골반과 척추가 틀어지고 휘면서 몸 전체의 균형이 어긋나 그것이 얼굴 비대칭까지 이어지는 것이거든용 지금 이 영상을 보는 중에도 자세가 틀어진 상태는 아닌지 점검해보세요 마사지 시작 매일 오셔서 마사지 따라하실 수 있도록 마사지구간 시작점 남겨드려요정말 오랫동안 많은 분들께서 요청주신 만큼최대한 쉽게 하실 수 있는 간단한 방법들로 구성을 해봤어요 저도 요즘 마사지 하면서제일 좋은 점은모임에서 사람들이랑사진찍을 때 내가 포샵할 수 없을 때 훨씬 웃을 때나 표정지을 때 스스로 자신감이 생겼다는 점 또사회생활하면서비대칭때문에 스트레스 받는다고 해주셨던 분들께도 조금이나마 도움이 되셨으면 하는 마음으로열심히준비해보았어요 그럼 행복한 주말보내시고 우리는 다음 주에살까말까로 돌아오도록 하겠습니다 언니 옆광대 관자놀이 줄이는 거 제발 알려주세요 언니 유튜브는 돈내고 봐야하는거 아닌가요 거의 구원해주시는데 
즉시효과 얼굴(광대)라인을 매끈하게 만드는 5분 리프팅 마사지팁 Face Line 5 Minute Massage,887882,32000,162,702,2018.7.5,언니 눈 옆 관자놀이 옆광대 면적 줄이는 법 알랴주세요 데이지님 광대 마사지같은건 없을가요 제가 광대때문에 얼굴이너무 넙대대 해보여서요 시작 긴 얼굴 줄이는 마사지 없을까요 중안부와 턱 라인이요  
[eng]60만원짜리 고데기 다이슨 에어랩을 써보았다 Dyson Airwrap Honest Review *Not Sponsored*,764193,5300,426,307,2018.10.27,가격자체가 넘나 큰 단점 마지막에 여러분의 돈이 여러분이 온전히 원하는 걸 얻은 데에 쓰이길 바란다는 말이 넘 좋 다이슨 청소기 쓰고 있는데 다이슨이 품질에 비해서 가격을 높게 책정하고 있다는 느낌을 지울수가 없어요 뭔가 비싼거는 좋을것이다라는 사람들 심리를 이용해먹는 느낌이에요 청정기 효과도 있다는 선풍기도 가격에 비해서 영 아니올시다거든요 만나는 시간이 항상 따뜻한 우리 구독자 여러분 데이지에요 오늘은전세계적으로 큰 화제가 되고 있는 다이슨 에어랩 리뷰를 가지고 왔습니다 세상에 제가 만원이 넘는 헤어제품을 사볼 줄은 태어나서 상상도 못해봤답니다짧은 기간이지만 써보면서 느꼈던 점을 최대한 솔직하게 전달해보려고 노력했는데 참고가 되셨으면 좋겠어요 그럼 우리는 다음 주에로드샵활용도 갑 스킨케어 제품 추천 영상으로 만나요 크 어떻게 이렇게 고급스러운 표현이 가능하신지 수필이나 에세이 쓰셔도 좋을만큼 어휘의 사용을 잘하시는 것같아요 문과충의 진한 감동 
[다이어트]데이지도 감탄한 모델다리 운동 2가지 Photoshoot Ready Leg Easy Workout  Miss Daisy,736456,16000,127,549,2016.11.3,언니 저좋아하는 남자애한테 고백했는데 차였어요코끼리 다리라고그래서 이운동 열심히해서 코납작하게 해줄꺼에요언니 답장 받고 싶어요 날씬하니까 이렇게 개웃긴 자세도 우아함 살빼야쥐 지금까지 언니영상보고 혼자 운동했는데 특히 허벅지 운동해서 진짜 많이 빠지고 라인도 예뻐졌어요 데이지 만세 여러분 이거 하면 진짜 대박이구요 번째꺼 하고 나면 허벅지 종아리 주물러 주셔야 효과가 아주그냥 이거 꼭 햐보세요 저눈 진쩌 하체 비만이였는데 이제는 벙상 입니다 언니 승마살 빠지는법 가리켜주세요 승마살 너무스트레스에요 
[eng/jp]내가 가장 후회하는 혹은 기억에 남은 잠자리들에 대하여,725597,7600,214,684,2020.4.18,남편이 보면 어떡하지 걱정하면서 봤는데 남편이었다 정말 멋져요 여성의 성에대한 이야기는 터부시되곤 하는데 수많은 악플에도 불구하고 자신이 옳다고 생각하는 것을 추친해나가는 데이지님에게 뜨거운 박수와 응원을 보냅니다 다음세대들한테 건강한 지식살아있는 조언이 되기에 충분하겠어요 데이지님 화이팅 악플은 당신을 결코 상처입힐 수없어 저는 어렸을때 아버지랑 잠자리채들고 잠자리잡으러 다니던게 가장기억에남네요 화해 잠자리 진짜 비참해요정말 기억에 남은 상처입니다 저도 이날을 계기로 화해의 의미는 몸으로 화해하기보단 말로 정신적으로 화해를 하는게 제일 중요한걸 깨달았죠 헐 현남편분 콘돔 뭘좋아할지 몰라서 이것저것 다 사와봤대 대박 다정해 대박 설레 최고야 
[eng/jp]성병검사를 받았습니다 검사결과와 처방받은 약에 대하여 STD Testing Experience & Result,691508,7200,127,645,2020.6.13,저는 대 후반 미혼여성인데 압구정동 유명한 여성외과에서 검사중 남자친구는 있으나 성관계는 안한지 오래라고 답하자 여성원장님께서 그럼 다른사람이랑 이런 반말웃음어이없는 대응을 하셔서 거의 트라우마 수준으로 충격을 받았습니다 진지하게 성관계 여부에 대해 확인하는게 아니었고 그야말로 불필요한 성희롱수준의 농담투였습니다 다리를 벌린 자세로 검사중이었기에 제대로 대응하지도 못하고 이후 하시는 말씀에 대해 그저 네네하고 나온게 속상합니다 검사 결과를 들으러 또 가야하는데 녹음이라도 해야겠어요 의사라는 위치가 환자에 대해 일정 권력을 가지고 있다는걸 알고 막말하는 그런 분은 자격이 없는것 같아요 이런 분이 친언니라면 너무 행복할 것 같아 산부인과 비용 너무 비쌈진심자주가고싶어도 너무 부담됨 그래도 올해부터는 초음파가 보험적용되지만 그래도 비쌈 이유가뭔지 알고싶음 저 남친과 서로 첫경험이었고 한창 바쁘고 컨디션 안좋아지면서 처음으로 질염이 심해져 병원 검사 받았는데 딱 언급하신 두가지 상재균이 발견됐는데 상재균이란 언급은 전혀 안해주시고 성병이라고만 말씀해주셔서 저 완전 멘붕 왔었어요 괜히 남자친구 의심하게되고 저 항생제도 한달먹구요 하루라도 빼먹으면 재발한다고 엄청 겁주셔서 얼마나 무서웠던지 진짜 지금 생각해도 화나요 필독 여성의 지병 및 임신여부에 따라 성병균의 위험도나 처방이 크게 달라질 수 있다고 해요 그러니 무작정 두려워하시거나 혹은 대수롭지 않게 여기기 보다는 정기적으로 병원에 가셔서 전문가에게 개인의 몸상태에 맞는 진단과 처방을 받으시기를 바랍니다 이번 영상을 통해 여러분이 성병검사를 받으실 때 필요한 과정 그리고 결과지에 대한 이해하시는 데 도움이 되시길 바라요 요즘은 보험이 되기 때문에 자궁초음파나 질염 및 성병검사 비용부담이 과거에 비해 많이 줄어들었는데요 병원홍보 이슈 때문에 가격은 기재하지 않는 점 양해 부탁드립니다 그럼 모두 행복하고 건강한 주말 되세요 
즉시효과 긴 얼굴 짧아보이는 5분 마사지(실시간 비포/애프터),625016,22000,65,571,2019.2.14,미쳤다 진짜얼굴형 작아지는 마사지 그것도 인생마사지인데진심 한 번 효과 느끼면 절대 죽어도 못 벗어나는게 데이지님 마사지임 아 인생 너무 피곤하다 냅두자니 거울 볼때마다 스트레스 받고 의학의 힘 빌리자니 부담스럽고 혼자 케어하려니 집와서 개피곤한데 이 영상 저 영상 꾸역꾸역 따라하다보면 한시간 훌떡 간다 아 인생 귀 뒤 턱라인 올리며 마사지 회 정도 턱 도 미소 초이상 머리 뒤쪽 귀 뒤 움푹 패인곳두피 튕기며 마사지 회 이상 귀 테두리 마사지 회 이상  년전 데이지님 얼굴형이나 인상과 정말 많이 달라지셨네요 저도 광대와 볼쪽살이 없는게 고민인데요 데이지님은 현재 광대도 전혀 두드러짐없이 매끈한 얼굴형이 되셨네요 지방이식도 생각햇는데 마사지로 꾸준히 하면 정말 얼굴살이 차오르고 얼굴이좀 짧아질까요 의술의도움이 없이 지금얼굴은 셀프마사지로 만드셨나요 매일 마사지 하시는지도 궁금해요 
