title,view,like,unlike,comment,date,comment_text
[배틀그라운드] 뜨뜨뜨뜨(DDDD) - 『솔쿼드 35킬 우승』 최다킬 기록 갱신! CPU를 바꾸고 인텔했습니다.,4532016,25000,2400,2645,2018.3.21,명 다 만나기도 힘든데 천천히 빨리하자 한국인만이 이해 가능한 말이다  뜨뜨는 잘하는걸 떠나서 너무 멋잇게게임해 진짜 진짜 내가 저렇게 당하면 핵인줄 알고 신고하겠다 
"아프리카 멸망전,대회 출전 비제이 핵사용으로 인한 영정사건 [배틀그라운드]",3502641,21000,1000,6894,2019.12.18,나도 핵 의심 받고 싶다 생방송 도중 대회 내 핵 사용자 관련 이슈에 관해 전해 듣게 되고 의심 영상들을 하나씩 보며 이야기 하던 도중 내이름은소망 이라는 사건 당사자 분이 직접오셔서 본인은 정말 억울하기 때문에 현재 문제가 되고 있는 장면들을 보며 직접 해명하시겠다고 와주셨습니다 현재 아프리카 멸망전 등의 대회에 활발히 참여 해주시고 계신 이시고 동시에 핵 사용으로 인해 영구정지 기록이 있는 유저 입니다 현재 이 영구정지 건에 대해서는 제가 펍쥐측에 따로 무고밴 가능성이 있는지에 대해 다시한번 여쭈어 본 상태이고 영구정지 건에 대해 펍쥐측의 다시 한번 제대로된 견해를 전달 받게 된다면 여러분들께 공유 드릴 수 있도록 하겠습니다 에 계단에 사람이 보임 이분 정지 먹었습니다 브스스님이 불법프로그램 확인하고 제재하셧습니다 사기꾼 드러가잇  
[배틀그라운드] 뜨뜨뜨뜨(DDDD) - 『솔큐』 하늘에서 보급 상자가 계속 떨어집니다. 블루홀 운영자님이 주시는 선물인가요!?,3428876,19000,1400,2509,2017.11.16,테스트 서버에서 진행된 게임입니다 재미있게 시청해주시고 좋아요와 구독 해주시면 넘모 넘모 감사하겠습니다 이형 지진났을때 웃음기 싹 빼고 트수들 걱정해주는거 존나 스윗하네 루다가 넘모 멋지자너 어떤 는 지진 나서 노래 틀고 놀았다는데 뜨님 인성 확인하는 순간이었네요 포항분들 힘내시고 수험생분들도 페이스 조절하시길 이형은 장난칠땐 장난치고 진지할때는 진짜 진지하네 난이런사람이멋지드라 누구는 지진난 기념으로 별풍 쏘라했다가 매장당했고 누구는 진심으로 시청자부터 걱정하네 크으 
"단언컨대, 올타임 레전드 게임 [배틀그라운드]",3289626,28000,1400,2029,2019.8.1,리플돌려보니까 마지막 스쿼드 명다 핵인거 쌉소름 근데 명다 핵쓰고 각벌리고 자기장까지 핵쟁이한테 줬는데 진것도 으메이징 에임핵은 그렇게 신기하지 않는데 기절하고 기어갈때 놀랐다 오면살려를 뛰어넘는 갈게살려 핵 인스쿼드도 잡아버리는 돈지컬 짱아핵 
"트위치코리아의 갑질과, 내부고발자의 폭로로 드러난 영구정지 사건의 소름돋는 내막",2862139,64000,2000,9163,2020.4.3,안녕하세요 뜨뜨뜨뜨님 저희는 변호사 채널을 운영하고 있는 로이어프렌즈 라고 하는데요 이번 사건에 대해 사안이 심각하다고 생각되어 혹시나 뜨뜨뜨뜨님만 괜찮으시다면 법적인 도움을 좀 드리고 싶습니다 연락드릴 방법을 몰라 일단 저희 메일 주소를 남겨드리고 으로 메일 한 번만 부탁드리겠습니다 안녕하세요 경향게임즈 김수안 기자입니다 혹시 인터뷰 할게있어서 그런데 이메일 응답해주신다면 감사하겠습니다 여기서 나오는 양은 흐앙이라는 스트리머입니다 근데 아몰랑시전하면서 잠수타면 결국엔 잠잠해져서 쟤네한데 유리해진다는걸 쟤네는 너무 잘알고있음 그게 개빡치는거임 쟤네라고 말한거 둘다 트코를말한거임 거의 이태원클라쓴데 개인이 한 기업을 이기려고 열심히 싸우네 나쁜놈들 뜨뜨형 어째든 화이팅 힘내세요 
배그 대회에서 역대급 캐리를 2번이나?? (지스타 배그 멸망전) - [배틀그라운드],2713849,19000,562,2787,2018.11.16,홀수 공포증 있어요 홀수면 짝수로 바꿔주세요 이러면 관심 받겠다 킥킥 하하하사 뜨뜨 프로해도된다 좋아요 슈기 키 작아서 안기는거 웃김 뜨뜨형 머리 정리하고 오니까 개존잘 화음 무엇 
트위치 코리아의 부패와 영구정지 사태에 대한 진실,2711401,64000,2200,7318,2019.5.25,레딧에서 저희의 입장을 정리한 글과 영상 입니다 네이버 검색 등 많은 분들에게 알려지도록 도와주세요 간절히 부탁 드립니다 본 영상에 대한 영어 자막은 최대한 퀄리티 있게 제대로 전달될 수 있도록 제작 중에 있습니다 도움을 주시려고 연락해주신 모든 분들 정말 감사합니다 그동안 기다려주셔서 감사합니다 미친 이게 점점 묻히고 있는게 짜증난다 씨발 사람명을 년동안 처고생시키네 
치킨 먹으면 32인치 모니터 주는 미친 피시방 찾아가봤습니다 [배틀그라운드],2305767,24000,562,3163,2020.1.21,방구석에서 게임하는 사람의 얼굴이 아냐 도련님 서민체험 그만하시고 어서 저택으로 들어 가시죠 머리피부옷 다 흰색이라 혼자 천사같아 세상 많이 좋아졌네 얼굴캠이랑 게임 영상이랑 따로 녹화를 해서 싱크가 살짝 안맞습니다 피방에서 함으로써 핵 의혹은 말끔히 벗어 던짐 피방은 핵을 못 쓴다는 게 아니라 네임드 스트리머가 미쳐가지고 피방까지 가서 대놓고 보는 눈 존내 많은데 핵 깔아서 킬 할 것 같나요 
[배틀그라운드] 뜨뜨뜨뜨(QUAD) - 솔로 15킬 우승! 친구야 길리슈트 고맙다! 잘 입을께~,2258011,7400,628,813,2017.9.12,그렇게 길리슈트와 배율은 아무의미가 없었다 진짜 개잘쏘네 살벌하다 기만자같으니 길리입고 존버를 뚫지않나 찾아가서 죽이질않나 마지막 나야 저거미친놈처럼 차타고 오더니 샷건스무스하게 맞췄는데 안죽어서 존나빡쳤는데 뜨뜨였어 존나신기하다 길리얻 
숨만셔도 1초에 500원 존버의 끝 보여드립니다 - [배틀그라운드],2179654,15000,887,572,2019.5.18,초당 원 개 깜짝 놀랐네 멈춰보셈 그렇게 웃으시면 너무 존버 하는곳이 화장실인데 가 있음 
