title,view,like,unlike,comment,date,comment_text
현실에서 웹툰 여주 화장법을 똑같이 따라한다면 + 이벤트,3161905,55000,2900,2163,2019.2.23,     
[오레오씬즈1] 고생했어요고3끝 대변신 메이크오버 (feat실패없는 올로드샵),2242798,53000,670,4425,2018.12.14,남자들은 어떨지 모르겠지만 여자들은 저분 쌩얼에 안경쓴 모습만 봐도 화장하면 대박날 상이란걸 직감적으로 느낌 그냥 안경 벗을때부터가 완성된 얼굴인데 쌩얼도 조온나 이쁨   와 대박대박 아이돌 투샷 느낌 완전 낭낭하잖아여 
배우 한예슬 누나에게 메이크업 해드렸어요,2174500,37000,477,4024,2019.4.4,내가한예슬이면 거울만보고 시간쓰는거 씹가능 이게 마흔 다된사람 이야 진짜 난다긴다하는 들 뷰티유투버들 연예인앞에서는 평등하구나 클라스가 다르다 한예슬씨는 이목구비도 이목구비지만 얼굴형이 진짜 예술이신 듯 와 오빠 미쳤다 진짜 진심 아니 와 예슬 언니 얼굴 와 진짜 와 사람 말 하나하나 대답해주고 리액션 해주는 거 귀찮을 수도 있는데 저런 사랑스러운 리액션 대박이다 
밀착력좀 보세요 갓성비 요즘쿠션 5종 추천 이거보고 고민하지 마세요 (광고),1865089,41000,359,2016,2020.11.14,한국인이 사랑하는 리뷰속도고속도로에서 부와아아앙 막힘 없이 달리는데 와중에 표지판은 전부 자세하고 정확하게 읽히는 느낌 말 속도가 빨라서 순간 내가 배속했나 싶어서 확인하고 옴 숨쉬어 레오제이 한국인이 사랑하는 속도이자 눈깜빡하면 다 지나가는 고딩담임쌤의 수업속도네요 잘보고갑니다 오빠 미안한데 오빠 피부가 너무 좋아서 무슨 쿠션을 써도 다 이뻐 보여요 와말 조온나 잘하네정리정돈된 말투와 정확하고 풍부한 표현능력거기다 편집도 완벽 왜 흥하는지 알것같다이런사람이 뷰티유튜버해야지 
영지님와사비님 왜 저한테 이제서야 오셨쟈기 (퀸와사비 누나와따 뮤비 밤샘촬영 공개쟈깅),1385192,21000,250,747,2020.9.13,이번 와사비님 신곡 어머니랑 같이 방댕이 흔들면서 들어도 될 정도로 가사 검열 신경써서 하셨대요 무조건 듣는다 쌤 고생하셨어요 감사합니다 브이로그 넘 웃겨요 누나와따 많이들어주세용 서예지님 닮았다길래 엥 했는데 화면 넘어가자마자 닮아서 개놀람 거기만 돌려보는중 아니 영지 두번째 메이크업하고 진짜 존예라서 놀램 와씨 진짜 미쳤다미쳤다 역시 레오오빠 금손 미쳤어 
쌍수 대성공이세영 누나요청폭발 NEW 청순 메이크업 해드렸더니(feat미모포텐 폭발),1184510,14000,335,1077,2021.1.29,유쌍에 적응 못한 저에게 역대급 화장을 해주셔서 고마워요 레오제이 당신은 금손 천재에요 이래서 다들 레이제이 레이제이 하는구나 좋아하던 사람들의 만남 완벽한 화장 와 진짜 이미지가 확 달라진 늑힘약간 커리어우먼 스타일넘 이쁘고 세련됐는데 청순함 진짜 레오제이님 실력 머선 두분 오늘 처음만나신건가여 처음만났다면 두분모두 친화력 저세상 만렙 
무려 11년차 드랙퀸 해외공연에 뮤비까지,1136774,18000,1300,1906,2018.9.22,이런 장르는 처음인데 오히려 어쩡쩡하게하는 것보다 이렇게 아예 전문적으로 해버리니까 확실히 예술같아서 거부감이 줄어든다 하나의 작품으로 인식이 되는듯 워 저 나나라는 분 진짜 카리스마 사람을 매혹하는 게 엄청나다 드랙퀸이 뭔진 몰라도 메이크업 과정을 다 봤음에도 올드레스업하고 웃을 때 완전히 매혹됨을 느낌 솔직히 드랙퀸에 대해선 지금 굉장히 논란이 많음 나는 개인이 드랙을 왜 하고싶은지를 취향으로써 존중도 하지만 한편으로는 드랙의 논쟁거리에 대해서도 어느정도 동의를 하는사람임 그래서 내 시선도 딱히 고운 편은 아닌데 그냥 이 영상 끝까지 보고나니까 메컵후 끼쟁이 타임에서 끼부리는걸 보고있자니 그냥 참 예쁘다는 생각이 들었음 레제님 왜 배게 솜을 쓰고 오셨어욬 나비가사람이되면 이런기분일것같다 
아이돌이된 여동생 20살 기념으로 새내기 메이크업 해줬어요( feat 아이돌생활 Q&A),1073713,9600,219,581,2019.3.29,헐 라라님 브이로그 올려주세요 이름은 라라의 스타일기 아니 진짴오빠 외동인거아는덱묘하게 닮아가지곸처음에 아무생각없이 오옹 동생이랑 닮았다 했는데 생각해보니까 오빠 외동이고낚여부러써 형은 데스노트해 재능많고 착하고 이쁜 우리 라라 화이팅드림노트 만세만세만만세 뭐야 처음시작할때부터 피부화장한줄피부웰케죠아 
양팡 맞아 부산집 쳐들어가서 대변신 시켜주기(feat봄브라이트 메이크업),1035287,16000,607,1159,2020.7.10,마지막 헤어질때 표정 만나서 역겨웠고 다시는 만나지말자 레오제이님 진짜 잘한다고 생각하는 이유 얼굴마다 원하는 컨셉의 최대치를 그려내는데 과하지 않고 고급스러움을 베이스로 깔고감 그리고 섬세하다못해 현미경임 주접댓글이 아니라 타고난 감각이 있는데 공부 많이 하신것도 보여서 내 인생에 중요한 일마다 메이크업 부탁하고 싶어짐 인재임 양팡님 메이크업은 제가 전담 하겠습니다 이거 보니까 속상하다 너무 좋아했는데 약간 틀딱느낌이지만 레오제이님 이랑 군생활을 같이 했었습니다 싫어하는사람 하나 없고 간부들한테도 항상 잘했고 잘되시는 모습보니까 너무너무너무 좋네요 
쌍수 성공적 기우쌤하고 유경몬 신상 쌍커풀에 어울리는 NEW 메이크업룩 해주기 ,1034283,13000,184,739,2020.12.25,마지막 내 표정 나도 처음 보는 표정인데 마지막 표정진짜 레오제이님 영상에서 매번 마지막 표정 찾게돼요 그나저나 유경몬님 넘 예뻐융 기우쌤 이 표정은 진짜다 미남 명이 저렇게 쳐다 보면 바로 기절할 듯 아 손주랑 놀아주다 지쳐버린 미남할아버지같아 
