title,view,like,unlike,comment,date,comment_text
웹툰 여신강림 여주 주경이 메이크업Webtoon True Beauty Ju-Kyung Makeup,2896177,95000,1200,4107,2018.7.17,    렌즈 정보는 영상에 나와용 헤어 스타일링 영상도 찍어볼게요 네일은 아리따움 모디 네일스티커 주경이 룩이 좋아서 해본 것 뿐이기 때문에 일회성이에요 다른 웹툰 메이크업 신청은 받지 않을게요 
섀도우 꿀조합 새내기들이 하기에 좋은 올로드샵 데일리 눈화장 (겁나 쉬움 드루와),2040372,3000,373,501,2017.2.26,준비물 예쁜눈 아진짜 아이린 빼박 어떻게 사람 속눈썹이 언더까지 저렇게 길수가있죠 너무부러워요 여태껏 눈팅만 하다가 오늘 처음 댓글달아보는데 항상 언니 영상 예쁘게 보고있답니당 앞으로도 좋은메이크업영상 자주찍어주세요 안녕하세요 오늘은 진짜 간단한 영상이에욤 자연광에서 찍은거라 색감이 자주 왔다갔다 할 수 있으니 양해 부탁드려요 눈화장 영상도 종종 가져오겠슴당 궁금하신 점은 댓글 주세요 브러시 정보 따로 써놓을 걸 급하게 만드느라 생략했더니 질문이 많네요 앞으론 꼭 기재할게요 에뛰드하우스 총알브러시 아바마트 총알브러시 시빼테 아바마트 블렌딩 브러시 아바마트 젤라이너 브러시 아이라인 아바마트 젤라이너 브러시 애교살 펄 
로즈하 화장대 소개색조 꿀템 왕창 추천 안보면 후회할 걸요 MY VANITY TOUR,1843428,42000,756,2845,2019.1.9,이게 화장대야 화장품 가게야 뷰티영상 찍기 전에 이번 메이크업엔 뭐 쓰지 라면서 고를 때 기분 쩔겠다 어떻게이렇게 깔끔하게 정리하고 사세요 난못해 난주거 와 미친 일어나 모든 여자들의 로망이다 근데 나는 뭐가 어디있고 이름이랑 색을 외우는게 더 신기하네 
파워업 아이린 메이크업 Powerup MV Irene makeup,1589451,43000,850,2897,2018.8.17,아이린 메이크업에서 가장 닮으셨음   아이린 느낌 태연 느낌 슬기 느낌 그냥 여신 다리밐다시봐도 웃기다여러분 안녕하세용 오늘 편집 어때요 뮤비처럼 해보려고 했는데에 영상 끝까지 재밌게 봐주시구 다른 메이크업 신청도 또 많이많이 해주새오 그리고 낼 다페오는 구독자님덜설렌다 잠 푹 자고와용낼 봅시다 
요청폭주 머리 예쁘게 묶는법 체육대회 머리 스타일링 Ponytail Hair Styling,1290710,17000,708,2991,2017.5.13,썸넬 아이린인줄요 늦게 올려서 죄송해유 많이 기다리셨졍꼭 도움이 됐길 바라용 그럼 모두 꿀나잇 저것도 얼굴이되야 가능한 현실 섬네일보고 진짜 아이린인줄 썸네일 아이린 닮아서 들어왔어요 그냥 아이린 닮으셨네요 여신 
[일자눈썹 그리기] 초보자들도 쉽게 꿀팁까지 Korean Straight Eyebrow Tutorial ｜로즈하,1276906,6000,322,279,2015.3.19,아차라리 나도 저렇게 모나리자였음 좋겠다 눈 아이유 빼박 눈아이유인줄 와언니 언제쩍이에요 목소리 변조된거봐 약간 눈썹과 눈이 아이유삘나세여 이쁘시당 
레드벨벳 아이린 셀카 메이크업 Redvelvet IRENE selfie makeup｜로즈하 ROSEHA,1179126,18000,517,1151,2017.3.31,진짜 이쁘다언니 이영상에서 머리하는법도 알려주시면 안되나요 저런 자연스러운 잔머리 머리묶기 힘들어요 아이린이랑 지수 섞어 놓은거 같다 예쁘다 그냥 얼굴이 이미 완성 아이린은 건드리지 말자 라고 하려고 들어왔는데 진짜 닮으셨네요 진짜 사랑해유 여신님 
따라하기 쉬운 아이유 메이크업 (반달눈매 만드는 법) IU Cover Makeup｜로즈하 ROSEHA,1115549,13000,612,957,2016.7.23,중요한건 화장품이아니다 얼굴이지 아이유랑 아이린 섞어논듯 사진 아이유인줄 여자화장품 어떤거지 남자맨마지막넘겨서 이쁘네 끝 오늘도 시청해주셔서 감사합니다 커버메이크업은 항상 재미 위주로 감상해주시면 감사하겠습니댜 모두 주말 잘보내세용 
드디어 룸투어 랜선집들이 초대할게요ROSEHA ROOM TOUR,945417,22000,530,1320,2019.1.6,아 진짜 공주가 사는곳같다 나도 빨리 커서 자취할때 집 예쁘게 꾸밀 생각 밖에 안들어 내가 갔던 집이 아니얔 그래서 이 집은 나 언제갈수 있는건뎁 아무리 뷰티유투버고 뷰티계쪽에서 일해도 이건 걍 금수저 중간에 광고좀 넣어 그대 이번영상 음질에서 말할때마다 노이즈 웅웅거리는 소리 가 귀가 너므 아파요 
[다꾸 VLOG] 육공 다이어리 소개 + 다이어리 꾸미기 팁(자기 전에 보기 좋음),1020584,15000,309,1379,2019.2.27,진짜 다이어리도 그냥 로즈하네욬 이정도면 로즈하라는 명사가 생겨야겠어욬 안녕하세용 여러분 뷰티말고 이런 영상 처음인데뭔가 새로운 기분 그리고 왠지 모를 부끄러움 무튼 자기전에 침대에 누워서 편안한 마음으로 봐주셨음 좋겠어용 앞으로 올릴 브이로그 중 하나의 카테고리로 다꾸 영상도 종종 가져올게요 궁금하신 점은 댓글 남겨주세요르 다이어리 정보는 입니당 우리가 교보문구 가는 이유 책보려고 팬시구경하려고 낙서요 핳하 와 예쁜 사람이 예쁜 다이어리를 쓰시네요 다이어리 채널 하나 개설하셔도 될것같아요 
