title,view,like,unlike,comment,date,comment_text
전 세계 헬스인들을 분노케한 사건 함께 보시죠,5486696,24000,1500,5006,2018.8.9,솔직히 저 학생이 근육빵빵한 드웨인 존슨 급 덩치면 못 건드리는데 만만하니까 괜히 똥가오 잡는듯 저렇게예민한데 헬스장은왜가 조용한 산속에서 운동할것이지 원본 동영상에서 가장 많이 보이는 댓글 거긴 헬스장이지 도서관이 아니다 저 소년을 공격한 사람은 에서 평생 출입금지 받았고 저 당시 에 있었던 도 정직됐습니다 팩트 영상의 소년은 주니어 리프터로 애니멀에서 후원을 받고 있다 팩트 저 폭행범은 애니멀 티를 입고있다 
오늘 이 여자 마스크 벗긴다,4928532,23000,3100,2719,2020.6.9,혼자 고립되서 운동하다보니 보조하는 모습이 어색하네요 촬영내내 재밌게 신경써주신 말왕님과 촬영팀분들께 감사드립니다 장소 제공해주신 더메이커짐 장성엽형님께도 다시한번 감사드립니다 발 구독취소합니다 형님 와 발 존나 예쁘네 말왕형 원래 여자게스트면 분은 기본인데 헬멘형은 진짜 형이라서 분컷 보소 말왕님 저 패드립강자 호옹스 턱주가리아 조나나긴 세랑 같이 운동하니까 불쾌하네요 말왕님의 격이 심히 떨어집니다 멀리하시길 
체조선수는 풀업을 잘할까 말왕vs기계체조선수,4554732,21000,1000,2215,2019.11.6,계속눌러보삼 평소에 너무 존경하던 말왕님이랑 같이 촬영을 하게되서 너무 뜻깊고 설레는 시간이었습니다 말왕님 실제로 보면 훨씬 남자답고 섹시해요 형들 하하하하하 일 대 일 팬미팅 개꿀 아무튼 제가 너무 우상으로 생각하는 분과 촬영이라 많이 떨고 긴장 했었는데 최대한 편하게 촬영할 수 있게 잘 풀어주고 도와주신 우리 말왕님과 매니저님 두분께 정말 감사하단 말씀 전해드리고 싶습니다 말왕티비 만 가자 화이팅 언제나 응원하고 있겠습니다 마지막으로 우리 눈부신 태양이형 사랑합니다 한번에 두번 도는건 상상도 못했다 평행봉 속도말이되나 체조선수 몸이 진짜 제일 멋있음 진짜 드래곤볼이나 원펀맨에 나오는 사람들 같다 
스트롱맨 세계1위랑 운동했습니다,4422123,34000,859,5969,2020.11.1,대 아래 구독 좀요  말왕이 멸왕이 되는순간 와 썸네일 보고 외국채널인줄 알았습니다 에디홀 형님을 한국 유튜브에서 볼 수 있다니 저세상 중량이긴 하지만 뭔가 끌어오르게 해주는건 말왕이 최고 
얼마 전 시끄러웠던 그사건 한마디만 할게요 (6대1 담배 훈계 참교육),4287075,21000,1000,2150,2018.5.31,쟤들은 근육보고 쫀게 아냐 어떤 남자가 대낮에 길거리에서 밑에는 타이즈 위에는 아무것도 안입고 다가오는데 생각만해도 무섭네 골목에서 담배피우는 고딩 찌찌파티로 돌아다니는 성인 남자 누가 더 아이들에게 위화감을 조성할까 하의탈의 했으면 고딩들 담배 끊었다 옷은 왜벗냐는글도 있는데 안싸우고 이기는게 최고라고 위압감으로 큰 트러블없이 해결한거지 지혜로웠다본다 상의탈의한게 오히려 효과적이였다고 생각합니다 
(실제상황) 시스테마 수련 '40년' 러시아 남자가 승강기에서 강도를 만났을 때,4026753,27000,2200,4022,2019.7.2,안녕하세요 한국 공식 채널 입니다 더운 날씨에 직접 오셔서 촬영해 주시고 좋은 영상을 만들어 주신 말왕님께 감사드립니다 이분정도면 필라테스 배워도 쎄겠네요 저 복잡한 동작들을 년이나 했으니까 눈깜빡이듯이 스슥 나오지 유튜브보면서 배긁는 우리들이 따라할라카면 바로 사망샷이다 말왕형 살기 위해서 안전장비 과하게 착용한듯 형 영국가서 강도잡았을때 그때 강도가 형 찾아가서 칼빵놓는대서 무서워서 배우려는거지 
파쿠르 한번보고 마스터했습니다,3380244,26000,1200,2646,2020.2.4,아니 잠깐만 저건 월런이 아니라 그냥 대충 잡고 머슬업이잖앜 힘으로 올라가는데 안녕하세요 여러분 말왕님의 일일 사부였던 파쿠르 선수 김주성입니다 역시 말왕님 대박 피지컬 촬영 내내 너무 화기애애하고 재밌었던 것 같습니다 촬영하시느라 모두 수고 많으셨고 감사드립니다 앞으로도 말왕님과 저희 도 많이 많이 사랑해주세요 감사합니다 여러분 인스타그램 페이스북 페이지 유튜브 채널 김주성 선수 인스타그램 김주성 선수 페이스북 김주성 선수 유튜브 채널 아니 발미끄러져서 실패한걸 그냥 팔힘으로 올라갔넼 진짜 말왕이형 운동신경 개쩔긴하네 파쿠르가 아니라 팔쿠르 아님 팔힘으로 올라가네 진짴대단하심 
이분 3대측정하다 과로사하심;;,2977767,32000,676,9216,2020.2.27,비주얼만보면 피라미드짓는 이집트노예같네 이잉 앗쌀라말라이 꿈 이런분들 어떻게 섭외하는거야 다 실압근분들만 모시네 누가 보면 진짜 현지에서 식량 없이 배타고 탈출한 사람 같네 소금쟁이냐 뭔데 
쏘대장 헬스장은 처음이지,2972290,2000,514,4364,2020.6.30,뭔가 말농장에 굴러들어온 토끼를 말이 놀아주는거 같음  두손으로 들고먹네 리터짜리인줄 분명 여자쪽이 작은건데 왜 말왕이 거인같아보이냐 와 손크기 차이 
이소룡의 유산 절권도 (featJason Lee),2723771,2000,716,4531,2018.12.23,안녕하세요이소룡 절권도 대 직계 이재성관장입니다 말왕님께서 직접 방문해주셔서 절권도 체험도 하시고 재미있게 소개도 잘해주셔서 감사드립니다 절권도는 하나의 스타일이 아니라 신체역학을 통한 모든 움직임입니다 물리법칙을 통해 동작을 단순화 시키는 것이 수련의 포인트입니다올 해 년 월일일에 제회 한국 절권도 초청 세미나가 개최됩니다 대 직계 사부님께서 직접 서울을 방문하여 지도하십니다 수련생이 아닌 일반인도 참가가 가능하며 오리지널 절권도에 대해 훨씬 더 심도 있는 체계적인 이론과 디테일한 동작들을 배우실 수 있습니다 신청기간은 월일까지 이며 으로 문의주시면 자세한 사항 안내 해드립니다 한국에 올바른 절권도가 알려지길 바라고 말왕 늘 응원합니다감사합니다 절권도 깔려고 들어왔다가 추천박고 나간다 진짜 멋진 운동이었네 차고 그발로 공격막고 이게 되는구나 고 실전성이고를 다 떠나서 그냥 죤나 멋잇다 이소룡은 얼마나 빨랐다는거야 대체 
