title,view,like,unlike,comment,date,comment_text
(SUB)UFC파이터 김동현이 말하는 연예인 싸움순위(with 정형돈),4946630,34000,2300,7409,2019.5.11,아이걸 봐버렸네어떡하지 여러분 걱정하지 마세요 선수 보호차원에서 선수 안때립니아니 안싸웁니다 우와 제가 등까지 되서 영광이지 형 김동현선수는 진짜 사람이 예의바르고 겸손하고 늘티비보면 사람들거부감들지않게 허당컨셉으로 친근감을 줘서 상대를 편하게다가오게끔하는거같음 개인적인제시각과제생각임 정말괜찮은사람같음 일권형돈이형은 나가있어 형돈고맙다 순위 조형기 킬러본능이아니라 킬러 그자체 범접할수없는 자동차한대와같은 돌진력 감당할 사람있나 
김동현은 심권호의 옆굴리기를 버틸 수 있을까(40kg 차이 예상외의 결과),4437468,3000,886,2862,2020.8.25,심권호 레슬링 대한민국 최초 두체급 올림픽 석권 금메달도 개 전세계에서도 역대 명만 두체급 급 그랜드슬램 석권한 선수는 명뿐입니다 당연히 존경받아 마땅합니다 심권호님 화이팅 국제경기 전 승 심권호 때문에 그 체급 자체를 없앴지만 심권호가 체급을 올려서 아시안게임 세계선수권 올림픽까지 금메달 다 따버리며 그랜드 슬렘 달성 그는 전세계 스포츠계에 둘도없는 전설중의 전설이다 양준혁을 진짜 안 넘긴거 맞네 양준혁은 진짜 무게가 있어서 목잡아서 맘먹고 돌리려면 목이 부러져야 돌아간다는거 아니까 심권호가 봐준거네 심권호 선수는 스포츠 역사의 획을 그은 분중 한분임그냥 저냥 티비에서 볼수 있으니 대단하게 못느끼는 걸수도 있는데 나중에 역사책에서 보는 순간 그냥 괴물이라 보면 됨 개인적으로 심권호님이 하빕선수 레슬링 기술 해석하는거 듣고싶네요 역대 최고의 레슬러가 보는 현역 최강 레슬러의 레슬링 수준과 그라운드에서 레슬링 기술의 디테일 같은거 해설해 주시면 조회수 대박날것 같아요 
김동현VS명현만 _ 드디어 싸운다 (체급 무시 100% 진지 타격 스파링),4318320,23000,723,6662,2020.10.7,매미킴화이팅 자주 좋은모습 보여드리겠습니다 지린다 진짜 김동현선수가 살 형인게 더 소름 눈 안감고 흘리는거봐 와 형 이런속도도 내는구나 
(SUB)김동현 말왕에게 3대 대결을 신청하다 남자의 끝 웨이트 3대 중량 합계 최초 공개 그 결과는,4084233,2000,811,3299,2019.4.4,그냥 언더아머 입으세요 주먹으로 대 치면 만원 넘게 나오니까 삼대는 못치지만 상대는 잘치는 김동현 화이팅 김동현은 척을 안해서 좋음 예능캐릭터도 졸잼 존나쌘데 동네 착한형 김동현 월클 사실 전혀 다른분야라 자존심을 내세울만한데 그대는 포용하고 이해하고 인정하는군요 그대의 이타적인 맘은 월클 개그맨이 힘이 좋네 
숨참기로 5분을 버틴다고 그들의 허세 혹은 진실,3858897,21000,768,2798,2019.11.20,역시는 역시군 리 해병대 국대 다 존경한다 기합소리 정다래 웃음소리 정다래 승 국가대표 해병대 모두가 대한민국의 자랑입니다 매미팀같이 촬영 해주신 매미킴 김동현선수 너무 감사 하고요 너무 재미있게 촬영했습니다 조금 아쉽네요 좀더 열심히 해볼껄 정다래 선수 최고의 예능인 김동현 선수 김상욱 선수 앞으로 응원 하고요 좋은 추억 만들어주어서 감사하고 다음기회에는 밥 준다 해서 안가고 승부욕으로 가보겠습니다 
(핸드스피드)세계랭킹1위 복서 vs 세계랭킹6위 격투기선수,3556036,18000,613,3357,2020.7.11,김동현 감독님 좋은추억만들어주셔서 너무나도 감사드립니다 피지컬 실력 모두갖추신 김동현 감독님 가볍게 받아주셔서 부상없이 재미있게 촬영할수있었습니다 저도팀스턴건 타격코치로서 타격만큼은 제가 책임지겠습니다 영상 재밌게봐주시고 매미킴 신종훈복싱채널 많은관심 사랑부탁드리겠습니다 야 예능인이 세계위 복서상대로 저정도면 잘한거야 개그맨이 세계랭킹 위상대로 선방하네요 이거 드립인데 왤케 들 싸우세요 저 매미형 일본시절부터 팬입니다 키가 나랑비슷했으면 난 끝났어 리치가 길어서 도망다니는거지 이런 겸손한 말한마디에 당신을 존경합니다 예의 겸허허게 살고 행동하자 좋습니다 늘 응원 합니다 동현씨 신종훈 선수님께 감사드리고 다음올림픽도 응원합니다 신종훈 복싱채널 많은 사랑 부탁드려요 
(최초공개) 김동현은 UFC에서 얼마나 벌었을까UFC 클라스,3052993,18000,481,2047,2019.10.31,와 존나 멋있다 동현이형 경기 안뛴다고 욕하고 무시하면 절대안됨 방송해서 돈벌면 선수들 숙소에 여러모로 지원해주고 서포트 해주고 힘든시절 겪어본 사람이라 다들 구독은 한번씩 누르고 봅시다 목숨걸고하고 세계 등인데 너무 적긴하네 크보 공놀이는 포지션별로 국내 등만 해도 년 억은 가볍게 받는데 대단하신데지옥의 웰터급에서 전세계 위인데 억이면 에서 너무 적게 주는거 아닙니까 국내경기도아니고 에서 위까지가고 승을 했는데 스케일에비해 억은 좀 부적한 느낌인데 억이 큰돈이지만 그래도 탑랭커들과 너무 차이나 돈 좀 더줘 싸움잘하지만 가까이서 무섭지않은 사람이라 호감이가는거같네요 쎈척하면서 가오잡는 몇몇 연예인들이랑은 너무다르셔서 더호감입니다 
누구든 한방에 보낼 수 있는 주먹 vs 통증을 못 느끼는 몸(명승사자 출몰),2944960,15000,522,3623,2020.9.30,많은옷중 하필 팀스턴건에 저옷을 또 입고갔네요 박승현선수 기인 인정 격투기실력도 인정 참고로 명현만 선수 입고 있는 옷 찜질방옷 아닙니다 나이키임 간은 침묵의 장기다 혈관 다 터졌을거야 진짜 위험하니까 하지마 무하마드 알리 선수가 그랬죠 겉 은 멀쩡해도 장기 는 못버텨요 위험한 컨텐츠 인것 같아요 선수보호 차원에서 안하셨으면 간 은 침묵의 장기 입니다 공사장에 일하시던분이 저 부위에 자재에 부딪히고 아팠는데 웃으며 괜찮다고하며 걸어서 밥먹고 병원가서 정밀검사도중 의식잃고 사망하셨습니다 조심해서 나쁠건없으니 검사는 해보시길 
마라톤은 얼마나 빠른 속도로 뛰는 걸까 직접 뛰어 보았습니다 (무조건 놀랍니다),2784606,15000,413,3022,2020.10.21,예전에 이봉주선수가 충남대캠퍼스에서 마라톤 연습하길래 사람들이 알아보고 싸인받으려고 뛰어갔는데 너무빨라서 아무도 싸인못받았다던데 내가 생각하는 인간의 영역을 뛰어넘은 스포츠 역도 마라톤 기계체조 이렇게 보니까 마라톤선수들이 엄청 빨리 뛰는거라는 걸 깨달음 월에 에서 라이트급으로 데뷔하는 유주상 선수 많은 응원 부탁드립니다 괴력의 사나이 박승현 선수도 경기 예정입니다 매미킴 구독은 큰 힘이 됩니다 선수들 이름자막에 오타 수정합니다 변대웅임대웅 권선민노선민 선수들 미안햐 분만 뛰면 건강해지면서 상금도 타면서 운동 할 수 있는 팀스턴건으로 오세요 일반부 다이어트호신술 운동도 가능한 팀스턴건으로 오세요 저녁 일반부 있습니다 문의 팀스턴건 서울압구정역 번 출구 조남진 관장 인스타그램 님들 그거앎선수들 메달따면 신나서 세리머니로 운동장 몇바쿠 더도는거 
배에 아무런 통증을 못 느낀다 vs 니 오늘 좀 맞자(ufc김동현/로드fc 황인수/헤비급 국대 복서 김형규),2485899,1000,420,2397,2020.9.23,안녕하세요 박승현 선수입니다 먼저 훈련이 안 된 분들은 절대 따라 하지 않으시기를 부탁드립니다 팀스턴건으로 오시면 강력하고 멋진 식스팩을 만들어드립니다 압구정역 번 출구에서 빠른 걸음으로 분 거리 신사동 지하 층팀스턴건 선수들 많은 관심과 응원 부탁드립니다 감사합니다 동현이 물 주먹 다 됐네 친구들이랑 때리고 놀았다는 그 친구들 중 당사자 입니다 어느정도냐면 펀치 머신 때리 듯 손목잡고 두손으로 명이 연달아 쳤는데 가좌동 치킨매니아 앞에서 치다가 명 다 손목 골로갔습니다 그때 나이가 살 정도 였을텐데 걍 괴물 입니다 손목부상 이라며 다리를 저는 형님에게서 개그맨 냄새가 물씬 풍겼습니다 리버샷을 어케 버티는거지 경동맥 누르는 초크를 버티는 사람이 있는가하면 기인열전 보는 기분 
