title,view,like,unlike,comment,date,comment_text
당신 정체가 뭐야 (11년 동안 방송하면서 이런 방송하는거 처음임),3523288,25000,459,2655,2019.10.29,주다사님이 처음으로 한 말 말 안하는 컨셉 때문에 다른 사건 언급하시는분들 계시는데 매너 좀 지 켜주시기 바랍니다 이거보러 맨날온닼 개웃곀 근데 이분 뭐 가족이나 친구나 지인이 있을텐데 목격담도 없고 썰도 없어서 신비주의같아 유명해졌으면 동창이엇던 사람이 목소리 어땠다 얘기할법도 한데 사는집도 뭐 미국에 있는 다락방에서 살고잇는거같음 고양이도 해리포터에 나올거같이 생겻어 왤케 말없는 내적관종 조카 놀아주는 말 많은 삼촌 같냐 
술 취하면 일어나는 일 (김재원X형독X머독),3011888,29000,568,3773,2019.3.27,계속클릭해봨 당신들 삼형제지 왜이렇게 서로 닮았냐고 형독머독은 찐형제라 그렇다쳐도 킹재원 당신은 왜 닮았냐고 이렇게보니 두분을 너무 자주 때렸네요 자중해야겠습니다 근데 사실 술 깨라고 치는거임 진수취하면 안취한척하는 타입 민수술취하면 설교하는 타입 재원취하면 헛소리하는 타입 꽈투룹 의문의 패 갑분싸 
[직진게임] 오로지 직진만 해야하는게임 속임수에 넘어가면 죽음2018년 10월 9일,2629111,13000,2200,2219,2018.10.15,초딩들은 일루오지말고 안답답하고 시끄럽지 않은 도티잠뜰이나 보러가세요 도티님과 잠뜰님 등 어린 친구들이 주 시청자인 유튜버들에 대한 편견이 깨졌습니다 과거에 이런 댓글을 단 스스로가 참 부끄러워지네요 띠또 화이팅 원래 몇번씩 죽어가면서 깨닫는건데 훈수 겁나 하네 재미없고 노잼이고 억지로하는거 보인다고 그럼 왜 왔어 죽어 일부러 죽는게 아니라 원래 바보같고 시끄럽고 거칠고 따뜻한 사람이에요 안맞으시면 그냥 넘어가주세요이 채널은 공략방송이 아니기도 하고 완벽한걸 원하시면 다른거 보세요 안녕하세요 머독입니다 다음에는 더 재밌게 하겠습니다 고맙습니다 
24시간 주다사 부려먹기 (벌칙 브이로그),2619345,21000,631,4575,2020.4.8,여자분은 주다사 님이고 남자분은 죽다산 님이죠 주다사 싸이버펑크 아싸 히키코모리 감성 머독 싸이버거 아싸 히키코모리 디아블로 하드코어로 누가 죽나 내기에서 제가 이겨서 시간 부려먹었습니다 이후에 생방송에서 진행한 컨텐츠들 업로드하겠습니닷 여성과 단둘이 있는 머독 그에게 여친이냐고 물어보는 사람은 아무도 없었다 왜냐면 여친이 아닐게 뻔하니깐 여기둘은 기류라기보단 그냥 명절날 말없는조카와 그런조카 놀아주는 첫째삼촌느낌 
[머독방송] 얼굴 공개했습니다 5만명이 보고 실검에 올랐습니다,2351124,37000,691,10065,2019.3.7,넘나 잘생긴 형독형인줄 웃으면 친절한 아저씨 정색하면 조직보스 잘 생기지도 못 생기지도 않아서 잘못생겼대아닠 와 진짜 세대 방송인중에 얼공 가장 늦은거 아니냐 초딩때 머독님 처음 본 거 같은데 성인된지 오래 결론 라미란에 가장 가깝다 
게임 고인물 컨테스트 2화 (자랑을 넘어서 지혜를 나눠줌),1899221,12000,633,1579,2019.6.10,그 물 마크고인물민수엔딩까지 갓벽 왜 그들이 훈수를두는지 이해할수있었다 와 마크고인물 센스가 고인물까지만 했으면 갑분싼데 민수엔딩까지 마인크래프트 사방팔방으로 뛰면서 울부짖었다 
[Super Bunny Man][1] 두명이서하니 두배로 재밌다 미친 토끼게임 (Feat 형독) 2017년 11월 8일,1872611,18000,381,1774,2017.11.12, 이세상 방송이 아니옄 나는 일본인입니다만 이 형제는 매우 좋아합니다일본과 한국은 더 사이 좋게 될 수 있으면 좋다고 생각하고 있습니다 일본어자막 켜니까 머독은 인데 형독은 년 들어서 제일 많이 웃었다 진짴 
썩은물 29명 VS 머독  역대급 빡고인물들 총 집합 《 울트라 머독을 잡아라》,1704598,12000,1700,1437,2019.4.4,동영상 끝에 늘 풀영상 달아놓습니다 화긴 이 영상은 마지막 잔쿠도 공군기지에서의 추격전이 역대급 최고 명장면이다 진짜 머독방송 역사상 가장 긴장감 넘치고 재밌었던 장면이었다 비행기로 냅다 내리꽂는거 진짜 무섭네 보트타는거 기다리는거 봐먹잇감이 죽기를 기다리는 하이에나무리 같네 이분 계속죽이네 개잘함 이때 미사일 머도기가 미사일 날리면 유저들 곡예비행플레어로 미사일 안맞으려고 하는것도 멋졌는데 마크로스 보는줄 
모든것을 무기로 쓰는 게임,1658663,14000,697,1242,2019.9.22,계속 눌러보셈 이게 그 전설의 여동생을 무기로 팔 수 있는 인성겜인가요 아니 자막 찐인지 편집인지 구분이 안되잖아 자막 진짜 편집 스무스하다 머도기를 장비했다 키보드를 후려칠때마다 팝콘이 나온다 상대방의 고막을 부실수있다 특수공격 
이게 술취하기 전 입니다 (김재원X형독X머독),1631718,17000,254,1795,2019.3.24,아니 재원이는 왜 독독형제 닮았냐 진짜 숨겨진 셋째냐 술 취하고 나서는 추후 업로드 됩니다 똑같다 김재원 취했을때 특귀여워짐 년만에 왔더니 베뎃 되있네 무언가 지나갔는데 
