title,view,like,unlike,comment,date,comment_text
말린장미맛zip mlbb 립스틱 틴트 추천 + 바르는법 * LIPSTICK TUTORIAL * LIP SWATCHES,12231701,31000,5900,4813,2019.7.27,     
립스틱 바르기 총정리 각질제거 / 색소침착 / 제형별 립스틱 예쁘게 바르는법  | 뷰티인강,4092783,9000,1300,1949,2019.6.11,와언니가 말해주신대로 입술 각질정리 그대로 따라하니까 지금 입술 완전 난리났잖아요제 입술이 되게 건조하고 각질도 진짜 많이나고 그낭 꼴통인 입술인데언니 덕분에 지금 완전 매끈매끈해요엉엉이런 느낌 처음 느껴봐요언니 사랑해요유튜브 대박나세요 살면서 본 인강 중에 제일 유용했다 인강 분 논스톱으로 들어본 거 처음임 그래 이게 뷰티유투버지무조건 화장품만 소개하는게아니라 구독하고갑니당 얼왼쪽 상단에 있는 칠판지우개 같은거 점점 움직이넹 
레드맛zip 레드 립스틱 틴트 추천 + 바르는법 * LIPSTICK TUTORIAL * LIP SWATCHES,4086398,88000,2400,1592,2019.5.17,     
탕후루맛zip 탕후루 광택 틴트 추천 + 오버립  메이크업  * OVERLINE LIPS TUTORIAL * LIP SWATCHES,3213064,78000,1500,1490,2019.9.12, 여러분은 어떤 맛 드실래요 영상에서는 과일별로 한입만 베어 먹지만 실제로 촬영할 때는 가장 예쁜컷을 고르기 위해 몇십개의 탕후루를 먹었어요 저거 촬영하고 바로 김치찌개 먹으러 갔다는    
파운데이션 바르기 총정리 모공커버 / 각질제거 / 도구별 / 제형별 파운데이션 바르는 방법 | 뷰티인강,2917441,57000,820,2524,2019.8.13,다필요없고 모공없는 피부갖고잇으면 다됩니다 파데는 잘못없어요 제가 호는 밝고 호는 어두운데 호 이쁜 파운데이션 알려주세요 인타넷에 찻이봐도 호는 잘 안 나와있더라고요 선생님의 말씀이라몀 번 믿을 수 있을 거 가타욤 더블웨어를 이렇게 얇고 촉촉해보이게 올릴수가 있다고 진짜 놀랐네요 몇년을 쓰면서도 몰랐던 사실인데진짜 뷰티계 교수님인줄감쟈합니당 여러분 파운데이션 컬러 고르는거 너무 어려우시죠 그래서 준비했어요 다음 교시에서는 실패확률 없이 파운데이션 컬러 고르는 꿀팁 을 알려드릴 거예요 여러 방법을 알려드릴 예정인데요 그 중 가장 명확하고 쉬운 방법 하나를 먼저 스포 하자면 바로 내가 잘 쓰고있는 파운데이션 컬러와 비교하기 예요 그런데 그걸 누가 비교 해주죠 그건 바로 저 여러분이 댓글로 남겨주신 파운데이션을 제가 직접 구매해서 발색 해 보고 분석 해 보고 각 브랜드 별 비슷한 파운데이션 컬러 끼리 모아서 그룹을 만들 거예요 그럼 여러분이 사용하고 계신 파데 컬러는 어떤 그룹에 속하는지 한눈에 볼 수 있겠죵 또 그 컬러들은 어떤 피부톤에 잘 어울리는지 어떤 분들이 사용하시면 좋은지 등등등 엄청난 꿀팁을 대 방출 할 예정입니다 그럼 아래 댓글 예시들 참고하셔서 댓글 많이 달아주세요 댓글 예시 저는 롬앤 제로쿠션 내추럴베이지 를 사용하는데 이거랑 비슷한 컬러의 파운데이션이 궁금해요 댓글 예시 저는 헤라 블랙파운데이션을 구매하고 싶은데 어떤 컬러를 사야하는지 모르겠어요 저는 평소에 에뛰드 더블래스팅 베이지 컬러를 사용하고 있어요 댓글 예시 저는 에스티로더 더블웨어 쿨바닐라 컬러가 저한테 완전 찰떡 인데 제형은 저랑 안맞아요 쿨바닐라랑 컬러는 똑같은데 촉촉한 파데를 고르고 싶어요 댓글 예시 저는 피부톤이 어두운데 아직 한국에서 제 피부톤에 딱 맞는 파운데이션컬러를 본적이 없어요 예쁘게 어두운컬러의 파운데이션들 모두 보고싶어요 좋아요가 많이 달린 댓글 위주로 뽑을 예정입니다 다크서클 커버 진짜 제발 자세히 알려주세요 진짜 열심히 커버를 했는데 좋은 컨실러도 쓰고 꿀팁도 썼는데 커버가 잘 안돼요 애교살도 안 그려지고 또한 눈 밑에 푸른 핏줄이 있어서 어떻게 커버를 해야할지 모르겠어요 진짜 다크서클 편 자세히 만들어주세오 좋은 컨실러 추천도 부탁드려요 
{솜털주의} 롬앤봄신상zip 틴트 예쁘게 바르는 법 / 틴트 추천  *lip makeup tutorial * lip swatches,2212336,68000,1200,2454,2020.3.17,     
섀도우 바르는 법 + 섀도우 팔레트 추천 BEST  | 민새롬,2145385,36000,522,624,2019.4.23,베이스 섀도우색깔 고르기 부드럽고 밀착이 잘 되는 무펄 섀도우추천 덧발라도 텁텁하지 않고 맑게 쌓이는 것 피부 톤에 비슷한 것 흑백 컬러로 비추었을 때 가장 연한거 화사하게 하고 싶음 피부 톤보다 화사한 색 그윽하게 하고 싶으면 중간 톤으로 추천 베이스 섀도우바르는 방법 힘이 없으면서 검지 손가락만 한 브러쉬번째 손가락으로 바르기 영역은 안구가 느껴지는 곳까지 언더도 마찬가지 중간톤음영 색깔고르기 펄감이 없는 브라운색 채도가 빠진 회색빛 추천 색이 노랗거나 붉으면 떠보임 비추천 중간톤음영 바르는 방법 새끼 손가락 한마정도의 힘이없는 브러쉬로 바르기 재품을 골고루 묻혀서 가루털기 처음부터 진하게 바르면 양조절중요 눈두덩 전체에 음영넣어주기 콧대에서 코벽타고 코쉐딩 애교살 음영넣기 중간톤으로 눈썹 정리 아이브라우하기전에 눈썹 가이드를 잡기 좋음 자연스러운 눈썹 연출 중간톤 색감용 색고르기 펄감이 있어 오 쉬머한 펄감까지 추천 화사한 메이크업 할땐 살짝 화사한 색으로 그윽한 메이크업을 할땐 살짝 어두운 컬러 사용 음영 섀도우가 아닌 색감이 들어있는 섀도우 중간톤색감용 바르기 중간 사이즈 브러쉬나 번째 손가락으로 바르기 베이스 섀도우보다 영역을 조금더 좁게 바르기 라인 섀도우 색깔 고르기 아리라인을 그리기 전에 가이드 라인이 되어줌 가루날림 밀착력이 좋은것 선택 흘백 필터에 비추었을때 가장 찐한것 라인을 잡아주는 역할인데 펄이 있으면 조금 라인이 흐릿함 비추천 라인 섀도우 바르는 방법 좁은 영역에 발려서 손가락보단 작은 브러쉬추천 겉 가루를 털어 가루날림 방지 아이라인 그리기 전에 가이드 라인 잡아주기 아이라인을 그려준후 블렌딩을 시켜 자연스럽고 그윽한 눈화장 연출 마스카라하면 기본 눈화장 끝 혹시 가루가 떨어지면 손으로 털지말고 파우더 브러쉬로 살짝 털어주기 포인트 섀도우색깔고르기 자신에 취향을 반영하기 포인트 섀도우바르는 방법 포인트 섀도우를 바를땐 중간톤 라인 섀도우 사이 단계에서 바르는것을 추천 화려한 펄감을 바르기 언더에는 은은한 밝은색 섀도우 바르기 힘들었다 진짜 이것이 뷰티유투브 뷰티아티스트다 와 역시 혜자스러운 개코님 영상 이런 퀄리티의 영상을 무료로 보다니요 광고 좀 중간중간에 팍팍 넣어주셔도 모른척할 수 있어요 롬앤 쿨톤팔레트 출시일 언젤까용 일뷰러 팔레트 안 사는 중인 파우더제형 연구원으로서 이 영상 강추요 요즘 싱글보다 팔레트가 많이 나오는 상황에서 고객들에게 합리적인 선택을 할 수 있게 도움을 주는 영상이네요 제가 만든아이섀도우들이 보여서 기분이 좋았네요 히힛 
완벽한 립 그라데이션 방법 * GRADIENT LIP TUTORIAL (블러셔를 사용한 오버립 연출),1913462,36000,625,564,2019.3.6, 입술 수정화장 방법도 알고싶어요 저렇게 예쁘게하고 뭐먹으면서 지워지면 결국 한가지 색만 바르게 되더라고요    
{성공률100%} 틴트 예쁘게 바르는 법 ( 틴트 지우기 + 입술케어 꿀팁) | 뷰티인강 3교시,1875933,38000,492,1453,2019.3.2,토성 고리가 개코님 가방끈이었다는데 사실이었군요 와 진짜 간증입니다 여러분 제가 엘르걸 틴트라커 사놓고 맨날 착색이 너무 빠르고 윗입술 안발려서 사놓고 처박템이었는데 개코님 방법대로하니 완전 예쁜 레드오렌지립이 되었어요 개코님 제 사랑 받으세요 역시 이쁘게하려면 시간과 노력이필요하구납 틴트는 대충 빨리 바르려고 바르는 것이거늘나만그런가 듣고 아 해도 내일되면 변하지 않는 아랫 입술 양 조절이 된 어플리케이터를 사용해서 입술 중앙부터 바른다 음파음파 입술 안쪽은 바르지 않는다 양 조절로 어플리케이터에 양이 거의 없게 한 다음 가장자리까지 바른다 손가락으로 발라준다 입술 안쪽은 어플리케이터에 양이 아주 거의 없게 한 다음 아주 얇게 바른다 손가락으로 발라준다 윗 입술 거의 없는 양으로 전체를 바르고 손가락으로 펴바른다 입술 안쪽을 중앙으로 바른 뒤 손가락으로 펴바른다 마찬가지로 너무 안쪽까지 발리지 않도록 한다 손가락으로 입술 안쪽을 쓸어준다 
{성공률100%} 쿠션 바르는 법 (쿠션 수정화장 / 모공커버 / 활용법 등) 뷰티인강 쿠션영역,1718295,35000,369,998,2020.1.31,진정한 뷰티유튜버 화장 지우는 방법 궁금해요 화장을 완벽히 지우는방법 얼굴에 자극이 안나게 지우는방법 피부타입에 따라 자극이 없이 지우는방법 넘 궁굼해요 오늘도 잼있었고 잘봤어요 새롬님 영상은 끝까지 다보게되네요 진짜 꿀팁 다알려주시고 진짜 짱이에용 저 여드름흉터 있는 피부인데 이 방법으로 하니 얇게 잘 발리는것같아요 쿠션을 년간 쓰면서 제대로된 사용법을 지금알았다니 개코님 감사합니다 피부좋은사람만 가능한 화장법 여드름하고 흉이 많아서 저렇게 발라봤자 바른거같지도않음피부좋은사람 부럽다 양조절 방법 쿠션 바르는 방법 쿠션 수정화장 방법 브러시로 바르는 방법 모공브러시 납작 브러시 쌍퍼프 바르기 
