title,view,like,unlike,comment,date,comment_text
출렁이는 팔뚝살빨리 빼려면 1달만 이 루틴하세요 (팔뚝살빼는운동/팔뚝살 빨리 빼는법/팔뚝살 완전 제거 운동),8334651,18000,1400,18686,2020.5.6,인생을 상당히 편하게 살고 있었구나 광고가 나를 살렸다 와 진짜 저 팔운동 유명한건 다 찾아서 해봤는데 이거 찐이에요 미침 진짜 속는겸 해봤는데 팔이 미친듯이 떨림 다들 제발 이거 하세요 후기 전 식단이랑 다른운동들도 같이 했는데 총 키로 감량했어요 키는 에 몸무게는 키로 입니당 좀 더 뻬야하지만 운동은 조깅시간 춤추기 분을 기본으로 했어요 식단은 먹고싶은거는 다 먹었는데 반식했습니다 제일 중요한 팔은 전체적인 라인이랑 안쪽살이 빠졌어요 겨드랑이살 확실히 효과는 있으니 꾸준히 하시길 바래용 후기 늦어서 죄송해요 절대로 처음부터 동작이 귀엽고 쉽고 신이난다고 빠르게 흔들지 마세요 여러분 이 운동 진짜 주만 매일 매일 해보세요 팔뚝 꽉껴서 못입던 블라우스 오늘 입고 나갈 수 있게 됨글고 신기한게 어깨라인도 정리되면서 승모근이 없어졌어요 일단 어깨라인 일자 되는건 무조건임 진짜로 전 이제 자극이 덜 해서 탄탄 이렇게 두개 연속으로 합니다 
허벅지 안쪽살빨리 빼려면 1달만 이 루틴 하세요(안벅지 제거/허벅지살),5257557,13000,723,24520,2020.4.7,뚱뚱해서 쪽팔리다는 이유로 차였는데 복수할 수 있게 이 댓 보시는 분들 손 운동한답시고 좋아요 좀 눌러주세요 제발 부탁드립니다 이거 장난아니예요 한지 일되어가는데 분에서 분짜리 전신운동으로도 잘빠지지 않는 허벅지가 이걸로 진짜 효과많이보고 갑니다 제가 이거 아침에 공복에 매일 키로 걷고 시이후에 아무것도 안먹고 이운동 하나만 했는데 살바로 빠집니다 진짜 라인이 달라보려요 광고아니예요 저 이런 운동후기 댓은 진짜 첨이예요 진짜 감사해요 알이 배긴듯한 느낌은 일차쯤에 없어졌어요 식단은 그대로 먹는데 간식을 줄이고 요구르트 정도만 먹었어요 키로 정도 감량했고 이 운동만으로 감량한건 절대 아니고 걷기 공복에서도 많이 몸무게 감량에서 효과봤고 이 운동을 같이해서 걷기로 안빠지던 허벅지가 눈으로 보여질 정도로 빠졌습니다 키로 정도 감량한건 달 정도 걸렸어요 엉덩이 밑살이라던지 종아리는 빠진걸 못느꼈지만 허벅지 안쪽은 효과를 많이 봤습니다 몸무게도 빠졌지만 허벅지 인치도 빠졌습니다 하루에 한번씩만 따라했어요 제가 게을러지지않게 이 댓글이 보이시면 좋아요 눌러주실 수 있을까요 뇌 해야지 몸 누워있음 입 먹기바쁨 세상 착하신 분들좋아요 좀 눌러주세요오늘부터 시작합니다 
볼록 튀어나온 아랫뱃살무조건 빠지는 역대급 뱃살폭파운동 (똥배/복부지방),4157859,8000,1200,4536,2020.9.7,축하합니다 당신은 한국인 댓글을 찾았습니다 설날까지 뱃살 태우기 도전 월 일 했어요 월 일 했어요 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 월 일 염치 없지만 지나다니면서 좋아요로 알림 좀 띄워주시면 감사하겠습니당 포기함 대댓으로 욕 좀 하지마세요 제발 저도 사람이라 화도 나고 상처도 받아요    
출렁이는 뱃살빨리 빼려면 1달만 이 루틴 하세요(뱃살빼는운동/뱃살빼는방법),3793110,87000,846,11415,2020.5.11,호흡을 하면 동작이 안되고 동작이 되면 호흡이 안된다 이 언니는 찐이다개 찐이다여러분이거 백번천번하세여 진짜 유명한 유튜버 복부운동하면 목만 아프고 자극 안왔는데 목 하나도 안아프고 하자마자 배 탄력이 엄청 생김 내 처진 뱃살이 끌어올려지다닠어이없음 약간 야무진게 목소리도 그렇고 다이어트계의 차홍같은 나는 왜 이 영상을 침대에 누워서 시청하고 있는가 숨을 너무 빨리 쉬시는데 따라가다가 빈혈와서 쓰러질 거 같아요 
찰싹붙은 허벅지 안쪽살 챌린지빨리 빼고 싶으시다면 2주만 해보세요(안벅지 제거/허벅지살),2900972,82000,436,17827,2020.7.21,항상 지니님 영상 보면 싸이코패스가 되는거같아요 항상 지니님이 힘들수록 웃으라고 하셔서 입은 웃는데 말로 쌍욕해요 내적분열 하게돼요 후기입니다 저는 총 일동안 이 운동을 해줬어요 그 결과 영원히 갈라지지 않을 것 같던 허벅지 사이에 공간이 생겼습니다 둘레도 일차때에 비해 정말 많이 줄었어요 아마 제가 그동안 한 허벅지 운동중에서 가장 효과적이지 않았나 싶네요 식단 저는 아침에는 사과 한 개 점심에는 닭가슴살 샐러드 저녁에는 두부유부초밥이나 안심같이 기름기가 없는 다이어트 음식 위주로 해먹었고 시 이후로는 금식을 했어요참고로 입학 일전에 식단은 그만뒀어요 하루에 몇번했나요 저는 저녁에 밥 먹기 전에 한 번씩 해줬어요 아마 하루에 번씩 하시는 분들은 저보다 더 효과를 보실 수 있을거라 생각합니다 효과는 어땠나요 처음에 말씀드렸다시피 허벅지 사이에 공간이 정말 많이 생겼답니다 그리고 허벅지 때문에 못입던 청바지나 딱 달라붙는 트레이닝복도 지금은 잘 입고 다닌답니다 그리고 효과는 사람마다 다르니 제 후기는 참고용으로만 사용해주세요 전 정도 빠졌어요 다이어트후에 달라진 점 다이어트 후 제가 가장 많이 바뀐 점은 식단인 것 같아요 저는 다이어트 전까지만해도 음료수나 과자도 사먹고 집에서 툭하면 뭘 먹는 버릇이 있었어요 하지만 다이어트 후에 평생을 안먹던 샐러드를 먹고 인스턴트 음식을 다 끊으니 아침에 얼굴이 붓는 것도 줄어들었고 식욕도 정말 많이 줄었어요 이렇게 제 일간의 지옥이 끝났습니다 중간에 명절이랑 생일이랑 다 껴서 포기할 뻔했지만 지금 생각하면 그 때 안먹길 정말 잘한 것 같네요 일동안 좋아요랑 댓글로 열심히 불러주신 분들 포기하고 싶을 때 정말 도움이 많이 되었어요 제 후기는 이렇게 마치도록 하겠습니다 더 궁금하신 점은 답글로 달아주시면 최대한 답변 드리겠습니다 밑에는 제가 다이어트 기간동안 썼던 기록들입니당 예쁜 교복핏을 위해 월 일 진짜 자극 엄청나요 월 일 일차여서 그런지 근육통이 좀 있었어요 월 일 일차때에 비해 자세를 오래 유지할 수 있게 되었어요 월 일 저얼대 익숙해지지 않는 운동 월 일 허벅지둘레가 줄었어요 월 일 근육통이 거의 없어짐 월 일 모두 화이팅 월 일 근육통 아예없어졌어요 월 일 허벅지 사이에 공간이 생겼어요 월 일 조금씩 줄어드는 몸무게 볼때마다 엄청 뿌듯뿌듯 월 일 자극 진짜 미쳤어요 월 일 출석도장 찍고갑니다총총 월 일 예쁜 교복핏까지 얼마 안남았다후하후하 월 일 효과 진짜 댑악이에요 월 일 모두 슬림한 다리를 위해 월 일 댓글 달아주신 분들 덕분에 힘내서 운동하고 갑니당 월 일 삘받아서 번 하고 갑니다 월 일 헙 체크까먹을 뻔 했네여 월 일 안들어가던 바지가 들어갔습니다 월 일 뱃살도 같이 빠지는 매쥑 월 일 설날인만큼 더 열심히 월 일 오늘도 출석쳌하고 갑니당 월 일 안할래야 안할수없는 마성의운동 월 일 얼마 안남았으니 더 홧팅 월 일 교복치마 허리가 커졌네요엥 뭐지 그새 뱃살까지 빠진 건가 월 일 입학까지 월 일 삘받아서 번함 월 일 자극만큼은 최고 월 일 출삭체크하고 갑니다 월 일 오늘 교복 다시입어봤는데 효과 진짜 대박이에요 월 일 입학까지 일 월 일 식단은 오늘부터 그만뒀어요 월 일 후하후하 일 월 일 오늘도 홧팅 월 일 일차 때 사진이랑 비교하면 완전뿌듯 월 일 와 일 남았다 월 일 드디어 내일이 입학이네요 월 일 마지막 내일 후기 남기겠습니다 다시 찾아올수 있게 좋아요나 댓글 한번만 부탁드려요 진짜 키도 작은데 다리가 너무 굵어서 이거보고 이제부터 허벅지살 뺄려고요 이 댓글보면 좋아요 좀 눌러주세요 알람뜰때마다 오겠습니다 한달 후기입니다 힌달동안 매일매일 하루한번 해줬고 처음 일은 근육통이 있다가 요즘엔 자극이 이전보다 덜해서 스탑버튼 눌러놓고 동작 초씩 더하기도 해요 일단 눈으로 봐도 허벅지 사이 공간이 생긴게 보이고 바지 입어보면 확실히 핏이 달라졌어요 다이어트 목적이 아니라서 몸무게비교는 안했고 눈바디만 했어요 식단조절도 없었는데 일단 꾸준히 하시면 꼭 효과는 있어요허벅지 안쪽살 라인정리에 효과를 보았습니다 사람 한 명 살린다고 생각하시고 한 번만씩만 좋아요 누르고 가주세여 오늘 개인사정 때문에 못했습니다 효과 좋아서 더 연장할게용 저 어제 일찍 잠들어서 못했어요 으어 마지막인데 
출렁이는 팔뚝살 급히 빼야 되는 분들만 오세요(팔뚝살빼는운동/팔뚝살 빨리 빼는법/팔뚝살 완전 제거 운동),2490363,44000,433,6972,2020.6.1,이 선생님이 너무 좋은 이유는 내가 힘들어할때 딱맞춰서같이 찐표정으로 힘들어하고있기때문에너무 인간적이여서 좋다 이언니는 찐이에요딴채널이랑 달라요톡톡이된지 달차인데 하루에 언니운동시간씩 부위별로 하는데 인치나 주동안 하는데 줄었어요 다이어트 대성공이에요 시이후 금식했구여 간식 밥꼭꼭 씹어먹기 했어요 선 생 팔 중 에 져 버려 발 가 으로 칩 중간 광고가 이렇게 반가웠던적 처음이야 얘들아 이 언니가 왜 좋은지 알아 운동도 운동이지만 운동 따라하는 톡톡이들은 알거야 진짜 죽을듯이 아프고 힘든거 근데 지니 언니는 운동하면서 심심하지 않게 게속 얘기해주고 힘내라고 얼마 안남았다고 말하잖아 진짜 운동할때 안지루한거 처음인거 같아 진짜 이언니 떡상 했으면 좋겠다 
두툼한 등살빨리 빼려면 1달만 이 루틴하세요 (등살빼는운동/등살빼기/등살빼는최고의운동),2053929,35000,513,3205,2020.6.29,이정도면아 나 알았어 이제 알았어 지니쌤은 사실 안 힘든데 우리 위로해주려고 힘든척 하시는거야 아무리 생각해도 말하면서 운동은 불가능해 나 확실히 깨달았어 역시 지니쌤이야 등 운동 일째 어제 얼마전 새로 샀는데 조금 낑기는 속옷을 개시했는데 안낑기고 딱 맞는거예요 진짜 신기했어요 상의를 약간 벙벙한거 입고 나갔는데 뭔가 라인이 정리된것같다고 들었어요 팔뚝도 만져보더니 빠졌다고 더 열심히해야겠어요 감사해요 나의 천사 지니님 분명 시작할때는 괜찮았는데 뒤로 갈수록 등 가렵다 대박 저 등살부자인데 새로운동영상 떠서 지금 한 번 해봤는데 확실히 효과 있는거같아요 동영상 자막대로 쫀쫀해진 느낌이 들어요 앞으로 팔뚝 뱃살 허벅지살 등살 번갈아가며 할게요 와 한달 이라도 식단조절 해보면서 등운동이랑 팔뚝 운동 해볼게요 화이팅 출석 안하면 불러주세요 매일매일 출석할껍니당 많은분들이 저를 소환해주시거 불러주셔서 감사해요 여러가지 일들로 운동을 많이 쉬었어요 일 동안 등운동 팔뚝운동 등등 여러개 같이 하고 식단 조절 하면서 키로 빠졌어요 현재는 양심에 찔려서 간식 거의 안먹고 점심저녁만 먹는상태인데두 체중은 그대로 유지중이에요 오늘부터 다시 다른 운동이랑 같이 할꺼에용 키킷 댓글 많이 남겨쥬셔서 감사합니다 운동못해요 
다이어트샵에서 절대 알려주지 않는 현실적으로 살빼는방법 3가지,2019381,22000,618,793,2020.2.12,내가보려고 만든 지니쌤 꿀팁요약 하체운동을 많이해라 몸에서 가장큰근육이 대퇴사대근 허벅지 특정 부위를 빼는 방법은 존재하지전체적으로운동하고 앉아서하는것보다는 일어나서하는게 더 낫다 권장 탄수화물보다 적게 섭취해라 아침에 공복상태에 운동해라 탄수화물 없으면 지방을 끌어다 씀 근력운동 위주로해라 유산소는 요요올 가능성 근섬유 와 역시 다이어트도 과학이네요 제가 이관데 생명과학 박사님한테 다이어트 꿀팁 있으시냐고 여쭤봤었는데 그분도 근력운동 위주로 해야한다고 하면서 근섬유 이야기를 하셨었는데 역시 다이어트도 과학임을 다시한번 무릎 탁 치며 깨닫고 갑니당 다리안쪽운동 소름입니다 홈트란 홈트 많이해봤는데 동작 간단하고 효과쩔고 일했는데 안쪽허벅지 미친듯이 떨어졌어요 진짜 저 댓이런거 잘 안남기는데 너무 대박이여서 남겨요 진짜 애들한테 요즘 막 소문내고있어요 꼭하라고 인생홈트라고 진짜 하면서 에이 이정도 가지고 일만에 되나 이러면서 진짜 무념무상으로 했는데 하루하고 다음날에부터 효과보여서 소름돋았고몸무게는 늘어났는데 다리는 계속 빠지고잏오서 아침아마 진짜 소름돋아서 계속하고있어요 진짜 짱이에요 공복운동은 사바사 케바케예요 가벼운 스트레칭만해도 속이 울렁거리는 사람이 있고 웨이트해도 멀쩡한 사람이 있고요 전 공복 운동이 안 맞더라고요 해보고 안 맞다 싶으면 무리해서 하지 마시고 밥 든든하게 먹고 하세요 살빼려고 들어왔지만 과자먹으며 누워서 영상 보고 있는 내 인생 레전드 공복 운동이 진짜 몇 일째는 괜찮은데 어느 날부터 정신력으로 버티는 느낌임 아침이라 힘 다 빠지고 진짜 근데 하고 나면 기분 째짐 
밋밋한 엉덩이 미친듯이 끌어 올리는 역대급 중둔근 4분 홈트 운동(힙딥/엉밑살/애플힙),1962044,3000,855,899,2020.9.28,언니 언니의 시간으론 분 이겠지만 내 시간으론 분 그 자체였어 정말 미쳤어요이게 분이라니 하자마자 땀 엄청나면서 빠지고 지금 제 엉덩이는 제시 빵뎅이 부럽지 않네요 앞으로 시간 없다는 핑계 대지 않겠습니다 분만에 언니랑 되게 가까워진거같아 이런게 바로 전우애 난 왜 새벽에 누워서 이걸 보고 있는가 언니 혹시 다리살 전체 종아리허벅지 안쪽승마살뒷벅지 등 해주실수있나요 진짜 일날 졸업사진 찍어야하는데 다리가 안예쁘게 나오면 좀 후회할것같아서요 
출렁이는 지방단기간에 빼고 싶으면 이 유산소운동 1달만 하세요 (유산소 다이어트/전신 유산소 타바타/칼로리 폭발 운동),1925233,37000,260,4585,2020.6.22,다 하고나니까 얼굴에서 심장이 뛰는거 같음글구 중간중간 웃으라고해서 웃으면 뭔가 내 자신이 싸이코패스 같음 어쩜 이렇게 효과좋은 엿같은 동작만 만드시는지 이쯤되면 내가 신지니를 좋아하는 지 싫어하는 지 헷갈린다 추가 아니운동 끝나고 왔는데 이게 뭐라고 좋아요가 땀이 많이 나서 그런지 하자마자 키로 빠짐 그냥 평생 신지니를 사랑하기로 결정 추가 아니언니엿같다고 했는데 고정하지마요민망하게 아니 브레이크 타임은 써놓고 왜 없는건가여 원래 홈트 중간에 광고 나오는 거 싫어하는데 오늘 이거 첨 하던 도중에 광고 나오길래 감사하다고 절함 원래 댓글 도 안다는데 년동안 키로 내내 유지중이었고 살이 잘 빠지지도 찌지도 않는 체질입니당 즉 무슨 유산소운동을 하든 잘 안빠졌단 뜻 월부터 월 지금까지 그냥 꾸준히 신지니쌤 운동했더니 오늘아침에 찍었네요뭐죠 주로 이 운동이랑 뱃살폭파 운동 개씩하고 허벅지 폭파 아주 가끔하고 팔뚝 분짜리 했구요 매일했던것도 아니었어요 한달에 주하고 나머지 주는 쉬는식으로 했나 기억도 안나요 여름중 한달은 아예 쉬었던것같아요 그래도 동작 하나하나는 정확히 따라하려고 노력했습니당 하도 쌤 에너지가 활발하시다보니 따라하다가 재미가 붙더라구요 강박관념 없이 했구요 다른 다이어트 유튜버분들 영상은 좀 지루한감이 있어서 노래 꼭 들었는데 신지니 쌤꺼는 꼭 쌤 목소리만 들으면서 같이 했습니다 먹는거 좋아해서 식단 관리안했구용 그렇다고 야식이랑 간식 주구장창 먹진 않음 삼겹살 핫도그 엽떡 프링글즈 버블티 마카롱 이런 간식들은 일주일에 꼭 번씩 먹어줬어요 그런데도 군살 싹 정리되고 허리 에서 되있고 겨드랑이살 온데간데 없고 팔뚝 정리되고 없던 쇄골도 좀 튀어나올려하고 뭐 말 다했네요 다이어트영상 유목민이었는데 이젠 늙을때까지 걍 맘편히 신지니쌤 영상만 볼려구요 코로나만 끝나면 돈 많이 벌어서 신지니쌤 스튜디오에서 수업받고싶네요 학생이라 피티나 개인필라테스 부담이 많았는데귀한영상들 공짜로 많이 올려주시니 정말 감사한 마음일뿐입니다 쌤 유튜브 광고수익이건 뭐건 진짜 다 받으시고 번창하시고 영앤리치 혼자 다하세용 사랑해용 하튜하튜 
