title,view,like,unlike,comment,date,comment_text
특수부대원들이 극찬한 FPS 게임 【현실모드】로 진행해보기,2308766,17000,665,2548,2020.8.1,아니 분 영상편집 미친거 아녀 편집자님 좀 쉬세요 열중쉬어 와 이건 편집 즐기지않았으면 못했을 길이다 아니 편집자님 월급이 얼마여야 존경합니다 야 그범인 스쿨버스가 잡았다며 두번째 빅헤드인줄 알았는데 편집된 빅헤드여서 놀랐는데 이걸 편집했다는게 더 놀랐다 편집자님 월급 더 
【레전드】 2만명의 한국인이 감동한 레식 한일전,2268772,23000,530,3623,2020.12.15,얘가 좀 머리가 커서 그렇지 게임은 잘해유 응원해주신 덕분에 아슬아슬하게 이겼습니다 좋아요 구독 댓글은 유튜버에게 큰 힘이 됩니다 외국 게임 왜케 잘하니 한국 못하면 부모님이 돌아가셔 내가 하면 이론상으로만 가능한 플레이 그 실력이 썩어가던 빅헤드가 맞나 머리가 커진다 
[오버워치 실험실] 5메르시의 힐량을 뚫어라 케릭터별 DPS 실험,2245952,5800,603,1438,2016.7.4,도와주는 애들이 말을 안들어 아나궁받은아나가 궁걸어주면어케됨 빅헤드 초심이지 이게 목소리 왤케 귀여워 뭐여 기엽잖아 편집 봐 진짜 편집도 귀여워 이땐 빅헤드가 굉장히 목소리가 앳됬구나마이크가 다른건가 
2분 만에 전부 죽이는 빅헤드 & 중력의 레전드 플레이어몽어스,2122619,22000,820,2551,2020.7.28,어몽어스에 재능있어 저를 죽이려했어요 무빙이 수상해요 등 증거없는 선동과 감성추리만 보다가 논리로 하나하나 논파하는거 보니까 게임 개재밌네 다른사람 원자로에 있었음 별다른 증거없네 그럼 그냥 스킵 이게 우리들이 하는 어몽어스 아닌가 진짜 진심으로 감탄나온다 이 사람 진짜 머리 좋다는거 진심으로 느껴짐 보는 내내 여러 정황들 바로바로 캐치해내고 결론도출해내는 수준이 놀라움 여지껏 많은 트위치 스트리머를 봤지만 이렇게 지능적인 스트리머는 처음 봤다 유일하게 개호감 바로 구독박음 머리가 크면 능지도 좋다는것이 과학적으로 입증되었다 
자동차로 시청자 100명 교통사고 대박컨텐츠/ [배틀그라운드 플레이그라운드] 빅헤드,1962299,19000,893,2039,2018.4.7,이분 시청자들은 다 개념이 있나보네 보통 저렇게 모이면 말 안듣기 마련인데 명 죽이는것보다 모은게 신기함 속이 뻥 뚫린다 와 시청자수준 진짜 높네요 대박 수류탄 명이서 던지기 또는 연막 명이서 존나 가운데 퍼붇기 아님 화염병 명이서 던지기 아님 총으로 명이서 나무집 뿌시기 
세상에서 가장 귀여운 오버워치 유저들  / 빅헤드의 옵린이 탐구생활,1553885,11000,892,1291,2019.1.12,지금 특정당을 지지 하시는건가요 와한달전에 옵치 시작한 뉴비로서영상 내내 남일같지 않아서 맴이 아프다인사하는 법 그저께 제대로 익혔는데큐 뉴비님 요새 빅헤드 인성 괜찮아졌다고 누가 그랬냐 좋아요와 댓글은 좋은 편집에 큰 힘이 됩니다 영상에서 나왔듯이 한 케릭당 번 초과로는 안 죽였이고 쫓아다니면서 구경만 했으니 걱정말라구 
[배틀그라운드] 빅헤드 - 솔로 26킬 저격의 신,1434802,4500,443,618,2017.10.12,히익 배린이들 학살당함 왜 축구하는 초딩들 사이로 메시가 뛰어드는거 아 진짜 팬티 이거 밖에 없는데 내가 킬째 주인공이라니 정말 치욕스러우며 영광스럽습니다 히익 빅헤드 그는 대체 
*공식 대회 중 포탑으로 저격수랑 맞짱뜨는 미친 방송인들 ,1396559,1000,294,701,2020.5.15,두번째 빅헤드 채널에 풀버전 올라가있음 요 근래 참여한 대회중에 제일 재밌게 참여한 것 같아요 꼭 확인해보셈  형 편집자 월급 올려줘 인트로 진짜 미쳤다 순간 놀라서 키보드에서 손 뗐다 콜옵은 역시 불나방 마냥 꼴아 박아야 
어몽어스를 할 때 순간포착능력이 정말 중요합니다 누가 죽였을까요,1392512,13000,369,1257,2020.8.8,진짜 이 형 인생겜 찾은 거 같다 원래 머리 크기랑 능지에 크게 관계가 없다고 생각했는데 이 형 보고 좀 바꼈다 춘향님은 또있넼 다른 유튜버분들 어몽어스하는거 보고 와도 다 있어 다들 실력이 좋아서 시체 떠도 이전 킬 상황들으로 따지고 하니까 임포여도 힘드네 임포를 회떠버리는 파티는 이파티밖에 없는듯 어떻게 저렇게 깔끔한 추리들을 전부다 할수가있지 이게임 목소리 큰 사람이 이기는거 개그켬이였는데 빅헤드 플레이는 속이 빵 뚫림 그래서 풀영상봤더니 빅헤드 퍼블겁나 당해 빅헤드 잘하는거 알거든 
32524명이 감탄한 빅헤드 & 서새봄의 깔끔한 살인  어몽어스,1341608,13000,333,702,2020.7.24,이겜 뭔가 크루일때 의심받는것보다 임포스터일때 킬 안했는데 의심받는게 더 열받는거같음 소연님은 강소연님인데 편집자가 연예인 사진을 가져왔습니다 이런 도현이 죽을때 범인은 인간젤리 이러면서 죽는게 웃음벨이네 진짜 단말마같음 진짜 막판플레이는 와 탈인간 빅헤드님이 임포인지 구분하는 방법 평소처럼 굉장히 그럴싸하고 논리적인 발언으로 족집게처럼 임포 맞췄는데 평소와 똑같은데도 갑자기 틀렸다 그럼 임포 
