title,view,like,unlike,comment,date,comment_text
[공포게임] 외계인을 키우는 게임 : 밥주면서 애지중지 키우기 [수탉],2987264,16000,1300,1952,2017.1.7,이게임으로 부모님의 기분을 느껴보세요 진짜 이분 욕도안하고 일부러 웃길여고도 안해서 너무 편안하게 부담없이 볼수있어서 좋다 게임을 소개하고 보여주는 취지에 제일 잘맞는거같음 먹여주고 키워줬더니 지혼자 사춘기 와서 가출함 제임스 좋아요구독하기 눌러주세요 그래픽 괴물에게 영혼을 팔정도로 열심히 파놓고 나먼지는 대강짜놨넼 
수탉의 즐거운 GTA5 인생모드 (2편),1884600,17000,537,2145,2019.8.26,여기 주변사람들 다 수탉님 엄청 좋아하는 것 같음 그래서 납치하고 죽일려는척만하고 다 들어주고 계속 같이 하고 싶어서 제안하는거 너무 웃김 아 나 꼬깔콘이 제일 웃겨 자전거도난당했다가 쿨하게 회수해가고 지나가다 경찰차에 치이고 제일 평범한사람같은데 제일웃겨 편 역시 편집이 되는대로 업로드할게요 재밌게 보세요 수탉님 자전거 좀 빌릴게요 강탈 꼬깔 뭐여 개웃김 그 뒤에 점잖게 찾으러와서 궁시렁댄대는것도갸웃김 아 깔콘이 작게 춥습니다 선생님이것도 개웃기네 
발디의 수학교실 애기모드 이젠 누구나 깰 수 있다,1538267,11000,513,1152,2018.6.1, 학교 쉬는 날 그동안 즐거웠어요 발디 수학 선생님 좋아요구독하기 한 번씩 부탁드릴게요 수탉님웃는거너무좋아엉엉엉엉 맞아놓고 너무 좋아해 애기수탉 
60초 핵 폭발에서 살아남아라 : 네이버만 믿으면 100% 생존 -1-,1440966,7700,550,954,2017.7.23,외국의 어느 한박사가 그러더군요 핵이 떨어질때 아니 떨어지는줄도 모르고 평온하게 있다가 악소리도 못내고 순삭으로 죽는게 오히려 행복할꺼라고 어설프게 살아남으면 매일매일이 지옥 일꺼라고몇년 혹은 몇십년을 방공호 지하에서 숨어 있어야 하고 밖으로 나올수있다 해도 물 식량을 걱정해야 하고 또한 무정부상태로 인한 혼란 살인이나 성범죄 기타등등으로 항상 긴장하고 살아야 하니까 잠도 제대로 못잘꺼고 이런 이유로 하루하루가 지옥 일꺼라는겁니다 게임에서 웃긴게 가족들이 스스로 안들어감 영상 편집이 잘못됐다는 걸 올리고 나서야 알아버렸 다시 재업로드 했습니다 좋아요구독하기 한 번씩 눌러주세요 아니 딸은 굶어도 살 안빠지네 누구야 그렇지 저거챙겨 아내챙겨 가 넣어 됐스 틔미챙겨 그렇지 딸챙겨 다챙겨 빨리빨리 시간끝나고 물물물물 물을안챙겻어 다시 
AI 인척 속고 속이는 꿀잼 술래잡기 게임 : 블레이드넷 (BLADENET),1389196,1000,450,736,2017.11.9,전세계유저 명중 월드랭킹 위 여윽시 대단합니다 진짜 재밌는 술래잡기 게임인듯 좋아요구독하기 한 번씩 눌러주세요 와 이렇게꿀잼인데 왜아무도안하지 여윽시 명중에 등한 월드클라스 월드랭킹 위 축하드려욬 
[병맛게임] 해피휠즈3D (Guts and Glory) : 아빠와 아들의 여행-1- [수탉],1357634,1000,459,1095,2017.3.3,아들이름이 무게중심이군요 수탉 목소리가 좋은이유 목소리가 굵으면서 귀여우며 욕을 거의 안쓰고 수탉이 좋은이유는 게임을 허세부리다 죽고 항상 계획한것처럼하는 말빨 잘되는 도중 죽는 게임실려등이 수탉의 매력이다 오래간만에 공포 게임이 아니라 살짝 코믹 게임 플레이 영상을 올립니다 방송에서 간단하게 해봤는데 재밌더라고요 간단하게 할 생각으로 녹화 안 했다가 너무 아까워서 아프리카 다시보기에서 다운로드하고 업로드합니다 그래서 왼쪽 상단에 아프리카 로고가 들어가 있어요 존나웃기넼 안 본 사람은 있어도 한번만 본 사람은 거의 없을듯 역패륜 자식이 패륜을 하기전에 부모가 먼저 패륜을 한다 
[공포게임] 바이오하자드7 DLC : 침실 / 살고 싶으면 탈출해라 [수탉],1293829,8000,260,727,2017.2.27,진짜 농담아니고 나는 여러 들 보는것보다 딱 한 한테만 꼽혀서 보는편인데 그전에 어떤 비제이님거만 듣다가 최근에 수탉님 접하게 됐는데 진짜 목소리도 좋으신분이 조근조근 얘기하고 막 공포게임 인데도 시끄럽게 괴성안지르고 말할때 단어나 그런것도 너무 유치하지 않게 말하시는 덕분에 지금 주구장창 수탉님꺼만 보는 중입니다 이분꺼 보기시작하면 다른 비제이거는 볼 엄두도 안나요 진짜결론은 수탉님 사랑해요 항상 응원할게요 썸네일만 보고 국밥집할머니인줄 알았어요 년에 보는사람 없겠지 재밌게 보시고 좋아요구독하기 한 번씩 눌러주세요 아마 이번 영상이 바이오하자드 마지막 영상일 거 같네요 추가 가 나오면 플레이영상 올리도록 하겠습니다 우리아빠 임자있는데 많은분들이좋아하뉍헤헤 
60초 핵폭발에서 살아남기 : 과학자 엔딩이 있었네 (60 Seconds),1246267,7500,443,830,2018.2.26,과학자 드립치면서 우주선 태운다음 바로 땅에 꼬라박아 죽게만들고 집뺏은거네 이게임 처음에 나왔을때도 그랬지만 의외로 무서움 과학자 엔딩은 뭔가 사기당한 느낌이 강하네요 좋아요구독하기 한 번씩 부탁드릴게요 바쁘신 분들을 위해 토마토 수프는도대체 어떻게 만들어서년 동안보존할수 있는 거야 형 목소리 되게 섹시하시네요 
오랜만에 진짜 고퀄리티 실사 그래픽 무서운 게임이 나왔다 (PRECIPICE),1228371,9000,372,1216,2017.6.13,제가 겁쟁이가 아닙니다 이 게임이 무서운 겁니다 진짜로 참고 하시길 문 열때 불꺼짐 돌발행동 켜짐 문 열때 빨간불로 바뀜 불 꺼짐 조명 옆 클러버 불 꺼짐 벨 소리 아우 씥 다시 클러버 등장 빠아아아아앙 까꿍 수탉의 알 낳는 소리 마네킹 수탉의 두번째 알 낳는 소리 클럽 입장 천장 하 그럼 이제 속옷 갈아입으러 가야지 못본사이 댓글 좋아요가 미쳤네여 빤쮸는 잘 갈아 입으시면서 보시길 하트 하하트 샤워하고 누워서 오랜만에 이 영상 찾아봤는데 무섭긴 무섭네요 기저귀를 차야하나 수탉님 영상은 올리자마자 바로못봄 쫌 시간 지난다음 선발대가 좌표보내줘야 그제서야 좌표보면서 봄 몰라 다시체크할자신없어 그쯤 다들 조심하세요 내 평생 최고의 비명과 심멎이었습니다 정확하지못해 미안해요 두번은 못봅니다 놀라고 끝날때까지 울었어요 나 다른 비제이는 화면전환 확확하는데 수탉님은 개천천히해서 그게 쫄림 진짜 지림 
유저가 없는 오래된 온라인 게임을 하던중(공포게임),1211754,12000,357,978,2019.11.13,수탉님 첫번째 게임 저거 마지막에 머냐면 게임개발자가 관전자로 들어온거에요 이 게임은 자기 아내를 살리려는 일종의 의식 포탈같은건데 주인공이 깃발을 갖다놓으면 게임이 끝나버려서 아내를 데려올 수가 없대요 그래서 주인공한테 제발 깃발 갖다놓지 말라고 사정사정하는겁니다 중간에 나왔던 귀신도 아내를 어느정도 불러온 모습이구요 근데 게임 진행 상 결국 갖다놓게 되고 게임이 터지면서 게임 개발자는 아내를 구하지 못하게 되는 그런 빌런같은 수능 보시는 분들 다들 시험 잘 보세요 파이팅 배경화면때문에 팬겜인가 했넼신박하다 오늘의 킬링파트 싸가지없는거보소 핵쟁이 인성보소 생긴거 싸가지없는거 보소 아니 마지막에 사람 들어와서 대사치는거 중요한 부분인데 그냥 깃발 갖다버리면 어떡해여 
