title,view,like,unlike,comment,date,comment_text
안정환 45m 한강횡단슛 공 궤적 보소 ,12132621,4000,2100,3581,2016.3.15,안정환 처음에 실패하면 내가 만원 기부하지 할때 왤케 멋있냐 모자 패딩 겨울 청바지 운동화 바람 이 악조건 속에서 해내는게 대단한거다 공이 어떻게 저렇게 휘어 와 진짜 멋있다 축구화도 신지않고 바람이 저리부는 상황에서 저 나이에 저 거리를 정상적인 사람이라면 까지 말고 칭찬하는게 일반적이지 저것을 욕하면서 까는 사람들은 병원에 한번 꼭 가보시길 오 만회 찍었어 
태권도 국가대표가 축구를 하면 생기는 일 ,11524637,6000,2600,6346,2016.10.5,저것도 태권도 잘한다고 무조건 잘한다는거 아님 이대훈 선수가 축구를 잘하네 골기퍼 부상당했는데 왜 밟고 갘 이대훈 존나 잘생겼어 태권도 종주국인 대한민국에서 년동안 국가대표하고 있는 급 세계랭킹 일위 아시안게임 연패한 이대훈선수 축구도 잘하네 이건 태권도를 잘해서가아니라 걍 실력이오지는거임 
이천수 35m 밖에서 농구골대 골인시키기에 도전,11087178,53000,1900,6484,2016.5.10,첫방에 백보드를 맞추는거부터가 말이 안되지않냐 프로는 프로 갓천수는 갓천수 골을 넣었다는거 보다 번차서 번 골대 맞은게 소름이다 말그대로 운이 아니라 실력이었네 개인적으로 볼때 너무너무 대단한게 첫킥부터 백보드 맞춘게 사기급 찬게 백보드 왼쪽으로 떨어지니 약간 저쪽오른쪽으로 맞춰야되는데 하고 번째 찰때는 우측조정이 커서 백보드 오른쪽으로 아예 비껴나가고는 번째에는 거의 중앙 골대로 떨어지게 조정했으나 높이가 높았음 그리고 마지막 번째에 높이조정 맞춰서 골인시킴 자기 축구화 아니랬는데도 발감각으로 차차 정확한 조정이 되게 볼을 찬다는게 경이롭네요 알파고가 오차 수정해가는 과정인줄 역시 킥천수 개쩌네 이 동영상은 영어 자막하고 제목 만들어서 해외에 좀 알려봐라 
박지성이 우리 팀에 일일용병으로 나온다면 (100% 리얼)  l 슛포러브 Shoot for Love,10996624,63000,2500,6588,2018.9.8,교회에 예수 나타남 전화받은 부리그 참가중인 단장 이준호입니다 제가 존경하고 제일 좋아하는 박지성 본부장님인줄은 꿈에도 몰랐네요컬러링에서 들으셨듯이 강원 에서 일하고 있습니다지난 월에 강릉 오셔서 저희팀 촬영해주시고 홍보해주신 감사합니다 강원 도 챔피언스리그에 나갈 수 있게 응원 부탁드립니다 다음에 좋은 인연이 되면 또 만나겠죠 는개뿔 저 지금 침대에 누워서 폰으로 보다가 이불킥 했습니다지금 팀원들 단톡방에서 욕 오지게 먹고 있습니다 날짜도 기억합니다 월 일 토요일 시 분에 저랑 초 통화하셨더라구요 원래 모시려했는데 말년 휴가 나온 신입회원이 온다해서 박지성 본부장님 거절하고 제대 안 한 병장 회원 불렀어요 항상 한국 축구 위해 힘 써주시는 사랑합니다 영상 재미있게 보셨다면 좋아요와 구독 부탁드려요 저보고 팀원들이 단장직 유지하고 싶으면 최용수 해설위원님 일 감독으로 모셔오래요 한쿼터 튕기신분 지금 이거보고 얼마나 울부짖을까 박지성 조기축구 뛰는 소리하네 진짜 뛴다고 해버지님 슈포러브에 약점잡힌게 잇다면 다음출연에는 당근을 들고 나와주세요 
월클 손흥민의 런던 일상 최초 공개합니다 역시 이러니 월클일수밖에 l 슛포러브 Shoot for Love,10936289,15000,4000,10758,2019.2.11,이번영상 당한 횟수   역시 발연기 보소 발로 하는건 다 잘하네 쏘니 왠지 한국인 영상에 외국인들이 많으면 동지를 찾기위해 계속 내리게 된다 
멕시코전 앞두고 손흥민과 치차리토를 만난 박지성 긴 대화가 진짜 필요없는 듯 l 후방빌드업 in 러시아 월드컵 l 슛포러브 Shoot for Love,10601088,53000,1000,4387,2018.6.23,현 에이스의 부담감은 전 에이스밖에는 모르지 저기에 유해진 세워놨어도 헤이 지 하우아유 했을듯   박지성이랑 허그한 두사람 다 골넣음 우리 독일전에 박지성 연습장에 투입시켜서 황희찬 손흥민 이재성 차례로 허그하게 합시다 
미친 역대급 알바생의 하루 일과 (조회수 1회당 100원 기부됩니다) l 슛포러브 Shoot for Love,8780977,84000,2500,9370,2018.7.7,이건 몇번을 해야 가능한거여 계속누르면 춤춘다 여러분이 이 영상을 시청해주실때마다 소아암 환아와 가족을 위하여 홈플러스 파란재단이 조회수 회 당 원씩 기부해주시기로 했습니다 최대 억원 까지 기부를 약속해주셨는데요 만 뷰면 억을 기부할 수 있습니다 만뷰 가즈아 카트 안 걸어 도둑이라는 사람이 뽀로로 음료만 담넼 
(몰카)밀랍인형인 줄 알았던 박지성이 진짜 박지성이라면 l 슛포러브 Shoot for Love,7607083,48000,969,3564,2020.2.28,아 내가 받지성이었으면 빵 터져서 절대 못할 듯 눈 떠봐에서 부터 터질 거 같음 저 상황에서 진짜 로봇처럼 연기하는 박지성선수도 대단하지만 계속 말도안되는 소리만하시는 옆에분도 대단하시다 아 박지성 대단하다 저 정도로 마인드 컨트롤이 되니까 세계 탑이지 나같으면 헤이 지성에서 무너졌음헤이지성씰룩경련 흥민아 너의 미래다 와 이제 박지성을 모르는세대가 있구나 
뭉쳐야 찬다 정형돈의 트래핑 수준은 역시 타고난 운동신경 l 슛포러브 Shoot for Love,6560955,24000,1300,2227,2019.8.6,예비군 아저씨들 사이에서 고생하는 조교들 막걸리거하게 먹은아재들 차쏠테니까 유투브찍는다고 앉혀놓고 찍는것같네 허재감독님 올타임레전드 중국기자에게 뭔말같지도 않은 소리를하고 있어 씨팔 허재감독님한테 차범근감독님이 차주면 한번에 끝났을듯 잘 좀 하자 어려운거 아니잖아 감독때 많이 하시던 멘트라 딱딱 붙네 
손흥민에게 해축갤 손흥민 드립 모음을 보여주었닼 l 슛포러브 Shoot for Love,6260920,5000,773,4432,2018.3.22,손흥민 등번호가 번인 이유 절대 공을 일이 없기 때문 손흥민 그만 보고싶다 그만보고싶다 손흥민이 빛이라니 빛저를 손흥민이라고 불러주십시오 이천수 적응못하고 자꾸 얼타는게 젤웃김 우리흥 늘 이렇게만 웃어 울지마 
