title,view,like,unlike,comment,date,comment_text
[ENG]세상에서 제일 맛있는 젤리 영양제 보증리뷰 미국과자 화장품 직구는 덤으로,80956,2300,13,199,2021.5.3,해외 제품 직구 사이트이지만 아이허브 물류 센터가 인천 공항에 유치되어있어서 빠른 배송이 가능하다고 합니다 아시아권 물류는 우리나라가 책임진다고해요 영양제는 역시 젤리지 려리님이 왜 거기서 나와 왜이렇게 해맑아요 나도 모르게 아이허브를 검색하고있는 나를 발견 와 려리님 려리님과 씬님의 콜라보라니 세에상에 행복하다 언니 비건 제품도 알려주시고 진짜 섬세하시고 너무조아 
[ENG] [찐친텐션 ;;] 친구랑 옷 바꿔입기 : 라뮤끄 vs 씬님,247797,3300,52,229,2021.5.1,회사원님이랑도 옷바꿔입기 해주세요 회사원님의 경듀경듀한 드레스를 입은 언니의 모습을 보고 싶다요 언니 유튜브 고인물로서 라뮤끄 씬님 곽토리 명 찐친텐션 컨텐츠 찍어주세욥 아니 잠깐만 최근 잘 산 옷에 원래 핏입은 씬님 지금 복근 있으신거에요 진짜 복근이야 뭐지 이 배신감 원래 핏 보여주는 거 넘 좋네요 사이즈 안맞는게 남일같지 않다 
[ENG] 리얼 일상 브이로그곽토리카페 가서 메뉴 다주세요 해보았다 ,225667,2900,48,128,2021.4.23,아니 울애긔들 왜 짜부라트려낫엌 아뉘 언니 오프닝 불화자 김치 인줄 알았어요 온니 브라 좀 그만 튕겨요 씬님빅사이즈 분들을 위한 속옷 좀 만들어주세요씬님이 만든 속옷은 믿고 살 수 있을 것 같아요 세상에 언니 내가 아는 유투버 중 불화자 리뷰 젤 찰지게 하는 언니 
[ENG]씬님 x 햇님 콜라보 햇님언니 머리부터 발끝까지 메이크업 해 주기 + 봄 패션룩북 ,372055,7300,122,525,2021.4.18,저 옷 입히느라 진쯔 수고 많았어용 우리 씐님 울 언니 메뉴랑 가격은 물 흐르듯이 개잘읽는데 화장품 이름은 한글자씩 읽으시넼 두분같은 그림체 같은 재질느낌이라 보기 너무 재밌네욬 자라야 보고 있니 빼빼마른 사람 보다 이렇게 키도 크고 체격이 좀 있는 사람들도 예쁘게 입을 수 있는 옷이 많다는 걸 광고를 하는 게 더 효과적일 것 같아 그러니까 씬님 햇님님 두분다 모셔서 광고 진행하자 제 최애 두분의 조합이라니 갬동그나저나 두분 십년지기 마냥 케미 쩌는거 신기 
[ENG] 요즘하는 메이크업 & 악세사리  (SSIN x Tomorrow Object),57209,918,30,86,2021.4.5,씬님 쌉고인물 구독자라서 요하메란 단어가 너무 반가움 슨상님 렌즈 정보 궁금함미다 오늘도 부라자언니 너무 아름다브십니다 연주 앞에 있었으면서 왜 박수 안 쳤어 오늘도 씬님 미모에 치어 죽고 귀걸이 주문 완료했숩니당 씬님이랑 같은 귀걸이라니 행보케 
(ENG) 씬님 팬티 몇장이게 팬티 80장 부라자 30개 같이 정리하자  방청소 시작,121431,1800,43,227,2021.4.2,하루에 다섯장씩 입는거 같은데 빤스사러가야지 씬님 저 핫팩 정보 한번 다시부탁드려요 플렉시 찜질팩 쳐도 안나와영 씬님 저요저요 불화자 뒤에서 훅크 채우는 사람이 접니다 저는 평생 뒤로 채우고 살았어요 앞으로 채우면 앞으로 돌려서 팔 끼우는게 귀찮아서 그냥 한번에 뒤에서 채웠던 거 같아요 원래 한번 정리할때 다 뒤집어 엎어야하는거 아시죠 미루고 미루고 미루다가 와 이제 더이상 사람이 살 수 없다 싶을때 이제는 내부라자보다 언니 부라자 더익숙해졌어 
꾸안꾸  어떻게  하는거지  아는사람;;;;;; (엑스라지 사이즈 이미지변신 메이크업),294763,4100,53,267,2021.3.28,언니 진짜 장난기 많아서 그렇지 너무 예쁘고 모든 스타일 다 잘 어울린다 이와중에 쿨톤 섀도우 팔레트 너무 이쁘다 사고 싶 어쩐짘 어쩐지 난 꾸안꾸가 안어울리더라도르륵 아니 복근이 있다고라고라 꾸안꾸의 정의 진짜 너무 공감해서 눈물 또륵 흘리고 갑니다 아냐 섹시한 이미지 아니라 망가지큼되게 쿨한 이미지인뎁 
[ENG] 생활밀착형건강아이템 10개 추천 // 저자극마스크 다이어트 도시락 콜라겐크림 1초만에 잠드는 이불 ,170255,2900,41,383,2021.3.21,벨근당 띠링띠링 대기탈게요 오틀리랑 아몬드브리즈 저도 진짜 조아해욥 세계 최초 침구류까지 추천해주는 뷰티 크리에이터 아니 이분 속옷 유튜버 였던거 같은데 언제 이렇게 영역을 확장하셨져 다노티비도 씬님을 좋아합니다 아니 언니 거길 왜 늘려 왜 대체 왜 
ENG sub [Drivlog 1] 초보운전 드라이브 - 일주일간의 기록 ,106118,1600,73,130,2021.3.19,나랑서킷가쟈 초보운전을 벤츠로 하는 멋진 언니 서킷갈수있는거죠 엥 씬님 팔 한쪽 걸고 선글라스 끼고 노래 흥얼거리면서 드라이브 하러 가는 사람 같은데이게 바로 이미지로 보는 상상의 나래 씬님 드라이버 느낌인데 초보라니 뭔가 새롭다 친근해 
(Subs) 리뉴얼로드샵 원브랜드 메이크업 : 스킨푸드(2021) 나만늙었지또 Korean one brand makeup : SKINFOOD |SSIN,154643,2800,91,288,2021.3.15,씬님선생님 다음은 롬앤이 보고싶습니다 전 그럼 이만 브로우 사러 총총 와 진심 요즘 화장품이 다 상향평준화 돼서 이미 하신 브랜드들 다시 안 해주시나 궁금했는데 존버는 승리한다 타임라인 한땀한땀 꿰맨 정성 대박 경건한 마음으로 시청할게요 스킨푸드는 기초제품이 정말 좋다는 역시 스킨케어맛집이라 스킨케어로 피부를 좋게하고 색조만 올리라는 의미일까요 
