title,view,like,unlike,comment,date,comment_text
(JPN/ENG)피치코랄 메이크업 같이준비해요  폭풍수다주의 (+폭풍하소연)아름송이 areumsongee,8448847,16000,3800,5499,2018.4.13, 송충이등 오늘은 수다떨면서 같이화장해요 폭풍하소연 이해해주시면 감사해오부족한점있으면 언제든 알려주세용 즐거운 주말되세욤  니네가 한국어 배워라 거 참 한국인 찾기 힘드네 
(JPN/ENG)눈이 2배이상 커지는썸남저격 메이크업/눈성형메이크업아름송이areumsongee,4021054,85000,1200,2627,2017.6.12,     
(JPN/ENG)공포의 얼짱시대 시절 메이크업 재연하기   아름송이 areumsongee,3047046,26000,1400,3512,2017.3.5,흑역사라고해도 일반 학국 고등학생이 전국 청소년 트랜드를 이끌어갔던 것도 진짜 대단하다 방금 업로드해서 화질이 안좋은것같아요조금만기다리시면 좋아진답니당 눈썹을 안그릴수있었던 이유는 앞머리 삼지창이었자나 이분진짜 화장 진하고 일진같아서 싫어했었는데 진짜 인성이 보임너무 착하고 그냥 순한 양같애 과거의 자신을 잊지않는 사람은 왠지 멋있다 
(ENG) GRWM 피팅촬영하는날  같이준비해요(데일리브라운메이크업 피팅모델메이크업)아름송이areumsongee,2133466,3000,730,1157,2017.6.7,송충이들겟레디윗미 영상은 영양가없이 나혼자 수다떠는 느낌이라 안좋아하실거라고생각했는데 생각보다 좋아해줘서 오늘도 감동사랑해요 내 송충이들담영상 모찍을까용 진짜 머리 묵고 잤는데 일어나보니까 머리끈 없는 거 공감 익 왠지 아침에 일어난 쌩얼 너무 아기같구 귀여우신데용 진짜 정말 이것만 보고 공부한다 솔직히 얼짱시대때 좋아하진않았는데 말투나 표정이나 뭔가 다 선해지고 바뀌어서 호감형된느낌 
(ENG/JPN)내맘대로 일본느낌 메이크업같이 준비해요 勝手な日本っぽいメイクアップ 一に準備してみましょう！,2079430,43000,777,2038,2018.9.7,     
[광고](ENG/JPN)(GRWM)역대급 비포애프터요즘 최애템으로 일어나자마자 같이 준비해요,1778885,31000,630,851,2019.7.26,꾸민듯 안꾸민듯 개꾸민 메이크업    진짜 인간적이고 솔직하고 매력있고 너무 예뻐요 
생일파티 하러가는날오랜만에 같이 준비해요(폭풍수다) (ENG/JPN SUB),1547518,21000,763,719,2019.5.10,  와선물로만원대라니진짜 대박이당 영앤리치프리티 오랭만에 겟레디 입니다 여러분 어쩌다보니 이사브이로그보다 겟레디가 먼저 올라가버렸어요 다음주에 올라갈 브이로그도 마니 기대해주세용 다들 즐거운 주말 진짜 신기한게요 아름송이님 영상은 전혀 빠르게감기를 안하게되요 꼭 말하시는게 친구랑 말하는거 같은 느낌인지 처음부터 끝까지 잘 보고 듣게되요 영상 앞으로도 자주자주 올려주세요 너무 좋아여 
시간이 없다우당탕탕 겟레디윗미 송l으l 호r6일1 (ENG/JPN SUB),1478129,2000,600,788,2019.4.7,    안뇽 송충이들요 영상은 한달전쯤 촬영했던 영상이구여 구름이는 지금 집에서 치료하구있구 거의 다 나아서 다시 많이 활발해졌어요 다행이죠 걱정하실까봐 알려드려요 영상 재밌게보세뇨 
sns에서 소문난 립제품들 발라보고 솔직한 후기를 알려드릴게요   아름송이 areumsongee,1338865,14000,827,1249,2017.2.22,여러분제시선이 오른쪽을보고있는이유는 누가있는게아니랑 저혼자 영상촬영을 많이해서 엘씨디화면을 보면서 촬영이잘되나안되나 확인차로 계속 보고한답니당 보기불편하시다면 바꿔보도록할게용 그냥 단순히 얼굴 예쁜 스타라고만 생각했는데 영상에 정성도 가득 담겨있고 무엇보다 친한 언니처럼 너무 편한 성격같아 보여서 구독 누르게 되네요 앞으로도 변치말고 좋은 영상 많이 부탁드려요 아름송이 얼굴은물론 인성 개좋음 혀 파래지는 사탕 먹은 할아버짘 얼짱에대해 편견같은게 있었는데 편견은 편견일뿐이네요 영상에 정성이 가득한게 보여요 본인피셜도 정확하고 목소리도 되게 듣기좋아요 무엇보다 정말 페북에서 많이 돌아댕기던 제품들로 구성해주시네요 그리고 입술 진짜 도톰하셔서 부러웠어요 눈이너무예쁘신데 다음번엔 섀도우 해주셨으면좋겠어요 오늘은 저렴이고 다음엔 비싼걸로 리뷰해주시려나봐요 아맞다 블러셔 발색도 해주시면 좋겠어요 
분위기 뿜뿜갈웜갈웜한 브라운 메이크업 get ready with me,960734,18000,294,535,2018.12.1,다른 몇몇 유튜버들 영상보면 너무 멀고 화질도 너무 뽀샤시해서 메이크업 질감같은게 잘 안보여서 답답한데 아름송이님 영상은 가깝게 그리고 좋은 화질로 찍어주시니 너무 좋은거같아요 아주 간지러운 부분을 긁어주는 영상같습니다 메이크업도 점점 느시고 앞으로도 더 잘되실거같아욤 요론 가을가을한 컬러들 너무나 어색한것 나도 분우 있고싶다 난 언제나 위기뿐 언니 입술 각질관리는 어떻게 하시나요 저도 립스틱 톡톡말고 슥슥 발라보고싶어요 언니처럼   
