title,view,like,unlike,comment,date,comment_text
마크에이지 리턴즈2 1회차 : 전설의 귀환 1부 | 악어 마인크래프트 MCAge Returns 2,3671924,12000,388,2339,2017.3.3, 규칙설명 게임시작 악어탈덕 한지 오래됬지만 마크에이지만큼은 거를수가 없구나 너도 또 보러왔냐 출책하고 가 나이거 한 번 해보고 싶었음정주행만 번짿 아 맠에 어서오고 아 어서오고 여긴 뭐 태초마을임 무슨 중장기 컨텐츠 나올때마다 계속 돌아옴 이걸 다 생방으로본 것도 자랑스러워그때 회차 유튜브에서 만명이 넘었었는데 벌써 년 전이네시간 참 빠르다 완성도는 시즌이 거듭날수록 높아지는데 왜 재미는 옛날로 갈수록 재밌는걸까 를 보고싶지만 어떻게 볼수가 없네 
악어 [ 전설의 시작 : 마크에이지2 1일차 ] 마인크래프트 MC Age 2,1852876,12000,523,3609,2013.9.3,모여라 응답하라 응답하라 응답하라 응답하라 생존자를 찾는다 수수하고 미숙하지만 멤버각자의 어색함과 캐미가 신선했던 이때가 더 재밌었다 요즘은 예전의 도전정신보다는 틀에 맞춰서 하려는게 티난다 욕도 막하고 컨트롤도 쩔었던 악쨩이 변한다 표지도 바꿨네용솔직히 옛날 감성대로 표지 그냥 두시는것도 좋았을텐데 예전의 방송이 그리워 보러온 
악어 [ 내 안의 악마가 깨어났다 랜덤무기전쟁 ] 마인크래프트 Randarms,1366941,9000,515,1153,2013.8.24,년전 욕쟁이 악어님 악어 욕할때가 더 재밌따 나는 뭔가 이때가 진짜 악어가 재미로 하는거같네 지금은 좀 시청자 눈치보고 가식적인 느낌임 이때가제일좋았어 년전부터 악어 방송 본 사람인데 악어는 욕 시원시원 한게 좋아서 본건데 요즘 안해서 안타까움 그래두 재밌긴함 
악어 [ 7시간 동안의 멘붕 VIP 점프맵 ] 마인크래프트 VIP Parkour Map,1328499,9300,298,1101,2014.4.20,늪지대는 레전드 그 자체였지 지금 악어유튜브 영상 보고 이영상을 보면 지금은 욕을 거의 안 하시는구나 신컨 옛날악어님이그리워요 개인적으로 명장면 
마크초보분들을 위한 상황극 [ 기억을 잃은 아이 : 악어의 야생 생존기 1화 ] 마인크래프트 Lost in the Wild - Minecraft Role-play SMP,1323176,8900,210,1688,2015.1.23,악어의숲 다시한번 볼수있는 기회가 있다면 얼마나 좋을까 이것도 삭제되는 악몽을 꿨어 이 영상 처음보는 사람에게 알립니다 이 컨텐츠 단순한 야생 컨텐츠가 아닙니다 초반엔 정말 야생뿐이고 좀 지루한 감이 있으며 그냥 끄고 싶다고 생각하겠지만 초반만 지나도 정주행 해버릴 겁니다 이거 전부 정주행 해도 이틀도 안걸리니 재미없다고 끄지마시고 끝까지 한번 봐 주세요 볼때마다 악어님 초보인척 연기하기 힘드실듯 이라는 생각이 든다 처음 봤을때는 정말 몰랐어 엄청난 컨텐츠라는것을 
악어 [ THE 폭로 인터뷰 1 핑맨편 늪지대 소개 영상 ] Swamp Exposed,1302424,1000,147,1062,2014.10.9,핑맨님 성우했으시면 난 벌써 죽어있겠지 사생팬 누구냐죽을라고 이러케 귀여웠던 분이 지금은 섹싀 컨셉을 달리고 계신다 이때는네이제는 모든분들이 다 성인이 자기야 소리 듣고 사망한 나레기 
악어 [ 늪지대 동화 : 악청전 ] 마인크래프트 Swamp Tales : Sim Chung the undutiful daughter (Swamp ver),1279214,12000,369,1819,2013.12.2,이건 지금봐도 악어님욕이 찰진다 악청전 솔직히 씹레전드 이건 오랜만에 봐도 재미있다 악설공주랑 악데렐라가 없어졌어 핑맨님이 부른 그 막 너불님 디스하는 거 듣고싶었는데 인데 보다 머리가 커 이거 듣고싶다거 언젠가는 다시 볼 수 있겠죠 핑맨님 남도일 목소리 개꿀 
악어 [ 최강 종족을 가려라 종족전쟁 1일차 1부 ] 마인크래프트 The Five Tribes Saga,1237361,8100,201,2629,2014.6.16,이번에 한다고 해서 정주행 하시는 분 이때 이전쟁에서 남순님을보앗지 정주행 하시는분 머싸님 이때 고이었구나 이때까지본 컨텐츠중에 종족전쟁만큼 재미있었던게없다 솔직히 갠적으로 악숲이랑 마크에이지보다 종족전쟁이더 재밌었는듯 이제 더 이상 종족전쟁은 안나오겠지만 나한텐 영원한 레전드 컨텐츠 
뭐든지 무기로 바꿔버린다 새롭게 돌아온 랜덤무기전쟁 : 바보들의 행진 1부 | 악어 마인크래프트 Randarms,1218340,15000,6400,12131,2016.8.10,아 여기였네 성지순례 멋사님 오프닝때 개똥인가하는거 귀여워 솔직히 여기까지와서 악플다는사람 이해가 안됨 싫으면 무시를 하든지 없는사람 취급하면 되는데 굳이 악어 잡아먹어 버린다 악 리타 흐흐흫 악어 한번 잡아먹혀 버리고 싶다 청자 악어님 욕하지 마세요 공식 팀원분들이랑 어느정도 얘기가 끝났으니 방송 키겠죠 돈이 부족하네 어쩌네 그런소리하지 마세요 
악어 [ THE 폭로 인터뷰 2 멋사편 늪지대 소개 영상 ] Swamp Exposed,1215942,9600,137,991,2014.10.15,멋사님이 멤버에 없었더라면 진짜로 늪지대 엄청 허전할듯 물론 다른 맴버분들도 요즘은 컷다고 애교도 잘 안부려줘 만약 첫번째로 떨어졌을때 멋사님이 관뒀다면 상상이 안간다 저는 왜 보는 내내 웃고 있었나요 헐 멋사님 중학생때부터 악어님 멤버가 되다니 
