title,view,like,unlike,comment,date,comment_text
마스터 티어 제라스 헬퍼 탐방 개빡친 마챌 유저들 (feat 꿀탱탱님 극대노),3343912,14000,958,2510,2019.3.29, 개웃기네 미쳣낰 리얼 레전드 시작 천상계유저 몇몇의 헬퍼에 대한 발언 페이커 헬퍼 상대로 무빙 연습하기 좋다 도파 중국 상위서버에 헬퍼 말만 들었지 체감 안되더라 
적 모두를 골고루 환장하게 만드는 싸이코 띠모의 개빡치는 플레이,2485765,15000,764,2059,2020.5.17,이번편 개웃기네 눕는 방향 타이밍 똑같네 티모 템 잘뽑은것보다 상대팀에 렌즈간 놈이 없다는게 더 웃기네 안녕하세요 늦어서 죄송합니다 인스타를 만들었는데 별거 없는 계정이지만 한 번씩 팔로우 눌러주시면 감사드리겠습니다 헤헤 궁금한거 있으시면 여기로 바로 물어봐주세요 너무 많지만 않다면 확인하고 답장 꼭 드릴게요 티모 킬인데 상대 노렌즈 시발 
개빡쳐서 잼민이의 주소를 따버린 개쩌는 요네 [ENG][SUB],2214413,18000,745,3075,2020.10.10,잼민이들 말은 험하게 하지만 마음은 누구보다도 순수하구나 개꿀팁 저렇게 한 다음 님 컴퓨터가 느려서 못본거라고 정치하면됨 어림없지 응 투미드 딱대 아 여기서부터 돌았노 제발 게임할 때 욕은 하지말자 나도 예전에는 얼굴 안보인다고 거리낌 없이 욕하고 다녔는데 초등학생 동생이 게임에서 누가 욕했다고 우는거 보면서 느꼈다 그 때부터 내가 욕하는 상대방이 누군가에겐 소중한 가족이자 하나뿐인 자식이라고 생각하면서 게임했더니 년동안 단 한번도 욕한 적이 없음 누가 나한테 시비를 털거나 욕을 하더라도 그 사람이 안좋은 하루를 보냈겠거니 생각하면서 차단하고 어뷰 트롤을 해도 불쌍한 사람이니 이해해주자는 식으로 넘어가다 보니 어느새 명예 렙이더라 채팅은 내 얼굴이라고 생각하면서 하나 둘 욕을 멈추다보면 지금의 더러운 롤판도 어느정도 깨끗해질 거라고 생각함 가서 함께한 소환사 찾아본다음에 학교나 지역명이 닉네임이나 클럽명 등에 포함되어있으면 그거로 놀려도 됨 
만나면 생존률 0% 상대 정글러의 동선을 전부 꿰뚫고있는 개싸이코 맵핵 리신 탐방하기,2100378,11000,609,1504,2020.1.27,진짜 잘하네 최근에 형 독감에 걸렸던 사람으로써 우한 폐렴도 그저 남 일이라 생각하지 마시고 경각심을 가지고 항상 주의하시며 건강한 구독자가 되어주셨으면 좋겠습니다 독감은 나은것 같으나 마른 기침이 안 끝나서 고통스러운 바바씨 안물어봤따구요 어디서 이런놈들 찾는건지 이건 풀리처상줘야됀다 웬만한 기레기들보다대단해 레전드 리신 저렇게 하고 지는거 보니까 불쌍해 보이네 
이 정도로 잔인한 사람이 있을까 싶은 싸이코 신드라만의 소름돋는 플레이,2076060,12000,814,2274,2019.12.10,진짜 신드라 악마 새기다그냥 잭붕이 왕따 만들어버리네 지더라도 상대 멘탈 터트리니 본전으로 시작하네 진짜 이건 싸이코 중에서도 개역대급이다 다음 탐방 해줬으면 하는 챔피언 댓글에 좋아요 남들은 싸이코 짓으로 를 만드는데 이 놈은 을 만드네 진정한 싸이코네 
인피니티 스톤 모으듯 티모와 아리 목숨을 모으는 담당 타노스 말파이트 - 싸이코 탐방 5,1947871,1000,752,1039,2019.5.5,반복해서 보세요 워 옆에 엄마있는데 싸이코 탐방은 계속된다 니코 개웃기너 
데마시아 100%뚫림 이젠 헬퍼가 아니라 스킬 쿨까지 없애버리는 핵으로 등장했습니다 [ 롤 신종 헬퍼 ],1707013,8800,569,3518,2019.3.27,바바 헬퍼가 고장이 났는지 피오라를 이렐리아라고 해버렸네요알았으니까 그만 말해슈벌헬퍼 고장하니까 생각났는데 예전에 제라스 헬퍼 만났는데 심각하게 고장이 났는지 자꾸 본인 등뒤로 스킬을 쓰더라구요 님 헬퍼 고장난거 같은데 하니까 분 동안 안보이더니 헬퍼 재작동시키고 와서 적중률 됐더라 헬퍼에 야스오라고이녀석은 진짜 토악질나오는 놈이다 핵 패시브 대포못먹음 해당 영상이 업로드 된 후에 야스오 가 버그로 논란이 됐지만 헬퍼 기능이 같은 버그를 찾아서 자동으로 사용을 도왔기 때문에 이 같은 영상이 나올 수 있었습니다 그니까 단순 버그를 악용한 유저가 아니라 헬퍼가 프로그램 이름 그대로 버그 사용을 도왔기 때문에 해당 플레이어는 이런 영상에도 출연하고 헬퍼 사용으로 영정을 당하게 된 것입니다 알겠누 야스오가 쓰는걸 기회로 삼은 피오라가 찌르기를 하는데 지도 같이 찔러요 
띠모와 야스오에게 악감정 있는 극 AP 핵미사일 자크 ,1567142,9300,485,1198,2020.3.9,처음 인트로에 나오는 빨간색 글씨를 합치면 하지마 싸이코 자크 라고 됩니다 이게 뭐라고 좋아요가 천따리야  베인 매드무비 개지렸네 메모장 바바 나나 밥 챙겨주기 바바 나나 화장실 치워주기 바바 나나 방 청소 바바 나나 간식 챙겨주기 바바 나나랑 놀아주기 바바 나나 털 빗겨주기 생각나면 추가함 이 녀석은진짜 사이코가 틀림없다 
배치때 만난 패작러를 강제로 승급 시켜버린 버스기사,1564805,9900,520,1382,2020.1.16,익숙한 랩의 부분인듯한 소나 당신은 얼마나 먼 미래까지 보셨길래 벌써부터 연습을 하신겁니까 야 넣을게 야발 그 창의성을 좀 다른데 써라 
북미에서 찾은 폭탄 테러 장인,1552852,14000,617,7760,2019.7.20,그러면 안되지만 나도 한 번 해보고 싶긴 하다 징크궁에 한입만 적혀있음 오랜만에 왓는데 좋아요수 왤케 많아졋냐 다들 감삼다 한국에서 찾은폭탄테러 장인이이잉 앗살라말라이꿈 이 영상을 과로사가 좋아합니다 진짜 응 이러는거부터 숨못쉼 
