title,view,like,unlike,comment,date,comment_text
양띵 [탈옥을 꾀하는 자 협력하라 마인크래프트 감옥탈출 1편] 마인크래프트,5950943,26000,1700,4266,2014.9.12,진짜 옛날은 따라할 수 없는 옛날만의 느낌이 있음 이제 시간이 지나면서 멤버들도 바뀌기도 하고 크루분들 다 년도가 바뀌면서 성숙해진 부분도 있고 시청 연령대가 바뀌면서 진행하는 컨텐츠 역시 많이 바뀐 것 같아요 같은 양띵님이지만 옛날의 그 쫄깃함같은 건 절대 따라오지 못하는 듯 손 많이들 보러 오셨네 양띵님 스타일이 바뀌이유가 조금만 말실수하면 타격이 크고 상처도 더 많이 받으니까 예전보다 약간 신중하게 말하시고 너무 오버액션은 자제하고 시간이 지나면서 조금더 성숙해지신 이유도 있다고 생각해요 이거 아직도 생각나서 꺼내보네 조회수 오를 수밖에 없지 이걸 보던 초등학생이 고등학생이 되었습니다 
양띵 [삼성과 함께하는 떨어지는 용암에서 탈출하라 *단편*] 마인크래프트 Lava Escape,3089641,15000,966,2435,2014.5.26,삼성이래 오랜만이다 양띵님 스킨은 진짜 예전 스킨이 더 좋네요 엄청 오래봐가지구 정들어서 그런가 흑 나랑 사귈분 년도에보는사람 이거너무많이봐서 대사를따라할수있어 
양띵 [양띵TV 코믹 꽁트 상황극 돈이 너무 많은 '양수르의 어느 하루' 1편] 마인크래프트 Mine Painter Mod,2735022,14000,688,2790,2015.4.6,초딩 때 봤는데 내가 벌써 초딩때 봤는데 이젠 고딩이네 중딩들이 왜 나이를 많이쳐먹었다해 미치겠네 아 진짜 전성기때 요즘 보는사람 많네 진짜로 너무 그립다 몇년전껀데 아직까지 댓글이 달리는 재미있는 영상인거같아요 
[YouTube FanFest Korea 2014] 양띵(YD) - 네모의 꿈 YD (YTFFKR),2699688,27000,1700,7933,2014.9.27,눈꽃님 아망했다라고 하신거 들은 사람 손 서넹님과 후추님은 일정이 맞지 않아서 함께 하지 못했어요 노래 진짜 잘 선택하셨다 가사가 다 왜 다 네모난 거지 하는 가산대 양띵크루분들이 주로하는 게임이 마인크래프트니까 뭔가 잘 어울리는듯 월에도 잘 듣고갑니다 들어보면 눈꽃님이 아망햤다 다시 보니깐 알 수 없는 기분에 휩싸인 것 같다 지금 양띵크루도 물론 좋지만 절대 다시는 돌아갈 수 없는 저때의 양띵크루가 뭔가 그립기도 하면서 아쉬운 그런 느낌 
양띵 [탈출 플래시게임 양띵의 '아이탈출' 시리즈 완벽() 공략 *단편*] 양띵의 플래시게임 플레이,2642316,8000,1100,1071,2014.11.2,게임보다양띵님이말하는게더웃김 저 살때했는데 어릴때 이겜했을땐 왜계인에 납치됬다는 설정과 조용한 분위기와 이상한 생명체때문에 무서웠는데 저거 새로운거 또 나왔으면 좋겠다 이 게임 이름이 뭐에요 
양띵 [삼성이와 함께하는 2인용 탈출맵 'Red And Blue' 1편] 마인크래프트,2600359,11000,888,1627,2013.3.17,이때는 삼식님 목소리가 더 착하셨는데 양띵 초딩때 보던게 갑자기 생각나서 그때 향수맡으러 옛날영상 찾아보는중 벌써 고가 돼버림 와 이거 나올때 고딩이었는데 지금은 취업에 시달리고 있네세월 참 야속하더라아 저 이때 초등학생이였는데 이제 중학생됨세월아 삼식님 목소리 진짜 여리여리해 
양띵 [성냥팔이 양띵의 빛나는 음식 모드 체험기 *단편*] 마인크래프트 More Golden Food,2521609,17000,800,3474,2014.6.7,마지막엨엄마아빠보고 그냥 지나쳤엌 이걸로 양띵님 알게됨 미정 이라고 할때 완전 웃김 내 입덕영상그리고 지브리맵 리뷰 미소님이 목마르지 할때 빵터진 인 
양띵 [너의 속이 궁금해 후추의 뱃속 탈출맵 1편 / 릴레이 제작 탈출맵 후추편] 마인크래프트,2350432,9300,722,1318,2013.8.10,너무 오랜만이라 추억돋음향수가 이런건가 진짜 기분 이상하다 레전드 이때가 그립다 년도에 보는 사람 있나요 갠적 이때가 꿀잼 릴레이 컨텐츠 개재밌었고 옛날 년도가 진짜 좋았당 아솔직히 인트로에 명이 딱 좋았다 
양띵 [이걸 보고 있는 당신은 배꼽 잡고 웃을지도 모릅니다 '양띵을 웃겨라' *단편*] 마인크래프트 More Player Models 2 Mod,2331523,15000,938,3739,2014.10.22,갑자기 이거보고생각난건데 진짜 어렸을때 양띵님너무좋아해서 양띵님웃음소리 따라할려고 흉내내다가 진심 내웃음소리됨하 짜증난다 띵님 웃음소맄 호흡곤란 나는 제일웃긴게 위는 미소님 위는 서넹님 위는 삼식님 나 웃음 많지 않은데 이건 왜이렇게 웃기지 
양띵 [탈옥을 꾀하는 자 협력하라 마인크래프트 감옥탈출 3편 *완결*] 마인크래프트,2322153,17000,471,962,2014.9.12,이 영상보면 시간이 빨리 흘러간다는 미소님 흑요석 캐느라 힘들겠다 이시절이 재 밌었지 내가 하는건 아니지만 심장이오그라드는 진짜 재미있었다 
