title,view,like,unlike,comment,date,comment_text
살이 너무 빠지는 죽음의 타바타 운동 (no 층간소음) / Beautiful tabata workout,8780689,16000,2200,12016,2020.5.20,유튜브가 운동하라고 추천해준거 같은데 누워서 보고있는사람 동작이 너무 재밌어요 제가 하니까 허우적대는 한마리의 오랑우탄 같다는 땀 나긴 나는데 나를 포기하고 살을 빼는게 맞는건지 모르겠네요 혼자 하다가 거울봤는데 너무 수치스러워요 이거 하는 꿀팁 화려한 조명이 나를 감싼다고 생각하며 나는 빌보드차트 위 아이돌 이라고 자신을 세뇌시키기 거울 보면서 윙크하는 등의 앙큼함은 필수 혼자 저러고 있는데 오빠가 문열고 날 보더니 가족들이 다같이 따라함 클럽인줄 
단 3분만에 허벅지 안쪽살 정리해드립니다,1474164,좋아요,싫어요,2650,2020.10.8,심장 입으로 튀어나올라 한거 간신히 넣었네 휴 남돌 직캠 분은 걍 초도 안걸리는 거 같은데 이 영상은 분이 아니라 분 같다 다다음주 큰오빠 결혼식이라 살빼야함 제발 댓글테러좀 근육통 때문에 다리가 조져지는 느낌이다 그냥 잠들어버림 오노 미치겠네 또 잠듬 지금까진 이 운동 두번에 스쿼트 개씩 해왔음 일까지는 다리가 좀 많이 아팠음근데 그 뒤로는 안아파서 제대로 안되는건가 걱정했는데 근육 안쓰다 갑자기 쓰면 그런다더라 운동하면서 아침 점심만 먹고 시 이후로는 물도 안마심 근데 생각보다 많이 안변함 하루 두번 저녁에 몰아서하고 스쿼트도 했는데 딱히 이제 하루에 한끼먹고 세번은 해야할듯 이따 저녁에 또 해야겠네 나 뭐하냐 이틀에 한번하는 꼴이네 어제 안한거 몰아했더니 다리 후들거림 다리 하는것도 도움된다고해서 하고있음 펜트하우스 보면서 해야겟다 전날까지는 운동해보려했는데 너무 바빠져서 못할듯함 우리 큰돼지가 벌써 결혼이라니 시간 참 빠르군 어찌저찌해서 운동을 했지만 효과를 보기엔 너무 짧은 기간이였던거같음 그래도 약주 가량 했지만 변화는 많이 없었다더라 전해라 그래도 많이 빠진건 아니지만 나름대로 살짝은 빠진거같기도 적어도 한달정도는 잡고 해야 효과를 볼수 있을거같음 중간중간 탈주하려는 나에게 알림을 폭탄으로 던져준 님들께 감사를 전합니다 좀 한가해지면 다시 와야겠음 결혼식 밑에 후기 까먹었다 불러주셔서 감사해요 으아아악 스마트폰좀안써보겠다고 유툽지웠는데 운동기록을 까먹었네요유툽다시깔았다가 알림보고 놀라서달려온인 거의 한달간 매일거의해본 후기를 써보려구요 제가 전에는 하체가 뚱뚱한건아니지만 좀 통통하고 안쪽살이 잘 떨어지지않았는데 확실히 공간이 생겼구요 안맞던바지는 당근 들어갑니다감격 누워서 하는부분이 특히 자극이왔고 분이라 짧아서 하기도쉽고 시간을 정해놓고 하니까 습관돼서 운동하는 느낌이 안들어서 좋았어요 그대신 하다보면 익숙해져서 점점 강도를더 높여서 했어요번 반복 앞으로는 기록안하고도 매일하려고요 조금씩 강도높이면서 하면 완전좋을것같아요 아그리고 식단조절 안했는데 이만큼빠진게 젤좋아요 허벅지운동인데 복근운동까지 좀 돼요 아 몸무게는 도빠졌는데 확실히 숫자보단 눈으로 보이는게 다르네요귀차니즘있으신분들 꼭 해보세요 난 언니의 그 똘끼가 너무 섹시해서 미쳐버리겠어 
기적의 걷기운동 전신군살 + 내장지방과 굿바이,1447388,좋아요,싫어요,467,2020.10.11,에이핏 골반밴드 안녕하세요 지금은 체중유지가 목적이지만 과거에 제가 정말 장기간에 걸쳐 를 천천히 감량했었는데요 그 때 제가 거의 주 회 이상 하루도 빠짐없이 했던 게 뜨거운 야채수랑 현미차를 마시면서 간헐적단식 시간 정도 가졌구요 그러다가 어느순간 부터는 사골국을 마시면서 공복시간을 버텼습니다 그리고 아침에 공복운동으로 거의 매일같이 골반밴드를 맨 상태에서 걷기운동을 해서 체중을 감량했습니다 그 때의 성공경험 덕분인지 저는 아마도 다시 체중이 올라가면 다시 걷기운동과 간헐적단식 조합으로 다이어트를 진행할 것 같습니다 제가 걷기운동을 했던 이유는 그 당시 딱 두 끼 혹은 두 끼 반만 먹던 시절이라 너무 고강도의 운동은 식욕관리에 큰 어려움을 겪어서요 그렇다고 운동을 아예 하지 않으면 건강에도 무리가 갈 뿐 아니라 체중감량 속도가 더뎌 일부러 앞치마 안에 밴드를 착용한 상태에서 서빙 아르바이트를 하거나 혹은 밴드를 착용한 상태에서 런닝머신을 걸으며 를 채웠던 기억이 납니다 제가 이렇게 공복 중 걷기운동과 간헐적단식으로 체중감량을 성공했던 부분을 블로그에서 가감 없이 식단일지 형태로 보여드린 터라 많은 분들께서 런닝머신 없이 집에서할 수 있는 걷기운동 영상을 요청해주셔서요 저 역시 너무 고강도 운동이 힘든 날에는 집 앞 공원을 엄마랑 자주 아침 공복에 산책을 하고 있는 상황이라 이렇게 집에서 할 수 있는 걷기운동 영상으로 동생과 자주 찾아뵈려고 합니다 아 그리고 제 동생 너무 귀여워해주셔서 정말 너무 감사합니다 제 동생의 귀여움이 가면과 선글라스를 뚫고 보여지는 게 정말 신기하기도 하네요 실제로도 진짜 귀엽게 생겼거든요 무심코 플레이버튼을 눌렀는데 분이 지났을뿐인데 땀샤워 하고 있네요 항상 감사해요 운동 강도 그리 높지 않다고는 하지만 다 끝내고 나니 땀이 많이 나네요 무리 많이 가는 동작없이도 가성비 짱인듯요 진짜 생리때나 오늘은 왠지 컨디션이 안좋을 때 하면 넘 좋을거 같아요 약수터 가면 아줌마들 파워 워킹하는거랑 같은 원리인가 이번에도 무대를 찢어낸다 진짜 운동할때 하는거 중에 하나는 매일 에이핏이 들어가는데 너무 좋아요 
조회수 700만 기념 살이 너무 빠져서 문제라는 죽음의 타바타를 다시 찍었다 BEAUTIFUL TABATA WORKOUT RENEWAL VER,1156977,13000,247,1022,2021.3.4,일단 누워서 보다가 내일 진짜 할게요 저 창문 통해서 누가 볼까봐 조마조마한사람 안 따라 하고 그냥 보고 있는 나 자신 반성해 일주어터님 영상 보고 와서 오늘 처음 시작했어요 댓글 보이시면 좋아요 한번만 눌러주세요 알림 뜨면 운동하러 오게요 마지막 동작은 못했지만 나머지는 다 했다 오늘은 마지막 동작 처음 그대로 하다가 바로 쉬운버전으로 바꿔서 할 수 있는만큼 했다 머리 봉두단발됌 남자친구한테 아무도 좋아요 안눌러줘서 안한다니까 굳이 내 댓글을 찾아서 눌렀고 그 성의를 봐서 운동했다 수많은 댓글중 제 댓글을 발견하신 당신 내일은 부디 행복한일만 있기를 행복하자 아자아자 화이팅 모두 행복하시고 건강하세요 
43kg까지 빠져버린 역대급 펜트하우스 천서진 HIIT 전신 유산소운동 / FAT BURNER FULLBODY HIIT CARDIO WORKOUT EVER,782795,8600,131,494,2021.4.19,이걸 보면서 아스크림 먹는 내가 정신 승리잔가 솔삐 누워서 보는사람 좋아요 박아라 이정도면 은별이가 당연히 미치지 땀 진짜 많이나요짱 좋아요 오늘부터 한달 동안 해볼께요 안오면 불러주세요 설렌다분후에 내가 녹초가 되어 있을걸 생각하니 
맨몸 전신 유산소운동의 정석 (살 너무빠짐 주의바람) / THIS IS THE TRUE CARDIO WORKOUT,623631,13000,97,660,2020.5.8,이거 세트 다하고 빠짐 너무 신기했어요 오늘도 난 눈으로 운동한다 라희님 편집하실때 카운팅도 넣어주시면 좋을거같아요 그리고 세트 같이 운동해주시면 좋을거같은데 세트하시고 편집이더라구요 그거 인식한 순간 운동이 갑자기 지겨워지네요 같이 운동하던 느낌 좋았는데 말이죠 내가 보려고 만듬 천천히 해도 세트 부터 늘려나가고 싶어서 위기가 닥쳤을 때 그니까 급쪘을 때 가장 중요한 것은 뭐니뭐니해도 가장 기본이 아닐까 싶어 어디서 또 들은건 있어가지고 오늘은 유산소운동의 정석을 보여드리고자 합니다 지난 지방파괴 극기훈련에 이어 제 평소 운동강도와 가장 비슷한 유산소운동입니다 이 운동영상은 정말로 살이 안 빠질래야 안 빠질 수 없는 너무 정직한 유산소운동이라지요 급찐급빠로 고생하고 있는 모든 분들게 이 영상이 도움이 되기를 바라며 오늘도 에이핏과 건승 
초보자용 저질체력 극복 체지방 탈탈 전신 유산소 운동 20분 / Beginner friendly full body cardio workout for FAT BURNING 20min,610553,11000,107,614,2020.5.26,언니 왜 맨날 힘든거 안힘든척하고 해요 따라하는 저는 죽어요 초보자용이라서 진짜 헐레벌떡 눌러서 시작한지 분만에 나의 한계를 느꼈어요 난진짜 초보자도 아니고 쓰레기구나 안녕하세요 에이핏 주인장 라희입니다 많은 블로그 구독자분들이 저의 강도 높은 유산소운동들이 너무 벅차다며 초보자들을 위한 저질체력을 극복할 수 있는 하지만 살도 좀 뺄 수 있고 근력도 좀 강화할 수 있고 시간도 짧은 그런 엄청난 운동을 원하셔서 실제 그런 마법같은 운동루틴을 가지고 왔습니다 앞에서 기본적인 유산소운동으로 살도 빼고 체력도 강화하면서 우리 몸에서 가장 중요한 코어 대둔근 하체근육을 단련할 수 있는 가장 기본운동들인 런지 스쿼트 플랭크로 마무리를 했습니다 또 가는 근육라인을 만들고 싶은 여성구독자분들이 대다수이기에 일부러 개수를 많이 쳐서 근육이 비대해지는 것을 막았으니 끝까지 힘들어도 꼭 일시정지하지 마시고 따라오셨으면 좋겠습니다 저 역시 늘 개수를 일부러 많이 쳐 근육 사이즈가 비대해지는 것을 막는 스타일이거든요 스쿼트 개 런지 개 점핑잭 미친듯이 버피 개 뭐 이런식으로요 그나저나 요즘 갑자기 구독자가 너무 많이 늘어 어안이 벙벙하네요 조만간 영상이나 한 번 찍어볼까 하는데 어떻게 생각하시나요 어쨌거나 저쨌거나 급마무리 다음에 더 유익하고 좋은 영상으로 찾아뵐 수 있도록 늘 노력하겠습니다 이게 무슨 초보자용입니꽈 초보를 과대평가하지 마세욧 폐가 쏟아질것 같아여 살려주세요 와 초보자용이라서 쉽게 할 수 있겠지 하고 따라했는데 런지하다가 급 토할 것 같아섴 포기했어요큐 내일 다시 도전 땀이 진짜 많이 나요 
(NO 층간소음) 살이 너무 빠지는 재밌는 타바타 / (NO JUMPING) GORGEOUS TABATA WORKOUT,506880,6100,101,289,2021.1.27,타바타 정말 오랜만이죠 년간 운영했던 블로그를 그만두게 되어 작별인사를 전해드린 지난 영상그동안 감사했습니다이 마치 유튜브를 그만두는 것처럼 보여지는 어그로성이 짙은 썸네일로 비추어져 너무나도 많은 구독자분들이 제게 불편한 감정과 실망감을 표해주셨는데요 저의 짧은 생각으로 인해 너무나도 많은 분들에게 불편함을 드리고 실망을 끼쳐드린 부분이 너무나도 죄송하고 후회가 너무 되어서요 물론 이미 엎질러진 물이지만 조금이라도 주워담기 위해 여러분들에게 어떻게 사과를 해야할까 굉장히 오랫동안 고민 끝에 구독자분들이 많이 좋아해주시는 타바타영상을 지난 일 동안 열심히 기획하고 연습해서 업로드했습니다 앞으로는 조금 더 신중하게 생각하여 썸네일과 제목을 지을 수 있도록 늘 노력하겠습니다 벌써 년 월이 끝이 나네요 새롭게 오픈한 채널도 있고 해서 월부터는 수다토크는 당분간 진행하지 않고 다시 초심으로 돌아가 원래의 에이핏 채널처럼 운동 컨텐츠에만 집중할 수 있도록 하겠습니다 아 아내의 맛 에 제가 나왔다고 댓글로 알려주신 구독자분들 모두 너무 감사드립니다 개인적으로 저는 그런 썸네일을 많이 봐와서 아무렇지 않았지만 그렇지 않은 분들도 있을테니 불편했던 그 마음이 이해는 가요 그렇지만 이렇게 진정성 있게 사과했으니 너무 자책하실 일은 아니라고 생각합니다 덕분에 운동 잘 하고 있어요 몸치는 웁니다 하여튼 제 나름대로 방식대로 카피해서 했눈데 너무 재밌어서 오잉 벌써 끝이야 했어요 근데 땀은 줄줄줄 대박 이 영상 보면서 올해 사냥이 잘 되기를 바라는 원시부족이다 라고 되니이니 쪽팔림이 덜하네요 유튭 하루 이틀도 아니고 신경쓰지마세요 운동 너무 잼나요 알라븅 
하루만에 1kg가 빠지는 최강 전신유산소 HIIT와 복근운동 / LOSE 1KG in 35 min HIIT Workout,507127,12000,56,700,2020.12.29,주인장님 그 주인장님 영상 너무 좋은데 그 여태 나온 운동 영상 가지고 커리큘럼 재생목록 만들어 주실 수 있나요 이 순으로 체력을 길러보세요 같은 다음동작 미리보기 올려주셨음 좋겠어요 운동하다 흐름이 많이 떨어져요 미리알고 준비해서 쭉 연결할수있게 부탁드려요  이거진짜 역대급으로 혼 갈아넣은거 맞아요 제가 에이핏님 킬러힛이나 고강도 운동 원래 하던거 개월째 돌아가면서 하는 중인데 익숙해져서 힘든느낌도 줄고 괜찮다 생각했는데 오늘 오전 공복에 이걸 하는순간 여기가 집인지 어딘지 우주인지 내가 누구인지 모르겠더군요 정신차려보니 운동은 끝냈더군요 어제먹은 엽떡이 천국으로 간것같습니다 이런 고강도 운동 언제나 환영입니다 꿰꼬닥  
CALORIE KILLER HIIT / 명절맞이 칼로리 킬러 극악의 고강도 인터벌 트레이닝 유산소운동,405824,좋아요,싫어요,510,2020.9.30,언니 진짜 나한테 왜그래그거 알아 언니 때문에 내가 요즘 살 찔 틈이 없어 나 키로 빠졌어 어떡할거야 책임져 나 끝까지 책임져 알았어 뭔 잭이 이렇게 많아 살면서 볼 수 있는 이란 잭은 다 본거 같아 아닠웃으면 안되는데 죄송해요유 여기 핑크곰탈 보면서 죽는줄 알았아요 동생분 많이 힘드셨겠어요 핑크곰 만만하게 보다가 해보니 핑크곰보다 더 하급자들 손 반쯤 한줄알고 봣는데 분 지난거보고 차 됨을 느끼고 같은 루트 두번씩 돌아가는걸 깨달은후 차 됨 그리고 끝난줄알았는데 마지막 루틴 셋 남은거 보고 차 됨 정신차려보니 그래도 다 했어요 지그 육수 떨어져서 아이패트 터치가 잘 안되는데 진짜 제 생에 운동 삼십분 하고 아렇게 땀난거 첨이에요 살려주세요 
