title,view,like,unlike,comment,date,comment_text
요청이 가장많았던 학생 메이크업,3534169,2000,1300,3603,2014.9.23,언니는 진짜 늙지를 않네요 살 고딩아니셨나요 진짜이분은 눈썹만 그리고 다녀도 이쁠듯 아니 이것도 와꾸따라 다르죠 완판이 박살났다면 뭘해도 소용없음 이 영상을 보고 연두콩님을 구독하는 계기가 됬다죠 
물 먹으면 지워진다구요 틴트 오래가게 바르는 팁 l 연두콩 Yeondukong,1651325,37000,520,1078,2018.3.31,간증댓글 남깁니다 맨날 그냥 틴트바르면 너무 건조하고 각질경계안쪽으로만 착색되고 립밤바르고 발라도 지속력만 떨어지고 했던 사람인데 두콩언니 말대로 하니까 진짜 하루종일 윤기나면서 덜 건조하고 착색도 더럽게 안되고 매끈하고 자연스럽게 유지돼요 저는 차앤박 프로폴리스 앰플 썻어요 두콩쓰 꿀팁 이즈 베스트 여러분 브랜드없는 길거리에 파는 안경이에요 담부터 브랜드로 사볼게 대충 막바르고 음마음마하고 나갔다구요 안돼요 단계별로 차근차근 바르고 티슈로 착색 확인사살 꼭 하고 나가기 설명때매 단계가 많아보이지만 바르는데 분도 안걸려요 그리고 앰플 없으시면 스킵해주세요 여러분 어떤 연두부님이 술먹기 전에 이렇게 바르면 절대 거울 볼 일없다고 아 술먹고싶다 아무말 틴트마다 다르겠지만 너무 물완전 물 틴트는 저도 잘 얼룩지더라구요 사용한 컬러그램 썬더볼틴트 라이트닝은 물 젤 중간 제품이니 참고해주세요 
연두콩의 데일리메이크업 (Daily Makeup),1581233,8800,453,1072,2014.8.21,피부가 어떻게 이렇게 좋아요 아 화장을 떠나서 그냥 너무 귀엽고 예쁘게 생기셨다  썡얼 하연수 꼬부기 닮으셧어요 하연수 그분 닮으셨다 
(Eng) 새내기들을 위한 로드샵 메이크업 추천템  ( °  °) 샌애긔 ,1397335,1000,323,702,2015.12.4,연두콩 님 새내기 로드샵 추천템 버전 어떠세요 정정합니다 케이트 파데는 정가가 원이고 올리브영에서는 판매하고 왓슨스에선 판매하지 않는다고 합니다 케이트파데 인터넷 가격을 기재했네요 그만큼 인터넷으로 구매하는게 저렴할 것 같아요 담부턴 한번 더 꼼꼼히 살피겠습니다 파데 웬만하시면 더샘쓰시길바래요 케이트가 제품력이 다들 좋기는한데 거기 회사가 일본우익회사랍니다 아시는분들은 안쓰시는분들 아주많구요 더샘도 정말 가성비꿀이니까 더샘추천해요 가급적 케이트 루나솔은 우익제품이라 안쓰시는게 좋지않을까싶습니다 누가 보아도 새내기 같은 얼굴로 새내기 템을 추천해주는 졸업한 언니진짜 너무 귀여워요 화질은 나중에 좋아진답니당 
(지갑 털어드려요) 올리브영 숨은 꿀 추천템 17 l 연두콩 Yeondukong,1237480,15000,405,917,2017.10.30,헐 내일 올리브영 가야 할것만 같아요 옷 소프트 심볼 제품입니다 연두부 분께 보타닉힐 보 판테놀 크림 대용량 미니어처를 쏩니다 이벤트 참여는 여기에서 올리브영은 연두콩님한테 상줘야함 엘르걸에 이은 꿀템추천 감사해요 역시나 엘르걸이 나왔다엘르걸 언니 지원해줘라 좀 유재석 뺨치는 진행력 언니요새열일하시네요자주보니까좋다구여그래도환절기에건강챙겨가면서하세요사랑합니다언니추천템은항상잘보고잘써욤 
몰입도100% 보다가 밤새는 넷플릭스 시리즈 추천집중력 없어도 가능,1208625,1000,452,790,2020.2.25,나만 그런거 아니구나 맨날 틀어놓고 폰해서 집중을 못했던 언니 때문에 리벤지 시작했다가 며칠 째 해를 못 봤어 책임져욧 여러분들아 이게 올해 초 영상인데 자주 유입이 되나봐요 리벤지와 넷플 계약이 끊어졌다합니다 흑 너무 슬퍼요 길모어 걸스 꼭 보세여 옛날 미든데 배경이랑 분위기가 완젼 라서 진짜 너무 예뻐요 리벤지 메시아 블랙뮤지엄 시스템의 연인 오스모시스 
어퓨 덕후 연두콩의 어퓨 추천템 13 l 연두콩 Yeondukong,1086856,13000,434,1323,2017.1.18,언니 어퓨랑 이미지가 되게 맞는것 같아요 모델 하셔도 될것 같아요 여러분들의 어퓨 추천템을 적어주세요 저도 사게 이거 로드샵별로했으면좋갰어요 자세하게알려주셔서 좋네요 에뛰드 더페 홀리카등등 로드샵시리즈로해주셨으면해요 좋은 제품은 이리도 많으면서 매장은 왜 많이 없는지 어퓨 마데카소사이드크림 진짜 좋아요 지성인 저도 통이나 비운 제품이에요 보습은 되면서 중요한 끈적임이 없는 근데 어퓨는 매장이 별로없어서 그게 제일 아쉬운부분입니당 
CC)Beauty Room Tour화장품 집에 얹혀살아유 ,1038984,28000,534,1569,2020.1.26,올리브영이 집에 있네유  사용기한 지나면 버리니 걱정 안하셔두돼요 화장이랑 갸름하게 어플이 시켜줬어유 담부턴 어플로 절대 안찍을게유 너무 나 안같네유 미샤저격   
콩혼자산다 - 이마트 노브랜드 식품 11개 리뷰 l 연두콩 Yeondukong,1018987,7700,634,1056,2017.3.6,저도 노브랜드 제품들 너무 좋아해요 여기 나온것들 다 좋아한다는건 안 비밀 가성비가 진짜 좋은 것 같아요 머리에 왕먼지 붙었어요 거슬리게해서 죄송합니다 담엔 꼭 영상 찍기 전에 확인 할게요오 머리삼각김밥 노브랜드는원참좋아하는듯 여러분 이번에도 알람 안 갔나요오 
같이 머리해요 (+ 평소 사용하는 고데기 제품),1016422,7500,249,681,2015.12.23,언니 이영상에서 뭔가 여자친구엄지느낌 나는것같아요 둘다귀염 머리색은 미용실에서 탈색한번하고 애쉬였나 그컬러를 염색하고 물빠진 상태에요 아무것도 안한 스타일도 난 너무 예뻐보인닷 예쁜 두콩이같으니 구독하시고 알림을 켜 놓으시면 바로 알림을 받을 수 있습니다 헤헤 너무 늦었죠 죄송합니다 곧 이벤트로 돌아오겠다는 항상 감사드려요 구독자님들 어두운 색 옷을 입으셔서 조금 아쉬워요 밝은 색 옷을 입으셨다면 머리가 더 잘 보였을 것 같네요 언제나 좋은 영상 감사합니다 
