,title,view,like,unlike,comment,date,comment_text
0,편의점 알바하면 찾아오는 진상들이 한 번에 다 온다면? ㅋㅋㅋ - VR챗 상황극,"조회수 5,225,844회",7.7만,1.3천,"댓글 11,718개",2020. 9. 5.,진짜 믿고 보는 고멤 분 순삭 당했습니다 길이길이 남을 역작 번째 돌려보는중 고멤은 지옥이다 팀장꼰대진상할배호를 맡은 띵킹입니다 고멤은 지옥이다 정말 함께해주신 모든 분들 각본쓰고 연기해주신 고멤 여러분 맵 제작의 킴카멘님 잉푸님 저는 차려놓은 밥상에 그저 숟가락 하나만 올려놨을 뿐입니다 모두 함께 이런 좋은 작품 만들수 있어서 너무 행복하고 감사했습니다 앞으로 고멤 활동 열심히 하고 항상 재밌는 띵킹이 되겠습니다 왁굳님 항상 존경하고 사랑합니다 감사합니다 컨텐츠 일주일 남기고 아무것도 없이 모였습니다 고멤 모두가 일주일 내내 매일 밤새면서 머리싸매고 다같이 세계관스토리연출 아이디어 내가면서 열심히 했습니다 저희가 고멤이었기에 열정하나로 모인거였기에 좋은 결과가 나왔던것같아요 그렇기에 고멤이 아니신데도 매일 밤새며 맵 만드셨던 맵 제작자분들이 정말 대단했던것같습니다 맵 제작자분들 고멤분들 다들 정말 고생하셨습니다 제 입장의 비하인드 제가 고기를 씹는장면때는 동동쿤님이 풀트래킹으로 몸연기를하고 저는 고기를 씹는 소리만 냈습니다 저는 사람고기를 씹는 소리를 연출하기위해 육회만원어치를 깍둑썰기로 준비해 씹었습니다 육회를 먹어보는게 처음이었는데 막상 씹어보니 씹는소리는 잘 났지만 연기하며 삼키기가 너무 버거워 휴지에 뱉고 새로운 고기를 씹고를 반복했습니다 최종리허설까지도 없었는데 실전때 과몰입을 너무 하다보니 마지막 추격장면때 왁굳님이 저와 주르르님 사이를 방해한다고 생각이 드니 너무 속상하고 분해서 눈물이 흐르더라구요 주르르님 연습할땐 연기 못했는데 실전때 저 경멸하는 연기가 나오길래 진짜 저를 경멸하나싶었습니다주륵 재밌게 봐주신 여러분 정말 감사합니다 덕분에 저희 모두 매일 밤새며 고생했던게 더 보람있었던것같습니다 앞으로도 왁굳님의 고멤 컨텐츠 많이 좋아해주시고 응원해주시면 감사하겠습니다 감정에 벅차 눈물이 글썽이지만 다급하게 숨기며 뒤로도는 냉참 감 감사합니다 그리고 저 실제로 안저래요착해요 미쳤다이건진짜 와 회차 시청중이신 분은 좋아요를 늘러주세요 
1,폭력적인 중국인에게 대처하는 법 : 중국인에게 타이완 넘버원을 외쳐보았다 - TAIWAN #1 (conan exiles),"조회수 3,625,910회",3.1만,1천,"댓글 5,861개",2017. 2. 2.,너무 웃겨서 배아프네 이런데서도 드러나는 국민성이다 죽이고싶어서 끝까지 쫓아오는 중국인과 끝까지 놀리는 한국인 형 서울대 중국 교환학생 오리엔테이션에 이 영상 중국에서 하면 안되는 행동으로 올라왔어 역겨워 형 사랑해 뭐야 좋아요 왜캐많어 이 영광을 오리엔테이션 받으러 간 제 여자친구와 교육을 담당하신 순경분에게 바칩니다  목소리가 타이완 넘버원하기에 최적화 된듯  
2,나만 가지고 있는 물건 대회 - 돌아온 미션놀이 1화,"조회수 3,461,810회",2.4만,852,"댓글 1,263개",2019. 5. 31.,레알 애들이 순수하지만순수한만큼 직설적이다 아앗부끄러버라 이게 옛날 돈이라니 원 지폐를 못봤구나 소름끼쳤다 여윽시 그 스트리머에 그 팬이다 화살이 너무 리얼해서 안뽑을 수가 없었따 
3,영화 기생충 집을 마크로 구현한거 보고 놀랐네요 - 마인크래프트 건축 콘테스트 '영화' 편,"조회수 3,229,883회",2.7만,1.3천,"댓글 2,098개",2019. 9. 10.,개인적으로 킬링파트 지니 퀄 떨어지니까 브금 퀄도 떨어지네 이거 이해하고싶어서 두시간 짜리 기생충 보고왔다 와 주제가 진짜 좋았다 이거 인정 기생충 집 등장 서울대학교 마인크래프트 학과는 없니 아들아 아버지는 너가 자랑스럽다 
4,[오버워치 실험] 메이에게 얼려지는 영웅들의 신음소리,"조회수 3,080,253회",1.6만,1.4천,"댓글 6,052개",2016. 7. 19.,이거 왁굳형 영상이었어 왁형 모를때 우연히 옵치 추천영상으로 뜨길래 컨텐츠 쓰레기같네 하고 관심없음 했었는데 이게 왁형 영상이었어 남캐가 더 위험하다 컨텐츠 다양하다 남캐들이 더 야하잖아 여자 영웅보다 남자영웅이 더 야한데 
5,시민으로 변장한 사람을 잡아라! - GTA5 히든팬치,"조회수 3,083,792회",2.6만,1.3천,"댓글 4,743개",2019. 8. 25.,편집자입니다 많은 것들이 한 프로젝트에 있다 보니까 케어하지 못해서 거슬리는 부분이 보이셨을 텐데 생방에서 재밌게 봐주셔서 고마웠습니다 행복하세요 이번 영상은 편집자님 고생하신 게 보이네 참여 팬치들 방송분량이랑 형 방송분량 전부 찾아본거잖아 시간대별로 스토리 정리했다는 건데 대단하다 진짜 솔직히 한화팬이 제일 불쌍하다 숨어있지도 않고 계속 시민처럼 걸어다녔는데 본분에 제일 충실했음 이 게임에서 가장 중요한 룰은 모든 룰은 우왁굳의 기분에 따라 변할 수 있습니다 그와중에 팬치들 화면 다모니터링 하면서 편집한 편집자 쩐다 
6,캐릭터랑 가장 어울리는 목소리를 가진 사람을 찾아라! - VR CHAT 싱크로율 대회 (vr챗),"조회수 3,036,471회",3.5만,1천,"댓글 3,380개",2019. 7. 13.,매미랑 앵그리 버드가 살렸다 성대모사 같은건 듣다보면 질리는데 개웃기네 목소리꾼으로 참여한 보석군입니다 다시봐도 재밌는 시간이였어요 이새끼 약 검사 해봐 시밬 와 목소리꾼님 베어그릴스지렸다 와 미친 내인생 좋아요 개 처음이넼만두개 가즈아 감쟈감쟈 시밖매미소리 진짜 존나현웃터졌네 지그바이스 씨바 
7,끝말잇기... 그 발언. 순간 정답처리 할 뻔 / 배틀그라운드 하이라이트,"조회수 2,982,414회",2.3만,373,"댓글 1,399개",2018. 4. 28.,리중딱 했을때 넘어갈려고 옆으로 에임흔들린거 개웃곀 재미를 위해 희생하신 리중딱 센세 잊지않겠읍니다 리버풀 리그우승기념 성지순례 왔읍니다  리중딱 발음 개찰지네 
8,(밀덕주의) 이 세상에서 가장 현실적인 밀리터리 군사 게임 아르마3 꿀잼 체험 - Arma 3 (진짜사나이),"조회수 2,726,391회",1.6만,911,"댓글 1,432개",2017. 7. 10.,여러분 현재 오쨩은 시청자 대규모 콘텐츠만 짜놓으신채 아르마를 실행하지 않고 계십니다 아마 그 이유가 이 영상의 조회수를 보고 판단하기 위함이겠져 그러니 다들 꿀잼 콘텐츠를 위해 좋아요 팍팍 눌러주세요 킬링파트 편집깔끔하면서도 포인트들 잘 잡힌거같아서 재밌게봤네요 감사합니다 와편집 누구야 잘뽑았네 편집자 형이한거야 더 쉽은는 기억할 것입니다 
9,K/DA 5인팟으로 춤추면서 상대팀 능욕하기 - 우왁굳의 리그오브레전드 하이라이트,"조회수 2,497,222회",1.8만,1.3천,"댓글 1,988개",2018. 11. 24.,저 이거 롤드컵 때 직접 댄서로 무대섰었는데 여기서 컨텐츠 보니까 넘 반갑고 감회가 새로워욬 아니 왁굳형 하는거랑 가 하는거 겹쳤는데 아무도 모르넼 개욱김 우왁굳 아칼리 가능해요 아칼리 됩니다 바로 스킨도 샀어요 초후 아칼리 밴 레알 아리가 젤 못한다 조내 답답하네 현재는 인팟이 가능하기는 한데 그냥 이걸로 하십시오 
