title,view,like,unlike,comment,date,comment_text
배틀그라운드 웃음참기(10단계) TRY NOT TO LAUGH PUBG (STEP10) - UZUHAMA,4948441,43000,3500,8158,2018.3.1,형 번 절하고 반절 안했어 난 이거 아직도 보러 온다 잊을 수 없어 이 느낌 나 년에도 봄다 나만 보냐 은혜 갚은 까치 아직도 보러오는 당신은 찐팬 어느정도 다 본건데도 입꼬리가 승천해버림 
세계최초 99% 은신 임포스터 의 미친암살 레전드 우주하마 어몽어스,4597346,43000,1900,6890,2020.9.3,하마형 프사 무슨일이야 틀니하마 무엇그나저나 저그림 거울보면서 그린거지 진짜 잘생기긴했다 우주하마랑 강동원중에 하나 고르라하면 난 무조건 강동원 형 내 올해 소원이야 프사 바꿔 하마형한테 어몽어스를 알려준 청자는 몰랐겠지 형이 배그유튜버 에서 어몽어스 유튜버가 될줄은 프사 또 바꼇다 근데 이번건 좀 귀엽네 이번꺼 군청색 하마 이거 틀니하마보고 귀엽다고 한거 하마형 얼공할려고 준비하는거야 전에 입 좀 크고 눈 무쌍에 길다고 했는데 우리가 너무 하마형 귀엽게 생각할까봐 연막깐거지 다말해 연막에 눈물난다 
어몽어스를 잘하고 싶다면 바보인 척을 하세요 핵소름,3965002,42000,1300,3615,2020.8.16,파랑 개소름이네 난 어몽어스 하는 사람 중에 형이 가장 웃겨 하마처럼 바보인척 하는 애들이 제일 무서움 만화에서 실눈캐가 각성하면 제일 무서운거처럼 죽고나서 임포 도와주는거 하마님이 최고임겁나 잘도와줘 아니 이분 어몽어스 몇개째 보는데 남들은 막 여러명씩 하면 정신없고 그거 아님 욕하고 그래서 안봤는데 이분은 혼자 엄청 재밌게 함 진짜 서포트 장난 아니네욬 
10만원 어치 복권 긁기 하다가,3839634,48000,1400,3001,2020.7.12,만원 버는법 준비물 만원 우와하마 앞발 첨 봐 사람 손 같이 생겼네 긁는것보다 도네가 더 이득 누가 바를 정을 그렇게 써 바보하마 이거 풀방송 보면 하마 느릿느릿 섬세하고 깔끔하고 바보같은 면이 진짜 반전임맨날 말 많고 가끔 화내구 노래부르고 그래서 성격 급할것 같았는데 전혀 아니였어 개좋아 
개빡쳐서 핵 유저를 감금한 싸이코패스 유튜버,3770868,38000,1300,3421,2017.11.9,핵 서버 만들어서 핵쟁이로 구분 되면 핵 서버에 가둬서 핵쟁이들 끼리 싸웠으면 좋겠다 하마는 멸종위기종에 속해있습니다 스트레스 받게하지마세요  싸이코패스 유튜버가 아니라 히어로 아닌가 핵입장에선 또라이같겠네물론 지가 젤 또라이인걸 인지못하는 새끼들이지만 
지가 죽여놓고 못 본 척하는 졸린 임포스터() 우주마피아게임 어몽어스,2917416,28000,831,2045,2020.8.12,우주하마 는 저렇게 친구 없이 혼자 게임하는게 좋아 아무튼이야 개웃긴닼하양이 보고 당황해서 가만히있는거봨 첨에 실드쳐주다가 결국 포기했엌 형이 이렇게 웃기게 하니까 생방에서 어몽무새들이 넘쳐나는듯 하양이 찐으로 당황한게 여기까지 느껴져 케챱도둑은 진짜 답답허네 죽일생각안하고 물타기 할 생각만 오지게하네 별로 하지도못하는고만 
지렁이 키우기 게임 세계1등 하려다가 키보드 뿌셨습니다;;,2793608,24000,800,2554,2020.7.30,형은 배그 안해도 토크가 너무 웃겨서 계속 보게 돼 지렁이 도네한다고 수많은 독사새끼들이 몸 불려서 대기했는데왜 다 준다는데 먹지를 못하니 지하철 출발할때 아편집 미쳤냐곸개웃기네 아니 형 아니 잠만 나 라면먹고 있었는데 하 
어몽어스 핵 개발자를 만났습니다 개신기하네요간나쉑,2750593,37000,1400,8683,2020.10.15,내가 모둠순대 모둠튀김 이 세상 별의별 모둠은 다 만나봤지만 모둠핵은 또 처음보내 겜이서 신처럼 논다고 지가 진짜 신인줄아나봐 나를 하급핵과 비교하지마라 그냥 방구석에서 핵쓰는 중병 아싸샠같음 생방때 어차피 핵끼리 쓰는건 다 똑같은데 지는 차원이 다른 착한 핵이라고해서 너무 하찮았다 글고 저게 착하다고 믿는 사람이 있어서 정말 놀라운데요 핵 안쓴다면서 다 썼어요 영웅심리에 찌든 애기에요 애기 나 전에 핸드폰으로 어몽어스하는데 핵이나 옷입혀줌 왜넌 벗고있냐면서 솔직히 나는 투표 시간 때 바로 넘기는 핵이 너무 싫음 
사랑에 빠진척() 다 부숴버리는 금사빠 우주하마 어몽어스,2717333,3000,1100,3359,2020.8.18,하마님이 하는 어몽어스가 제일 꿀잼 어쩜 이리 컨셉을 잘 잡으실까 아니진짜 이런 컨셉 어몽어스 하는 유튜버중에 제일재밌는게 우주하마임 핑크 쟤 미친거 아니냐 개웃기네 와 님들 나 첫 배댓이야 사랑해 개웃기넼 아니 하양이는 지도 임포면서 왜 연두를 투표를 안해 벤트쇼 하는 거 진짜 
가수 에일리씨랑 배그 듀오했어요 헐,2650231,36000,516,4723,2020.7.23,여러분들이 좋아해주시니까 너무 기분이 좋아요  하마님 저랑도 배그해주세요 저 배그한지 일된 배린이입니다 배그좀 알려주세요 약간 우리 일반인이 연예인 보면 진짜 신기하고 떨리고 그러는데 연예인도 좋아하는 이나 스트리머 유튜버 보면 자기도 좋아하는 연예인 보는 느낌인거같아 하마를 많은 사람들이 좋아하는게 참 사고방식도 개념있고 선넘지 않고말도 예쁘게 잘하고 목소리도 좋고 치킨을 추구하지만 치킨보다도 즐겜에 더 비중을 두고 그러기 땜에 사람들이 참 좋아함 나도 하마형이 참 좋아 
