title,view,like,unlike,comment,date,comment_text
보홀여행 마지막영상(떼아 스페셜영상),3302042,24000,566,2026,2020.1.5,와 저런몸으로 애기들고 수영복입으니깐 저세상간지다 애기봤을떄 엄마들 리액션은 세계 공통이구만 오구 구랬오 뭐야 애기 왜케 이뻐 저런 딸 낳으면 무슨느낌일까 뭐든 아깝지 않은 느낌일까대박이다 아기들 숨소리가 가장 귀여워 
[SUB](여행VLOG)회사 여름휴가로 미녀게스트와 호캉스 유아풀 다녀왔습니다-운지기헬스TV(feat몸짱아빠),2364302,22000,480,1792,2019.8.6,저기 간 모든 애아빠들 기죽이는거 원탑 뭔가 애기키우면서 운동하는게 아니라 운동하는김에 애기키우는거같음 모든 아빠들의 적 애들 풀장인데 엄마들이 더좋아하겠누 난 아기를 보러왔다 좋아요 누르기 
(운터뷰)체지방3%진정한 다이어트신들의 살빼는 꿀팁은,2088926,9300,320,1161,2019.10.21,많이 부족한데 감사합니다 인스타 입니다 계단에서 내려오시는분 얼굴은 보겸이형인데 다이어트 중이라 그런지 다 훈제달걀로 보여 하 결국에 다이어트는 식단과 유산소가 답이네요 그럼 내일부터 하는걸로 하구요 일단 전 오늘약속이있어서 치맥한잔 하겠습니다 수고하셨읍니다 썸네일보고 저인거보고 깜짝놀랐네요 인터뷰는 처음이고 유튜브 출연도 처음이라 신기하네여 감사합니다 
아이언맨 윤성빈은 어떤 훈련을 할까,1616942,8900,341,1065,2020.7.16,아직도 윤성빈 선수가 뭉찬나와서 제자리점프한게 잊혀지지않음 와 윤성빈선수 근육 두께감 미쳤네 하체만 두꺼운줄알았는데 팔근육메스도 지려버리네 홍일점 여자 선수 분은 저들과 생활에 익숙하다 보니 일반 남자들은 호빗으로 보이겠구나 와아 윤성빈 선수 진짜 국대 아무나 하는거 아니다 국대들은 운동머신이라던데 그말이 맞네요김지수 선수도 저번 올림픽에선가 뵌거 같아요 우리나라 국대분들 덥고 지치지만 항상 힘내세요 아니 여성선수남자랑 비슷하게 뛰는 거 실화냐 
콜라보 실화 황철순 어깨프레임 만드는 2가지 방법,1609930,14000,607,1967,2021.2.15,선한 영향력 감사드립니다 힘든 시기 장소 제한없이 어디에서든 쉽게 할 수 있는 운동법으로 자주 찾아뵙겠습니다 새해 복근 많이 받으세요 지기 어깨 깡패 되겠네 와 똥까지 고립시키는 그는 대체  
기본적이지만 멋진 어깨를 만들수있는 상세하게 설명하는 5가지 어깨운동방법-운지기헬스TV(정보),1443019,19000,301,1175,2019.6.23,갑자기 지난 어깨영상이 뜨기시작해서 조회수가 올라가고 있는데 여러분들 저 네추럴 맞습니다 저는 평범한 일반인 직장인이고 애아빠에요 약물쓰면 와이프한테 쫓겨납니다 앞으로도 절대 사용할일 없습니다 그리고 상세하게 설명하는 영상 일주일에 한개정도 업로드 되니까 다른영상도 보러오세요 상세하게설명하는 등운동 상세하게 설명하는 복근운동 진짜 근육이 이쁘다 워너비 몸매 너무 우락부락 하지도 않고 딱딱 각져있고 정교한 근육 너무 멋있어요 만화캐릭터처럼 근육이 만들어진듯 진짜 깔끔하고 군더더기하나없이 간지남 근육 진짜 이쁘게 생겼다 내가 저몸이면 한 시간동안 거울만 보고 있기 가능 밀리터리 프레스 개씩 덤벨숄더프레스 개씩 사이드 레터널 레이즈 개씩 프론트레이즈 후면어깨운동 개 개씩 세트 
모두공개합니다살인적인 근무시간하루 4시간 자면서 취미로 운동하는 일반인의 진짜 직업은-운지기헬스TV,1408737,19000,349,2223,2019.5.15,청과일은 년 가까이 일했고요 년동안 열심히 모아서 집도사고 제가 원하는 직장에 다닐수있게되어서 욕심없이 가게 정리했구요 이제는 조금 가족들과 시간도 보내고 저도 일상을 이제 조금 즐겨보도록하겠습니다 이제 운동도 여유있게 할수있다는게 너무 행복하네요 약쟁이들 밥쳐먹고 운동만 하는 것들이 인스타에 맨날 징징거리죠 이런 대단한분은 정작 묵묵히 살아갑니다 정말 반성하며 존경합니다 아니 와 몸은 대한민국 인데 정신력은 전세계 수준이네 대단하다 진짜 이것으로 내가 운동을 못할 이유가 단 도 사라져버렸다 온갖 고달픈척 다하는 빌더들보다 이런분이 훨씬더 대단한거지정신적으로도 
집에서 할수있는 부위별 맨몸운동법,1405138,15000,132,541,2020.1.2,맨몸운동도 방법만 알면 충분히 좋은 운동인데 접근성이 좋지 않아서 많은 분들이 어려워 하네요 또한 저런 동작들을 한다고 해서 몸 어디가 갑자기 망가지거나 하지는 않습니다 기울여서 하면 진짜 전면삼각근이랑 코어에 힘이 오지게 들어가네 와 깜놀 고양이가 있다니 저긴 천국인가요 기울이기 파이크 타이거 이준명님 어깨근육이 진짜 웬만큼 헬스 경력 오래된 분보다 좋네요 
황철순 광배 만드는 2가지 방법,1408972,1000,424,1420,2021.2.17,안녕하세요 황아가 입니다 담엔 떼아를 초대해서 우리 리우 원포인트 레슨 부탁드려 볼께요저는 지기를 조질 수 있는 운동을 좀 더 연구해서 찾아뵐께요모두 득근하세요 빤히 보더니 아가 뭔가 많이 잘못 된 아가 풀업 완전 꿀팁이당 응애 나 아기철순 
운동유튜버 운지기 라면 최대 몇개,1277278,1000,254,1465,2020.3.2,다음부턴 남자 게스트 분 분량 좀 줄여주세요 자꾸 세아님 멘트 가로채네요 빈말아니고 애기 근데 진짜 예쁘게 생김 이정도 양 드시면서 평소에 식단지키시는거보면 정신력 레얄 오지시는듯 아니 서로 음식먹다가 동시에 눈마주치고 다시 먹을거 먹는게 개웃기네 굶주린치팅먹방은 일주일에 한번 진행됩니다 
