title,view,like,unlike,comment,date,comment_text
피온4 생일기념 현질 드디어 전설의 그 선수 써봤습니다,64353,1000,36,205,2021.5.4,누가봐도 임대 급하신분들 성주형님 생신 축하드립니다 앞으로도 좋은 방송 재미있는 방송 부탁드립니다 항상 응원합니다 편집자의 한 아니 내가 편집하는 날에만 항상 이런일이 일어나는걸까 저번에는 피파 도중에 주식 강의를 하지 않나 오늘은 영상 처음부터 돌려서 계산해야되네 시간짜리 원본 영상인데 언제 찾아서 언제 계산하고 언제 편집하지 그래도 월급 주시니까 따르겠습니다 사장님 사랑합니다 에 잘보면 국기 옆에 박지성 서 있는거 나옴 
이강인의 맨시티 대위기 이러다 유로파 리그 가겠습니다,76875,1300,26,267,2021.5.3,형영상중에 피파이 제일 잼있는거 같엌 귀요미 세하 포인트 생일 축하해 성주 형 같은 유애나로서 응원할게 아 요즘 이강인 키우기 재밌음 
피파4 오스트리아가 낳은 중거리슛 괴물 (자비처 금카 리뷰),76698,1100,29,155,2021.5.2,내가 박성주 보단 잘생겼다 좋아요 좋아요가 왜이리 많지 이런건 처음인뎅 감사해용 첫 중거리 그 시간대  삐처리를 하긴 했지만 뭔가 찝찝한 느낌 
피온4 최애 선수 + 새 시즌 선수로만 싹 다 모아놓은 역대급 본캐팀,97756,1300,34,160,2021.5.1,오늘은 되게 빨리올렸네 짜집짜집 줘 그는 해선 안되는 말을 해버렸다 쌉린정 니들 친구수 적는 곳 아니다 
피온4 드디어 새 시즌 출시 이 날 만을 기다렸다,97614,1300,35,141,2021.4.30,있잖아 너 쌓여있잖아 아는놈들 반성해라 이 영상은 좌지성 좌지스가 캐리했다 뭘 하든 말이 이상해지네 아닠형 영치하다가 폰에 다뱉었네 시밬 아줌마가 왜 거기서 나와 
도대체 왜 그러는 걸까 | GTA5 핵쟁이 인터뷰,34882,894,15,284,2021.4.29,화이트리스트 세션으로 핵쟁이 입장을 차단할 수 있게 되었습니다 앞으로 고래패밀리는 매주 월 목 트위치 에서 생방송으로 진행 됩니다 유튜브 영상은 성주로운 게임생활 채널에서 내 영상 나오길래 깜짝 놀랬자너 자기가 뭔 어나니머스라도 된 줄 알아 걍 반에서 찐들 도대체 친구도 없이 뭐하고 노나 하는 얘들이 이러고 노는거 였어 핵쟁이들은 망겜이라는 이유 지들이 핵 쓰고 놀다가 정지 먹으니까 망겜 이지랄 쟤네는 게임 하지말아야함 
피온4 제 동갑 친구들 전부 월클이네요 | 91년생 축구 선수 스쿼드,98385,1300,43,252,2021.4.28,여기서 가장 놀라운 점박성주는 년생이다 아 성주님 대인줄 알았는데 가 임을 증명하는 영상 오늘 영상 키 포인트 박성주가 년생 이라는것 쟤내가 아직 년생이라는것 똥싸는거 직관 
챔스에서 만난 축구의 신 이건 기회야,94464,1400,23,224,2021.4.27,영상시간도 짧은데 지난이야기 왜케 긿어 반박불가 이거 끝나면 정우영 헨더슨 그는 어떻게 리버풀에서 반다이크 데체 수비수에서 맨체스터 시티의 주전 최전방 공격수가 되었는가 엄마 이거 다보고 공부할게 
맨시티 팬의 카라바오컵 결승 리뷰 분명 이겼는데 마음이 아프네요,51565,957,28,256,2021.4.26,갠적으로 손흥민 진짜 좋아하고 꼭 이겼으면 했는데 아쉽긴 하다 그래도 한국 매번 챙겨주고 다같이 위로해주는거보면 맨시티는 근본 그자체임 스털링 표정 띵언이다 딱 비니시우스 생각남 성주형 맘이 이해가는게 저도 시티 팬이라 이긴건 진짜 좋은데 마음이 좀 안좋네요 갠적으로 손흥민 선수 더 늦기 전에 우승컵 들 수 있는 클럽으로 갔으면 평소에는 공격이 잘하고 수비라인이 못했는데 이 경기만큼은 수비가 공격을 욕해도 될만한 날이었음 
피온4 여기서 좋은거 안 나오면 무과금 접는다고 했더니,97578,1400,31,277,2021.4.25,술마시지마 성주형 제발 오늘도 똑같다 그 루트 우리 토레스 잘가고 진짜 진짜 피파 뽑기 하면서 첨부터 끝까지 행복한거 보면 좋겠다 역시 흔한 레파토리 
