title,view,like,unlike,comment,date,comment_text
평소 해보고 싶었던 메이크업 5분짜리로 보기| 유앤아인 YouAndAin,7305807,13000,4500,2553,2020.2.8,  아잉님들 잘지내셨나요 제가 느므 늦었죠잉 재미로 찍어본거라 세로컷인데 재밌게 봐주셨음 좋게습니다용 제품명브러쉬 빨리 더보기에 기재해드릴게욥  외국놈들 지들이 입술필러 젤 많이 맞으면서 자꾸 입술 가지고 난리야 
(ENG VN TW) | 나만의 웜톤 데일리메이크업 my daily makeup,2516685,61000,1100,4135,2019.1.25,요즘 세상 엄청 좋아졌다 요정이 화장하는 것도 방구석에서 귤 까먹으면서 보고   안녕하세요 댓글로 처음 인사드려요 모든 댓글들을 보며 좋아요도 누르고 답드리려고 노력하구있지만 못보고 넘어가는것도 있어요 정말 많은 칭찬들 감사합니다 처음 유튜브를 시작한게 저만의 화장법을 알려드리자고 허접하게너무 작게 시작했어요 앞으로도 제가 알고있는 뷰티팁은 마구마구 알려드릴게요 전문가가 아니라혼날때도 있겠지만 조금만 너그럽게 봐주세요 오늘 데일리 메이크업은 특별한게 없으니 부록처럼 봐주세용헤헤 데일리는 여러가지 버젼으로 더 찍어드릴게요 아 그리고 더빙이나 말하면서 하는 메이크업은 좀연습을해야할것같아요 제가 워낙 소심하고말을 더듬어서 조금만 양해부탁드립니다 앞으로 많은 화장 보여드릴게요 다른 뷰티팁도 마니 찍을게요 감사합니다 주말잘보내세요 진짜 궁금해서 그러는데 언니 혹시 거울보다가 와 진짜 예쁘다감탐하면서 인형인 척 해본 적 있으세요 저도 가끔 돌하르방 인척해요 
(ENG TH TW JP) 개인적으로 너무 하고싶었던 태닝메이크업 해봤어용 tanning makeup,2140931,55000,956,1775,2019.6.16,  안녕하세요 아잉님들 제가 흰피부는 아니지만 평소에 어두운피부 로망이 있어서 태닝 메이크업에 도전해봤어여 제 의도는 이뻐서 한거랍니당 앞으루 더 다양한 메이크업 가져오겠습니당 언니를보고 화장을 따라했는데 거울속에는 어느 부족 산적이있어요 언니  
(ENG) (FR) | 태국여행 방콕 브이로그에서 했던 메이크업을 해봤어요 더운나라에서는 이렇게 화장해봐요,1529125,23000,518,957,2019.4.29,앞머리 내리니까 얼굴 소멸 직전이다 얼굴 왤케 작아요 그 작은얼굴에서 눈코입 자기주장 엄청 강하고 아구 너무 예뻐  아잉님들 오랜만에 메이크업영상을 들고왔어용 이래저래 본업에 치여서 앞으로 다양한 메이크업 많이 보여드릴게요 이번영상은 투쿨포스쿨에서 선물받은 제품들을 태국여행갈때 그리고 괌촬영갈때 들고가서 사용했거든요 제가 직접 써보고 너무 좋아서 요즘 촬영메이크업에서도 많이 쓰고있어요 촬영메이크업도 찍었어용 조만간 학생메이크업 촬영메이크업 쭉쭉 올려드리겠습니당 좋은한주보내세용 쯤에 입술에 침 발랐는데 왜 혈색이 도는 것인가 그렇다 언니는 유니콘 썸네일보고 놀라서 헐레벌떡 들어왔네요 당신 왤케 이쁜거야앞머리도 완전 찰떡 흰 옷도 정말 찰떡 천사같아요 아 사실 하늘에서 내려온 천사인데 사람인 척 하는 건 아니죠 사랑해요 
SUB) ENG TH | 다크한 브라운 메이크업 dark brown makeup,1138636,34000,668,3284,2019.1.12,안 들어올 수가 없는 썸네일이였다 진짜로 얼굴이 얼굴이 컨텐츠다 이거 실제 현존하는 얼굴이였어 썸넬 보고 설마 진짜 이렇게 생겼겠어 하고 들어왔는데 진짜 그렇게 생겨서 놀랐다 와 진짜 이런얼굴은 많이 봤는데 보정안하고 움직이는거 처음봄 
(ESP JP) 내맘대로성형메이크업 가을가을한 톤으로 준비해봐요 fall makeup,1007658,18000,350,558,2019.10.11,아니 언니 브라운이 안 어울리다뇨 언니한테 안 어울리는 색은 이미 색의 자격을 잃은 것이 아닐까요 전 그리 생각합니다 감히 언니를 거역하다니 우리 곤듀님에겐 그 누구도 그럴 수 없어 그냥 뭔가 언니는 생김새를 떠나서 그냥 귀여운 햄스터가 옹알옹알 얘기하는 기분이라 걍 흐뭇함 오구 그랬어용 하게 되는 이젠 외국인들까지 주접킹이되었어 세계 각국 주접킹 외국인들 여기 다 모임 말안하면 엄청 신비로워보이고 뭔가 위엄있는데 말하면 좀 굉장히 귀여워보여요매력이 팔색조이신거같아요 진짜루 생얼일땐 멍멍이상 화장하면 고양이상되는거 넘 신기해용 존예 
ENG | [ROOM TOUR] 방 2개 구경하기 어릴 때부터 꿈꾸던 핑크방을 드디어 이뤘어요-| 유앤아인 YouAndAin,978233,32000,756,1307,2020.8.22,제방은 제가 원하지않았지만 옷장 책상 의자 침대까지 핑크입니다  느릿 느릿 저의 모습이여요 핑크의 꿈을 이뤘습니다아 꺄 핑크방 완성이네요 언닝  
(ENG VN TW) | MAC 루비우를 사용한레드립 메이크업 red lip makeup ,616736,12000,194,852,2019.3.18,근데 정말루 얼굴만 예쁘신게아니구 화장 꿀팁들도 다 넘나 유용해요 예쁜얼굴에 예쁜화장을 더하니까 정말 예쁜얼굴을 프로 활용하시는 느낌 다양한 룩 보여주시려고 노력 많이하시는거같아서 넘나 감사해용 언니가 사용하시는건 다 따라사고싶네용 백만 천만까지 화이팅하세용 안녕하세요 오랜만이여유아잉님들 제가 너무 급하게왔어요흑흑흑 또 영상 이쁜척하는부분에서 음악이휴 유튜브한지 두달이나 지났는데허접이에요 잘지내셨죠 그리고 저에게 실버버튼이 도착했어요 짧게나바 개봉기 영상 찍으려고해요헤헤 좋은 한주보내세요 아인당신은진짜최고야진짜짜릿해서 내가 매번 영상을 따라한다구요언니사랑해요 이번에언니화장으로바꾸고나서사람들이 제화장을좋아해줘요외쳐봐요다같이유앤아인 그 얼굴이면 기분이 어때요 화장할 때마다 막 감탄하죠 맞죠 그렇죠 렌즈 안끼셨다는 말에 동공지진 진짜 인형이신가요 
SUB ) ENG VN | 핑크메이크업 Pink makeup,672725,15000,504,3039,2019.1.20,전혀 모르겠다 세상 참 좋아졌다 이젠 방구석에서 요정이 어떻게 사는지도 알 수 있네 공주님 어떻게 하면 목소리를 들을 수 있습니까 혹시 인어공주여서 그런 거라면 다음 영상은 인어공주 메이크업으로 와주세요 아인님 인스타부터 짱팬인데요 혹시 영어 자막 필요하시면 언제든지 연락주세요 흑이걸 보실지는 의문이지만 미국에서 태어나서 지금 미국 대학 다니고있어서 원어민 수준이에요 아인님을 이세상 사람들이 다 알았으면 좋게써요 무슨 카메라에 다 못담을정도로이쁘냐 
가을에 하는 분위기 있는 핑크브라운 메이크업 pinkbrown makeup,640733,18000,184,852,2019.9.28,언니 언니가 예쁠 때마다 원씩 모았더니 일주일만에 강남 건물 채 샀어 언니 저희집 전등이 고장났길래 언니사진 천장에 붙이고 살고있잖아요 내가 하면 다래끼메이크업 언니한테 고마운일이 생겼어요 나 미국 갔다왔어요 언니 콧대에 미끄러져서 항상 보면서 느끼는건데 얼굴 좌우 대칭 진짜 똑같으신거 같음 
