title,view,like,unlike,comment,date,comment_text
미니사이즈로만 메이크업이건 별로 이건 좋다,68563,1500,18,137,2021.5.4,언니 브이로그에서말했던 그 터질거같은 블라우스군요 울언니 화사한 블라우스 입더니 제니에 이어서 아이유 라일락 그 자체 흐흐 진실언냐브이로그 구독하지 말라했다 하라했다 했지만난 브이로그 구독해서 저 블라우스밖에 눈에 안 드루와 오늘 조녜탱구리 인간 보라돌이가타 화장 매일 안하고 하더라도 양 조금만 쓰는 저한텐 미니사이즈 너무 좋습니다 에스쁘아 파데 미니 넘 좋더라구요 쿠팡 기준 하나에 만원정도라 가격도 좋고 색 여러개 쓸 수도 있고 와유튜브 공무원 
오늘 그냥 개또라이 같다나 왜 그랬지 겟레디 위드미 ,190470,5000,46,491,2021.4.29,깨물지않았는데 겁먹고 잘린 하트 순간 제목잘못본줄 알았어요 썸네일 태풍부는 날 나갔다 온 비주얼인데요 월말 친척 동생 결혼식 하객룩을 벌써부터 걱정하는 유튜바 앜제목 
오렌지 코랄 립만 모아보았습니다상큼 터져,72235,1900,20,203,2021.4.21,이것만 보고 시험공부 진짜 한다 제발여쿨 라이트페일 딸기우유 립도 모아서 이렇게 영상 만들어주세요 대부분이 외면하고인기없어서 단종되는 색이지만 여쿨페일라이트 트루버들은 울어요 누가 저와 여러분은 모두모두 소중합니다 모음집좀 만들어주세요 넘 귀여워 제발 누가 우런니좀 쉬게 말려랏 하지만 내심 반가운 이 나뿐 마음 오렌지 코랄 입생로랑 뱅드코랄 페리페라 백점천점 최애쁨템 베네피트 차차틴트 조르지오 아르마니 벨벳오렌지 클리오 탠저린 드림 맥 모란지 홀리카홀리카 지피 총정리 유트루님의 원픽 
후루루룩 쓰으으윽 빠르게 올로드샵 메이크업파레트 크림 발견,128171,2400,37,245,2021.4.16,애는 내가낳았나본데 강빈아 벌써 뷰티 콘텐츠도 찍는거야 우리강빈이언제 이렇게 컸어 강빈이 엄마 맞으신가요왜케 점점 이뻐지죠 미모 리즈쟈나트루언니한테 뽈인럽이네 아니 갓 출산한 애기엄마 맞나요 트루언니 외모 무슨일이야 진짜 
출산 인사 드립니다 이렇게 생겼어요 조리원 스킨케어까지,525280,13000,141,957,2021.3.27,진짜 유튜브 유씨다 좋은데 걱정되고 걱정된다고 하면 언니가 걱정한다고 미안해할것같고 신경쓸 것 같고 아무튼 좋다는 소리입니당 아니 진짜 영상찍어놓고 간것도 대단한데 조리원에서까지 찍으시다뇨 세상에마상에 이런 공무원없다 이말입니닼 나 너무 좋아서 죽어요 열분덜 자두 숨소리 만번씩 들으세요 언니 카메라 대박 초점 너무잘맞아서 뒤에 배경합성인줄알았어요 조리원영상이라니 자두야 반가워 언니 화질 실화에요 아웃포커스 오져서 크로마키 합성한건가 의심했어요 
뻔뻔한패피 7 편한옷은 임부복이 짱이유가 있는 성공옷 실패옷,110377,1800,29,119,2021.3.20,우리언니 예전부터 파티룩 모으는거 너무 좋아해 파티 가지도 않으면서 아니 유투브 유씨 영상 엄청 찍어놨네 너무고마운 사람 맘 편하게 산후 조리 하고 건강 챙기고 돌아와요 언니 출산축하축하몸조리잘하세용언제나 응원해용 이 영상 이후로 정식으로 여러분들께 자두씨랑 인사드리는 영상으로 뵐 수 있을 것 같습니다 다음 올라올 영상은 브이로그인가요 심장이 두근두근 하네요 트루님 유툽시작할때부터 보면서 화장배워서 연애하러 나가고 그 사람과 결혼해서 애기낳고 그 아기가 돌인데트루님도 실버라인님이랑 결혼해서 임신하고 마침내 출산까지 했다니 참 감회가 새로워요 그 동안 트루님 번창하고 잘되서 부러워하고 있어요 몸조리 잘하고 육아도 행복하게 하세요 모든걸 넘넘 축하해요 
공병리뷰 4 유트루의 의외의 추천템 속건조 확 잡힘그 샴푸 나옴,105825,2400,27,213,2021.3.14,트루님 순산을 축하드립니다 역시 유튜버 유씨 언니 진짜 순산 축하드려요 자두씨 반가워요 자두 씀뿡 순산하신거 축하드립니다 자두야 저땐 엄마뱃속에 있었겠네 모유든 분유든 잘먹고 건강하게 쑥쑥 자라라 출산전에 영상 한가득찍었을 언니생각하면 넘 감사합니다 자두 무사히 순산하신거 축하드리구 몸조리 잘하셔야해용 페퍼로니 왤케 웃겨요 언니 출산하시기 전에 엄청 찍으셨다는게 느껴지네요 
봄 핑크코랄립 추천 화사함은 역시 핑크 아입니까,80915,1600,22,162,2021.3.8,언니 다음은 오렌지 코랄 기다려 봅니다 오렌지코랄도해주세여 언니 순산하세요 막달에도 열일하는 진실이언니 건강하게 순산하셔요 언니 혹시 가능하다면 봄라이트 메이크업 해주세요 온니 영상은 기본 분 이상이라 너무 좋아요 설명 자세하고 딕션두 좋고 트루언니 짱이야 
아이템에 진심유트루의 삶의 질 상승템 간증 폭주,200254,2600,59,252,2021.2.27,저 빗은 정말 몇년째 보는지 모를정도 트루님에게 없어서 안되는 존재 언니 오늘같이 깔꼼단정한 느낌 너무 잘어울려요 언니 그래서 머릿결이 어떻게 좋아지신 거죠 출산 얼마안남았을텐데 열일하는 모습 존경스러워요 트루씨 컨디션 조절을 최우선으로하고 일하세요 영상에 하늘색 박스가 지혼자 얼굴에 떠다녀서 재업로드했습니다 
색 다 뱉는 인간의 조곤조곤 코랄 겟레디출산 전 심경네오파데 에어랩,127398,1600,32,214,2021.2.23,자두 태어났을까봐 넘 떨려요 왠쥐 애기 낳을때도 브이로그 찍을꺼 같은 사람 저는 언니가 조곤조곤 수다 떨면서 화장하는 겟레디가 정말 좋아여출근할때 아는 언니랑 같이 준비하는 넉낌 언니 오늘따라 은은한 연두색 벽지에 세계지도가 붙어있고 아프리카티비쿠션이 시선강탈되는 그 그리운 기억속의 룸메이트 느낌이 들어요 비오템흔들때마다 예전집에서 메컵하는거같아 
