title,view,like,unlike,comment,date,comment_text
½ºÆäÀÎ¾î´õºù | ´ç±Ù ¼¼´¢¸®µû ¸ÞÀÌÅ©¾÷Carrot Seorita Makeup (en Espaol),2716977,15000,1500,5749,2019.7.3, ÇÑ±ÛÀÚ¸· ÄÑÁê¼¼¿ä    
 Fall in Youth  ´Ù°¡¿Ã °¡À»¿¡ ºüÁ®º¸¾Æ¿ä,1776160,48000,661,1376,2018.8.25,     
(En Espaol) ÄÚÄÚ³Ó¸ÞÀÌÅ©¾÷ Coconut Makeup,1249176,83000,835,3954,2019.8.21,     
'½ºÆäÀÎ¾î·Î ÇÏ´Â' ¹«È­°ú ¸ÞÀÌÅ©¾÷  Fig makeup (En Espanol),1023274,48000,288,2083,2018.1.28,   ¾È³çÇÏ¼¼¿ä ¿©·¯ºÐ ÈñÁÖ¿¹¿ä ¿À´ÃÀº ½ºÆäÀÎ¾î·Î ´õºùÀ» ÇÑ ¹«È­°ú ¸ÞÀÌÅ©¾÷ÀÌ¿¡¿ä »ç½Ç ¿¹Àü¿¡µµ ½ºÆäÀÎ¾î·Î °Ù·¹µðµµ Âï¾îº¸°í ½Ãµµ´ÂÇØºÃÀ¸³ª Ç×»ó ½ÇÆÐÇØ¼­ ¹Ì·ç°í ¹Ì·ç´Ù°¡ µåµð¾î ½ºÆäÀÎ¾î·Î ³ìÀ½À» ÇØºÃ¾î¿ä ¿äÁò ¶Ç À±½Ä´ç¶§¹®¿¡ ½ºÆäÀÎ¾î°¡ ÇÖÇÏÀÝ¾Æ¿ä ±×³É±×³É Àç¹Ì·Î ºÁÁê¼¼¿À ±×·³ ¿À´Ãµµ ¿µ»ó ³¡±îÁö ºÁÁÖ¼Å¼­ °¨»çÇÏ°í ÀúÈñ´Â ´ÙÀ½ ¿µ»ó¿¡¼­ ¶Ç ¸¸³ª¿ä ¿À´Ãµµ °íÁ®½º 
En Esp | ½ºÆäÀÎ¾î ´õºù(asmr) | ¹ÝÂ¦ »ì±¸½½·¯½Ã ¸ÞÀÌÅ©¾÷,997964,63000,410,2090,2020.1.15,     
(Esp|Eng) ÆÃ±¸µé°ú ¾ç¾ç ¼­ÇÇºñÄ¡¿¡¼­ 2¹Ú3ÀÏ ºêÀÌ·Î±× | ¸Ô¹æ | ³ªÀÌÆ®ÄÉ¾î·çÆ¾ Summer trip with my friends,691141,1000,333,382,2019.8.31,¾ç¾çÀÌ¶ó°í ¸» ¾ÈÇßÀ¸¸é ¿Ü±¹ÀÎÁÙ ¾Ë¾ÒÀ» °Í °°¾Æ¿©    ¾ð´Ï´Â ¾ð´Ï°¡ ÀÖ´Â°÷ÀÌ ¾îµðµç ¾ÆÁÖ±×³É Ä¶¸®Æ÷´Ï¾Æ·Î ¸¸µé¾î¹ö¸®´Â ´É·ÂÀÌ ÀÖ¾î¿ä ÁøÂ¥ ¾ð´Ï Àü»ý¿¡ ÆÈ·¹Æ® ¾Æ´Ï³Ä¸ç ÆÛ½º³ÎÄÃ·¯ ±×·±°Ô ÀÖ±ä ÀÖ³Ä±¸¿© ÆÛ½º³ÎÄÃ·¯¸¸ ¸¸°³¾Ö¿ä ¸ðµç»öÀÌ ´Ù¾î¿ï·Á 
(Esp|Eng) ÂË-µæ ÀÚ¸ùÁ©¸® ¸ÞÀÌÅ©¾÷ Grapefruit Makeup,558012,2000,253,1560,2019.8.13, ¿©·¯ºÎ¿î ³Ê¹« ¿À·£¸¸¿¡ Ã£¾ÆºËÁÒ ¿À´ÃÀº ÂËµæÇÑ ¸ÞÀÌÅ©¾÷À» ÁØºñÇß¾î¿ä ÈåÈå ­S­SÀÌ ¸ÞÀÌÅ©¾÷ ¿äÃ»ÇØÁÖ½Ã´Â ºÐµéÀÌ ¸¹ÀÌ °è¼Å¼­ Á¦°¡ ÁÁ¾ÆÇÏ´Â »öÁ¶ À§ÁÖ·Î ÁØºñÇØº¸¾Æ¶°¿ë ÀÌ¹ø ¿µ»óÀº ¾ÆÀÌÅ©¾ÆÀÌÅ©¶ó´Â »õ·Î¿î ºê·£µå ¸³Á¦Ç°°ú ÇÔ²² ÇÑ ¿µ»óÀÎµ¥¿ä Á¦Ç°ÀÌ ³Ê¹« ÁÁ¾Æ¼­ Á¦°¡ ÀÌº¥Æ®ÇØ´Þ¶ó°í Á¹¶ó¼­ ÁØºñÇØºÃÀ¸´Ï ¸¹ÀÌ¸¹ÀÌ Âü¿©ÇØÁÖ¼¼¿ä ±×·³ ¿À´Ãµµ ¿µ»ó ºÁÁÖ¼Å¼­ °¨»çµå¸®±¸ ÀúÈñ´Â ´ÙÀ½ ¿µ»ó¿¡¼­ ¸¸³ª¿ä ¾È´¨    
En Espaol (³Ê¹« Èûµé¾ú´ø) ½ºÆäÀÎ¾î·Î ¸»ÇÏ¸é¼­ ÇÏ´Â GRWM,497128,36000,115,3545,2020.4.11,     
(Esp|Eng) LA¿¡¼­ È¿Áø&¿¡¹Ù&ÈñÁÖ¶û °°ÀÌ ÁØºñÇØ¿ä Æ®¸®ÇÃH ,399966,8600,126,575,2019.7.30,¾î¸Ó¸Ó¸¶¸¶Àú¸¶¸¶¸¶ ³­¸®³­¸®³ª ¾È³çÇÏ¼¼¿ä ¿©·¯ºÐ ÈñÁÖ¿¹¿ä ¿À´ÃÀº ¾ÆÁÖ Æ¯º°ÇÑ ¿µ»óÀ» ÁØºñÇß¾î¿ä ÀÌ¹Ì ¾Æ½Ã´Â ºÐµéµµ °è½ÇÅ×Áö¸¸ ¸çÄ¥Àü¿¡ È¿Áø¾ð´Ï¿Í ¿¡¹Ù¿Í ¿©ÇàÀ» °¬´Ù¿Ô°Åµç¿ä ±×·¡¼­ ºüÁú ¼ö ¾ø´Â °Ù·¹µð¸¦ ÃÔ¿µÇß¾î¿ä ÀÎ½ºÅ¸±×·¥À¸·Î ÀúÈñ ¼Â¿¡°Ô ±Ã±ÝÇß´ø °ÍµéÀ» ´äº¯ÇÏ¸é¼­ ¸ÞÀÌÅ©¾÷À» Çß¾î¿ä ÀúÈñ´Â ±²ÀåÈ÷ Àç¹ÌÀÖ°Ô ÃÔ¿µÀ» Çß´Âµ¥ ¿©·¯ºÐµµ Àç¹ÌÀÖ°Ô ºÁÁÖ¼ÌÀ¸¸é ÁÁ°Ú¾î¿ä¿À ÀúÈñ Æ®¸®ÇÃ ¸¹ÀÌ »ç¶ûÇØÁÖ¼¼¿ä°e ¸»Åõ°¡ ´Ù ¹º°¡ È¿ÁøÈ­ µÈ ´À³¦ ±â¿©¿ö¿ì Á¦ ÃÖ¾Ö À¯Æ©¹öµé ´Ù°°ÀÌ Ä£ÇÏ°í ´Ù°°ÀÌ ¿µ»óÂï¾îÁÖ½Ã¸é Àü Á×½À´Ï´Ù Áö±Ý Á×¾îµµ ¿©ÇÑÀÌ¾ø½À´Ï´Ù ÀÌ ¿µ»ó¿¡¼­ ¿¡¹Ù´Ô žÍÄÉ ¾Ö±â °°¾Ö¿ä ³Ê¹« ±Í¿©¿ö ÁøÂ¥ ³ª ÁÖ°Å 
En Espaol ÇÎÅ© ¿À·Î¶ó¿Àµå¾ÆÀÌ ¸ÞÀÌÅ©¾÷ Pink Aurora odd eye Makeup,388949,34000,166,1397,2019.11.13,     
