title,view,like,unlike,comment,date,comment_text
필통에 쏘옥 진짜 학용품같은 화장품 토니모리 마이스쿨룩스 하울 1편 | 윤쨔미 메이크업,4485720,31000,2000,6159,2015.10.7,년에 보는사람 구걸아니라년에 보는 사람이 나말고 또있나 해서 궁금해서 댓글 단거에요 구걸로 느끼셨으면 그냥 댓달지말고 걍 지나치세요그런 댓은 저도 보구싶진 않습니다 윤짜미님 이런일로 알람 계속 울리게 하네요 별것도 아닌데 죄송해요 윤짜미님 앞으로 나오는 영상에 좋아요댓 많이 할게요 년에 보는사람 년에 보는사람 이거 중독성 벌써 몇십번짼 보는것같앜 년 조용히 손드세요 이거 아직도 보는 사람 
올리브영에서 제일 안팔리는 화장품들로만 풀메이크업 해보았다   | 윤쨔미,3306629,38000,2300,8031,2018.10.21,이거 이제 언니가 썻으니깐 꼴등은 면제하것네 여러분 그냥 펄이나 글리터가 있는건 이니스프리 쓰세요 이영상 마약영상이야 또보러 왔어 정국이 오빠 프사 개귀여워 퓨 영상끝까지 다봤는데 중간에 그란데 말입니다에서 한번터지고 하트블러셔 펴바를때 또 터졌네요 전 갠적으로 마지막에 로레알 립이 마음에 드네요 제가 지속력 좋고 찐득찐득 퍽퍽하면서 금방 픽싱되는 립을 좋아하는데 딱 그런립이여서 컬러만 잘 구매하면 너무 좋을것같아요 좋아요 눌러드렸으니 다음번엔 젤 잘팔리는 제품으로 메컵해주세요 
[홍대로드샵투어] 윤쨔미션 2만원으로 풀메이크업을 하시오 | 윤쨔미 메이크업,3262772,49000,3200,5431,2015.11.30,근데 이 영상 왤케 중독성이 년에 보러오신분 니들 언제 보는지 하나도 안궁금해 이거 번은 본 듯 역쉬 윤쨔미님 동영상은 중독성 짱 윤짜미션 이름잘지었다 
[ 이게진짜될까 ] 면봉으로 틴트를 면봉틴트로 예쁘게 틴트 바르기가 될까 면봉틴트편 | 윤쨔미 메이크업,3135283,2000,1700,5149,2015.9.9,진짜 틴트 립밤등 빌려달라고 하는애들 진짜싫음 특히 틴트 립스틱바르고 립밤 빌려달라고 할때아 페리페라 저렇게 바르는애들 진짜 발로차버림 맨처음에 립스틱그거 만약 진짜 그러면 싸대기 날라간다 하 그런 친구 한태 빌려 줬는데 신기하다고 매일 빌려 달레요 쨔미친구야 니가더 입술색깔예뻐 
어린이 화장품 21만원 어치로 풀메이크업 해보기 FULL FACE USING ONLY KIDS MAKEUP Challenge | 윤쨔미 메이크업,2966579,21000,2200,4839,2016.9.12,난 저게 원대라는거 보다 수능영어를 개밖에 안틀리셨다는게 충격 어린이용실망예쁜 스펀지예쁜 돌덩이 가격 원 헐 놀이매트 파우더는 너무했다 미친 저런 쓰레기 같은 제품은 처음부터사면 않되는데 아니 뭔 스펀지랑 돌이 만원때냐 윤쨔미 남편 있는 지 처음 안 인 동안이셔서 
의외로 간단 매닉패닉 핑크 투톤 셀프염색 도전기  결과는 | 윤쨔미 메이크업,2632734,31000,1900,3762,2016.6.3,한국어 잘 못해요 하지만 사랑해 윤쨔미 년에 오신 분구걸아니고 궁금해서 그래융 뭐지 린스랑 염색약 섞을때 기분이 좋다 꺅 언니 잘해써요 올려여 꺄 잠깐만요 중독성 대박 
올리브영에서 제일 잘팔리는 화장품들로만 풀메이크업 해보았다   | 윤쨔미,2555355,36000,1100,8257,2018.10.28,언니 이거 시리즈로 만들어주세요 잘팔리는 혹은 잘안팔리는 시리즈해서 각 로드샵 버전으로 만들어 주세요 특히 잘 안팔리는 화장품 다른 로드샵버전으로 정말정말 보고싶어요 예를 들어 에뛰드 같은경우 룩앳마이아이즈 섀도우 판매 페이지로 들어가서 베스트랭킹 순으로 구매해서 잘팔리는 시리즈 찍으시거나 온라인샵 같은 겨우 쿠팡위메프 이런데서 많이들 구매하시는데 구매할때보면 판매재고 수량에서 젤 수량이 많은 제품만 구매하셔서 잘 안팔리는 화장품 이렇게 해서 찍어주시면 좋을거같아요 우와 언니 당첨시켜주셔서 감사합니다 사랑해요 이번영상도 즐감하고가겠습니당 박자가 년 출석체크하고 가세욤 이때 입술 진짜 예쁘다 
[ 이게 진짜 될까 ] 눈알을 씻어 아이봉으로 깨끗하게 눈알세척이 될까  | 윤쨔미 메이크업,2526703,13000,1600,6623,2016.9.18,안과 의사는 저거 쓰지 말라고 하네요 눈에 필요한 단백질 까지 없애서 눈에 자극도 줄 뿐더러 눈 면역력을 낮춘다고 해요 저것도 쓰다보면 자주쓰게 되고 중독될 위험도 있어서 아예 안쓰는걸 추천하더라구요 언니 아이봉이 분홍색은 더 독한거 에요 인터넷에 찾아보니까 분홍색이 더 화한 거라고 해요 그래서 언니 눈하고 안맞는것 같아요 언니가 처음이라서 그런걸수도 있어요 계속 사용해보고 계속 충열된다 하시면 파란색을 써보시는 것도 좋을것 같아요 화장지우신거 먼가가 되게 인상이 아는사람같이 편안하닥 년 미래에서왔습니다당신은 훨신 유명해지실겁니다 윤짜미님은 말을 항상 이쁘게 하셔서 조아요 
[ 이게진짜될까 ] 가루가 틴트로 가루틴트로 예쁘게 틴트 바르기가 될까 가루틴트편 | 윤쨔미 메이크업,2512940,15000,1200,4753,2015.11.9,이게 벌써 년전이라니 년에 보고있는분 윤쨔미 언니도 구독자애칭 정했으면좋겠어요 윤쨔미님틴트만들기찍어주세욤 년도에서 보고있는분 
(몰카) 코 입술에 피어싱 쎈캐 메이크업 하고 시어머니 속이깈 | 윤쨔미,2447258,38000,1400,3895,2018.6.13,와 진짜 시어머니 잘 만나신거에요 보통은 다들 시어머니 욕하기 바쁜데 어머님이 너무 잘해주시는 것 같아요 진짜 착하세요 꺄넘 재밌어요 진짜 쨔미님과 시어머님 케미가 엄마와 딸같네용 앜개뀰쟘이쨔녀욜 쨔미언니 시어머니도 너무 예쁘세요 그리고 두분 조합이 잘맞으신것 같아욤 오늘 쨔미언니 센 메이크업도 되게 잘어울리시고 예뻐요 진짜 여신이에요 쨔미언니 그리고 언니 진짜 만 꼭 돌파하셨음 좋겠어요 항상 응원할게요오 언니 앞머리 없애고 가르마 그렇게 하니까 훨씬 시원해보이고 세련돼보여요 자주 그렇게 해주세용 
