title,view,like,unlike,comment,date,comment_text
[Eng] 왕초보 기본템 데일리 메이크업 l 이사배(RISABAE Makeup),5340997,66000,1400,1868,2016.12.3,사배님 혹시 가능하신다면 로드샵 화장품으로 메이크업 하시는 시리즈를 진행해도 괜찮을것 같아요 저같은 경우도 로드샵 브랜드를 선호하는 편이라 정말 가격대가 낮은 에뛰드아리따움스킨푸드등을 자주 애용하거든요그래서 언제나 사배님의 화장을 따라하고 싶어도흨흨 뷰티나 코스메틱에 많이 시간과 돈을 쏟을 수 없고 적당히 예쁘게 살고 싶은 평범한 대 직장 여성이예요 화장을 잘하는 편이 아니라서 평소에 영상을 자주 봤지만 따라하기는 힘들었는데 오늘은 저에게도 정말 유용한 영상이네요 영상에서 구독자들에게 진심으로 도움이되고자 생각해주는 마음이 느껴졌어요 감사합니다 사배언니가 기본베이스가 이쁘셔서 메이크업 안하셔도 예쁘네요 반응이 좋다면 다음이 있다구요 반응 반응 년전 메이크업영상이 하나도 안촌스럽네 아니 이게 뭐라고 좋아요가 개에 댓글이 개나 증말 감개무량하네요 하 눈물이 납니다 앞으로도 열심히하는 저 되겠습니다 이 영광을 이사배님께 돌려요 개 찍고 싶어용 
[Eng/Thai]선미 '가시나' 메이크업 SUNMI 'Gashina' Cover Makeup Tutorial l 이사배(RISABAE Makeup),5187764,11000,1100,7862,2017.9.4,여러분사랑해요 덕분에 만 꼼화아가씨와 꼼화도련님들이 저와 함께 해주시게 되었어요 정말 감사해요 항상 관심가져주셔서 감사합니다아 선미도 유튜브하는구나 메이크업 되게 잘하시네요 이사배님도 좀 닮은듯 이사배언니 동영상와 선미 닮았다 선미언니 동영상와 이사배 닮았다 선미언니 년차 팬이 댓글답니다 이 정도면 선미도 이 영상 봤을 듯 그냥 생얼부터 선미 닮음 
[Eng] 아침마다 10분 완벽 베이스 메이크업 따라하기 l 이사배(RISABAE Makeup),4667201,54000,1200,1296,2017.6.21,사배님 나중에는 피부 안 좋으신 분들 피부 화장해주시는 영상 같은 것도 올려주셨으면 좋겠어요 트러블 나신 분들이나 모공 넓으신 분들이요 사배님은 피부가 너무 찰떡처럼 좋으셔서 뭔가 적용하기가 힘들어요 사랑해요 사배님 너무너무 사랑해요 저는 열아홉 살인데 사배님 영상보면서 예습하고있어요 년후 꼬마아가씨에서 아가씨로 자라났을때 예쁘게 화장하고 다닐게요 사배님엉엉넘좋아여멋진여성 진짜 이사배님은 시청자에게 도움이 되는 영상을 만들려고 노력하시는거같음 사랑해요 사배님은 피부가 도자기수준이라 사실 아무렇게나 발라도 예쁠텐데 자막에 누군가 장난을 쳐놓은 것 같아요 우연히 한국어 자막으로 보니 첫 자막이 메롱바부들 구취해줘라고 뜨네요 누가 그랬을까요 이사배님께서 이 댓글을 꼭 보셨으면 좋겠군요 
[Eng] 매일 10분 완벽 아이섀도우 따라하기 -백투베이직- l 이사배(RISABAE Makeup),3308681,54000,754,931,2018.3.2,여러분 제품정보 적어놓았어요 건망증이 심한 저를 이해해주세요오더 신경쓸게요 백투베이직을 보면 사배님께서 시청자분들 구독자분들의 입장에서 필요한걸 최대한 알려주시려한다는 것이 보여요 영상에서 배려를 느끼고 갑니다 메컵 까페나 사진 동영상 십년 넘게 매번 봐도 이렇게 자세히 붓사용감부터 터치까지 디테일하게 알려주는 사람은 없어서 아이쉐도가 젤 자신없는 부분이었는데 속이 시원해요 이런 디테일까지 알려줄 수 있는건 노련한 전문가이기 때문에 자신 있게 세세히 알려줄 수 있는 거 같아서 신뢰가 가요 리플도 원래 안 다는데 너무너무 도움되서 꼭 감사하다고 하고 싶었어요 여태 대충 느낌으로 왔다갔다하고 쉐도 잔뜩 양쪽으로 브러쉬에 얹은담에 그라데이션하면 꼭 다 떨어지고 지저분했었는데 이제 그 미묘한 차이까지 다 알았는데 훨씬 깔끔하게 할 거 같아요 너무너무 감사해요메컵 유투버 채널 다 정리하고 이사배님꺼만 보고 있어요 베이스 섀도우 까페라떼 메인 섀도우 시럽빼고 테이크아웃 언더포인트 섀도우 피치페퍼솔트 포인트 섀도우 카페모카 진짜 이 시리즈 너무 고마워요 이런 기본기 다 잡아주시고 진짜 외쳐 갓사배 
[Eng CC] Maleficent 2 Makeup Transformation 말레피센트 커버메이크업 l 이사배(RISABAE Makeup),3177489,7000,1600,3462,2019.11.2,이런 메이크업할 때 제일 전문가 포스 왁스가 아니라 오직 쉐이딩으로만 얼굴 양감 잡는게 진짜와우내 와 진짜 얼굴형이 어떻게 변하지 넘나 신통방통 왜 다들 얼굴형 얘기만 하지 나는 아이홀이 젤 신기한데 이건 거의 뭐 매덕스가 엄마 보고싶어 할 때 대신 가서 만나줘도 될 수준 
[Eng] 매일 할 수 있는 지속력짱 베이스 메이크업 - 보통 피부 타입 l 이사배(Risabae Makeup),3165587,39000,678,1435,2017.6.16,시간표에요 썬크림 베이스 컬러 코렉터 파운데이션 컨실러 픽서 파우더팩트 쉐딩 여러분 안녕하세요 더욱 상세하게 알려드리고 싶어서 만들게된 시리즈에요 러브 이번엔 보통피부타입의 베이스 메이크업을 얘기해봤는데 다음엔 더 세분화된 분야의 정보들도 앞으로 알려드리려고해요 보시고싶은 분야가 있다면 댓글로 많이많이 남겨주세요사랑해요 제품정보는 더보기를 눌러주세요 사배언니 따라서 브러쉬로 바르면서 찹찹 했더니 친오빠가 맨날 솜같은걸로 때리더니 이젠 붓으로 때리냐 라던 마지막에 퍼프로 또 밀착하려고 두드리니깐 붓으로 때리고 솜으로 때리고 자학을 즐기네 라던 맞아 이 언니 전문가였어 모델 바꿔서 메이크업 클래스 같은 느낌으로 다른 피부 타입도 해 주셨음 좋겠어요 물론 시리즈물이라는건 알지만 워낙 피부 좋은 이사배 언니여서 그런지 톤 칙칙 모공 짱 큼 홍조 아크네 대장 유분 산유국 등등 나쁜 조건을 가지고 있는 피부를 위한 메이크업을 해도 크게 공감을 못 할 것 같아서요 모델이 달라지는 모습을 눈으로 직접 보게 되면 더 언니의 팁이 따라해 보고 싶을 것 같아요 와 이런 튜토리얼 너무 좋아요 전문가이신 사배님께 하나하나씩 배우는 느낌꿀팁도 많이 얻고 똥손인데 사배님 영상 보고 따라하기도 하는데 스킬이 부족했었는데 이런 영상으로 사배님 메이크업을 더 많이 따라할 수 있어서 좋아요 
[Eng/Thai] 아이유 '팔레트' MV 메이크업 IU 'Palette' MV Makeup Tutorial l 이사배(RISABAE Makeup),2855337,37000,671,1963,2017.4.25,이사배님 얼굴이랑 아이유 얼굴이랑 아예 얼굴형 자체부터 다르고 생긴게 정반대라고 하긴 좀 그렇지만 뭐 다르게 생겼잖아요 근데 이 정도로 한 거면 진짜 진짜 잘하시는 거에요 이걸 어떻게 따라해 언니는 그냥 뭐 오늘은 누구로 살아볼까 하고 메이크업하면세상 재밌겠네영하루는 애봉이로 살고 하루는 아이유로 살고 시험기간에보고잇는사람 이사배님 아이유 호텔델루나 메이크업 한 거 찾다가 들어온 익들 분명 있을 듯 진짜 이 언니가 나 화장 해줬으면 좋겠다 
[Eng/Thai] 레전드 증명사진 메이크업 Makeup for your ID card picture l 이사배(RISABAE Makeup),2697739,4000,381,947,2017.7.21,블러셔색깔보고 이쁘다뭐지 했는데 내가 지금 바르고있는거였음 같은 블러셔 다른느낌 맨날 얼굴 성수기여 미쳤다 청순함의 그 자체다화증명사진이 무슨 화보내와 베이스 얼굴 외곽 부분에 한 톤정도 어두운 파데를 바른다 얼굴 중앙 부분에 한 톤정도 밝은 파테를 바른다 부족한 부분은 컨실러 바르기 쉐딩 쉐딩은 파우더 약간 묻혀서 약간 해준다 큰브러쉬로 얼굴 외각 한번 쓸기 콧대 쉐이딩 살리기 입술 밑과 눈썹도 눈끝부분도 둥글려서 약간 남은 걸로 눈 언더 음영 주기 블러셔 흰끼없는 블러셔로 볼 부분 좀 뒤쪽에 눈썹 빈틈없이 꼼꼼히 메꾸는게 중요하다 섀도우로 먼저 한 번 안 된 부분은 펜슬로 마무리 꼬리 너무 짧지 않게 아이 메이크업 거의 펄감 없는 베이지 컬러로 눈썹라인 정리 베이스컬러로 바른다 눈을 떴을 때 보이는 부분까지 언더도 약간 언더는 화이트 펜슬로 눈 부분으로 앞으로 짙은 컬러로 눈동자가 끝나는 지점까지 약간 터치하고 언더도 약간 애교살 약간의 펄로 채우기 뷰러 약간 찝고 아이라인은 점막만 아주 꼬리만 이어서 약간 그리기 속눈썹 붙이기 립 문립 장미빛 컬러 썸넬 미쳤네여진짜 예뻐 언니내사랑 
[Eng/Thai] 왕간단 기본메이크업 l 이사배(RISABAE Makeup),2646661,34000,689,982,2017.4.4,사배님 집앞 간단 외출 메이크업이 제 한시간짜리 풀메이크업보다 예쁘네요 얼굴이 안간단함 개존예 왕간단 메이크업인데 내가 풀화장 할때랑 과정이 똑같다 난 저렇게 화장하는게 풀화장한다고 하는건데큐우유 가끔 원걸의 선미가 보인다 메이크튜토리얼은 끊임없이 계속올라오구 사용하는 제품들도 모두 손에익거나 직접 보고구매한것들로 이루어진 모든 컨텐츠 광고의 비중이 절대적으로 적은 이언니를 어찌 안 사랑하고 안 응원할수 있으랴 
[Eng] 아이즈원 장원영 요정님을 요정으로 만들어드리는 제일 쉬운 메이크업 l 이사배(RISABAE Makeup),2574442,83000,1400,5594,2020.10.1,어린애인데 사회생활을 일찍해서 그런지 나보다 말을 잘하네 이모 댓글 잘 쓰지 어떡해 저울어요 정말 생각지도 못한 추석선물 아니냐구요 보고 또 보고 제가 이 영상 조회수 책임집니다 원영이 예쁜 헤어핀 꼽고 있는 줄 알았는데 그냥 집게핀이었어 와 장원영 이제 고아님 요즘 고딩들은 다들 일케 말들 잘하나 사배님이랑 대화하는거 보는데 왤케 편하냐 먼가 첨보는 어사끼리 대화하는거볼때 보는 내가 오그라들고 그러는데 걍 편안하게 보게되네 대화하는데 와 동갑맞냐 현타온다 말을 어쩜 저리 예쁘게 해 감탄의연속 마음이 뭔가 따뜻해지는데 눈도 즐거워 난 정말 행복해 와 근데 진짜 장원영 오진다 개예쁜데 말 개잘해 너무 착해 미쳤나봐 난 뭐했지 
