title,view,like,unlike,comment,date,comment_text
ENG)휘어진 종아리 튀어나온 비골  11자로 만드는 방법 백니 교정까지  [꿀팁대방출],1895248,74000,388,1395,2020.3.9,이분천재다 년 요가필라테스 강사인데 휜다기 원인부터 해결방법을 이렇게 쉽게 효과적으로 잘 정리해 티칭하시는분 첨이에요의사도 이런식으로 설명 못해요 그래서 못알아듣고 감사합니다 배워가요 발목운동 백니교정운동 다리라인 교정운동 좋은 영상감사합니다보고 열쉼히할께요 지금 개학 미뤄져서 유튜브가 나한테 개학미뤄진김에 자세교정 좀 하고 살 좀 빼라고 계속 이런 거 추천해 주는 것 같다 진짜 제가 이 다리라 너무 스트레스 였는데 명칭을 찾지 못해서 고민이었는데 감사합니다 다리교정에 핵심적으로 필요한 골반 교정 년 노하우를 담은 프리미엄 레슨을 만나보세요 현재 할인 진행중 본 영상은 타고난 뼈 모양을 바꿀수 있다 라는 내용이 아니며 습관으로 인한 틀어짐 관절의 차적인 변형을 케어하기위한 올바른 지식과 근본적인 운동의 중요성을 알려드리는 영상입니다 여러분 고관절 내회전형 종아리 바깥 휘어짐 팔자걸음 정상걸음 안짱걸음 분들을 위한 영상이며 운동은 번을 기준으로 세트씩 반복해 주세요 내 다리가 내회전형 외회전형 다리인지 체크하는 방법 내 골반이 전방경사 후방경사 인지 체크해 주셔서 골반교정 운동도 함께 해주셔야 더 좋아요 자세요정 인스타그램 많은분들이 좋아해주시는 분 자세요정 운동도 만나보세용 
80만명이 효과를 본 승모근 없애는 운동 일자어깨 직각어깨 만들기,1870270,75000,268,1451,2020.7.8,제 댓글에 조아유 눌러주면 안됄까요 기억날때마다 하고 주뒤에 후기 알려드림요 전 지금 달째 승모근 스트레칭을 했습니다진짜로 효과가 좋더라구요 댓글들 보면 거의 다들 작심삼일이라 효과가 있는지 없는지 궁금해 하시는 분들 위해 후기 적습니다 스트레칭 따라 한 지 달 됐습니다 확실히 심했던 승모근이 조금 가라 앉는 느낌이 있으며 다른 사람이 어깨 주물러 준다고 손 댔다 하면 지이이인짜 아파서 아예 못 만지게 했는데 이제는 쎄게 주물러도 전혀 안 아파지게 되었어요 어깨가 굉장히 좋아졌고 말랑해졌습니다 평소에 어깨가 단단하게 뭉친 분들이라면 정말 효과가 있으실 거에요 스트레칭 덕 많이 봤습니다 영상 올려주셔서 감사합니다 승모근 너무 심해서 고민인데 효과 있는지 제가 직접 해보고 후기 달게요 출석체크 안보이면 지나가다 경고 부탁 드립니다 경고응원 감사합니다복받으세여 흉추가 많이 부드러워졌어요 이때까지 일부러 비교하진 않으면서 운동만 따라 했는데 오늘 제대로 보니 확실히 처음보다 완만해진 것 같아요 그리고 확실히 예전만큼 딱딱하지 않아요 그래도 자세요정님 라인처럼 눈에 띄게 좋아지려면 더 꾸준히 해야 할 것 같아요 오늘도 댓글요정님들 덕분에 출석 했습니다 헐 친구들이 승모근 진짜 들어갔다고해요 직각어깨도 어깬데 목에서 어깨 사이 그 승모근이 진짜 확연하게 줄었대요 평소 자세랑 연관이 깊은듯 거북목이 승모근육을 늘리는 역할을 하는것 같아 거북목도 같이 고쳐야 할듯 매일해야한다는 강박보다 며칠 빠지더라도 꾸준히 하겠다는 다짐 어제 깜박하고 못올렸어요 이제는 영상 보지 않고 자기전에 하고 잠 횟수도 한 번 죄책감에 세번함 운동 후기 운동 효과는 제 예상보다 빨리 본 듯 해요 한 주쯤 됐을때도 이미 눈에 띄게 줄어있었어요 그럼에도 계속한 이유는 평소 거북목이 있어서운동을 빼먹고 안했을 때 아 원인이 되는 자세를 안고치면 운동 했던게 금방 소용 없어지겠구나 싶었어요 그러면서 다시 승모근 운동을 꾸준히 하면서 거북목 자세를 고치려 평소에 신경을 많이 썼어요 또 다른 이유는 제가 웨이트 운동을 시작했는데 아무래도 등어깨운동 등을 하면서 바벨 들고 하다보니 승모근 자극이 가는거에요어떻게 줄인 승모근인데 그래서 이미 효과를 본 뒤에도 꾸준히 승모근 운동 계속 하고 있었습니다 이제 출석은 안 올릴게요경고 안주셔도 필요할 때마다 습관적으로 할 것 같아요 응원의 좋아요와 댓글 주신 분들 감사합니당 모두 복 받으실거에요 다들 건강한 몸 만드세요 자세요정님 다른 운동영상 파러 저는 또 다른데로 가볼게용 옷걸이어깨 교정 일째까지만 해도 외관적인 차이는 못느꼈는데 손으로 승모근 만져보니까 정도 줄어든걸 깨달았네요일주일도 안했는데 놀랍습니다 정말 시원하네요 필수 스트레칭이 되었어요 어깨라인이 정말 많이 이뻐졌어요 승모근 반쪽 달성 개월 넘게 거의 매일 하루 한번씩 운동 후 마지막 스트레칭으로 하고있는데 목이 정도 길어보이고 승모근도 이제 거의 안잡혀요 어깨 뻐근함도 덜하고 어깨라인이 여리여리 정말 이뻐졌어요 노래 두곡정도 시간이니 노래들으면서 동작 천천히 정확하게 잘 따라해보세요 효과 정말 좋습니다 그리고 댓글로 써주신 모든 좋은 말들 정말 큰 힘이 되고 있어요 모두 진심으로 감사합니다 과제밤샘 
승모근 없는 일자쇄골 직각어깨 만들기 [즉시효과],1787312,73000,339,1648,2020.4.29, 썸네일하고 제목 보자마자 자세 고치면서 들어옴 거북목 굽은등 라운드숄더 플러스 옷걸이어깨 헐 네 그게 바로 접니다 오늘부터 매일 매일 운동 할게요 그럼 자세요정님처럼 여신어깨 되나요 평소 자세가 너무 안좋고 거북목라운드숄더에 승모근 깡패예요 목이 길었는데 어느순간 거울을 보니 목이 너무 짧아졌더라구요 오늘부터 쉬지않고 해보고 후기 남길게요 저 좀 불러주세욤 화이팅 휴 까먹을뻔 근데 신기하게 쇄골이 조금씩 나오는 느낌 평소에도 자세를 바르게 하려고 계속 신경쓰고 있어요 월의 막날까지 클리어 여러분 저한테 쇄골이 없는 줄 알았는데 있어요 선명하지는 않지만 조금씩 튀어나오고있다구요 월도 안빼먹고 할거예요 모두 이거 꼭 하세요 천천히 해도 자세를 제대로 취하는게 정말 중요한듯 회식한다고 못했어여 다시 돌아왔어용 솔직히 쇄골이 생겨서 좀 안했었어요 진짜 쇄골 없었는데 생김 사진인증이라도 하고픈데 오랜만에 스트레칭 시작 안오면 불러주세용 워낙 거북목이랑 라운드 숄더가 심해서 만족될 때까지 최대한 쉬지않고 합니다 아파서 못함 어제 못한것까지 번 회 월 후기 항상 뻐근했던 승모근 주변이 많이 풀어지고 이 운동을 하면 피로까지 풀리는 느낌을 많이 받았음 시작한지 주 조금 넘어서는 살에 가려져 있던 쇄골이 조금씩 윤곽을 드러내기 시작함 심했던 거북목도 많이는 아니지만 조금 교정되는 듯한 느낌이 있었음 피곤해서 뻗음 내일 두번하자 회 휴가 휴가 좀 늦었네용 월 후기 일단 가장 큰 변화는 아침에 일어날때 어깨가 안아프다는 것 자세도 안좋고 거북목에 예전엔 허리 디스크까지 심했던 제가 조금씩 바뀌고 있습니다 그리고 파묻혀있던 쇄골도 완전히 나오진 않았지만 그래도 시작하기 전보다는 꽤 많이 모양이 드러났습니당 워낙 거북목에다가 승모근도 심하고 상체비만이었거든요 앞으로도 꾸준히 하면서 자세교정도 하고 쇄골도 미터 밖에서 누가 봐도 야 쟤 쇄골있다 할 정도로 나오게 하는게 제 목표입니다 어깨 아프고 승모근이 산처럼 올라와서 매일이 고통이신 분들은 꼭 함께 하셨으면 해요 이만 마칩니다 월도 꾸준히 하고 후기 남길게용 요즘 좀 게을러져서 제가 시 안에 안오면 불러주십쇼 과제하느라 결국 못함 과제와 대면수업화상수업 번갈아가면서 하느라 죽겠네요 당분간만 좀 쉬고 다시할게요 컴백 다시 시작합니다 회 시험때문에 바쁘네요유 손가락 인대를 다쳐서 당분간 쉬어갑니다 내일부터 다시 시작합니다 허리통증으로 쉽니다 내일 두번해야지 
허리펴고 앉지 마세요  [목어깨까지 편해지는 바르게 앉는 법],1378542,26000,383,777,2020.6.3,정리 근데이거 의식하고 앉으면온 신경이 자세 유지에 쏠려서 일을 못한다는 함정이 설명이 길다고 하시는 분도 있는데 저는 정확히 원리를 설명해주셔서 너무 좋았어요 자세에 대해서 영상을 찍는 컨텐츠인 만큼 설명은 계속 이렇게 자세하게 해주셨으면 좋겠어요 영상 잘 봤습니다 앉는 자세 자체가 좋지 않군요 역시 누워서 지내야해 세상에 그 어떤 앉는법들을 봤는데 너무 정확하고 아 이게 바르게 앉는거였구나 했어요 허리가 아픈게 제 몸이 구부러졌는데 피려고하니까 아픈건지 알았는데아니었다니 감사합니다 선생님 항상 너무 감사해요 
라운드숄더 굽은어깨 등운동 하지마세요  (이렇게 안하실꺼면),1078732,3000,304,687,2020.5.12,타임라인 가슴 열기 날개뼈 등에 붙이기 팔뼈 제자리 돌리기 설명끝나고 쭈욱 같이 따라할수있게 번씩 한번씩 해주시면 좋을거같아요 사실보면서 따라하게 되거든요 같이 하면 좋을거 같아요 영상들 이 영상이 좋은이유 누워서 보고있었는데 누워서 할수있음 매일 따라하기 위한 타임라인 알고리즘은 내 어깨가 말린지 어떻게 알고 이런 거 추천해주지 
골반교정 스트레칭 제대로 하는 방법 / 햄스트링 스트레칭 내전근 스트레칭 이상근 스트레칭,886557,19000,212,424,2020.3.30,햄스트링 스트레칭 엉덩이 스트레칭 내전근 스트레칭 알고리즘이 이 영상을 뜨게 만들었지만맨날 내가 하는 동작이라 소름돋아서 들어옴 골반교정에 효과적인 년 노하우들을 실제 레슨과같은 클래스로 만들었어요 지금 할인중 자세요정과 함께하는 온라인 레슨 신청 혹은 네이버 피지오 필로소피 를 검색해보세요 우리몸의 중심인 건강한 골반을 위해서 올바른 스트레칭의 대표적인 방법과 다양한 응용법을 배워보아요 설명이 많지만 놓칠게 없는 남녀노소 어린아이 학생 어른까지 다 필요한 내용입니다 나를 위한 타임라인 햄스트링 스트레칭 엉덩이 스트레칭 내전근 스트레칭 으악 햄스트링 스트레칭 이렇게 하니까 엄청나게 땡기네요 늘 감사합니다 앞으로도 좋은 영상 많이 올려주세용 
처진엉덩이 일자허리 이것 을 모르면 운동효과 없어요,850122,16000,177,250,2020.4.15,이분 영상 보면 내가 모든 잘못된 자세를 가지고 있다는 걸 알게됨  와이존 튀어나오고 엉덩이 처지고 완전 저네요 골반교정에 효과적인 년 노하우들을 실제 레슨과같은 클래스로 만들었어요 지금 할인중 자세요정과 함께하는 온라인 레슨 신청 혹은 네이버 피지오 필로소피 를 검색해보세요 오늘의 준비물 의자나 쇼파 입니다 통증이 없는 범위에서 근육이 뻐근해 질 정도로 운동해주시면 됩니다 존 튀어나온거 제 컴플렉스였는데 이유가 있었군여 생각해보니 그거때문에 자세가 더 요상하게 변한거 같아요 
그손 제가 닿게 해드립니다 전문가들만 알고있는 기적의 햄스트링 스트레칭 원리와 꿀팁 (햄스트링 스트레칭 제대로 하는법),737720,14000,183,391,2020.11.26,초보자용 요정님 못하는척 너무 어색하세요 안되는사람이 많구나 나만 안되는건줄 알았더니 단축된 종아리 늘릴수있는 법도 영상만들어주세요 자세요정과 함께 하는 홈 필라테스 신청하러 가기 네이버 피지오 필로소피 여러부우운 벌써 바로 효과 보신분들이 많아요 구독자님들 실행력 최고이십니다 이 운동은 허리 손상을 방지하는데도 정말 중요하니깐 꼭 따라해보셔요 자세요정 인스타그램 많은분들이 좋아해주시는 분 자세요정 운동도 만나보세용 
하루 30초 이 자세 로 버텼더니 나타났던 놀라운 변화,751469,2000,129,526,2021.4.8,누워서 보면서 우와 힘들겠다 하는 내인생이 레전드 썸넬만 보고 넘어가려다 그래도 양심껏 눌러본 내자신 아주 칭찬해 매일 반복하기용 시간저장 시작 이분 방송이 좋은게 짐에 안가도 된다는 것 도구를 사서 읏싸읏싸 안해도 된다는 것 그러면서 건강해진다는 것 
앞벅지 종아리알 안커지는 엉덩이 운동하기 (힙스쿼트/ 힙런지/ 힙업 자세꿀팁),644999,16000,129,241,2020.6.19,시작 저에게 너무 좋은영상이네요 감사해요 왼쪽 고관절이 안좋아서 소리나고 왼쪽 승마살이 심하고 엉덩이 안쪽 근육 통증도 심한데 찾아보니 대퇴근막장근 문제일수 있다더라구요 저같은 증상 가진사람 승마살 심한 사람 많은데 도움되는 영상도 부탁드려요 자세한 설명과 이해쉬운 동작까지 너무 훌륭하세요 영상만으로도 충분한 효과를 보실 수 있지만 골반목 어깨별 맞춤 운동 루틴을 만들고 싶으시다면 아래 사이트에서 프리미엄 서비스를 만나보세요 지금 할인 중 와 힙런지 대박 필라테스 선생님이랑 로 할때 말고는 혼자는 느낌 잘 못찾았는데 영상 너무 도움됐어요 스쿼트 할 때 무릎이 아파서 여러가지 봤는데 제일제일 너무너무 도움되는 영상인 것 같아요 감사합니다 
