title,view,like,unlike,comment,date,comment_text
어몽어스 신맵에서 어그로 끌고 이기는 법 ㅋㅋㅋ,190707,7300,93,847,2021.5.3,구독하고 좋아요 어덕개 눌러요 깨알로 분량 챙기시는 각별님 점점 광적으로 발전하는 닉네임 시작하자마자 닉네임과 동시에 관심을 끄신 어덕개님 불멸의 서한솔 
어떻게 될까? ^^,404284,12000,156,2140,2021.5.2,지금 라이브 중인데 어떻게 될까 랃님이나 수현님이였으면 가능성은 어느정도 있었을텐데 자연스럽게 지켜진 전재산 라이브 중에 동시에 보는 방법이 있죠 이런 앙큼한 뜰님 같으니 허어스윗룡 뭔데 미쳤어 뭐야 
★★★★★10강 활★★★★★,348560,9900,243,1793,2021.5.1,썸네일 개 멋 져 하지만 썸네일과 본 콘텐츠에는 약간의 차이가 있습니다 심상치않은 썸네일과 심상치않은 오프닝 인사가 격한 편 썸네일보고 진짜 심장덜덜 하면서 들어왔잖아요겁나 멋있다 오늘 썸네일 진짜 레전드로 멋 있 다 대박이다 헐이라는 말 밖에 안나온다 진짜 멋지다 
제한 크래프트,384478,1000,155,1396,2021.4.30,쳇 결계인가 공룡 잠뜰 이 조합 시작 전부터 가슴이 웅장해진다 두 분 다 똑같은 걱정을 하고 계셔 난 심장이 흔들흔들 하다 손은 눈보다 빠르다 말도없이 바로 눌러버리시네 
밑으로만 팔 수 있는 일자굴 야생,407920,1000,196,1529,2021.4.29,생방송에서 아이디어 주신 님 감사합니다 가끔 생방송에서 좋은 아이디어 좀 얻어가야겠따 에이씨에이씨 단체로 에이씨 거리는거 왜이렇게 웃기지 떨어지는거 왤케 하찮고 귀엽지 브금은 왜 슬픈건데 오늘도 라더의 법칙은 이루어진다 
회전초밥 야생,413919,1000,260,1570,2021.4.28,나 오늘 왤케 트롤이냐 호호호 아무래도 초밥의 정의를 다시 생각해 봐야할 것 같다 이젠 그냥 녹화키면 한명은 소리 지르고 한명은 평온하고 한명은 오열하고 한명은 컨셉잡고 한명은 그냥 평범하고 평화로운 오프닝 이게 뜰팁이다 근데 진짜 꿈뜰이 년차이지만 잠뜰는 어떻게 이런 컨텐츠를 생각하는지 정말 대단함 친구들 몇명 중에서도 잠뜰님 영상 시간 날때마다 보는데 어떻게 이런 컨텐츠를 생각하나면서 정말 신박하고 대단하다고 말했을 정도로 잠뜰 영상은 정말 대박입니다 심지어 제 동생도 본다는 사실 근데 좋아요수가 난 이 네명 케미가 너무 좋더라 
혁명,388407,11000,178,2278,2021.4.27,게임은 게임으로만 재밌게 봐주세요 그 혁명과는 무관하나 그 혁명도 많이 봐주세요 암튼 반전에 반전에 반전 세 스푼 정도다 오늘 영상 제목 보자마자 혁명 생각한거 저만 있는거 아니죠 눈물 머금고 다같이 온거잖아요 어떤 문장이든 웃게 만들 수 있는 마법의 단어 무야호 왜 제목이 점점 짧아지는 것 같죠 나중엔 뿡 이런걸로 나오는거 아닌가몰라 바꿀 거 같아가지고 그런 반전 왜 없는 건데 
수현은 레전드다,399775,11000,108,2243,2021.4.27,새벽 업로드도 레전드다 수현님 고생하셨습니다 조회수 달달 자려는 순간 올라와서 가볍게 보고 자려했지만 가볍게 볼 수 있는 시간이 아니었다 이 시간까지 자고있지 않았다니 나 자신에게 너무 고마워지는 순간 덕개는 전설이다 수현은 레전드다 언니새벽러들 행복하라고 작정했지 
생일 축하 돈벼락,373647,18000,93,3241,2021.4.26,돈케이크 광고가 아닙니다생축각 역시 돈각별이라 불리는 각별님에게 최고의 선물은 정성이 들어간 돈이죠 돈각별 각하의 탄일을 경축드리옵니다 왜 케잌에 촛불을 뭉텅이로 불나것다 게다가 뭘 꽂으신거얔 무슨 의식하시냐고요 초를 왜 저렇게 뭉텅이로 박아놓으셨어 
내가 쫓아가는 추격전,442624,11000,208,2255,2021.4.25,시험 기간인 사람들 다들 시험 잘 보라고오 잠뜰님을 알람설정 한 이후부터 잠뜰님 영상을 쫓아 살아갑니다 명장면 시작 반응속도가 일으킨 팀킬 아 너무 웃겨요 손은 눈보다 빠르다 형준 하이 티티 하이 하는거 보면 내가 더 소름돋네 
