title,view,like,unlike,comment,date,comment_text
다이아큐에서 다딱이 소리듣고 빡캐리 했습니다,1159111,5900,393,2203,2020.9.17,세나 본인입니다 저 판 너무 힘들었네여 저라뎃님이라고 밝히고 방송보니 찐이셔서 빡겜했네요 저 실은 멘탈 안좋은데 말이죠 무튼 캐리해주신 저치기님 찬양합니다 세나가 대단하네저런서폿댈꼬하면 다이아게임에서 오픈나와도 안이상한데 세나멘탈진짜좋다 카르마 몰래 댓글 훔쳐보면서 얼마나 부들거릴까 카르마 닉넴 아는 친구들이 이거볼 거 생각하면 얼마나 쪽팔릴까 다손절할듯 근데 더 불쌍한건 손절당할 실친도 딱히 없을듯 저는 카르마를 이해합니다 마음의 병이 있으면 충분이 그럴수있죠 학교 또는 직장에서 집단 따돌림을 당하여 사회에 불만이 생긴것이죠 
다이아 리신 보고 개빡쳐서 직접 보여준다 정글러들아 제발 이 영상 봐라,1130641,4400,623,1011,2020.1.6,아프리카 댓에 입챌 많누 역겹 그 자체네 결론은 쌀뎃형 라것같아 오른 웃기네 저거 다이아맞냐 그콤보 레전드 저기 채팅 치는 애들 다이아 근처도 못가본거같은데 그의 설득력 
【저라뎃 1위 달성】롤 한국 1위찍었다,1101750,6800,405,2562,2019.2.4,블츠센스 오졌다 보급형류준열에 넓은 어깨를 가진 솔랭위 저라뎃 이거보고 구독합니다 면상궁면상궁 보고 팬티 장갈아입었다 
【아프리카 VS 트위치】 도선생님의 양 팀 전력분석 + 1경기 하이라이트,1061913,4800,539,1447,2020.6.16,내생에 족구랑 도선생님이랑 같이 있는 화면을 볼줄이야 꿀탱탱 입장에서도 억울하지 상대가 전설의 선수 마린 탱탱이는 라인전만 하는데 마린은 오더 팀원 멘탈케어까지 다함 그래도 이김 철구 기뉴다 도파 분석하는거 못알아듣고 지들 맘대로 해석하는거 개웃기네 그 쥐 인생안주 말을 시벌 무슨스피치학원강사보다 말잘하네 
아프리카TV의 SKT 연승전 3스택=상금200만원이 걸린 프제짱팀과의 대결,1042599,1700,862,134,2018.7.9,조심해라거기 백안사용중 멤버정보 꿀타라저랭크페만식뱅시울프람 수찬즈려프제짱민영희성 영상내용 경기 킨드레드 경기 니달리 경기 킨드레드 연승전은 연승을 이어나갈 때 마다 별풍개씩 추가됩니다 매달회 진행하며 다음경기에서는 만기퇴소꿀탱탱을 보실지도 러닝타임이 긴 대신 편하게 시청하실 수 있도록 광고는 최소화하여 구간마다 배치하였습니다 즐거운 시청 되세요 저튜브 저격 이때였나 사륜안을 개안한때가 만식이 방플하자나 
취기를 빌려,1015483,7900,186,2992,2020.12.7,저라뎃이 마지막판 킨드레드를 한 이유가 이거였네 함께가 아니면 아무것도 아니다     
저라뎃 찐텐으로 빡치게한 싸이코패스 챌린저 샤코장인,962213,4000,276,476,2020.9.21,샤코는 한명 빡치면 성공한 챔프 샤코에겐 최고의극찬 저즈리얼 저조준일격 노영진이 아니었노영진 그의 이즈궁 
저쿠란보를 본 임아니 임쿠란보를 본 저라뎃,958940,6600,217,1689,2020.12.13,둘이 사귀면 재입대함 편집자 매드무비 계속 눌러보셈 거기보다 라뎃이 마음이 더 급한데 여기서부터 뭐하냐 너희 
비글즈 크루 철구형 정글 강의 갔다가 레전드 찍었습니다,947585,5400,299,989,2020.9.22,사소한거 하나하나 반응 개잘해주네 라뎃아 이젠 이게 안나오면 섭하다 어느 서부 영화에서 볼 법한 장면 라뎃이 잘했을때 나못했어 칭찬하지마 못했을때 아니근데 아 이거하 나할거다했어 지렸다 
자신마저 울려버린 인간착즙기 정해성 하이라이트,939250,7100,167,1333,2020.8.16,내가 너 하꼬 때 부터 봤는데훌쩍 기고만장하지마 너 곧 군대가 미치겠네 진짜 즙은 좋마좋이 레전드였지 이새끼 가짜사나이 나가면 개꿀잼이겠다 막 팀원 정치해서 즙짜내고 교관한테 구조적으로 변명하다 퇴교 편집자님 문어 먹물을 빠뜨리신거 같은데 재업부탁드립니다 저쥐문데기 푸른문어 착즙은 어디갔냐 
