title,view,like,unlike,comment,date,comment_text
얼룩덜룩 쉐딩은 이제 그만 왕초보도 쉽게하는 쉐딩 방법  (feat조효진 쉐딩) :: How to Perfectly Contour for beginners,203571,3900,67,520,2021.4.30,언니야 다음엔 뒤집어진 피부 진정이랑 트러블 가리는법이랑 피부도 해줘유 사랑하여 언니야 여러분 월일 공식런칭이라 오늘 시 오늘밤 시에 오픈 예정이에요 올리브영 여기서 오늘밤시에 구매가능하니 조금만 기달려주세요 에뛰드알바생인데 매장에도 진열다해뒀어요 온라인 품절이라서 못구하시는분들은 매장으로 와주세요오오오 궁금해하시는 분들을위해 추가하자면 에뛰드매장 쉐이딩턱브러쉬조효진손거울증정 세일가 원 입니다 나머지 브러쉬는 따로구매하시면되요 코쉐딩브러쉬랑 눈브러쉬 할인하고있으니까 다들 득템하세요 나중에 쓸 때 봐야지 본격 쉐딩 들어가는 부분 코 애교살 삼각존 눈썹 눈 턱 이언니는 말로만 재창조하는게 아니라 진짜 재창조 한다는거 
VLOG - 아빠 나 다시 돌아왔어 오랜만에 부녀 데이트 & 드디어 조효진 쉐딩 제작기 대공개,198987,2400,42,208,2021.4.23,복실이 너무웃겨 하나도 안복실해 보이는데 복실이인것도 너무 웃김 아니 부산집은 왜저렇게 좋고 효진님 피부는 왜저렇게 좋고 복실이는 왜저렇게 안복실거려요 쉐딩 존버 부터 너무 예뻐서 깜놀함 자 여기서 팩트체크 하나 더 수량은 넉넉한거 맞죠 인당 개는 무조건 구매 가능하게 수량 준비 부탁드려요 이러고 못사면 에뛰드 본사 찾아간다 
미국 교포 서타일 메이크업 :: ABG (asian baby girl) transformation,738498,17000,149,1012,2021.4.17,언니 지금쯤이면 누워서 쌩얼인 채로 댓글보면서 흐뭇하게 웃고있지 걸렸어 짜 화장 잘하는거 넘 부럽다 자기 자신한테 여러 모습이 있는걸 발견할 수 있네 이 화장이 제일 찰떡이다 진심 얼굴자체가 도화지다 의 표본 조선생님 안사랑할수가없어 와진짜 멋있다 섹시한데 멋있고 막 
화장으로만 이렇게 변신가능 인간벚꽃 뮤트 메이크업 (feat잡티케어) :: Cherry Blossom Makeup with Subs,950419,21000,306,924,2021.4.9,진짜 볼때마다 느끼는건데 효진님은 진짜 화장할 맛 나실 것 같아요 얼굴이 이 메컵 저 메컵 다 소화하고 심지어 너무 분위기있어 만능 도화지같아요화장을 해도 안하는것만 못한 저라 늘 새롭고 짜릿하게 효진님 영상 보고있어요 이 언니 화장 볼 때마다 너무 신기한게 화장을 진하게 하는편은 아닌데 화장 유무에 따라 이미지가 정말 휙휙 변함타고난 화장 잘 받는 얼굴이신듯 머리가 진짜 중요하구나분위기가 바뀌네 근데 진짜 효진님은 렌즈 옷 머리빨이 엄청 나신듯 메이크업시작 
조효진의 인간극장 - 제6부 우당탕탕 대청소 :: HYOJIN'S VLOG,163848,1900,38,248,2021.4.2,다들에궁 이궁궁 저렇게 하믄 안되는데 에궁 에궁궁 그래도 잘 사네 에궁 이런 느낌으로 댓글다는거 넘 귀여움 자취초년생 조효진이 젤 긔엽다 언니 변기 물내릴때 미세한 입자들이 주변으로 다 튀어요 옛날 스펀지에서 실험영상도 있죠 항상 물내리기전 변기뚜껑 내리는게 위생적이에요 조인극 못참아 점점 사람사는 집처럼 느껴지네요 효진님 음식물 쓰레기 얼려놓으면 안된대요 세균이 다 퍼진다고 하더라고요 이쯤되면 우리언니 조인극 콘텐츠 할려고 자취한거 아닌지 
(with Subs) 뼛속까지 웜톤 조효진 쿨톤 메이크업 도전해봄 (feat드디어 찾았다 역대급 쿨톤 팔레트) :: WARM AND COOL SPRING MAKEUP,376846,4500,95,291,2021.3.31,인트로에 진심인 언니가 또 안녕하세요 웨이크메이크입니다 올리브영 온라인몰에서 주문 시 오늘드림 서비스를 이용하시면 비타민 쿠션이 증정되지 않으니 이 부분 참고 부탁 드릴게요 아니 웜톤 쿨톤 사람 구분해서 연기를 왤케 또 잘해 진짜 효진님은 비포 애프터가 넘 확실해요 쿨효진 웜효진 둘이 대화하는 방식이 너무 귀엽고 색감 비교샷도 한 눈에 볼 수 있어서 좋아요 인트로에 진심인건 알았지만 영상 장면 장면에 공들인게 보여요 진짜 우리 언니 세상 사람들이 알아야해 
(with Subs) 이렇게 차이난다고 자신한테 맞는 색조&화장의 중요성:: The reason why you do makeup that suits you,838587,13000,139,985,2021.3.20,나도 이상하게 하고 있는 거 아닌가 라는 걱정이 생겼읍니다 신기하다 눈코입만보면 못한화장이 아닌데 전체로보니 중고딩애들이 화장한것같다 미쵸따미쵸따아 이렇게 언급해서 컨텐츠까지 만들어주시니 일개 구독자는 좋아서 빵실대면서 유익하게 보고갑니다 이분은 진짜 자신한테 맞는화장이 뭔지 알고 단점이 있다면 그걸 장점으로 만드시는 듯 나한테 맞는 화장은 뭘까 지금 나름 만족하면서 다니는데 알고보니 엉망진창인거면어떡해 
(with Subs) 조효진의 인간극장 - 제5부 오늘은 내가 요리사 :: Hyojins VLOG,199646,2500,51,253,2021.3.19,조인극 맨날 올라와서 넘 좋아 언니 미안해썸네일보고 짜파게티와 함께한 박진영 자기야 왜 칭얼거려짤인줄 알았어 언니 편의점 알바하면서 영상 봤는데 깜빡하고 에어팟 안 껴서 인트로가 우렁차게 흘러나왔 덕분에 계산하러 오신 어르신께서 어린 분이 인간극장 보나보네 하셨어요 민망민망 닥터자르트 덕후 선생님들 이번에 닥자 시카페어 행사를 한다고하여 달려왔습니다 닥터자르트 공식 홈페이지 시카페어 익스프레스 프로모션 매일매일 달라지는 시카페어 혜택 기간 링크 시카페어 토너 원 더마 코튼 패드 매 원 시카페어 세럼 원 시카페어 크림 원 분명 닥터자르트 최종본 이었는데못 본척 해쥬기 
(with Subs) 조효진의 인간극장 - 제4부 육아는 힘들어 :: Hyojin Vlog -  Parenting is hard,203661,2800,41,301,2021.3.18,아닠 처음에 인간극장 비지엠 깔리면서 애기 업고 물 한컵 마시는 모습 노래랑 모습이 잘 어울리는게 너무 웃곀 커피포트 씻는 영상에 제가 잔소리 써 놨었는데 제발 봐주세여 쇠냄새나면 기름으로 냄새 안날때까지 씻으셔야해요 발암물질이에요 연마제 제거방법 검색해서 보세요 꼭 아이고 이언니얔살림용품을 사면 뭐해요하나도 쓸줄을 모르넼쿠 야채 탈수기 물로 한번 행구고 빙빙 돌리면 물이 싹빠져요 그래서 돌리는 겁니다 그리구 뒤집개 후라이팬에 직접 닿는거는 스탠으로 안사는게 나아요 후라이팬 다 까지고 코팅 벗겨집니다 진짜 화장만 잘해 이언니 갑자기 좋아요가 많아져서 효진언니 제발 뒤집개 실리콘이나 나무로 된걸로 바꾸시구 혹시 집에서 쌈채소샐러드 먹을일이 있다 그러면 무조건 야채 탈수기 사용하시구요 전기포트 제발 식용유로 박박 닦아주세요 쇠맛나는걸 왜 그대로 먹고있는거야 대체속이 터져 증말루 의자 윤활제는 다닦으면서 포트는 쇠맛그대로 먹는 울언니 멋져 증말 그리구 호오오오옥시 몰라서 규조토가 물 흡수를 잘시키는데 문제는 이게 관리를 좀만 못해주고 좀만 습기가 차도 밑에 벌레가 생긴대요 화장실앞에랑 칫솔꽂이 다 규조토로 사서 걱정돼서 남겨요 언니 제발 봐주세요 성빈이 울고 효진씨 울고 나는 미친듯이 웃었네 미안해요 슬기님 그거 아니라고 소리치고 계실듯 
(with Subs) 조효진의 인간극장 - 제3부 어서와요 우리집에 :: Hyojin Vlog - Welcome to my sweet home,271821,3700,70,433,2021.3.10,썸네일 무슨 일이에요 언니 어 예쁘다 이사 첫 날부터 냄새 어쩌고 한 거 보니 집 자체에서 곰팡이내 나나봐요 원룸이나 오피스텔은 환기 잘 안되서 잘 습해지니깐 어쩔 수 없어요 비싼 옷이나 가방아끼는 의류는 본 집에 두고 한 번씩 내려갈 때 입으세요 아니면 옷에도 퀘퀘한 내 다 배요 버터 소분해서 냉동실 안넣어놓으면 냉장고 냄새 다 베여서 다음에 먹을때 역할수도 있어요 아 가서 소분해드리고싶다 조인극장제대로 조며들었다제가 철이없엇죠썸네일을 보고 놀랐다는게 컵휘 한좐 할레요홍 핰진짜 어쩜 좋아 
