title,view,like,unlike,comment,date,comment_text
제 직업을 공개합니다 취미로 운동하는 일반인의 피말리는 하루 스케줄 공개 동기부여 [지피티TV],2172803,3000,400,9615,2019.12.4,많은 파이팅 에너지가 되었습니다  진짜 이 분 앞에서는 시간 없어서 운동 못한다 피곤해서 운동 못한다 이딴 핑계 못 대겠네요 존경스럽습니다 석윤아 부산의 유경이 누나다 대단하네 큰엄마큰아빠한테도 보여줬어 응원할게 궁금해하셨던 직업공개를 드디어하게되네요 많은분들이 영상보시고 많은 도움이 되셨으면합니다 만구독자도 구독자여러분들이 아니였다면 불가능한 수치였을겁니다 이렇게 응원의 댓글과 감사한 말씀들이 많이 달릴줄은 몰랐습니다 하나하나 다 빼먹지않고 읽고있습니다 눈물이 나려할정도네요 다시한번 감사드리고 구독자여러분들의 인생에 큰 도전과 용기를 갖는 영상이되었으면합니다 한 가정의 가장으로 자신의 일에 책임을 갖고 열심히 살아가시는 직장인 여러분들 정말 진심으로 존경합니다 
돈 한 푼 없었던 시절 총 1650원 갓성비 라면 레시피 공개합니다,2056694,16000,354,3139,2020.6.24,내가 알던 가난하던 지피티가 맞나 보겸왔을때 팔굽혀펴기하며 미르스띤하던 지피티가 맞나 진짜 지피티는 전설이다 여기 뭐야 너무 웃겨 헬창이야 개그맨이야 리얼 밥도둑 소스 초 키로 키로에 원대입니다 오타 죄송합니다 영상에 나온 생닭가슴살 구매 링크입니다 링크 누르고 회원가입만하셔서 로그인하시면 알아서 할인적용됩니다 닭가슴살 말고도 소고기나 다이어트 식품들 저렴하게 구매가능하십니다 구매해주시면 저에게 많은 도움이됩니다 그 시청자 너무 없어서 보겸이 별풍쏴줬던 지피티가 맞나 진짜 가슴이 너무 웅장해져서 컵이 됬다 
당신의 틀어진 골반을 바로잡아줄 3분 골반교정운동법 Pelvic Alignment [지피티 TV],1669834,34000,692,1055,2018.7.21,나는 대인데 골반이 틀어져서 불편함이 많았기 때문에 카이로프락틱 하는 곳에서 교정을 받아볼까 했는데 비용이 만만치 않더라구요 그러던 중에 본 영상을 발견하고 열심히 따라하고 있습니다 감사합니다 시작 무릎 상체쪽으로 안아서 땡겨주기 한쪽 무릎 세우고 반대편 무릎은 안쪽으로 눕혀주기 발바닥 맞대고 데칼코마니처럼 다리 벌리고 바닥쪽으로 눌러주기 한쪽다리 반대쪽 다리로 넘겨서 허리 비틀어주기 프로필 임다인줄 알았네 이 영상과함께 병행하시기에 매우좋은 골반불균형 교정영상 편도 최근에 업로드했습니다 링크 통해서 영상 확인하시고 편 편 같이 병행해보세요 훨씬 더 도움이되실겁니다 
라면 5봉에 밥까지 회사 잘릴뻔했습니다,1372183,14000,276,4153,2020.12.16,반전도 이런 반전이 냄비라니 이제 인덕션 가즈아 덕분에 광고도 받게됐습니다 감사합니다 라믈리에 라면냄비 구매처 찜틀의 경우 사용에 다소간의 불편함이 있어 개선된 찜틀을 모든 구매고객을 대상으로 주 후 무상으로 택배 전달 예정입니다 그대로 사용하시다 개선품을 받아주시면 될것같습니다 와 근데 진짜 맛있게 드시기는 한다 쩐다 지피티는 알았을까 초등학교 장래희망에 무언가 자신의 소중한 직업을 적고있을 그 시절 년 후에 사람들앞에서 빨가벗고 라면을 먹을것을 와 이건 진짜 개꿀이네 어떻게보면 간단한 아이디어 인데 왜 저런걸 생각 못했을까 
24만 유튜버로 떡상했는데도 계속 회사를 다니는 이유,1355717,13000,202,3368,2020.9.11,진짜 존나 멋있어 형아프리카 시청자 명때 막 헬스장에서 카메라 세워놓구 방송하던 시절 좁은 집에서 홈트 턱걸이하고 그런 시절도 있었지만 안본사이 엄청 규모가 커졌네용 직장일유튜브운동 가지 나 한다는건 체력도 체력 이지만 정신력 이 넘사벽 이 영상은 광고를 포함하고있지 않습니다 제가 직접 돈주고 사먹는 제품들입니다 영상 속에 나온 제품들 링크입니다 지금 마침 추석할인행사 진행중이네요 링크 클릭 후 회원가입만하시면 저렴하게 많은 다이어트식품을 구매하실수있습니다 필요하신분들은 많은 이용 부탁드립니다 예전부터 영상 봤던 구독자 입니다 저는 교대를 하고 있고 지쳐있는 일상을 늘 술자리가 힘이 되었습니다 그러던 어느날 유튜브 보면서 지피티님을 알게 되었고 영상을 보면서 나태 해진 저에 모습을 보게 되었습니다 아니 알게 되었습니다 정말 아무 생각하지 않고 헬스 등록 했습니다 시작 전 저에 몸은 였고 체지방율 였습니다 기준 이고 체지방율 입니다 지피티님 보면서 항상 힘이 되고 좋은 정보 많이 얻습니다 항상 응원합니다 어디선가 늘 응원하고 바라보는 구독자 
가짜사나이 2기 지원합니다(체력평가),1343363,19000,582,5443,2020.8.16,피지컬갤러리 채널에 컷편집 없이 진행해야한다 명시되어있어 무편집으로 진행했습니다 합격 유무를 떠나 이런 컨텐츠에 지원할 수 있게 되어 정말 좋은경험이였습니다 만약 합격된다면 연차준비하겠습니다 국내최초 연차내고 지옥으로 휴가가는사람 솔직히 지피티님 처음봅니다 근데 평소어떤분인지는 잘모르겠지만 체력검정하시는 태도가 처음보는 저까지 응원하게 만드네요 가짜사나이 기에서 볼수있으면 좋겠습니다 오늘의 주제는 출산장려이며 농구장은 아무 잘못이 없습니다 가슴 부수기 개 등 허리 부수기 개 부수기 개 쇄골 부수기 개 파닥파닥파닥 개 
환상 바텀듀오 3대1220kg 대둔근 성공적,1255103,13000,234,3397,2020.12.31,헤으응 계속 눌러보삼 포브스 선정 부모님 앞에서 보면 해명할 거리가 가장 많은 영상 웃었네 극락 
다이어트 다 때려치우고 하루만에 10000Kcal 먹어봤습니다 (10000Kcal challenge),1240678,8900,248,2216,2020.10.23,다이어트 하지맙시다 그냥 먹고 운동하면되는거 아니겠습니까 솔직히 먹는게 너무 좋아서 못참겠습니다 오늘부로 운동먹방유튜버합니다 영상 속에 나온 볶음밥 제품 링크입니다 링크 클릭 후 회원가입만하시면 저렴하게 많은 다이어트식품을 구매하실수있습니다 필요하신분들은 많은 이용 부탁드립니다 오프닝 혈색 안좋았는데 식사 및 운동후 급격히 좋아짐 첫끼니로 천칼로리 박는데 이걸 실패하겠냐고 아프리카 시청자 명이였을때 도대체 왜 인기가 없을까 했는데 오랜만에 들어와 보니까 역시나 성공하셨군요 번창하시길 바랍니다 자메이카 통다리 최애 치킨인데 대퇴사두가 제법 웅장해집니다 다이어트라 먹방유튜브 보는데 지피티님께 제일 제법입니다 
턱걸이의 정석 풀업의 모든것 오류자세와 부상방지 팁까지 [지피티TV],1178584,18000,594,2560,2018.9.22,임다 근육맨 버전  설명이 너무 길다고 하시는분들이 계시는데 개인적으로 이렇게까지 세부적으로 설명해주시는게 오히려 더 좋다는 생각이 드네요 제 주변만 봐도 정말 기본적인 지식 조차 없어서 운동을 시작하는데 주저하는 사람이 많은데 조금 길어지더라도 자세히 알기 쉽게끔 풀어서 설명해주시니 헬린이들 입장에선 감사할 따름아닌가요 이것조차 지루하다고 느껴진다면 끈기와 노력이 필수인 운동은 어떻게 해나갈수 있겠나 싶어요 활어 숄더패킹 소오름 
진짜 맛있게 먹어서 먹방유튜버 제의 들어왔습니다,1117891,12000,241,3267,2020.12.29,아니 형님 생계 위협하지 마십쇼 각자의 영역은 지켜줍시다 메뉴는 거의 비슷한데 사람들이 보는 이유가 먹는게 진짜 너무 맛있어 보여서 보는거임 지피티님 진짜 실망입니다 앞에선 그렇게 많이먹는척 하시면서 뒤에서 몇시간동안 유산소 조지시는거 생각하니까 치가 떨리네요 운동은 투명하게 해주시길 바랍니다 요즘 헬스업계가 계속 시끌시끌한데 이 형은 먹방 유튜버라 걱정이 없다  
