title,view,like,unlike,comment,date,comment_text
수년간 한 우물만 판 고인물들에게 일어난 사건들,2638388,16000,848,2070,2019.9.27,세나 본인입니다 저 판 너무 힘들었네여 저라뎃님이라고 밝히고 방송보니 찐이셔서 빡겜했네요 저 실은 멘탈 안좋은데 말이죠 무튼 캐리해주신 저치기님 찬양합니다 세나가 대단하네저런서폿댈꼬하면 다이아게임에서 오픈나와도 안이상한데 세나멘탈진짜좋다 카르마 몰래 댓글 훔쳐보면서 얼마나 부들거릴까 카르마 닉넴 아는 친구들이 이거볼 거 생각하면 얼마나 쪽팔릴까 다손절할듯 근데 더 불쌍한건 손절당할 실친도 딱히 없을듯 저는 카르마를 이해합니다 마음의 병이 있으면 충분이 그럴수있죠 학교 또는 직장에서 집단 따돌림을 당하여 사회에 불만이 생긴것이죠 
고인물을 넘은 썩은물들이 세운 믿기지않는 위업,2410713,좋아요,싫어요,1181,2018.10.5,아프리카 댓에 입챌 많누 역겹 그 자체네 결론은 쌀뎃형 라것같아 오른 웃기네 저거 다이아맞냐 그콤보 레전드 저기 채팅 치는 애들 다이아 근처도 못가본거같은데 그의 설득력 
현실적이게 만드려다가 선넘고 오히려 욕먹은 게임들,2194371,12000,970,1483,2019.1.18,블츠센스 오졌다 보급형류준열에 넓은 어깨를 가진 솔랭위 저라뎃 이거보고 구독합니다 면상궁면상궁 보고 팬티 장갈아입었다 
찾는데만 기본 몇년은 걸린 어떻게 찾았는지 궁금한 이스터에그 TOP6,1939727,좋아요,싫어요,987,2018.9.14,내생에 족구랑 도선생님이랑 같이 있는 화면을 볼줄이야 꿀탱탱 입장에서도 억울하지 상대가 전설의 선수 마린 탱탱이는 라인전만 하는데 마린은 오더 팀원 멘탈케어까지 다함 그래도 이김 철구 기뉴다 도파 분석하는거 못알아듣고 지들 맘대로 해석하는거 개웃기네 그 쥐 인생안주 말을 시벌 무슨스피치학원강사보다 말잘하네 
개발자가 하지말라고 하는 행동들을 하면 생기는 일,1791413,좋아요,싫어요,944,2018.10.19,조심해라거기 백안사용중 멤버정보 꿀타라저랭크페만식뱅시울프람 수찬즈려프제짱민영희성 영상내용 경기 킨드레드 경기 니달리 경기 킨드레드 연승전은 연승을 이어나갈 때 마다 별풍개씩 추가됩니다 매달회 진행하며 다음경기에서는 만기퇴소꿀탱탱을 보실지도 러닝타임이 긴 대신 편하게 시청하실 수 있도록 광고는 최소화하여 구간마다 배치하였습니다 즐거운 시청 되세요 저튜브 저격 이때였나 사륜안을 개안한때가 만식이 방플하자나 
착한 고인물들이 뭉쳐서 만들어낸 훈훈한 기적들,1723548,13000,520,2141,2018.12.21,저라뎃이 마지막판 킨드레드를 한 이유가 이거였네 함께가 아니면 아무것도 아니다     
미쳐날뛰는 악질 유저들을 혼자서 참교육시킨 사람들,1674132,11000,606,1525,2019.3.15,샤코는 한명 빡치면 성공한 챔프 샤코에겐 최고의극찬 저즈리얼 저조준일격 노영진이 아니었노영진 그의 이즈궁 
문 한번 여는데 엄청난 노가다가 들어간 게임 속 비밀의 방들,1669916,14000,578,1242,2020.4.24,둘이 사귀면 재입대함 편집자 매드무비 계속 눌러보셈 거기보다 라뎃이 마음이 더 급한데 여기서부터 뭐하냐 너희 
애들도 하는 게임에 성인용 요소를 숨겨 넣었던 문제의 게임들,1656012,13000,588,1668,2020.2.28,사소한거 하나하나 반응 개잘해주네 라뎃아 이젠 이게 안나오면 섭하다 어느 서부 영화에서 볼 법한 장면 라뎃이 잘했을때 나못했어 칭찬하지마 못했을때 아니근데 아 이거하 나할거다했어 지렸다 
사탄도 놀랄 트롤링으로 수백명에게 욕을 먹은 트롤러들,1605507,11000,712,2150,2019.7.12,내가 너 하꼬 때 부터 봤는데훌쩍 기고만장하지마 너 곧 군대가 미치겠네 진짜 즙은 좋마좋이 레전드였지 이새끼 가짜사나이 나가면 개꿀잼이겠다 막 팀원 정치해서 즙짜내고 교관한테 구조적으로 변명하다 퇴교 편집자님 문어 먹물을 빠뜨리신거 같은데 재업부탁드립니다 저쥐문데기 푸른문어 착즙은 어디갔냐 
