title,view,like,unlike,comment,date,comment_text
하루 5분 8팩 복근운동 [오늘의 루틴],2478185,41000,432,5364,2019.6.24,안따라하고 그냥 누워서 보고있는 녀석들자수하세요 출석체크 이말 진짜 마음에 드네 똑같이 다 힘들어요 기왕 하는 거 우리 조금만 더 버팁시다 형 진짜 옆에서 격려해줘서 계속 할 수 있었다  
[꿀팁]굵은 팔뚝을 위하여::이두운동의 정확한 자세 TIP,1853767,17000,434,1347,2018.7.29, 나 무거울때 절때 그표정 안짓습니다  진짜 키다리형 눈 앞에서 보면 개쫄릴듯 에 키로면 상위 프론데 부럽슴다 형님 표정 간만에 웃었슴다 
[뻔한팁] 아랫뱃살을 완벽하게 빼는 법:: 어떻게하면 똥배를 없앨수가 잇을까,1683582,13000,725,1904,2018.9.7, 이형 개쌘 노진구같네 복근을 조져주세요 식사를 조져주세요 현웃터졌네 진짴 이거보려고 다시 왔습니다 키다리닝 모든 동영상 핵심 일단 시작하고 말해라 요행은 없다 꾸준히 해라 
어깨 넓어지려면 무조건 이 운동을 하세요,1496042,7600,235,536,2020.4.24,오히려 우리는 지금 너무 많은 정보의 홍수속에 살고있는게 아닐지빌더마다 조금씩은 다 다른 수행각과 이론들 어질어질 그냥 본인이 맞는 방법을 찾았으면 부상이 없는 선에서 꾸준히 밀고 가는게 맞을지도 운동도 오래하셨고 일반인 수준을 훨씬 뛰어넘는 지식과 몸을 갖고 계신데도 늘 새로운걸 받아들이시는 모습 너무 보기 좋습니다 새해에 헬린이를 지켜보는 헬창들의 모습 개인적으로 사레레는 정자세가 없다고생각합니다 사람마다 어깨 각도도 다르기때문에 부딛치지 않는 각도를 찾는게 더좋을거같습니다 뒤에 두분 웃는거 왤케웃기지 
지금까지 이두가 커지지 않은 이유 :: 굵은 팔 만들기 (덤벨컬바벨컬),1437831,11000,371,765,2020.1.30,연타해보셈  무게치기 전 자세가 정확해야하는 이유가 예전 칼국수집 알바할때 이정도 운동했으니 이건 들겠지 하고 한손으로 칼국수 인분 항아리 들엇는데 전완 아직까지 컬하면 아픔 무게가 낮건 높건 고질병 됨 저같은 등신은 없으시겟지만 조심하세요 모두 조상님이 들어주신 듯 아니 형 입을 
팔씨름 대회 / 국가대표 선발전에 아프리카 BJ들이 떴다,1099460,5100,234,1683,2017.11.2,해설 레알 편파적이내 아니 최홍준 님 위주로 이기길바라며 해설하내 저런분이 해설을 하면 않되는대 이개무슨 국제 시합도아니고 나 편파적이다 듣기 껄끄럽내요 누가봐도 그냥 키다리형님께서 힘쪽면에서도 위시구먼 키다리형 개멋져요 문신남들 팍팍넘기는거 사이다였습니다 착해보이는 얼굴에 점잖아보이는 머리스타일 흰티에 검은 바지 흰운동화의 순박한 옷차림 문신 하나 없는 깨끗한 팔 마지막으로 맛있는거 먹겠다는 겸손한 수상소감까지 하나 하나 다 멋집니다 키다리형 당신은 대체 조금 편파 해설인 기분 키다리 형님도 노력으로 키우신몸이신데 하늘은 노력하는자를 배신하지않는다 
데드리프트 자세 / 데드리프트 하는 방법 (남자 여자 등 운동),1078389,8200,243,759,2017.9.6, 일반 회원 모습 따라할때 개소름 나도 저러는뎈 마지막하신말 운동시 자세가 무너지는 무게는 본인의 무게가 아닙니다 진정 최고의 좋은조언 입니다 운동시작한지 얼마안되셨거나 중량 횟수증가에 정체온 중급자분들은 이말 항상 기억하시며 운동하시길즉 내려야 다시올릴수도 늘릴수있읍니다 누구나 목적과목표는 틀리겠지만 즐겁게 오랬동안 운동합시다 아쉬운 점은 이런 변형 데드리프트를 진짜 데드리프트라고 생각하시는 분들이 많아져서 웨이트 트레이닝 명칭에서 혼란을 가져오는 것 같아요 루마니안데드리프트 자세는 역시나 대박 홧팅입니다 자꾸 생각나는데 견자단 닮았어 
[꿀팁] 가슴운동 안쪽가슴에 볼륨감 주는법,1010923,9200,183,853,2018.10.9,형님이걸어오신길이 뒷따라오는 사람들에게는 꽃길이되었습니다 표정까지 따라해주시는 갓다리형 오늘의 남자 가슴을 이렇게 자세히 집중해서 본건 처음이다 난 남자 키다리형님 근육 짝짝이에 대해서도 강의 한 번 해주세요 전체적으로 왼쪽근육가슴 팔 등이 오른쪽보다 더 큰데 운동 하다보면 균형 잡히겠거니 했는데 여전하네요 
어깨가 넓어지려면 이 운동을 꼭 해야합니다 (feat 어깨창조),921430,7600,192,721,2019.12.23,부상 피하려 약간의 반동도 쓴다는거에서 극호감 반동쓰면 운동안된다는 고립충들 부들부들하겠네 다리가 와인가 키다리형이 분명 작은 몸이 아닌데 창조킴은 도대체 얼마나 큰거야 키다리형 팔이 얇아보인건 처음이다 어깨가코코넛이네 부럽 
이 동작이 안된다면 바로 시작하셔야 합니다 (라운드숄더 교정루틴),845905,13000,124,444,2020.3.9,이유없어요 그냥 썸네일 등보고왔어요 진짜 몸매 예술이다 진짜 좋은 콘텐츠다유튜브의 순기능 중의 갑입니다 진짜웨이트 자세 영상은 넘쳐나는데 이런 교정 영상은 정말 드물죠 한개씩 제대로 만들어놓으시면 조회수 꾸준히 올라갈겁니다 정말 감사합니다 체형 교정편 정말 좋네요 몸이 좋아서 동작마다 근육 움직임이 잘 보여요 에이 이거 못하는 사람이 어딨어 하면서 봤는데 내가 안됌 
