title,view,like,unlike,comment,date,comment_text
누가봐도 특이한 템트리 사용하는 잭스의 티어는..? 히든게이머 이현 [테스터훈],104598,979,63,261,2021.5.3,업로드 순서가 장인 초대석하고 히든 게이머 순서이면 더 좋을 거 같은그냥 저의 작은 바람입니다 항상 재밌게 보고 있어요 신발 포 감전누가봐도 눌엉좌 아닙니까 썸내일을 보고 눌엉좌를 확신했다 미지막 포탑 다 맞고 죽는거 보고 아이언인줄 알았는데 장인의 눈은 다른건가 짹쓰를 많이 한 사람이네 
천상계 유저들만 알고 있는 3랩 풀콤보 넣는 렐 유저의 티어는..?! 히든게이머 김상훈 [테스터훈],87992,724,25,80,2021.5.2,이건 못 참 결과 초반에 티어 변하는거 개시원 하다 이번 장인분 표정이 엄청 다양함 입 
이론상 드래곤 10초 컷하는 정글 다리우스,141190,1000,57,128,2021.5.1,여긴 당신의 남은 수명을 적는곳이 아닙니다 뭘좀 아는 친구네 여러분 하늘보리를 조심합시다 형 지금도 그걸 알아야해 천연사이다가 젤 맛있음 역시 배우신분 
"마인크래프트 pvp 한국 1위, 이게 이런 게임이었어요..? 마크 pvp 파브 장인초대석 [테스터훈]",79689,988,39,464,2021.5.1,안녕하세요 마인크래프트 장인으로 출연한 파브입니다 마인크래프트 라는 색다른 장르를 소개해드리기 위해 출연했는데 생각보다 실력을 보여드리지 못해 여러모로 아쉬웠어요 요시 혜니 깜시 너무 귀여웠구 다음 영상도 기대해주세요 제 개인채널에 마인크래프트 입문을 위한 가이드 영상 또한 제작해두었으니 관심이 있으신 분들이라면 꼭 방문해서 한번 영상 시청해주세요 유튜브 디스코드 광기 포브스 선정 아침 잠깨는 영상 분야가 너무많아서 한명이서 다 보여주기엔 무리가있긴함 실성 
★챌린저 3위★ 렐 서포터가 아직까지 0티어인 이유? 직접 보여드립니다..! 렐 김상훈 장인초대석 [테스터훈],168370,1500,56,198,2021.4.30,렐하시는 분들 장인 콤보 입니다 저 분 방송 하셔야 할 듯 렐장인도 장인인데 다이어트장인으로 나와도 인정받았을 듯 그 청년 쥬지 만지기 
"유미 원챔 마스터 티어 달성, 딜량 3등하는 만년서리 템트리 ㅋㅋㅋ 유미 만커복 장인초대석 [테스터훈]",181494,1300,97,269,2021.4.29,우리 팀 유미가 만년서리를 사고 을 박은이유 라면 드시면서 하시는 장인분은 첨보네 이게 유민가 장인의 꿀팁을 왜 안녕하세요 여러분 이번에 장인초대석에 나온 만커복입니다 평소 유미 인식이 너무 안 좋아서 이번에 맘먹고 멋진모습 보여드리고 싶었는데 너무 긴장을 했네요 그래도 옆에서 친절하게 많이 도와주신 테스터훈님매니저님 그리고 편집 잘해주신 편집자님 다들 너무너무 감사드립니다 방송나온다고 하지도 못하는 고데기를 막 만지다가 겉모습과 실력적인 모습 둘다 놓친거 같습니다 제 개인채널에 오시면 만년서리유미 뿐만 아니라 제 쌍둥이와 함께하는 바텀듀오 정글라이너 듀오들 등 다양한 모습 보여드릴 수 있으니까 부담없이 찾아오셔서 보고싶은 챔피언 조합들 말씀해주세요 유튜브 아프리카 히든게이머 다봤는데 장인초대석이 바로 올라오네 
타워 앞에서 트리플킬하는 유미의 티어는..?! 히든게이머 유미 만커복 [테스터훈],60679,603,30,83,2021.4.28,안녕하세요 이번에 만년서리 유미장인으로 초대 되었던 만커복이라고 합니다 너무 떨려서 침이 바짝바짝 마르고 말도 잘 안나왔는데 너무 친절하게 해주시고 편집도 잘해주셔서 너무 감사합니다 나중에 나올 장인초대석도 부족하지만 재밌게 봐주시면 너무 감사드릴거 같아요 방송은 아프리카 유튜브에서 하고있구 유튜브나 방송 놀러오셔서 유미 뿐만아니라 보고싶은 챔피언말씀해주시면 친절히 잘보여드리겠습니다 아프리카 유튜브 장인불러와서 장인이 기억못하는 자신의 예전 영상으로 티어감별 하면 재밌겠다 우리가 모르고 있었던 사실 번째판 유미 와 테스터훈 천재네 조회수 늘리는 법 히든게이머 장인초대석 때때로 뉴메타 장인 초대석 
"세계 3대 다리우스 천꽃, 유체화 대신 포식자 룬으로 200% 효율내는 방법 대공개..! 다리우스 장인초대석 [테스터훈]",274716,2300,103,278,2021.4.27,안녕하세요 영상에 나온 다리우스 장인 천꽃입니다 제가 당시 첫얼공이기도 하고 긴장을 많이 해서 말소리나 말 수가 적어서 너무 걱정했었는데 훈님이랑 훈님매니저님 덕분에 긴장이 많이 풀려서 재밌게 촬영하고 온 거 같아요 제가 낯가림이 좀 심해서 말 수가 적었던 것 같아요죄송합니다 본계정에서 텔포식자를 보여드리고 싶었지만 닷지가 총 번이 나서 못 보여드린게 너무 아쉽네요 유튜브트위치 둘 다 방송 하고 있으니까 한 번씩 놀러 와주시면 감사하겠습니다 마지막으로 훈님매니저님 정말 감사합니다 학원 화장실에서 학생들이 안나오는이유 이 형 뭐야 멋있어 인생은 빼빼로와 다이제 사이의 참깨스틱 이다 와이건 진짜 잘하는 사람이면 좋겠다 
점멸로 응수 피하는 다리우스의 티어는..?! 히든게이머 다리우스 천꽃 [테스터훈],217764,1500,61,238,2021.4.26,안녕하세요 영상에 나온 다리우스 장인 천꽃입니다 촬영 당시에 너무 떨려서 말도 잘 안 나오고 크게 말을 못 해서 걱정했었는데 너무 좋게 편집해 주셔서 감사합니다 솔직히 개는 맞출 줄 알았는데 개밖에 못 맞춰서 너무 아쉬웠네요 다음 영상인 장인초대석도 재밌게 봐주시면 감사하겠습니다 다음 출연자 몰래 한 한달전 기록을 미리 다운받아둬서 보여주면 알아볼까 이거 약간 히든싱어처럼 명보고 한명찍어서 진짜 실버가 아니다 하는식으로 배제하면 재밌을듯 아무것도 안하고 서성이는거 왤케 귀엽냐 오늘도 숨넘어가는 그 
1분30초만에 포켓몬스터 엔딩 ㅋㅋㅋㅋㅋ 한국인이 가장 좋아하는 진행속도..! 포켓몬 비올라 장인초대석2 [테스터훈],157320,1100,50,243,2021.4.25,학창시절 반에 꼭있었던 듀오 안녕하세요 편에 이어서 편까지 나온 비올라입니다 포켓몬 마리 잡는 스피드런을 언급했는데 늦어도 내년 안에 기록을 세울 예정에 있습니다 테스터훈님과의 촬영 즐거웠고 유튜브는 여기서 운영하고 있으니 한 번씩 놀러와 주시면 감사하겠습니다 비실이와 퉁퉁이 인어맨과 조개소년 아니 이런건 어떻게 찾아내는 거야 
