title,view,like,unlike,comment,date,comment_text
난 진짜 이게 버그인줄 알았어이거 왜 만든거야 ★AD1287★ 탑 구인루난 진,2052474,8500,823,1715,2018.3.29,계산을 해보면 먼저레벨 진의 기본공격력은 진의 패시브 효과의 공격력 증가 를 구해보자면 먼저 룬의 공속 증가효과 광전사의 군화 구인수의 격노검스택효과 루난의 허리케인까지 다 합쳐서 또한 아이템 공격력 증가량을 보자면 무한의 대검 정수약탈자 구인수의 격노검을 해보면 기본공격력과아이템 증가량을 합쳐서 가 나온다 이제 여기서 패시브로 보는 증가효과를 합치면 이 나온다 여기서 공격력이 왜 이 안넘냐고 묻는다면 내가 연습모드를 들가기전 룬을 궁극의모자와 기민함을 안들었기 떄문이다 또한 구인수스택에서가 오르고 패시브에서도가 오르는데 롤에서 어느게 먼저 수치상 오르는질 모르겠어서 걍 합쳐서 계산을 해서 조금의 오차가 있을수도 있다 일단 이제 다시 데미지로 넘어가서 귀찮으니 소수점 생략 에서 치명타가 터지면 무대 추가뎀추가데미지가 들간다 계산하면 데미지가 뜬다 여기서 구인수와 레드 같은 기본공격력에 붙는 효과까지 합치면 은 그냥 넘는다 여기서 적방어력이이라 치면물리피해를 덜받기떄문에 기본공격 데미지가이라 치면 이 된다 평타 한방에 여러가질 뺸다해도 이 들가므로 적 방어력을 생각한다해도 저데미지는 절대 버그가 아니다 라이엇이 탄생시킨 괴물일 뿐이다 이상 저때 그립다아트 고인이던 시절 난 지금뜨네 구인수진이 벌써 년전이라니 만 축하 기념으로 진의 공격력의 비밀을 밝히자면일단 우선적으로 말하자면 저 공격력은 버그라면 버그입니다그럼 이제 계산하는 방식을 적어보죠 참고로 실험은 위 영상과 동일한 템트리 렙으로 연습모드에서 진행했습니다 룬은 정밀 기본룬 일단 무기나 룬 등으로 공격력이 오릅니다여기까진 다른 챔프랑 동일합니다 구인수가 추가 공격력 부분만을 뻥튀기합니다 진 패시브가 적용되서 공격력이 로 증가합니다여기서부터가 문제입니다 구인수가 진 패시브로 추가된 추가 공격력을 다시 계산해 증가시킵니다 진 패시브가 구인수로 인해 증가된 공격력을 다시 계산해 증가시킵니다반복 해서 임계점까지 도달합니다결과적으로 구인수로 인한 데미지 증가는자기 자신으로부터 증가하는 수치만을 제외한 추가 공격력 수치의 추공 전체 비율로는 정도만큼 올리게 되고즉 다시말해 패시브로 상승하는 수치또한 고스란히 반영합니다패시브는 패시브 상승치를 제외한 총 공격력여기에 구인수로 인한 데미지 증가도 포함되죠의 만큼을 올리게 됩니다결국 구인수와 진 패시브는 서로를 연산에 중복해서 처리하게 됩니다이로 인해서 생각보다 데미지에 엄청 큰 차이를 만들어 내는 것입니다여담으로 실험 후 만약 진 패시브 적용 구인수 적용 및 그 역 순서로 한 번만 연산됬다고 가정하면 각각실제 실험 결과 진 패시브 먼저 적용 가정 구인수 먼저 적용 가정 로 간단히 요약해서 가정보다 정도 데미지가 증가됬다고 볼 수 있겠습니다여튼 만 축하드립니다 여담으로 실험을 끝내고 댓글 작성하고 난 뒤 꺼무위키에서 이미 인벤에서 동일한 내용으로 진행한 실험을 발견했 이거 갑자기 왜 떴지 
4분만에 풀템 완성세계최강의 뽕맛입니다★공속 6단계★ 미드 가렌,2031814,11000,872,953,2019.10.23,칼은 지 몸만한거 들고다니는데 템은 다 단검이네 이 형 진짜 선넘엇네 도란도 아닌 단검이라니 베이가가 탑블레이드 경기장 만들어주네 챗 치기도 전에 가능 치는거봨 형 안한챔이없는것같아서 챔프 하나씩 다검색해서봤는데 유미가없드라고 담영상에 유미 올려줘 기대할게 일차 
이동속도 4500 달성이번 게임 아주 레전드다★공격력 2300++★ 우르프 헤카림,1861304,11000,706,1643,2019.2.20,숫자로 이속 이 체감이 안되시죠 옆에서 뭐가 지나갔는데 상대가 죽어있습니다 매드무비에 올리시죠 레전드 레전드 인제 부활했다아 
가족을 다 버리고혼자 잘먹고 잘살았답니다 : 60초,1787013,15000,1100,1139,2019.8.15,썸네일 웃고있는 테드보고 소름이 쫙 돋는다 진짜 초기에 도끼들고 나가서 다 들고 올 수 있었던 이유 미친놈이 도끼들고 설치는데 뭐라도 줘야지 지금당장 도끼든 미친 아재한테 죽는 것보다야 왜 혼자살때만 나갔다오면 잔뜩가져와 오늘의 명언테드는 멀쩡하다 뭐야테드 혼자니까 무적에다가 나갔다오면 물건겁나 잘구해와 
1대5 펜타킬이 썅 말이 되냨진짜 존나 역대급이네★OP 1000단계★ 탑 모데카이저,1743501,11000,692,1359,2019.6.15,아 카르마 잘못 본줄 펜타킬시작 형 이거 지금 천상계에서 유행 중이야 이거 형이 창시자임 아이번 기원 일차 딸로니 킬딸하기에도 좋고 당하는거 방지하기에도 좋아서 킬딸 단계정도 가능할듯 
[텔론] 진지한 미드 탈론 vs 제드 상대법,1623512,5300,223,1841,2015.1.26,이랫던 텔론이 이젠 추억팔이하러 온다 이시절의 탈론이 그립다  텔론예언 비트에 몸을 맡기라네 
한판에 47킬 했습니다덤으로 펜타2번★레전설★ 마스터 이,1531067,8700,476,806,2018.6.6,마타 조합보단 앙 기모띠 주는 나무 조합이죠 허헣 메탈슬러그 여캐 뒤질때소리같다 궁각본게아니라 궁쿨돌자마자 쓴거면서 내가알던 텔론이 아니야 사플 
03초 카이팅 실화냐지옥의 광역슬로우 개역겹고★공속 3단계★ 탑 애쉬,1512844,7600,585,672,2019.11.10,탑에 원거리 딜러 들고오는 사람은 쓰레기라니까 맞아요 나 쓰레기에욥 카타 원딜로 탑가지 말라고 피지킬 여드름을 죽여버렸네 방어막 완벽한 계산 미쳤고 블루내꺼라는 뜻 
평균 이속 1000입니다이것이 바로 저세상 카이팅★루난 4단계★ 우르프 진,1454347,8600,971,991,2019.10.31,어케 시비르 때렸누 아 진짜 미친놈처럼 끅끅거리면서 봤넼 이때 날렸던 시비르 표창 계속 쫓아 다니네 스트레스 발음 섹시해 부메랑 따라오는거 개웃기네 
늬들은 훈수하지마라나부터 이기고 훈수해라★쌉졸렬 5단계★ 시청자 1대1 대전,1434539,8100,680,777,2019.2.26,누누더러워먹는거역겨워재생엄청나무서워라인클리어왜이래 아 하필 저랑 하실때 어머니가 부르셔서 그쵸 텔론님패드립 절대 아닙니다 텔론도 맘먹고 했으면 챌 달을듯 저 김만덕씨 계좌번호 확인 좀 다시 해주세요 입금이 안됐는데 죄송훱니다 텔청자님덜 텔론님의 루시안이 이렇게 셀 줄은 편집자형님 감사드려요 
