title,view,like,unlike,comment,date,comment_text
전직 UDT 특수부대 학원에 가다 (숨참기 8분 30초 ) | 달려라 김계란 Ep4 1부,10929763,59000,2000,5358,2019.11.23,대머리라 수모를 안써도 되는 수모를 겪네 이게 그 수란인가 하는거 아침 부터 저녁까지 너무 고생하셨습니다 우리 토르짐 특수요원 준비생들을 위해 많은걸 가르쳐 주시고 고생하셨습니다 멋진 방송 감사하고 달려라 김계란 파이팅 부완전 기대 합니다 여러분들도 부 많이 시청해 주세요 어떤 놈이 분 넘게 숨을 참아 지가 몰차노바야 하고 영상 봤는데 몰차노바가 나옴 김계란은 헬스할때도 멋있지만 물속에 있을때 제일 멋진것같다 물밖에 있다가 다시 물에 들어간 가물치같음 
110만 유튜버 해외여행 클라스 ,8107294,5000,1300,7374,2019.11.4,쉬러간게 아니라 쉬러그 하러 갔습니다 영상이름이 기억안나서 대머리 괌 치니까 젤 위에있네 이게 무슨 여행이야 전지훈련이지 확실히 이 형은 웃기긴 한데 우습진 않다 뭔 괌까지 가서 바다랑 하늘은 그냥 슬쩍 보고 이쁘다 하고 마네 
북한 잠수함에 권총 한 자루를 들고간 UDT 작전 실화 (with 유병호 준위),5760149,58000,1500,6870,2019.9.2,진짜 북한 간첩 미화영화 좀 그만보고 이런거 바탕으로 한 영화좀 보고싶다 지금은 살이 많이 빠지셨는데 현역 시절에 팔뚝이 어마무시 했고 턱걸이 구보 수영 등 대의 나이에도 따라올 수 있는 대원이 몇 없을 정도 였습니다 그러한 강인함과 엄청난 체력에도 불구하고 교육훈련대 교육반장으로 계시면서 훈련생도들 따뜻하게 챙기시는 분입니다 늦은밤 고된 훈련속에 잠든 훈련 생도들 이불하나 하나 덮어 주시던 모습 아직도 선합니다 정말 존경 합니다 필승 현재 근무하고 계신 선 후배님들 전역하신 선 후배님들 여러분 모두가 전설이며 모두 존경합니다항상 감사합니다갑작스러운 부탁임에도 흔쾌히 고퀄리티 그림 그려주신 최고의 웹툰작가 옥한돌 작가님 진심으로 감사드립니다 저도 당시에 조종사로 작전에 투입되었습니다 감회가 새롭습니다 참 군인이신 당신을 존경합니다 이런분들이 연금받고 잘사는거 인정한다 똥별들이 연금받고 잘사는거 인정 못한다 
푸쉬업 '이렇게' 제발 하지마세요 (팔꿈치 박살),5730712,61000,1500,3437,2019.1.20,보는 것만으로도 운동한 것 같습니다 그래서 딸기 생크림 샌드위치를 까서 먹었어요 운동 후에 적당한 당보충 정말 모난데 없이 완벽한 설명이네요 진짜 헤어 나올수 없는 매력의 소유자 엘사의 동생 당신입니까 머리가 안나 끝까지 내리는 게 별로 안 좋다는게 개꿀팁이네요 형님 
UDT vs 프로 파이터들 (달려라 김계란 Ep2 팀매드 체육관 인턴 1부),5448959,38000,1000,4282,2019.9.28,자 그럼 여기에 악플을 달아주십시요 달게 받겠습니다그대신 매미킴 구독해주세요 매미킴 구독과 좋아요 그리고 악플을 달아주세요 잘봤어 형 근데 왜 다들 핑크 레깅스에 대해 한마디도 안해 다들 이상하지 않은척 하는거야 아님 계란형이 뭘 입어도 안이상한 거야 와 근데 이형은 진짜다 선수들이 진심으로 쳐도 다 받네 가짜사나이보고 이거 보니까 진짜 소름돋네 
[헬창의 삶 1화] 미친놈; 운동 중독 김계란씨,5123425,4000,1100,4295,2019.6.9,명대사 나왔다 봉무게 는 조상님이 들어주세요 제사 열심히 지내셨네소울테이컨가 와 밀리터리 프레스 하다가 넘어진건 나도 심장 멎을뻔했다 저 앵무새가 귀엽다면 채널 잔디도 구독 부탁드려용 와씨 뒤진줄알고 개깜놀했네 인성 문제 있어 
50만명이 효과를 본 라운드숄더 교정루틴 A (by 호주물리치료사)  [피지컬갤러리] (eng sub),4969993,15000,1200,3744,2018.6.4,모서리 스트레칭 초 상지근막과 신경 스트레칭 초씩 세트 관절가동술 개씩 세트 흉추 스트레칭 초씩 세트 운동 개씩 세트 스탠딩 운동 개씩 세트 틈틈이 해보려고 타임라인 남겨봅니다 좋은 영상 감사합니다 넌 이걸 보면서도 누워있지 내말이 맞지 오늘부터 알림 뜰 때마다 하게 하트 눌러주실 천사분들 없나요 제일 좋은 건 평소에 좋은 자세를 유지하려 노력하는 겁니다 찌찌에서 미사일이 나간다고 생각하고 가슴을 활짝 여세요 첫번째 모서리 스트레칭 진짜 좋아요 가슴근육이 늘어나는 느낌은 안들지만 어깨 뒤쪽이 진짜 쫙 눌려지면서 엄청 시원해요지금은 목서리만 보면 가슴이 두근거려요 
절대로 하면 안되는 복근 운동,4785661,47000,1100,3856,2018.12.30,끈기가 없어서 맨날 하다가 포기했는데 그러길 잘했다 오랜만에 와봤는데 끈기없는 사람이 이렇게 많다고 이거 진짜예요 진즉에 봤어야 하는데 이미 망가지고 봤네요 다행이 부엌에서 불은 안났어요 진짜 이런거 널리 알려야대요내허리 다시 저시절로 돌아가면 절대 안할텐데 어휴 겁나신기하네 요즘 집에서 하는 운동인데 알고리즘 정체가 뭐냐 진짜 둘이 동일인물이 아니었구나 헷갈리기 시작한다 
동네 '모'자란 형의 운동 영상 (구독자가 만든 김계란 빡빡이아저씨 매드무비),4631346,25000,551,3756,2019.11.30, 영상요약 아니 그는 완벽한 남자입니다 모자람이 없기 때문이지요 이게 제일 웃김 
롤 중독 김계란 운동 근황 미친놈,4553097,32000,621,6001,2020.2.29,이야 이 횽은 여자보기를 돌 같이 하는 걸 넘어서 캐틀밸보듯하네 머리카락이 없으니까 위아래가 구분이 안가네 나는 한손으로 드는것도 드는거지만 자기몸에 착지시키면서 여자 안다치게 팔로 감싸는게 조오오오옹나 머싯네 저런게진짜 섹시한거지진짜 반할거같다 계란뭐야 제목 생각 안나서 신지드 점멸 쳤는데 나오네 그가단련하지 못한 유일한 근육 모근 
