title,view,like,unlike,comment,date,comment_text
레알 잠수 메이크업:물 속에서 화장하기,10966494,97000,8500,18908,2016.7.24,회사원님 우리 보여주실라고 막 아토피나 그런거 심하신데 들어가서 계속 눈뜨시고 계시고으엉 감동이에요그래도 회사워님 건강챙겨가며 하세요 수영장물에 락스물있어요회사원님이 수고하신영상 좋아요 누르고 갈게요고마워요 영상 끝까지 안보는 빡대가리들을 위한 요약 숨오래참는건 뭍에서 숨쉬고 물로 들어가는걸 편집해서임 물에서도 안지워지는건 워터프루프라서임 이영상은 재미를 위한것임 단독수영장이라서 민폐어쩌구드립은 탈락임 눈 빨게지심 어뜨케 물속에서 눈이 떠져요 나도 모르게 숨을 참게된 
다이소 화장품으로 풀메이크업 해 보았다/韓100均のコスメでフルメイクしてみた,6416355,34000,3100,6317,2015.3.14,소비자를 고소하는회사 잘봤습니다 아니내돈주고내가사서영상찍겟다는데왜난리야솔직히다이소에서일하는사람다이소화장품으로화장하는것도아니고품질안좋은걸안좋다고소비자들에게돈낭비하지말라고알려주는데회사에이미지가나빠져 싸고좋은건진짜좋다고유명하지만 안좋은건안좋다고알려줄필요잇다고본다 다이소 입장 이해해서 올리라는사람 있어서 글써요 이것저것다따지면 소비자는 품평도못듣냐 다이소도웃기네 진짜 무작정깐것도아니고 좋은건 이런이유로좋다 싫은건 이런이유로싫다 아주잘 말하시는구만 그럼 발전적인회사라면 아 이런점을 고쳐야겠다하고 고쳐나가야지 이미지추락한다고 삭제요청 다이소 이용많이하는데 니들이미지는 니들태도로 추락시키지 만약영상삭제됬어봐 더 큰 타격이가지 안그러냐 다이소관계자들아 진짜 씨제이도 대기업횡포갑질아주 깎아줘 회사원님하고 상의는되고한얘기야 결국 욕먹는건 뷰티크리에이터밖에없잖아 이 영상 중독성쩔지금까지 번이나 봤닼 그래도 쓰레기통에 하트까지 넣어줬는데 너무했네 
북한 화장품으로 풀메이크업 해 봄,4413983,4000,3300,4196,2018.12.7,할머니가 아이브로우 하면 잘 모르시는데 눈썹먹이라고 하니까 바로 이해하셔요 아닠 대체 어떻게 구하셨대 정말 능력이 무궁무진 질문이 아니고 감탄사임 왤케 배경 얘기가 많지 난 별로 신경 안 쓰고 봤는데 진짜 컨텐츠 신박함은 따라 잡을 뷰티유튜버 절대 없다 맨날 볼때마다 뭐가 더 있을까 생각하면서 보는데 파도파도 계속 나왘 북한 화장품이라는 것을 보고 이 영상을 안 볼수가 없었다 
MUJI무인양품 화장품으로 풀메이크업/無印良品でフルメイク,4302891,24000,1100,2967,2015.5.25,으잌진짜 표정이 왜이렇게 다양해 아이고 내배꼽 유트브에서 볼꺼 없고 심심하면 꼭 한번씩 보는 영상 나만 돌려보는게아니였어 또 보러왔다 또가 몇번인지는 모르겠다 나만 이영상 겁나 돌려보는게 아니였엌 
[뒷북 할로윈] 거꾸리 메이크업,4089243,4000,1100,3677,2019.11.1,언니 진짜 꾸준히 이상해주셔서 감사합니다 이 구역의 도라이 인정 앜 할로윈에 피만 보다가 왔는데 여긴 상하대칭이얔 눈코입이 위아래로 있엌 와 아이라인 그리고 나서부터 얼굴이 두개가 다 보옄올해 할로윈 등인거 같아욬 여기가 할로윈 등이네 저러고 이태원가면 사람들 파도 갈라지듯 갈라질듯 나 아 이제 숙제해야지 유튜브 너 이렇게 분장하는 유튜버 봤어 
피부 뒤집어진 날 커버 메이크업 : 미샤 텐션팩트 전색상 리뷰,3544758,31000,1100,3656,2016.10.11,솔직히 미샤는 회사원님한테 잘해줘야 한다 텐션팩트 매출 절반은 회사원님이 다하셨다 아니 협찬이던 말던 개인적으로 이렇게 커버력 좋은제품 소개해주는거 자체가 감사한데 커버하는 과정을 생략한것도 아니고 바르는 과정까지 다 보여주면서 정말 제품력이 어느정도인지 소개시켜주는건데 뭐가 그렇게 문제예요 광고가 그렇게 싫으면 초반에 광고라고 했을때부터 보지마세요 공짜로 다 봤으면서 마지막에 광고라서 실망이네 마네 그런 앓는 소리하지마세요 광고라고 강매권유하는 광고가 아닌 제품 분석 하면서 제대로 알려주는 건데 한개라도 본인이 얻어가는 부분이 있으면 광고라고 굳이 댓글 남기지말고 그냥 넘어 좀 가세요 이 영상 중독성 쩜 번이상은본듯 텐션팩트 홍보는 회사원님이 다하셨다 민감성이라고 대답하고 싶습니닼 중독성 
세상에서 제일 비싼 28만원짜리 파운데이션을 발라봤다/라프레리 파운데이션,3484268,25000,1200,6248,2016.1.2,이제 세상에서 가장 비싼 화장품으로 풀 메이크업 해줬으면 좋겠다 회사원님은 노랑머리보단 애쉬나 그레이같은 시원한계열의 머리가 더 잘 어울리는듯 가격을 치킨으로 계산하는게 아주 마음에듭니다 말 개잘하네 리뷰도 회사원이 짱인듯 회사원님 이날 얼굴에 적어도 원은 바른 듯 
[간증폭주]절대로 화장이 뜨지 않는 스킨케어 /化粧のノリを最大に引き出すスキンケア方法 【日本語字幕】,3195697,37000,875,2034,2015.1.14,가끔 삘타서 들어와서 같이 스킨케어한다 아 미친 너 오른손잡이지 할때 소름 쫙 끼쳤네 극지성인나는 건성이얼마나 불편한것인지를 알았다 토너는 닦으듯 쓰는게 맞고 피테라에센스 같은 부스터는 두드려 흡수가 맞죠 근데 토너도 서양권에 물에 석회질이 많은 국가에서나 쓰지 우리나라 상수도 수준이면 쓸 필요가 없어요 회사원님의 스킨케어 방법리 정말 올바르다고 생각되는게 일반적으로 우리가 각질을 제거해야 된다고 생각하기 쉽지만 각질은 어느정도 있어야해요 표피층이 입고 있는 갑옷 정도로 생각하면 좋아요 각질세포가 기이하게 많이 증식해서 화장품 성분의 흡수를 막고 피지를 모공에 가둬놓아 트러블이 생기는 피부피부과에서 알아보세요가 아니라면 각질은 하루라도 더 오래 표피층에 달라붙게 보호해주는게 맞는 거죠 갈락토미세스는 과잉 각질을 어느정도 제거해주는 기능이 있어서 일반적으로 건성 피부에는 적절하지만 지성 피부에는 좋지 못한 경우도 많아요 지성피부는 오히려 비피다가 나을 수도 있으니 이 영상 보고 충동구매하지 말고 회사원님 말씀처럼 샘플로 먼저 사용해보고 알맞다 싶으면 구매하시길 바래요 그리고 로션과 에센스 크림은 제형이 다를 뿐 성능은 비슷해요 유화제와 오일의 양이 제형을 결정하는데요 시중 제품을 사용하는 것도 좋지만 끊임없이 방부제가 다량 함유된 화장품을 바르는 것 보다는 시판 제품의 사용량을 조금 줄이고 천연제품을 하나씩 늘리는 방법도 있어요 개인적으로는 스킨과 에센스는 구매해다 쓰고 크림 단계 대신 페이셜오일을 직접 만들어 쓰는 것도 추천합니다 전문가들이 지성은 오일쓰면 안된다는 말 하는 거 보면 가끔 웃음이 나와요 에센스 로션 크림에도 모두 오일이 들어 가거든여 최악의 트러블 피부였다가 많이 개선되고나서 스킨케어에 관심이 많아졌는데 한 달 전 우연한 기회에 이 영상 보고 각질로부터 좀 더 자유로워 졌네요 회사원님 복받으셈 진짜 이거 몇번째 돌려보냐 딱 이영상 톤이 제일 좋음 조근조근 말씀해주시면서 유용하고 소소한 재미가 있음 
1200원짜리 립스틱 쓸만할까  elf 화장품으로 풀메이크업 해봤다 2편 [ENG SUB],3064403,15000,1200,2017,2016.2.10,언니요즘은 이런느낌의 영상이 안올라오네요 보고싶어요 나 미치겟넼두깨씌 드드드드득진짜드드그드그그 칫솔이세욬 벌써 번 넘께봤다 
과일을 넣으면 팩이 되는 메이커라굽쇼,2892415,25000,2200,2329,2018.4.7,그 귀찮음을 참아내고 두 번이나 시도하신 게 대단해요 잘 씻어서 창고 가장 깊숙한 곳에 보관하시면 되겠네요 신기한 쓰레기를 사셨다 진짜 이 언니는 웹서핑을 얼마나 하시는 걸까 아 넘 웃겨 어디서 흘려봤을때 궁금하긴했는데 해주신 살신성인에 감사해요 그렇게 회사원님은 만원을 날리고 
