title,view,like,unlike,comment,date,comment_text
아침운동으로 강추 전신타바타 8분 루틴 | 8MIN TABATA,51782,1100,13,88,2021.5.4,치킨먹으면서 보는편 아침루틴으로도 좋고 저녁운동할 때 유산소 대신 넣어서도 좋고 매일매일 해보세요오 대장은 오늘 저녁먹고 할 겁니당 오늘은 여기까지 돼람님 눈치 보면서 운동하시는 거 넘 귀엽 맨날 분 전신운동 영상에서 돼람님 힘들어하시는 것만 봤는데 이렇게 묵묵히 멋지게 해내시는 거 보니까 넘 기분 좋아요 뜸대장 찐미소 나오는 것도 너무 귀여워어아어이어유 오늘 저녁은 피곤하니까 이것만 할게요헷 샐러드먹고 몽쉘먹으면서 보는 중 
헐 삼성 갤럭시 탭 콘텐츠 촬영했어요,40151,749,16,84,2021.5.1,으뜸대장이 광고를 찍었습니다히히 아니 이 언니 대기업 만나니까 장난 없자너 개멋있어요 견디고 듣다보면 아 여기가 아니네 운동 식단 정보상큼한 외모딕션까지 다 갖춘 언니갤탭이 섭외를 너무 잘했네 아니 어떻게 광고가 이렇게 상큼해여 
(곧) 100만 유튜버의 도전 그 서막,45413,534,11,151,2021.4.28,클라이밍 하면 선수로 데뷔할듯 휴 진짜 뭐할지 알고있는 나는 벌써 너무 부끄럽다 버금이들 무슨 운동을 하면 재밌고 유익하고 알찰까요 폴댄스 추천해요 힘이 좋으셔서 스핀폴보다 스태틱폴 하면 진짜 잘하실거 같아요 폴댄스가 기초 체력도 체력이지만 골반 정렬이나 유연성 코어힘이 중요해서 필라테스랑도 연관이 크다고 생각해용 수영 진짜 잘어울린다 뭐든 잘하실거같아요 
Q 으뜸님은 매일 행복해보여요  A 저는 (내가 긍정적인 이유),43801,1100,27,115,2021.4.22,저는 개월 가까이 저에게 집중해 있는 상태입니다 남들이 말하는 백수죠 년의 수험생활을 아무도 모르게 접고 온전히 저에게만 집중하고 있습니다 책을 읽고 운동하고 가족과 시간을 보내는 것이 제 일상이에요 남들이 어떻게 생각할지 전 모르겠습니다 근데 제 인생중에 가장 많이 저에게 집중하고 있는 시기이고 어떠한 연도보다 가장 즐겁습니다 남들 눈에는 하찮고 시간낭비를 하는 것처럼 보일지 모르지만 지난 개월동안 읽고 싶은 책을 읽고 있고 건강을 위해 시작했던 다이어트가 성공하고 있는 모습에 자존감을 회복하는 계기로까지 발전하고 있어요 너무 너무 좋은 날들입니다 오롯이 가족과 함께 즐겁고 나에게 집중한다는 것은요 남들보다 주기가 짧은 우울이 찾아올 때마다 억지로라도 운동함으로써 찾아오는 평온을 즐길 수 있게 되어 너무 좋아요 오늘은 실컷 많이 먹어서 살이 찔거같아요 그래도 전 상관없습니다 내일부터 운동을 다시 하면 빠질 거 알고 운동 꼭 해낼 걸 알기 때문에 어떠한 폭식 과식을 하더라도 흔들리지 않을 자신이 조금 생겼네요 제가 생각하는 목표 체중까지 꼭 해내서 더 당당한 사람이 되려고요 화이팅 이 영상을 보는 모두가 행복하고 편안한 마음으로 하루를 마무리했으면 좋겠습니다 제가 더 좋은 사람이 될 수 있도록 응원해주고 좋아해주는 버금이들 고맙고 감사해요 언니가 입은 블라우스 입으면 저도 행복해질거같아요 헤헷 어디껀지 여쭤봐도 될까용수줍 심한 우울이 찾아와 멀리하고 스트레스가 되는 사람을 멀리하고 운동을 시작했어요 지금은 몸과 마음의 건강이 감사하고 행복합니다 나는 내가 챙길때 굳게 일어설 수 있는것같아요 누군가에게 기대하지말고 나자신을 내가 먼저 챙겨라 정말 머리를 망치로 한번 맞은거같네요 요즘 인간관계와 미래의 대한 불안감때문에 정말 힘들었는데 오늘도 정말 힘되는 말을 주시네요 오늘도 으뜸님 영상보면서 운동도하고 힘내볼께요 늘 고마워요 언니 
(층간소음X 땀폭발주의O) 이거 하나로 운동 끝 올인원 전신운동 업그레이드 루틴공개,148220,4000,25,240,2021.4.20,먼가 이번영상 멍때리고 보기 좋네여 언니 저는 몇년전까지 몸무게 킬로그램을 유지하던사람이였어요그러다 갑상선에 문제가 생겨서 물만마셔도아니 숨만쉬어도 몸에 부종이 생기고 염증반응도 심해져서 몸이 킬로그램까지 불게 되었어요복싱요가헬스 다 하고 있고 식이관리도 철저하게 하고 병원을 꾸준히 다녀도 여전히 차도가 별로 없었는데 반드시 먹어야할 약만빼고 약을 줄이고 으뜸님 운동을 조금씩 따라하면서 서서히 몸이 돌아오고 있어요부종도 엄청 줄었고 호르몬 밸런스도 좋아지고 있고 염증반응도 많이 나아지고 있다고 해요감사합니다으뜸님 덕분이에요몸이 더 가벼워지면 기구 필라테스와 폴댄스도 도전해보려구요항상 건강한 영상 감사하고 앞으로도 많이 가르침 주세요감사합니다 누나 힘든건 둘째치고 자세가 안나와요 무섭다 언니 무서워요 따라하긴 할건데 이제 할건데 과연 얼마나 힘들지 무서워요 진짜 건강해 보이는 몸에 표본인듯 어디 아픈곳이 없을꺼같네요 
심으뜸은 인간관계 이렇게 관리한다,44135,1100,28,99,2021.4.15,고민상담소 컨텐츠는 어디까지나 제 경험 바탕의 답변이기에 제 답변이 정답이라 생각하지 말아주세요 적당히 위로받고 적당히 공감하며 적당히 도움이 되었으면 하는 바람으로 이 영상을 공유합니다 우와 친구와 지인을 구분하라는말 지극히 당연한거였으면서도 한번도 생각 못해봤네요 좋은 에너지 감사드립니다 이언니 오늘따라 아기같음 귀욥 인간관계는 일단 친해지면 바로 스쿼트 개부터 으뜸님 저 맑은 웃음을 보면 관계가 나빠질수가 없을듯요 
ENG)매일 아침 8분 스트레칭 l 8minutes morning full body stretch,4781740,5000,1000,1063,2018.12.10,아침스트레칭 분 풀영상 드디어 재업로드했어요 구독자분들 많이들 놀라셨죠 정말 많이들 좋아해주시고 꾸준히 찾아주신 영상이었는데 하루 아침에 영상이 사라지다니 왜 삭제가 되었을까요 저도 댓글로 알게 되어서 찾아 보니 뜬금없이 삭제가 되어있어서 정말 많이 놀랐답니다 왜 삭제가 되었는지 원인은 찾지 못했어요 다시는 이런 일이 없기를 바랄 뿐이에요 며칠 동안 스트레칭 못 도와줘서 미안해요 내일부터 다시 열심히 저랑 상쾌한 아침 맞이하기로 해요 아침에 일어나자마자 하기 실천 한 달째 이거 하는 거랑 안 하는 거랑 하루 시작이 다릅니다 몸도 가벼워지고 또 모랄까 더 부지런하게 사는 것 같은 느낌을 받을 수 있습니다 힙으뜸님 목소리 너무 꿀이라 스트레칭 하다가 다시 자버릴거 같은데요 건강한 하루 될께요 내일부터 시작 예약하고 갑니다 않오면 조아요좀 
ENG)무조건 빠지는 아랫배 운동법 (feat내장지방 똥배 없애기),4138366,66000,938,1421,2019.5.23,우와 언니 살이 많아서 아랫배가 납작해지는지는 잘 모르겠지만 이거 하니까 방구가 부와아아아아아악 나와서 엄마가 부엌에 있다가 뛰쳐나왔어요 시작 이번 영상에서는 필라테스의 원리를 적용시켜서 우리 몸을 효과적으로 사용할 수 있게끔 운동의 순서를 부드럽게 연결시켰어요 하복부복횡근복사근 사용이 익숙하지 않고 정확하게 사용한 적이 없는 분들은 정말 어렵게 느껴질 수 있을 거예요 하지만 꾸준히 반복해서 따라하신다면 정말 효과는 배 보장합니다 제가 설명하는 순서에 따라서 천천히 움직임을 만들고 조절해보세요 필라테스 경험이 없는 분들은 꼭 제 영상 중에 기초필라테스 영상을 참고해주시고 허리 통증이 있거나 앞벅지가 가장 많이 자극되는 분들은 스트레칭 시리즈아침 저녁 장요근 폼롤러 마사지를 참고하시면 도움될 거예요 오늘도 건강하고 행복해요 우리 배가 무지막지하게 나와 있어서 배가 전혀 납짝해지지 않아요 으뜸님 말대로 잘 따라하고 있는데 배 납작하게 만드려다 목으로 폐 토할뻔 했어요 잘 하고있는 건지도 잘 모르겠지만 일단 열심히 따라했긴 했는지 아랫배는 당겨요 열심히 따라해서 납작배 만들어 볼게요 이거 원하던건데 너무 어렵네요 진짜 너무 필요한 운동인데 너무 어려워요 아니 내 배는 꿀렁꿀렁거리는데 영상 속 배는 무슨 자세를 하든 들어가있어서 맞게 하는지를 모르겠어요 
ENG)하루10분 스쿼트로 기초 체력 기르기,3827933,31000,625,5391,2019.9.20,죽겠어요 먹을땐 분 짧던데 적당히 처먹을걸 혹시 이거 끝까지 하면 몇개 하는 건지 궁금하신 분들 으뜸님이 하시는 대로 같이 하시면 개 하는 거예요 직접 세봄 어제부터 운동 시작했습니다 혹시 제가 안할까 봐 그러는데 좋아요 눌러주셔서 하루에 한번 들어갈 수 있게 알람 눌러 주실 분 계신가요 일차 일차 첫날인데 이거하고 샤워하고 다리가 후들거려서 팬티 입을때 앉아서 입었네요 저질체력인줄은 알았지만꾸준히 해보려 합니다 감사합니다 스쿼트 기초가 부족한 분들은 스쿼트의 정석 참고해주시고 기초가 다져진 분들 중 기초체력을 기르면서 꾸준히 스쿼트 지구력을 키우고 싶은 분들은 하루 분만 스쿼트 해보기로 해요 체력도 좋아지고 자세도 예뻐지고 컨디션도 좋아질 거예요 분동안 제가 계속해서 함께 해드립니다 지루하지 않을 거예요 분 스쿼트 하는 게 너무 힘든 분들은 스쿼트 개 챌린지 영상으로 기초 영상 마스터한 후에 분 스쿼트 함께 해주세요 
ENG)심으뜸과 스쿼트 100개 챌린지 Squats For Beginners: How to do a Squat Correctly,2924641,24000,624,2162,2018.3.18,스쿼트 시작 손을 모으는 건 죽지 않게 해달라고 비는거져 나는 틀렸어 먼저들 가세요 좋아요라도 눌러주세요 알람 울릴때마다 올게요 펌핑 스쿼트가 젤 힘듬 헥헥헥 
